སྣར་	སྡེ་	པེ་	ཅོ་
པ ས་	པ ར་	པ ས་	པ ར་	
བུ ར	བུ	བུ ར	བུ	
དུ འང་	དུ་	དུ འང་	དུ་	
པ ས	པ	པ ས	པ	
པ	ན	པ	ན	
ཀྱི	ཀྱིས	ཀྱི	ཀྱིས	
བྲེ་	རེ་	བྲེ་	རེ་	
མེ་	མ་	མེ་	མ་	
མ འི་	མ ས་	མ འི་	མ ས་	
པ ས	ནས	པ ས	ནས	
མཛའ་	མཛའི་	མཛའ་	མཛའི་	
ནས	པ ས	ནས	པ ས	
དཔལ་དབྱངས་ལ འང་	པ འི་དབྱངས་ལ་	དཔལ་དབྱངས་ལ འང་	པ འི་དབྱངས་ལ་	
				
ཡི་	ཡིས་	ཡི་	ཡིས་	
ཐོ་བ འམ	ཐོ འམ	ཐོ་བ འམ	ཐོ འམ	
པ ར་	པ་	པ ར་	པ་	
པ་	པ འང་	པ་	པ འང་	
ན	བ	ན	བ	
གང་	དག་	གང་	དག་	
ཉེ་	ཉེར་	ཉེ་	ཉེར་	
རྩི འི་	རྩི་	རྩི འི་	རྩི་	
འགྲོན་པ་	མགྲོན་པོ་	འགྲོན་པ་	མགྲོན་པོ་	
པ ར་	པ་	པ ར་	པ་	
བུ ར	བུ	བུ ར	བུ	
བུ ར	བུ	བུ ར	བུ	
འདི་	ནི་	འདི་	ནི་	
འདི་	ནི་	འདི་	ནི་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
འགྱུར་བ ར་	འགྱུར་བ་	འགྱུར་བ ར་	འགྱུར་བ་	
ཅི་	ཅི ས་	ཅི་	ཅི ས་	
མ་	མི་	མ་	མི་	
ན	ལ	ན	ལ	
དགྲ་	དགྲ ར་	དགྲ་	དགྲ ར་	
པ འི	པ	པ འི	པ	
བ འི་	བ ས་	བ འི་	བ ས་	
དེ་	ལ་	དེ་	ལ་	
བར	བ	བར	བ	
གི་	གིས་	གི་	གིས་	
པ ར་ག་ལ་འགྱུར	པ་ག་ལ་ཡོད	པ ར་ག་ལ་འགྱུར	པ་ག་ལ་ཡོད	
ནི་	འདི་	ནི་	འདི་	
ཡོངས་	ཡོང་	ཡོངས་	ཡོང་	
དུང་	རུང་	དུང་	རུང་	
དོ	དོ	དེ	དོ	
ནི་	འདི་	ནི་	འདི་	
པ འི་	པ་	པ འི་	པ་	
ནི་	ན་	ནི་	ན་	
པ འི་	པ་	པ འི་	པ་	
པོ ར་	པོ་	པོ ར་	པོ་	
དེ་	འདི་	དེ་	འདི་	
ནས་	དང་	ནས་	དང་	
བ	བར	བ	བར	
བ ས	བར	བ ས	བར	
དག	དང་	དག	དང་	
པ ས་	པ་	པ ས་	པ་	
ནས	ན	ནས	ན	
ཀྱི	ཀྱིས	ཀྱི	ཀྱིས	
བོ་	འོ་	བོ་	འོ་	
ལ	ལ འང་	ལ	ལ འང་	
པ་	པ ར་	པ་	པ ར་	
པ ར་	པ་	པ ར་	པ་	
པ་	པ ར་	པ་	པ ར་	
དེ ས	དེ	དེ ས	དེ	
པ ས་	པ ར་	པ ས་	པ ར་	
རྗེས་	རྗེ་	རྗེས་	རྗེ་	
དུ འང་	དུ་	དུ འང་	དུ་	
པ ར་	པ ས་	པ ར་	པ ས་	
པ འི་	པ ས་	པ འི་	པ ས་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
པ	པ འི	པ	པ འི	
