སྣར་	སྡེ་	པེ་	ཅོ་
བརྟག	རྟག	བརྟག	རྟག	
སྤྱད་	སྤྱོད་	སྤྱད་	སྤྱོད་	
བསྲེག་	སྲེག་	བསྲེག་	སྲེག་	
བསྡུ་	བསྡུས་	བསྡུ་	བསྡུས་	
བསྒྲལ་	དགྲོལ་	བསྒྲལ་	དགྲོལ་	
རྒྱུག	རྒྱུག	བརྒྱུག	རྒྱུག	
བགྲང་	གྲངས་	བགྲང་	གྲངས་	
བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	
བཟུང་	གཟུང་	བཟུང་	གཟུང་	
བགྱི	བགྱིད	བགྱི	བགྱིད	
དབུལ	འབུལ	དབུལ	འབུལ	
ལྟ་	བལྟ་	ལྟ་	བལྟ་	
མཆིས	མཆི	མཆིས	མཆི	
འཆགས	བཤགས	འཆགས	བཤགས	
སྐྱབས་	བསྐྱབས་	སྐྱབས་	བསྐྱབས་	
སྐྱབ་	བསྐྱབ་	སྐྱབ་	བསྐྱབ་	
རླག་	བརླག་	རླག་	བརླག་	
བསྒྲུབ	སྒྲུབ	བསྒྲུབ	སྒྲུབ	
གཏད་པ་	བཏང་བ་	གཏང་བ་	བཏང་བ་	
རྒལ་	བརྒལ་	བརྒལ་	བརྒལ་	
འགྱུར་བ ར་	གྱུར་པ ར་	འགྱུར་བ ར་	གྱུར་པ ར་	
གཟེང་	གཟེངས་	གཟེང་	གཟེངས་	
འཁྱམས་	འཁྱམ་	འཁྱམས་	འཁྱམ་	
བསྲུབས་པ་ལས	བསྲུབས་པ་ལས	བསྲུབ་པ་ལ	བསྲུབས་པ་ལས	
བཟུང་	གཟུང་	བཟུང་	གཟུང་	
བཏང་ཞེས་བརྟག་	བཏང་ཞེས་བརྟགས་	གཏང་ཞེས་བརྟག་	བཏང་ཞེས་བརྟགས་	
བསམས་	བསམ་	བསམས་	བསམ་	
གཅད་	བཅད་	གཅད་	བཅད་	
ཐོབ་	འཐོབ་	ཐོབ་	འཐོབ་	
སྲེག་འགྱུར་	བསྲེགས་གྱུར་	སྲེག་འགྱུར་	བསྲེགས་གྱུར་	
བསྲེལ་བར་བྱེད	སྲེལ་བྱེད་ན	བསྲེལ་བར་བྱེད	སྲེལ་བྱེད་ན	
བསྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	སྒྲུབ་	
རྟས་	བརྟས་	རྟས་	བརྟས་	
སྤོང་	སྤོངས་	སྤོང་	སྤོངས་	
དུལ་	ཐུལ་	དུལ་	ཐུལ་	
བཏུལ་	ཐུལ་	བཏུལ་	ཐུལ་	
བསྲེགས་	སྲེག་	བསྲེགས་	སྲེག་	
བསྲུན་	སྲུན་	བསྲུན་	སྲུན་	
སྐྱེས་	བསྐྱེད་	སྐྱེས་	བསྐྱེད་	
བཟུང་	གཟུང་	གཟུང་	གཟུང་	
བསྒྲིམས་	སྒྲིམས་	བསྒྲིམས་	སྒྲིམས་	
བསྲུང་	སྲུང་	བསྲུང་	སྲུང་	
བསམ་	བསམས་	བསམ་	བསམས་	
འབྲངས་པ ས	འབྲང་བ ས	འབྲང་བ ས	འབྲང་བ ས	
བཏང་	གཏོང་	གཏོང་	གཏོང་	
གཞག	བཞག	གཞག	བཞག	
བལྟ་	ལྟ་	བལྟ་	ལྟ་	
བལྟ	ལྟ	བལྟ	ལྟ	
སྤངས་བར་	སྤང་བ ར་	སྤང་བ ར་	སྤང་བ ར་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
བརྟོལ་	རྟོལ་	བརྟོལ་	རྟོལ་	
བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	
བྱ་ཞིང་	བྱས་ཤིང་	བྱ་ཞིང་	བྱས་ཤིང་	
གཤལ་	བཤལ་	གཤལ་	བཤལ་	
འགྲུབ་	སྒྲུབ་	འགྲུབ་	སྒྲུབ་	
སྐུལ་	བསྐུལ་	སྐུལ་	བསྐུལ་	
བགྱིས་	གྱིས་	བགྱིས་	གྱིས་	
བལྟོས་	ལྟོས་	བལྟོས་	ལྟོས་	
བཏང་	གཏང་	གཏང་	གཏང་	
བཏང་	གཏང་	བཏང་	གཏང་	
བཏང་	གཏང་	བཏང་	གཏང་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
བསྟམས་	བསྡམས་	བསྟམས་	བསྡམས་	
གཏང་	བཏང་	གཏང་	བཏང་	
བཀླགས་	བཀླགས་	བཀླག་	བཀླགས་	
ཀླག་	བཀླག་	ཀླག་	བཀླག་	
སྤྱད་	སྤྱད་	སྤྱད་	སྤྱོད་	
སྟེན་	བསྟེན་	སྟེན་	བསྟེན་	
རྟས་	བརྟས་	རྟས་	བརྟས་	
དཀྲུག་	དཀྲུགས་	དཀྲུག་	དཀྲུགས་	
བཟློག་	ཟློག་	བཟློག་	ཟློག་	
སྲེག་དང་གཅོད་	བསྲེག་དང་བཅད་	སྲེག་དང་གཅོད་	བསྲེག་དང་བཅད་	
རྟེག་	རྡེག་	རྟེག་	རྡེག་	
གཟེ་	བཟེ་	གཟེ་	བཟེ་	
འབོག་	བོག་	འབོག་	བོག་	
འཛེམ་	འཛེམ་	འཛེམས་	འཛེམ་	
བྱ	བྱས	བྱ	བྱས	
སེམས་	སོམས་	སེམས་	སོམས་	
འགེག་	འགག་	འགེག་	འགག་	
བརླག་	བརླག་	བརླག་	བརླགས་	
འབྱུང་	བྱུང་	འབྱུང་	བྱུང་	
བསྲེག་	སྲེག་	བསྲེག་	སྲེག་	
ཐོབ	འཐོབ	ཐོབ	འཐོབ	
བཅིང་	བཅིངས་	བཅིང་	བཅིངས་	
འགྲུབ་	གྲུབ་	འགྲུབ་	གྲུབ་	
བ འི	བ	བ འི	བ	
ཡི	བ འི	ཡི	བ འི	
ཆུངས་པ ར་	ཆུང་བར་	ཆུངས་པ ར་	ཆུང་བར་	
སྤྱི་འཚོགས་གང་	སྤྱི ར་འཚོག་གམ	སྤྱི་འཚོགས་གང་	སྤྱི ར་འཚོག་གམ	
བྱེད	བྱ	བྱེད	བྱ	
ཐོབ་	འཐོབ་	ཐོབ་	འཐོབ་	
བསྒྱུར་	སྒྱུར་	བསྒྱུར་	སྒྱུར་	
འཐོབ	ཐོབ	འཐོབ	ཐོབ	
བསགས་	བསག་	བསགས་	བསག་	
གདུངས་པ་	གདུང་བ་	གདུངས་པ་	གདུང་བ་	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
གསུངས་པ ས་	གསུང་བ ས་	གསུངས་པ ས་	གསུང་བ ས་	
ཐོབ	འཐོབ	ཐོབ	འཐོབ	
བསྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	སྒྲུབ་	
སྤང་	སྤང་	སྤང་	སྤངས་	
སྒྲུབ་	གྲུབ་	སྒྲུབ་	གྲུབ་	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
བསྒོམ་	བསྒོམས་	བསྒོམ་	བསྒོམས་	
འབྲལ་	བྲལ་	འབྲལ་	བྲལ་	
འགྲུབ་	སྒྲུབ་	འགྲུབ་	སྒྲུབ་	
བསྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	སྒྲུབ་	
བྱེད་དེ	བྱས་ཏེ	བྱེད་དེ	བྱས་ཏེ	
གྱུར	འགྱུར	གྱུར	འགྱུར	
བསྲན་	སྲན་	བསྲན་	སྲན་	
སྲུང་	བསྲུང་	སྲུང་	བསྲུང་	
བྱས་པ འི་	བྱ་བ འི་	བྱས་པ འི་	བྱ་བ འི་	
བཟུང་	གཟུར་	བཟུར་	གཟུར་	
བསྒྲིམ	སྒྲིམ	བསྒྲིམས	སྒྲིམ	
སྒྱུར་ཏེ། དེ་ལྟ་	བསྒྱུར་ཏེ། །དེ་ལྟར་	སྒྱུར་ཏེ། དེ་ལྟ་	བསྒྱུར་ཏེ། །དེ་ལྟར་	
གཞག	བཞག	གཞག	བཞག	
སྤོངས་ཏེ	སྤོང་སྟེ	སྤོངས་ཏེ	སྤོང་སྟེ	
གི	གིས	གི	གིས	
ཁྲོས་	ཁྲོ་	ཁྲོས་	ཁྲོ་	
སྐྱེད	སྐྱེ	སྐྱེད	སྐྱེ	
བསྙེམས་	སྙེམས་	བསྙེམས་	སྙེམས་	
འགྱུར་ཞིང་	གྱུར་ཅིང་	འགྱུར་ཞིང་	གྱུར་ཅིང་	
བསམས་	བསམ་	བསམས་	བསམ་	
བརྗོད་	རྗོད་	བརྗོད་	རྗོད་	
བྱེད	བྱ	བྱེད	བྱ	
བསྒྲུབ	སྒྲུབ	བསྒྲུབ	སྒྲུབ	
གཟེམས་	འཛེམས་	གཟེམས་	འཛེམས་	
ལྟ་	བལྟ་	ལྟ་	བལྟ་	
བསྲུངས་	བསྲུང་	བསྲུངས་	བསྲུང་	
ལྟ་བ ར་	བལྟ་བ ར་	ལྟ་བ ར་	བལྟ་བ ར་	
འོངས་	འོང་	འོངས་	འོང་	
བྱུང་	འབྱུང་	བྱུང་	འབྱུང་	
སྒྲུབ་	བསྒྲུབས་	སྒྲུབ་	བསྒྲུབས་	
བརྩོངས་པ་	བཙོང་བ་	བརྩོངས་པ་	བཙོང་བ་	
བརྩོངས་ཤིང་	བཙོང་ཞིང་	བརྩོངས་ཤིང་	བཙོང་ཞིང་	
བསྲེག་	བསྲེགས་	བསྲེག་	བསྲེགས་	
རླག་	བརླག་	རླག་	བརླག་	
ཆགས་	འཆག་	ཆགས་	འཆག་	
བལྟོས་པ་མེད་པ འི་	ལྟོས་པ་མེད་པ ར་	བལྟོས་པ་མེད་པ འི་	ལྟོས་པ་མེད་པ ར་	
བསམས་	བསམ་	བསམས་	བསམ་	
སྲུང་	བསྲུང་	སྲུང་	བསྲུང་	
ཅི ས་སྲུང་། བདག་གི་	ཅི་བསྲུང་། །བདག་གིས་	ཅི ས་སྲུང་། བདག་གི་	ཅི་བསྲུང་། །བདག་གིས་	
བསྲུང་	བསྲུངས་	བསྲུང་	བསྲུངས་	
སྤངས་	སྤང་	སྤངས་	སྤང་	
འགྱུར་བ ས	གྱུར་པ	འགྱུར་བ ས	གྱུར་པ	
བསམས་	བསམ་	བསམས་	བསམ་	
གཞག་	བཞག་	གཞག་	བཞག་	
གོམ་	གོམས་	གོམ་	གོམས་	
འབྱུང་	བྱུང་	འབྱུང་	བྱུང་	
སྤྱོད་	སྤྱད་	སྤྱད་	སྤྱད་	
ལྟ་བ ར་	བལྟ་བ ར་	ལྟ་བ ར་	བལྟ་བ ར་	
གདུང་བ ར་	གདུངས་པ ར་	གདུང་བ ར་	གདུངས་པ ར་	
འགྲོ ར་རིམ་གྲོ་ཐོབ་	འགྲོ་རིམ་གྲོ་འཐོབ་	འགྲོ ར་རིམ་གྲོ་ཐོབ་	འགྲོ་རིམ་གྲོ་འཐོབ་	
གཡོགས་	གཡོག་	གཡོགས་	གཡོག་	
བཏང་བར་བྱ	གཏང་བྱ་དང་	བཏང་བར་བྱ	གཏང་བྱ་དང་	
བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	
བསྒྲུབ་པ འི་	སྒྲུབ་པ ར་	བསྒྲུབ་པ འི་	སྒྲུབ་པ ར་	
བྱས་ཏེ	བྱ་སྟེ	བྱས་ཏེ	བྱ་སྟེ	
གྲགས	གྲག	གྲགས	གྲག	
བལྟ་བ་རྒུད་	ལྟ་བ་གུད་	བལྟ་བ་རྒུད་	ལྟ་བ་གུད་	
གསལ་	བསལ་	གསལ་	བསལ་	
བལྟ	ལྟ	བལྟ	ལྟ	
གྲགས་པ་ཡིས	བསྒྲགས་པ་ཡི	གྲགས་པ་ཡིས	བསྒྲགས་པ་ཡི	
འགྱུར་བ འི	གྱུར་པ འི	འགྱུར་བ འི	གྱུར་པ འི	
བྱས་ཏེ	བྱ་སྟེ	བྱས་ཏེ	བྱ་སྟེ	
བཅད་	གཅད་	བཅད་	གཅད་	
བཙོངས་ཀྱིས	བཙོང་གིས	བཙོངས་ཀྱིས	བཙོང་གིས	
རིང་	རིངས་	རིང་	རིངས་	
སྐྱོ་བ ར་བྱེད་འགྱུར་བ	སྐྱོང་བར་བྱེད་གྱུར་པ	སྐྱོ་བ ར་བྱེད་འགྱུར་བ	སྐྱོང་བར་བྱེད་གྱུར་པ	
བྱས་པ	བྱ་བ	བྱས་པ	བྱ་བ	
གྱུར་པ	འགྱུར་བ	གྱུར་པ	འགྱུར་བ	
བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	
བཞག་	གཞག་	བཞག་	གཞག་	
ཚོགས་	འཚོགས་	ཚོགས་	འཚོགས་	
བལྟོས་	ལྟོས་	བལྟོས་	ལྟོས་	
བལྟོས་དང་བལྟོས་	ལྟོས་	བལྟོས་དང་བལྟོས་	ལྟོས་	
བརྗོད་	རྗོད་	བརྗོད་	རྗོད་	
བརྟག་	རྟག་	བརྟག་	རྟག་	
བསྒྲུབས་	སྒྲུབ་	བསྒྲུབས་	སྒྲུབ་	
བྱེད་	བྱས་	བྱེད་	བྱས་	
གསུང་	གསུངས་	གསུང་	གསུངས་	
གཟུངས་	གཟུང་	གཟུངས་	གཟུང་	
འགྲུབ་	གྲུབ་	འགྲུབ་	གྲུབ་	
བསྒོམ་	སྒོམ་	བསྒོམ་	སྒོམ་	
སྐྱེ་	སྐྱེས་	སྐྱེ་	སྐྱེས་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
འདྲེས་	འདྲེ་	འདྲེས་	འདྲེ་	
ཐད་	འཐད་	ཐད་	འཐད་	
བྱ་	བྱས་	བྱ་	བྱས་	
ལ འང་	ལ་	ལ འང་	ལ་	
འབྱུང་	བྱུང་	འབྱུང་	བྱུང་	
རྟོག་	རྟོགས་	རྟོག་	རྟོགས་	
བགོམ་	འགོམ་	བགོམ་	འགོམ་	
སྐྱེས་	སྐྱེ་	སྐྱེས་	སྐྱེ་	
སྐྱེད་	བསྐྱེད་	སྐྱེད་	བསྐྱེད་	
བལྟོས་	ལྟོས་	བལྟོས་	ལྟོས་	
བལྟོས་	ལྟོས་	བལྟོས་	ལྟོས་	
བལྟོས་	ལྟོས་	བལྟོས་	ལྟོས་	
སྐྱེད་	སྐྱེ་	སྐྱེད་	སྐྱེ་	
སྐྱེད་པ་མིན	སྐྱེ་དབང་མེད	སྐྱེད་པ་མིན	སྐྱེ་དབང་མེད	
བསྒོམ་	སྒོམ་	བསྒོམ་	སྒོམ་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
གཡངས་	གཡང་	གཡངས་	གཡང་	
འགྱུར	གྱུར	འགྱུར	གྱུར	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
གཟུང་	བཟུང་	གཟུང་	བཟུང་	
བསམས་	བསམ་	བསམས་	བསམ་	
རྗེས་བརླན་ཅན་	རྗེ འི་རླན་སྤྱན་	རྗེས་བརླན་ཅན་	རྗེ འི་རླན་སྤྱན་	
རྩེགས་	བརྩེགས་	རྩེགས་	བརྩེགས་	
འགྱུར	གྱུར	འགྱུར	གྱུར	
གྱུར	འགྱུར	གྱུར	འགྱུར	
བསམས་	བསམ་	བསམས་	བསམ་	
བསྲུང་བ་	སྲུང་བ ར་	བསྲུང་བ་	སྲུང་བ ར་	
བཟུང་	གཟུང་	བཟུང་	གཟུང་	
འགྲུབ་	གྲུབ་	འགྲུབ་	གྲུབ་	
འགྲུབ་	གྲུབ་	འགྲུབ་	གྲུབ་	
སྤང་	སྤངས་	སྤང་	སྤངས་	
བསྒོམ་	སྒོམ་	བསྒོམ་	སྒོམ་	
སྤྱད་	སྤྱད་	སྤྱད་	སྤྱོད་	
