	p #ཎྱཾ་ ག་ #མཱརྒཱཥྚི་ #ཡ, ཞོལ་: #པཱ་ #ཎི་ #མཱརྒཱཥྚཱཾ་བ, d #པཱ་ #ཎི་ #མཱརྒཱཥྚཱཾ་བ, n #ཎྱཾ་ ག་ #མཱརྒཱཥྚ་ #ཡ	 །བོད་སྐད་དུ། ཕྱག་ན་རྡོ་རྗེའི་ལམ་				automatic__sskrt				p ཞོལ་=d n 5.51%	p ཞོལ་: d n 	1
ཤེས་ཀྱི་ཚོགས་བསགས་ཏེ། ཨོཾ་སརྦ་དྷརྨཱ་སྭ་	p #ཝ་ #ཨཱཏྨ་ #ཀོ་ #ཧཾ་, ཞོལ་: #བྷཱ་བ་ #ཨཱཏྨ་ #ཀོ྅ཧཾ་, d #བྷཱ་བ་ #ཨཱཏྨ་ #ཀོ྅ཧཾ་, n #ཝ་ #ཨཱཏྨ་ #ཀོ་ #ཧཾ་	ཞེས་བརྗོད་པས་ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དུ་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཞོལ་: d n 	5
བྲལ་བར་བཟླས་པ་བྱ་སྟེ། ཨོཾ་བཛྲ་ཙཎྜ་	p #ཧ་, ཞོལ་: #མཧཱ་, d #མཧཱ་, n #ཧ་	རོ་ཥ་ཎ་ཧཱུཾ་ཕཊ། གཟུངས་སམ་རིགས་ལྔའི་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཧ(586)ཞོལ་: མཧཱ(21)d མཧཱ(21)n ཧ(586)	10
སྟེ། ཨོཾ་བཛྲ་ཙཎྜ་མཧཱ་རོ་ཥ་ཎ་ཧཱུཾ་	p #ཧཱུཾ, ཞོལ་: #ཧཱུཾ་ #ཕཊ, d #ཧཱུཾ་ #ཕཊ, n #ཧཱུཾ	། གཟུངས་སམ་རིགས་ལྔའི་སྙིང་པོ་གང་ཡང་འདྲའོ				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཧཱུཾ(241), ཧཱུཾ།_(235)ཞོལ་: ཧཱུཾ་ཕཊ(65), ཧཱུཾ་ཕཊ།_(63)d ཧཱུཾ་ཕཊ(65), ཧཱུཾ་ཕཊ།_(63)n ཧཱུཾ(241), ཧཱུཾ།_(235)	11
ས་བོན་དགོད་བྱ་བ། །ཨོཾ་དང་ཧཱུཾ་དང་	p #ཏཾ་, ཞོལ་: #ཏྲཱཾ་, d #ཏྲཱཾ་, n #ཏཾ་	ལཾ་ཁཾ། །ལཾ་མཱཾ་པཾ་ཏཱཾ་བཾ་དག་ལས། །ཡབ་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཏཾ(88)ཞོལ་: ཏྲཱཾ(25)d ཏྲཱཾ(25)n ཏཾ(88)	14
། །ཨོཾ་དང་ཧཱུཾ་དང་ཏྲཱཾ་ལཾ་ཁཾ། །ལཾ་	p #མཾ་ #པཾ་ #ཏཾ་, ཞོལ་: #མཱཾ་ #པཾ་ #ཏཱཾ་, d #མཱཾ་ #པཾ་ #ཏཱཾ་, n #མཾ་ #པཾ་ #ཏཾ་	བཾ་དག་ལས། །ཡབ་ཡུམ་སྙོམས་འཇུག་བདུད་རྩིའི་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཞོལ་: d n 	15
སྔགས་འདིས་གསོལ་བར་བསམ། །ཨོཾ་ཙཎྜ་བཛྲ་པཱ་	p ན་, ཞོལ་: #ཎ་, d #ཎ་, n ན་	ཡེ་མ་ཧཱ་བ་ལིཾ་ཨི་དཾ། གྲྀཧྞ་གྲིཧྞ				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ན(73509), ན་ཡེ(141)ཞོལ་: ཎ(386), ཎ་ཡེ(70), པཱ་ཎ(94), པཱ་ཎ་ཡེ(67), བཛྲ་པཱ་ཎ་ཡེ(62)d ཎ(386), ཎ་ཡེ(70), པཱ་ཎ(94), པཱ་ཎ་ཡེ(67), བཛྲ་པཱ་ཎ་ཡེ(62)n ན(73509), ན་ཡེ(141)	17
མ་ཧཱ་བ་ལིཾ་ཨི་དཾ། གྲྀཧྞ་གྲིཧྞ། 	p ཁ་ #ཧི་ ཁ་ #ཧི །_ #མུཉྩ་, ཞོལ་: #ཁཱ་ #ཧི་ #ཁཱ་ #ཧི །_ #མུཉྫ་, d #ཁཱ་ #ཧི་ #ཁཱ་ #ཧི །_ #མུཉྫ་, n #ཁཱ་ ཁ་ #ཧི་ ཁ །_ #མུཉྫ་	ཧོ་ས་མ་ཡེ་སྭཱ་ཧཱ། དེ་ནས་སྨན་				automatic__sskrt				p ཞོལ་=d n 5.51%	p ཞོལ་: d n 	18
ཏ་ཡོ། ཚོགས་ཀྱི་མཆོད་པ་ནི། ག་	p #གྷ་ ན་ #པཱུ་ #ཛའོ, ཞོལ་: #ཎ་ #པཱུ་ #ཛ་ #ཧོ, d #ཎ་ #པཱུ་ #ཛ་ #ཧོ, n #གྷ་ ན་ #པཱུ་ #ཛའོ	། །དེ་ནས་ལྷག་མ་བསྔོ་བྱ་བ། །སྔགས་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཞོལ་: d n 	20
བསམ། །ཨོཾ་ཨ་ཀཱ་རོ་མུ་ཁཾ་སརྦ་དྷརྨཱ་	p #ཎཾ་, ཞོལ་: #ཎཱཾ་, d #ཎཱཾ་, n #ཎཾ་	ཨཱ་དྱ་ནུཏྤནྣ་ཏྭཱཏ། ཨོཾ་ཨཱཿཧཱུཾ་སྭཱ་ཧཱ། ཞེས་པའི་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཎཾ(20)ཞོལ་: ཎཱཾ(75)d ཎཱཾ(75)n ཎཾ(20)	22
། །ཨོཾ་ཨ་ཀཱ་རོ་མུ་ཁཾ་སརྦ་དྷརྨཱ་ཎཱཾ་	p ནུད་ #པན་ ན་, ཞོལ་: #ཨཱ་ #དྱ་ #ནུཏྤནྣ་, d #ཨཱ་ #དྱ་ #ནུཏྤནྣ་, n #མུད་ #པན་ ན་	ཏྭཱཏ། ཨོཾ་ཨཱཿཧཱུཾ་སྭཱ་ཧཱ། ཞེས་པའི་སྔགས་				automatic__sskrt				p ཞོལ་=d n 5.51%	p ཞོལ་: d n 	23
ནས། །དབང་པོ་ཉི་མ་ཕྲག་ལ་ཁུར། །	p ཨ་ #ལཱི་, ཞོལ་: #ཨཱ་ #ལིའི་, d #ཨཱ་ #ལིའི་, n ཨ་ #ལཱི་	གད་རྒྱངས་ཆེན་པོ་ཡིས། །ཀུན་དུ་དགོད་ཅིང་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ཞོལ་: d n 	27
མ་ཧཱ་རོ་ཥ་ཎ་ཧཱུཾ་ཕཊ། ཨོཾ་ནཱི་	p #ལཱཾ་བ་, ཞོལ་: #ལཱཾ་བ་, d #ལཱཾ་བ་, n #ཡཱཾ་བ་	བ་ར་དྷ་ར་བཛྲ་པཱ་ཎི་ཧཱུཾ་ཕཊ། 				automatic__sskrt				p=ཞོལ་=d n 3.94%	p ཞོལ་: d n 	30
ར་བཛྲ་པཱ་ཎི་ཧཱུཾ་ཕཊ། ཨོཾ་བཛྲ་པཱ་	p ནི་, ཞོལ་: #ཎི་, d #ཎི་, n ནི་	ཧཱུཾ་བཛྲ་རོ་ཥ་ཎ་ཧཱུཾ་ཕཊ། ཨོཾ་བཛྲ་				automatic__sskrt				p=n ཞོལ་=d 86.61%	p ནི(44237)ཞོལ་: ཎི(763), པཱ་ཎི(78)d ཎི(763), པཱ་ཎི(78)n ནི(44237)	31
