	#ཀི་		ཀ་	#ཀི་	ཏེ་ཤྭ་ར་སཱ་དྷ་ནཾ། བོད་སྐད་དུ				nw✓						p=n d 62.50%	p ཀི(56), ལོ་ཀི(954), ཀི་ཏེ(772), ལོ་ཀི་ཏེ(58), ལོ་ཀི་ཏེ་ཤྭ(701); d ཀ(951), ལོ་ཀ(262); n ཀི(56), ལོ་ཀི(954), ཀི་ཏེ(772), ལོ་ཀི་ཏེ(58), ལོ་ཀི་ཏེ་ཤྭ(701); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	1
ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭཱ་བྷཱ་ཝ་ཨཱཏྨ་	ཀོ་ #ཧཾ		#ཀོ྅ཧཾ	ཀོ་ #ཧཾ	ཧཾ། ཞེས་བརྗོད་དོ། །དེས་དངོས་པོ་ཐམས་					✓					p=n d 62.50%	p ; d ཀོ྅ཧཾ(5); n ; 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	4
བོན་ལ། ཨོཾ་ཨཱཿཨོཾ་མ་ཎི་པདྨེ་ཧཱུྃ་ཧཱུྃ་	#ཧྲིཿསྭཱ་		#ཧྲཱི་ #སྭཱ་	#ཧྲིཿསྭཱ་	སྭཱ་ཧཱ།ཞེས་བྱ་བ་གཡོན་སྐོར་དུ་བཀོད་					✓					p=n d 62.50%	p ; d ; n ; 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	7
ལ་སོགས་རྣམ་བྱས་ནས། །དེ་རུ་ཡི་གེ་	#ཧྲིཿབཀོད་		#ཧྲཱིཿབཀོད་	#ཧྲིཿབཀོད་	བཀོད་དེ། །ཡེ་ཤེས་བདུད་རྩི་བཀུག་བྱས་ལ					✓					p=n d 62.50%	p ཧྲིཿབཀོད(1); d ; n ཧྲིཿབཀོད(1); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	10
། །སྔགས་འདིས་བྱིན་གྱིས་བརླབས་ཏེ་འབུལ། ཨོཾ་	#ཨཱ་		ཨ་	ཨ་	ཀཱ་རོ་མུ་ཁཾ་སརྦྦ་དྷརྨྨཱ་ཎཱཾ་ཨཱ་དྱ་ནུཏྤནྣ་ཏྭཱ་					✓					p d=n 6.25%	p ཨཱ(89), ཨཱ་ཀཱ(108), ཨོཾ་ཨཱ(49); d ཨ(188), ཨ་ཀཱ(43), ཨོཾ་ཨ(271); n ཨ(188), ཨ་ཀཱ(43), ཨོཾ་ཨ(271); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	13
བརླབས་ཏེ་འབུལ། ཨོཾ་ཨ་ཀཱ་རོ་མུ་ཁཾ་	#སརྦྦ་ #དྷརྨྨཱ་		#སརྦྦ་ #དྷརྨྨཱ་	སརྦ་ #དྷརྨྨ་	ཎཱཾ་ཨཱ་དྱ་ནུཏྤནྣ་ཏྭཱ་ཏ་ཨོཾ་ཨཱཿཧཱུཾ་ཕཊ། 					✓					p=d n 25.00%	p ; d ; n ; 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	14
ཏིང་ངེ་འཛིན་ཐོབ་པར་བསམས་ལ། ཨོཾ་ཨཱཿཧཱུཾ་	མུ ས་		#མུཿས་	མུ ས་	གཤེགས་སུ་གསོལ་བར་བྱའོ། །ཟས་ལ་ཉེ་བར་					✓					p=n d 62.50%	p མུས(38); d ; n མུས(38); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	15
ཧཱུྃ་ཧཱུྃ་ཧྲཱི་སྭཱ་སྭཱ་ཧཱ།ཞེས་བྱ་བ་གཡོན་	སྐོར་		སྐོར་	བསྐོར་	དུ་བཀོད་དེ། མན་ངག་ཇི་ལྟ་བ་བཞིན་						≠				p=d n 25.00%	p སྐོར(24); d སྐོར(24); n བསྐོར(685); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	8
སྐྱབས་གྱུར་པ། །མགོན་པོ་ཁྱོད་ནི་བཟོད་པར་	མཛོད		མཛོད	མཛད	། །ཅེས་གསོལ་བ་གདབ་པར་བྱའོ། །རྟག་ཏུ་						≠				p=d n 25.00%	p མཛོད(783), མཛོད།_།(749); d མཛོད(783), མཛོད།_།(749); n མཛད(2928), མཛད།_།(2040); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	9
བཀུག་བྱས་ལ། །ཧཱུྃ་ལས་བྱུང་བའི་རྡོ་རྗེས་	བཀུག		དཀྲུགས	བཀུག	། །སྔགས་འདིས་བྱིན་གྱིས་བརླབས་ཏེ་འབུལ། ཨོཾ་						≠				p=n d 62.50%	p བཀུག(34); d དཀྲུགས(26); n བཀུག(34); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	11
རྡོ་རྗེས་དཀྲུགས། །སྔགས་འདིས་བྱིན་གྱིས་བརླབས་ཏེ་	དབུལ		འབུལ	དབུལ	། ཨོཾ་ཨ་ཀཱ་རོ་མུ་ཁཾ་སརྦྦ་དྷརྨྨཱ་ཎཱཾ་ཨཱ་						≠				p=n d 62.50%	p དབུལ(442); d འབུལ(125); n དབུལ(442); 	17-19_སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།	12
