	#དྷཱི་		#དྷི་	#དྷཱི་	ནཱ་མ། བོད་སྐད་དུ། མཎྜལ་གྱི་ཆོ་					✓					p=n d 91.67%	p དྷཱི(4); d དྷི(26); n དྷཱི(4); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	1
གླིང་། །ཤ་ལས་ནུབ་ཀྱི་བ་ལང་སྤྱོད། །	#ཡཾ་		ཡ་	#ཡཾ་	ལས་བྱང་ཤར་མཚམས་སུ་བསམ། །གླིང་གཡོག་ཉི་					✓					p=n d 91.67%	p ཡཾ(74); d ཡ(7515), །_།ཡ(274); n ཡཾ(74); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	7
ཆེ། །ཛཾ་ལས་ནོར་བུ་རིན་པོ་ཆེ། །	ཝ་		#ཝཾ་	ཝ་	ལས་གཏེར་ཆེན་རིན་པོ་ཆེ། །མཾ་ལས་ཉི་					✓					p=n d 91.67%	p ཝ(65), །_།ཝ(67); d ཝཾ(2); n ཝ(65), །_།ཝ(67); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	8
མཎྜལ་དབུལ་བའི་ཆོ་ག་རྗེ་བཙུན་ཀ་མ་ལ་	#ཤྲཱིས་		#ཤཱི་ ལས་	#ཤྲཱིས་	མཛད་པ་རྫོགས་སོ།།					✓					p=n d 91.67%	p ཤྲཱིས(1); d ; n ཤྲཱིས(1); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	11
དགྲམ་བྱ་སྟེ། །ཧཾ་ལས་འོག་གི་རི་རབ་	བསམ		བསམས	བསམ	 །། རང་གི་ངོས་ཀྱི་ཤར་བྱས་པའི། །ཡ་						⟶				p=n d 91.67%	p བསམ(706); d བསམས(54); n བསམ(706); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	5
ཤར་བྱས་པའི། །ཡ་ལས་ཤར་གྱི་ལུས་འཕགས་	བསམས		བསམ	བསམས	 །།ར་ལས་བྱང་གི་སྒྲ་མི་སྙན། །ལ་						⟶				p=n d 91.67%	p བསམས(54); d བསམ(706); n བསམས(54); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	6
། །ཉི་ཟླ་ཕུལ་བའི་ཡོན་ཏན་གྱིས། །ལྟ་	བསྒོམས་		བསྒོམ་	བསྒོམས་	སེམས་ལ་གསལ་བར་འགྱུར། །རི་རབ་ཕུལ་བའི་						⟶				p=n d 91.67%	p བསྒོམས(121); d བསྒོམ(1273); n བསྒོམས(121); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	10
། །སྔགས་དང་རྫས་སུ་བཅས་པའོ། །མཎ་ནི་	སྐྱེད་པ འི་		བསྐྱེད་པ འི་	སྐྱེད་པ འི་	ས་བོན་ཏེ། །བསོད་ནམས་འཕེལ་བས་ཌལ་ཞེས་						≠				p=n d 91.67%	p སྐྱེད་པའི(301); d བསྐྱེད་པའི(1170); n སྐྱེད་པའི(301); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	2
ཡིས། །གོང་མ་མཉེས་པར་བྱེད་པའོ། །མཎྜལ་	དབྱེ་བ ས་		དབྱེ་ ན་	དབྱེ་བ ས་	རྣམ་གཉིས་ཏེ། །དངོས་དང་ཡིད་ཀྱིས་བསམ་པའོ							≡			p=n d 91.67%	p དབྱེ་བས(56); d ; n དབྱེ་བས(56); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	3
དང་ནི་སྒྲུབ་པ་དང་། །མཆོད་པ་དང་ནི་			མི་		མཛེས་པའོ། །ས་ཡང་རུང་སྟེ་གཞི་ལ་ནི							≡			p=n d 91.67%	p (1), ནི(44237), མཛེས་པ(475), ནི་མཛེས་པ(71); d མི(406), ནི་མི(4953), མི་མཛེས་པ(63); n (1), ནི(44237), མཛེས་པ(475), ནི་མཛེས་པ(71); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	4
། །ཨ་ལས་ཟླ་བ་ནུབ་ཏུའོ། །ཨོཾ་ལས་	སྟེང་		སྟོང་	སྟེང་	གི་རི་རབ་པོ། །གླིང་བཞི་གླིང་ཕྲན་བཅས་							≡			p=n d 91.67%	p སྟེང(2), སྟེང་གི(1533); d སྟོང(5), སྟོང་གི(1758), ལས་སྟོང(72); n སྟེང(2), སྟེང་གི(1533); 	8-10_མཎྜལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	9
