	ཏེ		ལོ	ལོ	 །།ལག་པ་བརྡབས་པའི་སྒྲས་འཇིག་པའི། །རྡོ་རྗེ་			≠							p d=n 27.27%	p ཏེ(80365), འཚལ་ཏེ(1120); d ལོ(14961), འཚལ་ལོ(421); n ལོ(14961), འཚལ་ལོ(421); 	T2868	1
རང་གི་ལག་མཐིལ་ལ། །ཨ་དང་མ་ལས་	དལ་ བསྐྱེད་ དེ །_ #སཾ་		དཀྱིལ་འཁོར་ བསྐྱེད །_། མ་	དཀྱིལ་འཁོར་ བསྐྱེད །_ #མཾ་	ལས་སྣ་ཚོགས་རྡོ་རྗེར་བསམ། །མུ་ཁྱུད་རྡོ་					✓					p d n 18.18%	p ; d ; n ; 	T2868	5
བྱབ་པའི་ལས་ཚོགས་ནི། །རྡོ་རྗེ་འཛིན་པར་	བསྒོམས་		བསྒོམས་	བསྒོམ་	ནས་ཀྱང་། །བསམ་རྒྱུ་རང་གི་ལག་མཐིལ་ལ						⟶				p=d n 18.18%	p བསྒོམས(121), བསྒོམས་ནས(294); d བསྒོམས(121), བསྒོམས་ནས(294); n བསྒོམ(1273); 	T2868	3
བྱ། །མངོན་སྤྱོད་དྲག་པོའི་ཕྲིན་ལས་ནི། །	བརྫུས་		རྫུས་	རྫུས་	སྐྱེས་ཚུལ་དུ་བསྐྱེད་བྱས་ལ། །གང་དམིགས་གཟུགས་						⟶				p d=n 27.27%	p བརྫུས(69); d རྫུས(269); n རྫུས(269); 	T2868	8
ལ་ཕྱག་འཚལ་ལོ །།ལག་པ་བརྡབས་པའི་སྒྲས་	འཇིགས་པ འི		འཇིག་པ འི	འཇིགས་པ འི	། །རྡོ་རྗེ་བྱབ་པའི་ལས་ཚོགས་ནི། །རྡོ་						?				p=n d 27.27%	p འཇིགས་པའི(801); d འཇིག་པའི(744); n འཇིགས་པའི(801); 	T2868	2
། །རྡོ་རྗེ་འཛིན་པར་བསྒོམས་ནས་ཀྱང་། །བསམ་	རྒྱུད་		རྒྱུ་	བརྒྱུད་	རང་གི་ལག་མཐིལ་ལ། །ཨ་དང་མ་ལས་						?				p d n 18.18%	p རྒྱུད(232); d རྒྱུ(523); n བརྒྱུད(9); 	T2868	4
སྦྱང་དང་བརྡུང་བྱས་ལ། །ལག་པ་བརྡབས་པའི་སྒྲས་	འཇིགས་		འཇིག་	འཇིགས་	འགྱུར། །རྡོ་རྗེ་བྱབ་པའི་ལས་ཚོགས། རྗེ་						?				p=n d 27.27%	p འཇིགས(153); d འཇིག(226), འཇིག་འགྱུར(55); n འཇིགས(153); 	T2868	10
སྐུ། །མཚན་རྣམས་དག་དང་ཡང་དག་ལྡན། །	དཔེ་བྱད་		དཔེ་བྱད་	དཔེ་ བྱས་	བཟང་པོ་བརྒྱད་ཅུས་སྤྲས། །མེ་ཡི་མཁའ་ལ་							≡			p=d n 18.18%	p དཔེ་བྱད(898), །_།དཔེ་བྱད(97), དཔེ་བྱད་བཟང་པོ(593), །_།དཔེ་བྱད་བཟང་པོ(67); d དཔེ་བྱད(898), །_།དཔེ་བྱད(97), དཔེ་བྱད་བཟང་པོ(593), །_།དཔེ་བྱད་བཟང་པོ(67); n ; 	T2868	6
བཅས། །གང་གནོད་ཕྱོགས་སུ་བསྐྱལ་བར་བྱ། །	སྔོན་		མངོན་	མངོན་	སྤྱོད་དྲག་པོའི་ཕྲིན་ལས་ནི། །རྫུས་སྐྱེས་ཚུལ་							≡			p d=n 27.27%	p སྔོན(35), །_།སྔོན(1526); d མངོན(37), །_།མངོན(2159), མངོན་སྤྱོད(265), །_།མངོན་སྤྱོད(115); n མངོན(37), །_།མངོན(2159), མངོན་སྤྱོད(265), །_།མངོན་སྤྱོད(115); 	T2868	7
བསྲེག་དང་སྦྱང་དང་བརྡུང་བྱས་ལ། །ལག་པ་	བརྡབས་པ ས་		བརྡབས་པ འི་	བརྡབས་པ ས་	སྒྲས་འཇིག་འགྱུར། །རྡོ་རྗེ་བྱབ་པའི་ལས་ཚོགས							≡			p=n d 27.27%	p ; d ; n ; 	T2868	9
རྗེ་བཙུན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།													[ ]		p=d=n 9.09%	p (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); d (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); n (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); 	T2868	11
