Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བརྗོད་པ་ཡིན། །ཉོན་མོངས་དྲྭ་བས་གཡོགས་པ་,ན,,ནི,ན,། །སེམས་ཅན་ཞེས་ནི་བརྗོད་པར་བྱ། །དེ་,K,g,,,,,,,,p=n d 93.75%,p ན(73509), ན།_།(11932); d ནི(44237), ནི།_།(28227); n ན(73509), ན།_།(11932); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,34
ངོ་བོ་དང་། །རེག་བྱའི་རྐྱེན་གྱི་མཚན་ཉིད་,དག _།,,དང ་།_།,དག _།,རྐྱེན་དག་ལས་ནི་གྲོལ་གྱུར་པ། །ཆོས་ཀྱི་,K,g,,,,,,,,p=n d 93.75%,p དག_།(5101); d དང་།_།(32216), མཚན་ཉིད་དང་།_།(48); n དག_།(5101); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,37
། །ཆོས་རྣམས་དེ་ལྟར་རྣལ་འབྱོར་པས། །ཤེས་,ནས་,,ན་,ནས་,མཚན་ཉིད་རྫོགས་པ་ཡིན། །མིག་དང་རྣ་བ་,K,g,,,,,,,,p=n d 93.75%,p ནས(35333), ཤེས་ནས(1122); d ན(73509), ཤེས་ན(1069); n ནས(35333), ཤེས་ནས(1122); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,38
དང་མི་ཤེས་པ་དག་ལས། །ལུས་འདི་ཉིད་,ལས་,,ལ་,ལས་,ཐམས་ཅད་དེ། །རང་གི་རྣམ་པར་རྟོག་པས་,K,g,,,,,,,,p=n d 93.75%,p ལས(5885), ཉིད་ལས(2755), ལས་ཐམས་ཅད(1336); d ལ(33965), ཉིད་ལ(379), ལ་ཐམས་ཅད(383); n ལས(5885), ཉིད་ལས(2755), ལས་ཐམས་ཅད(1336); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,41
གི་རྣམ་པར་རྟོག་པས་བཅིངས། །བདག་ཉིད་ཤེས་,ནས་,,ན་,ནས་,གྲོལ་བར་འགྱུར། །བྱང་ཆུབ་རིང་མིན་ཉེ་བ་མིན,K,g,,,,,,,,p=n d 93.75%,p ནས(35333), ཤེས་ནས(1122); d ན(73509), ཤེས་ན(1069); n ནས(35333), ཤེས་ནས(1122); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,42
ཕྱི་རོལ་རྣམ་བརྟགས་པ། །བདག་མེད་རྣམ་པ་གཉིས་,ན,,ན,ནས,ན། །སྲིད་པའི་ས་བོན་འགག་པར་འགྱུར། །,K,g,,,,,,,,p=d n 1.04%,p ན(73509), ན།_།(11932), མཐོང་ན(1635), མཐོང་ན།_།(181); d ན(73509), ན།_།(11932), མཐོང་ན(1635), མཐོང་ན།_།(181); n ནས(35333), ནས།_།(9174), མཐོང་ནས(4492), མཐོང་ནས།_།(285); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,60
ཡི་སྤྱན་གྱིས་གཟིགས་གྱུར་ནས། །དེ་ཡི་སྐུ་,ལ་,,ལས་,ལ་,འོད་ཟེར་རྣམས། །འབད་པ་མེད་པར་འབྱུང་འགྱུར་,K,g,,,,,,,,p=n d 93.75%,p ལ(33965), ལ་འོད(374), སྐུ་ལ(837); d ལས(5885), ལས་འོད(312), སྐུ་ལས(157), སྐུ་ལས་འོད(50); n ལ(33965), ལ་འོད(374), སྐུ་ལ(837); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,88
ཇི་ལྟར་སྦུན་པས་གཡོགས་གྱུར་པས། །སོ་བ་,འབྲས་བུ་,,འབྲས་བུ ར་,འབྲས་བུ་,མི་འདོད་ལྟར། །དེ་བཞིན་ཉོན་མོངས་ཀྱིས་གཡོགས་,K,p,,,,,,,,p=n d 93.75%,p འབྲས་བུ(49), འབྲས་བུ་མི(122); d འབྲས་བུར(438); n འབྲས་བུ(49), འབྲས་བུ་མི(122); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,9
ན། །གཅིག་ཀྱང་ཡོད་པ་མ་ཡིན་ན། །,བྱིས་པ ས་,,བྱིས་པ་,བྱིས་པ ས་,ཇི་ལྟར་རྟོག་པར་བྱེད། །རི་བོང་བ་གླང་རྭ་,K,p,,,,,,,,p=n d 93.75%,p བྱིས་པས(96), །_།བྱིས་པས(47); d བྱིས་པ(2631), །_།བྱིས་པ(665); n བྱིས་པས(96), །_།བྱིས་པས(47); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,27
བརྟེན་ནས་སྣོམ། །དེ་ནི་གཟུགས་སུ་མེད་པའི་,དཔེ,,དཔེ ས,དཔེ,། །དེ་བཞིན་སྣ་ཡི་རྣམ་ཤེས་ཀྱིས། །ཆོས་,K,p,,,,,,,,p=n d 93.75%,p དཔེ(9); d དཔེས(3); n དཔེ(9); ,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,35
