Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དང་ཁམས་ཀྱང་མེད། །དེ་ལྟར་གཉིས་མེད་ལམ་,གྱིས་,,གྱི་,གྱིས་,ནི། །དེ་ཉིད་དུ་ནི་རབ་ཏུ་བཤད། །,K,p,,,,,,,,p=n d 87.50%,p གྱིས(7492), གྱིས་ནི(1185), ལམ་གྱིས(734); d གྱི(3024), གྱི་ནི(762), ལམ་གྱི(3513); n གྱིས(7492), གྱིས་ནི(1185), ལམ་གྱིས(734); ,1-103_སྲིད་པ་འཕོ་བ།,8
མིང་མེད་པ། །མིང་མེད་དུ་ནི་ཤིན་ཏུ་,བསལ །__། ད་ལྟ ར་,,གསལ །_། དེ་ལྟར་,བསལ །__། ད་ལྟ ར་,རྣམ་རྟོག་གང་བྱུང་བ། །དེ་ཡང་སྟོང་ཉིད་,K,,,nw✘,,,,,,p=n d 87.50%,p ; d ; n ; ,1-103_སྲིད་པ་འཕོ་བ།,12
,#ཀྲནྟི,,#ཀྲཱནྟི,#ཀྲནྟི, །བོད་སྐད་དུ། །སྲིད་པ་འཕོ་བ། ,K,,,,✓,,,,,p=n d 87.50%,p ཀྲནྟི(2); d ཀྲཱནྟི(5); n ཀྲནྟི(2); ,1-103_སྲིད་པ་འཕོ་བ།,1
རྟག་ཏུ་དངོས་པོ་ཡོད་བསམ་པ། །དེ་ལྟར་,བསམས་པ་,,བསམ་པ་,བསམས་པ་,འཁྲུལ་བ་ཡིན། །ནམ་མཁའི་མེ་ཏོག་དང་འདྲ་,K,,,,,⟶,,,,p=n d 87.50%,p བསམས་པ(1841); d བསམ་པ(44); n བསམས་པ(1841); ,1-103_སྲིད་པ་འཕོ་བ།,2
སྟེ་དང་པོའོ།། །།རྣམ་རྟོག་ལས་ནི་འཇིག་རྟེན་,འབྱུང,,འབྱུང,བྱུང, །།རྣམ་རྟོག་དེ་ལས་སེམས་ཀྱང་འབྱུང་། །སེམས་,K,,,,,⟶,,,,p=d n 6.25%,p འབྱུང(42); d འབྱུང(42); n བྱུང(27); ,1-103_སྲིད་པ་འཕོ་བ།,5
འདུ་བྱེད་དངོས་པོ་དེ་ཡང་མེད། །སེམས་ཀྱིས་,བརྟགས་པ་,,བརྟག་པ་,བརྟགས་པ་,གང་ཡང་མེད། །སེམས་ནི་རྟོག་མེད་ངོ་བོ་,K,,,,,⟶,,,,p=n d 87.50%,p བརྟགས་པ(157); d བརྟག་པ(859); n བརྟགས་པ(157); ,1-103_སྲིད་པ་འཕོ་བ།,6
སུ་རབ་ཏུ་གནས། །བཤད་བྱེད་དེ་ཡང་གུད་དུ་ཡང། །བཤད་,བྱེད་,,བྱ་,བྱེད་,དེ་ཡང་གང་ན་ཡོད། །གང་ལས་གང་བྱུང་,K,,,,,⟶,,,,p=n d 87.50%,p བྱེད(19318); d བྱ(28822), བཤད་བྱ(496); n བྱེད(19318); ,1-103_སྲིད་པ་འཕོ་བ།,11
མོ་གཤམ་བུ་ཡི་བུ་ལ་ཡང་། །དེ་ལ་,སུས་ སྐྱེ་,,སུ་ ནི་,སུས་ སྐྱེ་,སྐྱེ་བར་མཛོད། །འཇིག་རྟེན་པ་འདི་སྔར་མ་,K,,,,,,≡,,,p=n d 87.50%,p ; d སུ་ནི(1607); n ; ,1-103_སྲིད་པ་འཕོ་བ།,3
གྲོང་ཁྱེར་འཁྱམས་པ་བཞིན། །ཡོད་མེད་གང་ཡང་,མིན་ བསྟན་པ ས,,མིང་ བསྟན་པ,མིན་ བསྟན་པ ས, །།ཆོས་ཉིད་ཀྱི་ལེའུ་སྟེ་དང་པོའོ།། །།རྣམ་,K,,,,,,≡,,,p=n d 87.50%,p ; d ; n ; ,1-103_སྲིད་པ་འཕོ་བ།,4
མེད་པས་ན་ཆོས་ཀྱང་མེད། །དེ་ལྟར་ལུས་,ཀྱང་,,དང་,ཀྱང་,ཁམས་ཀྱང་མེད། །དེ་ལྟར་གཉིས་མེད་ལམ་གྱི་,K,,,,,,≡,,,p=n d 87.50%,p ཀྱང(95), ལུས་ཀྱང(483); d དང(18517), ལུས་དང(47), དང་ཁམས(478); n ཀྱང(95), ལུས་ཀྱང(483); ,1-103_སྲིད་པ་འཕོ་བ།,7
རྟག་ཏུ་དེ་བྱས་ལས་ཀྱིས་ནི། །མྱུར་བའི་,དུས་,,འདུས་,དུས་,སུ་བྱང་ཆུབ་ཐོབ། །ཐབས་བསྟན་པའི་ལེའུ་སྟེ་,K,,,,,,≡,,,p=n d 87.50%,p དུས(231), དུས་སུ(81); d འདུས(157); n དུས(231), དུས་སུ(81); ,1-103_སྲིད་པ་འཕོ་བ།,9
མིང་གི་ཁམས་སུ་རབ་ཏུ་གནས། །བཤད་བྱེད་,དེ་ མང་ གུད་ དུ་ ལ,,དེ་ཡང་ གུད་ དུ་ ཡང,དེ་ མང་ གུད་ དུ་ ལ,། །བཤད་བྱ་དེ་ཡང་གང་ན་ཡོད། །གང་,K,,,,,,≡,,,p=n d 87.50%,p ; d ; n ; ,1-103_སྲིད་པ་འཕོ་བ།,10
ནི། །དེ་ཉིད་མཁྱེན་པས་ཡོད་པར་བཤད། །,རྫུན་,,བརྫུན་,རྫུན་,གྱི་ང་རྒྱལ་འཇིག་རྟེན་པ། །ཀུན་རྫོབ་སེམས་པ་,K,,,,,,≡,,,p=n d 87.50%,p རྫུན(52); d བརྫུན(17), །_།བརྫུན(231), བརྫུན་གྱི(94); n རྫུན(52); ,1-103_སྲིད་པ་འཕོ་བ།,13
བརྫུན་གྱི་ང་རྒྱལ་འཇིག་རྟེན་པ། །ཀུན་རྫོབ་,སེམས་དཔའ་,,སེམས་པ་,སེམས་དཔའ་,བརྟེན་པ་ཡིན། །རྟེན་འབྲེལ་འཛོམ་པས་མཐོང་བ་,K,,,,,,≡,,,p=n d 87.50%,p སེམས་དཔའ(99553); d སེམས་པ(131); n སེམས་དཔའ(99553); ,1-103_སྲིད་པ་འཕོ་བ།,14
དེ་ཡང་ཡོད་མི་འགྱུར། །གང་སྣང་ཐམས་ཅད་,རྫུན་,,བརྫུན་,རྫུན་,དུ་བཤད། །འཇིག་རྟེན་པས་ནི་གང་སྤངས་པ,K,,,,,,≡,,,p=n d 87.50%,p རྫུན(52); d བརྫུན(17), བརྫུན་དུ(609); n རྫུན(52); ,1-103_སྲིད་པ་འཕོ་བ།,15
འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།,,,,,,K,,,,,,,[ ],,p=d=n 6.25%,p (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); d (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); n (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); ,1-103_སྲིད་པ་འཕོ་བ།,16
