Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མ་ཕྱེ་བར། །ཅང་མི་གསུང་པར་བཞུགས་གྱུར་,ནས,,ན,ནས,། །དེའི་དོན་ཇི་ལྟར་རྟོགས་པར་བྱ། །རྟེན་,K,g,,,,,,,,p=n d 84.93%,p ནས(35333), ནས།_།(9174), གྱུར་ནས(3334), གྱུར་ནས།_།(890), གྱུར་ནས།_།དེ(72); d ན(73509), ན།_།(11932), གྱུར་ན(3227), གྱུར་ན།_།(974), གྱུར་ན།_།དེ(150); n ནས(35333), ནས།_།(9174), གྱུར་ནས(3334), གྱུར་ནས།_།(890), གྱུར་ནས།_།དེ(72); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,8
། །དེ་དག་གོ་རིམས་བཞིན་དུ་བཤད། །རྒྱུ་,ལ་,,ལས་,ལ་,རྣམ་ཤེས་ས་བོན་ཏེ། །ལས་ནི་ཞིང་དུ་,K,g,,,,,,,,p=n d 84.93%,p ལ(33965), ལ་རྣམ(3902), རྒྱུ་ལ(339); d ལས(5885), ལས་རྣམ(1935), རྒྱུ་ལས(790); n ལ(33965), ལ་རྣམ(3902), རྒྱུ་ལ(339); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,39
དག་ཕན་ཚུན་རྟོག་མེད་ཅིང་། །བྱེད་པ་པོ་,དང་,,དག་,དང་,ལས་རྣམས་སྤངས། །དེ་བཞིན་སྐྱེ་བར་སྣང་བ་ནི,K,g,,,,,,,,p=n d 84.93%,p དང(18517), དང་ལས(570), བྱེད་པ་པོ་དང(153); d དག(5192), དག་ལས(2911); n དང(18517), དང་ལས(570), བྱེད་པ་པོ་དང(153); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,61
མེ་འབར་བཞིན། །རྒྱུ་རྐྱེན་མ་ཚང་མེད་པ་,ལ,,ལས,ལ,། །ཕུང་པོ་ཉིད་མཚམས་སྦྱོར་བ་ཡོད། །ཕྱི་,K,g,,,,,,,,p=n d 84.93%,p ལ(33965), ལ།_།(14361), མེད་པ་ལ(141), མེད་པ་ལ།_།(100); d ལས(5885), ལས།_།(3638), མེད་པ་ལས(45); n ལ(33965), ལ།_།(14361), མེད་པ་ལ(141), མེད་པ་ལ།_།(100); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,65
དུས་ཅན་སྣང་། །རྒྱུ་ལྔ་དག་གིས་ཕྱི་རོལ་,གྱིས,,གྱི,གྱིས,། །རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བར་བཞེད། །རྟག་པར་,K,p,,,,,,,,p=n d 84.93%,p གྱིས(7492), གྱིས།_།(3730), རོལ་གྱིས(62); d གྱི(3024), གྱི།_།(1099), རོལ་གྱི(2259); n གྱིས(7492), གྱིས།_།(3730), རོལ་གྱིས(62); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,17
དེ་དག་བདག་དང་བདག་གི་ཞེས། །རྣམ་རྟོག་,སྐྱེ་བ ར་,,སྐྱེ་བ་,སྐྱེ་བ ར་,མེད་པར་འདོད། །དེ་དག་ཡོད་ན་སྐྱེ་འགྱུར་,K,p,,,,,,,,p=n d 84.93%,p སྐྱེ་བར(6269); d སྐྱེ་བ(127), སྐྱེ་བ་མེད་པ(785); n སྐྱེ་བར(6269); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,20
ལས་བྱུང་བ། །རྣམ་པར་ཤེས་པ་ཚོགས་ལྔ་,ཡིས,,ཡི,ཡིས,། །སིམ་པ་མ་ཡིན་སྡུག་བསྔལ་བརྗོད། །ལུས་,K,p,,,,,,,,p=n d 84.93%,p ཡིས(7433), ལྔ་ཡིས(260), ཡིས།_།(7321); d ཡི(8322), ལྔ་ཡི(564), ཡི།_།(8252); n ཡིས(7433), ལྔ་ཡིས(260), ཡིས།_།(7321); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,32
མ་རིག་ས་བོན་རྣམ་པར་ཤེས། །བརླན་པས་,བསྟེན་པ ས་,,བསྟེན་པ་,བསྟེན་པ ས་,འདེབས་པར་བྱེད། །ལས་དང་སྲེད་པ་མ་རིག་,K,p,,,,,,,,p=n d 84.93%,p བསྟེན་པས(116); d བསྟེན་པ(449); n བསྟེན་པས(116); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,44
བྱེད་པ་པོ་དག་ལས་རྣམས་སྤངས། །དེ་བཞིན་,སྐྱེ་བ་,,སྐྱེ་བ ར་,སྐྱེ་བ་,སྣང་བ་ནི། །སྔོན་འཕེལ་བྱ་བའི་རིམ་ལས་,K,p,,,,,,,,p=n d 84.93%,p སྐྱེ་བ(127); d སྐྱེ་བར(6269); n སྐྱེ་བ(127); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,62
ཡིན་གཞན་ལས་མིན། །གཉིས་དང་བྱེད་པོ་དུས་,ཀྱི་,,ལས་,ཀྱིས་,མིན། །དེ་བཞིན་དབང་ཕྱུག་སོགས་བྱས་མིན། །,K,,≠,,,,,,,p d n 2.74%,p ཀྱི(5256), དུས་ཀྱི(2173); d ལས(5885), དུས་ལས(590); n ཀྱིས(6156), དུས་ཀྱིས(154); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,15
། །དུས་ལ་ཐུག་པ་གོ་རིམས་བཞིན། །རྟེན་དང་,བརླན་,,#རླན་,བརླན་,དང་སྨིན་པ་དང་། །འབྲུ་འཕེལ་དང་ནི་གོ་འབྱེད་,K,,,nw✓,,,,,,p=n d 84.93%,p བརླན(11); d རླན(16); n བརླན(11); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,13
མྱ་ངན་ལས་ནི་བརྗོད་པ་གང་། །དེ་ནི་,#སྨྲེ་ བསྔགས་,,སྨྲེ་སྔགས་,#སྨྲེ་ བསྔགས་,འདོན་ཞེས་བྱ། །སྨྲེ་སྔགས་འདོན་པ་ལས་བྱུང་བ,K,,,nw✓,,,,,,p=n d 84.93%,p ; d སྨྲེ་སྔགས(833), སྨྲེ་སྔགས་འདོན(683); n ; ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,30
པ་གང་། །དེ་ནི་སྨྲེ་སྔགས་འདོན་ཞེས་བྱ། །,#སྨྲེ་ བསྔགས་,,སྨྲེ་སྔགས་,#སྨྲེ་ བསྔགས་,འདོན་པ་ལས་བྱུང་བ། །རྣམ་པར་ཤེས་པ་,K,,,nw✓,,,,,,p=n d 84.93%,p ; d སྨྲེ་སྔགས(833), སྨྲེ་སྔགས་འདོན་པ(456); n ; ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,31
པས་རྣམ་ཤེས་ཞེས་བྱ་ཡི། །ས་བོན་དེ་མ་ཐག་,བརླན་,,#རླན་,བརླན་,བྱེད། །མ་རིག་ས་བོན་རྣམ་པར་ཤེས། །,K,,,nw✓,,,,,,p=n d 84.93%,p བརླན(11); d རླན(16); n བརླན(11); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,43
ཀཱ་རི་ཀཱ། བོད་སྐད་དུ། འཕགས་པ་,ས་,,#སཱ་,ས་,ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ། འཕགས་པ་,K,,,,✓,,,,,p=n d 84.93%,p ས(542); d སཱ(17), སཱ་ལུ(296); n ས(542); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,1
རྫོགས་པའི་སངས་རྒྱས་ཐུགས་རྗེའི་བདག །རབ་བཏུད་,ས་,,#སཱ་,ས་,ལུ་ལྗང་པ་ཡི། །ཚིག་ལེའུར་བྱས་པ་བཤད་པར་,K,,,,✓,,,,,p=n d 84.93%,p ས(542); d སཱ(17), སཱ་ལུ(296); n ས(542); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,2
སེམས། །ཚོགས་དང་ཡང་དག་ཐབས་ཅིག་བཞུགས། །,ས་,,#སཱ་,ས་,ལུ་ལྗང་པ་ལ་གཟིགས་ནས། །རྒྱུ་དང་རྐྱེན་,K,,,,✓,,,,,p=n d 84.93%,p ས(542), །_།ས(4025); d སཱ(17), སཱ་ལུ(296), །_།སཱ(110); n ས(542), །_།ས(4025); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,6
ཀྱིས། །ཤཱ་རིའི་བུ་ལ་སྨྲས་པ་དང་། །,ས་,,#སཱ་,ས་,ལུ་ལྗང་པ་དཔེར་མཛད་པ། །དེ་ནི་ཤཱ་,K,,,,✓,,,,,p=n d 84.93%,p ས(542), །_།ས(4025); d སཱ(17), སཱ་ལུ(296), །_།སཱ(110); n ས(542), །_།ས(4025); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,68
དགེ་སློང་རྣམས་ལ་བཤད་པ་ཡིན། །འཕགས་པ་,ས་,,#སཱ་,ས་,ལུ་ལྗང་པའི་མདོ་ཚིག་ལེའུར་བྱས་པ་འཕགས་པ་ཀླུ་,K,,,,✓,,,,,p=n d 84.93%,p ས(542); d སཱ(17), སཱ་ལུ(296); n ས(542); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,71
བུ་ཡིས་མ་ཕམ་སྨྲས། །བྱམས་པ་ཤིན་ཏུ་,བསྒོམས་པ འི་,,བསྒོམ་པ འི་,བསྒོམས་པ འི་,བདག །བྱམས་པས་གཏན་ལ་དབབ་པ་སྨྲས། །,K,,,,,⟶,,,,p=n d 84.93%,p བསྒོམས་པའི(287), ཤིན་ཏུ་བསྒོམས་པའི(55); d བསྒོམ་པའི(540); n བསྒོམས་པའི(287), ཤིན་ཏུ་བསྒོམས་པའི(55); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,10
། །འདུས་པ་ལས་ནི་རེག་པ་འབྱུང་། །རེག་,འབྱུང་,,བྱུང་,འབྱུང་,ཚོར་བར་ཤེས་བྱ་སྟེ། །དེ་བཞིན་ཚོར་བྱུང་སྲིད་པའོ,K,,,,,⟶,,,,p=n d 84.93%,p འབྱུང(42); d བྱུང(27); n འབྱུང(42); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,25
རབ་བཏུད་སཱ་ལུ་ལྗང་པ་ཡི། །ཚིག་ལེའུར་,བཅས་པ་,,བྱས་པ་,བཅས་པ་,བཤད་པར་བྱ། །ཐུབ་པ་རྒྱལ་པོའི་ཁབ་ཀྱི་,K,,,,,≠,,,,p=n d 84.93%,p བཅས་པ(1073); d བྱས་པ(1536); n བཅས་པ(1073); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,3
ལེན་པ་ལས་ནི་སྲིད་པ་འབྱུང་། །སྲིད་ལས་,ཕུང་,,ཕུང་,ཕུབ་,འབྱུང་སྐྱེ་བ་སྟེ། །དེ་བཞིན་སྐྱེ་ལས་རྒས་,K,,,,,≠,,,,p=d n 8.22%,p ཕུང(1); d ཕུང(1); n ཕུབ(3); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,27
དེ་ནི་འཆི་བ་ཞེས་བརྗོད་དོ། །རྨོངས་པ་,འཆི་,,འཆི་,མཆི་,ལས་མྱ་ངན་ཏེ། །སྲིད་དང་བཅས་པའི་གདུང་,K,,,,,≠,,,,p=d n 8.22%,p འཆི(145); d འཆི(145); n མཆི(365); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,28
མྱོང་སྐོམ་པའི་ཕྱིར། །སྲེད་ལས་ལེན་དང་སྲིད་,སྐྱེད་,,སྐྱེ་,སྐྱེད་,དང་། །སྨིན་དང་འཇིག་དང་མྱ་ངན་ཕྱིར། །,K,,,,,≠,,,,p=n d 84.93%,p སྐྱེད(412); d སྐྱེ(779), སྐྱེ་དང(241); n སྐྱེད(412); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,34
གསུམ་འཇུག་པ། །འདི་ནི་རྟག་ཆད་ཐོག་མེད་,སྐྱེ,,སྐྱེད,སྐྱེ,། །ཆུ་བོའི་རྒྱུན་བཞིན་འཇུག་པ་ཡིས། །ཐོག་,K,,,,,≠,,,,p=n d 84.93%,p སྐྱེ(779), སྐྱེ།_།(561), མེད་སྐྱེ(48); d སྐྱེད(412), སྐྱེད།_།(239); n སྐྱེ(779), སྐྱེ།_།(561), མེད་སྐྱེ(48); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,38
གནས་པ་ནི། །ས་བོན་རྣམ་པར་ཤེས་ཞེས་,རྗོད,,བརྗོད,རྗོད,། །མ་རིག་ལུད་ཀྱིས་བྲན་པ་དང་། །སྲེད་,K,,,,,≠,,,,p=n d 84.93%,p རྗོད(65), ཞེས་རྗོད(208); d བརྗོད(1943), བརྗོད།_།(1815), ཞེས་བརྗོད(172), ཞེས་བརྗོད།_།(166); n རྗོད(65), ཞེས་རྗོད(208); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,46
ལ་ཐུག་པ་གོ་རིམས་བཞིན། །རྟེན་དང་རླན་དང་,སྨན་པ་,,སྨིན་པ་,སྨན་པ་,དང་། །འབྲུ་འཕེལ་དང་ནི་གོ་འབྱེད་དང་། །,K,,,,,?,,,,p=n d 84.93%,p སྨན་པ(956), སྨན་པ་དང(212); d སྨིན་པ(62), སྨིན་པ་དང(157); n སྨན་པ(956), སྨན་པ་དང(212); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,14
བྱ་རྒོད་ཅེས་པའི་རི་བོ་ལ། །དགེ་སློང་,མང་,,མང་,མ་,དང་བྱང་ཆུབ་སེམས། །ཚོགས་དང་ཡང་དག་ཐབས་,K,,,,,,≡,,,p=d n 8.22%,p མང(8), མང་དང(73), དགེ་སློང་མང(179); d མང(8), མང་དང(73), དགེ་སློང་མང(179); n མ(4286), མ་དང(310), དགེ་སློང་མ(49), དགེ་སློང་མ་དང(433); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,4
དང་བྱང་ཆུབ་སེམས། །ཚོགས་དང་ཡང་དག་ཐབས་,གཅིག་,,ཅིག་,གཅིག་,བཞུགས། །སཱ་ལུ་ལྗང་པ་ལ་གཟིགས་ནས། །,K,,,,,,≡,,,p=n d 84.93%,p གཅིག(620), ཐབས་གཅིག(140); d ཅིག(11520), ཐབས་ཅིག(1134), ཅིག་བཞུགས(202); n གཅིག(620), ཐབས་གཅིག(140); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,5
སངས་རྒྱས་མཐོང་ངོ་ཞེས། །དགེ་སློང་རྣམས་ལ་,འདི་,,འདི་,འོད་,གསུངས་ནས། །འདྲེན་པ་ཅང་མི་གསུང་བར་བཞུགས,K,,,,,,≡,,,p=d n 8.22%,p འདི(1651), ལ་འདི(11585), འདི་གསུངས(1942); d འདི(1651), ལ་འདི(11585), འདི་གསུངས(1942); n འོད(510), ལ་འོད(374); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,7
སངས་རྒྱས་མཐོང་བ་ཡིན། །བདག་གི་ཐེ་ཚོམ་,འདི་ སྨྲོས་ ཤིག,,འདི ར་ སྨོས་ ཞེས,འདི་ སྨྲོས་ ཤིག,། །ཤཱ་རིའི་བུ་ཡིས་མ་ཕམ་སྨྲས། །བྱམས་,K,,,,,,≡,,,p=n d 84.93%,p ; d ; n ; ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,9
། །གང་ཞིག་སྲོག་ལ་སོགས་བྲལ་བ། །ཉེར་,ཞི་,,ཞི་,བཞི་,དུལ་ཐུག་བཅས་པར་ནི། །རྟེན་འབྲེལ་ཆོས་དང་,K,,,,,,≡,,,p=d n 8.22%,p ཞི(296), ཉེར་ཞི(56); d ཞི(296), ཉེར་ཞི(56); n བཞི(541); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,11
རྐྱེན་ནི་ས་ལ་སོགས་པ་སྟེ། །དུས་ལ་,ཐུགས་པ་,,ཐུག་པ་,ཐུགས་པ་,གོ་རིམས་བཞིན། །རྟེན་དང་རླན་དང་སྨིན་པ་དང་,K,,,,,,≡,,,p=n d 84.93%,p ; d ཐུག་པ(80), ལ་ཐུག་པ(139); n ; ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,12
རྒྱུ་མེད་མིན། །རྒྱུ་དང་རྐྱེན་ཀྱིས་འཇུག་པ་,དང,,ཡང,ཡང,། །ཐོག་མ་མེད་པའི་དུས་ཅན་སྣང་། །རྒྱུ་,K,,,,,,≡,,,p d=n 2.74%,p དང(18517), དང་།_།(32216), འཇུག་པ་དང(47), འཇུག་པ་དང་།_།(67); d ཡང(82), ཡང་།_།(4631), འཇུག་པ་ཡང(146); n ཡང(82), ཡང་།_།(4631), འཇུག་པ་ཡང(146); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,16
གྱི། །རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བར་བཞེད། །,བརྟག་པ ར་,,རྟག་པ ར་,བརྟག་པ ར་,མ་ཡིན་ཆད་པར་མིན། །འཕོ་བར་མ་ཡིན་,K,,,,,,≡,,,p=n d 84.93%,p བརྟག་པར(1458); d རྟག་པར(2614), །_།རྟག་པར(349); n བརྟག་པར(1458); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,18
ནི། །རྐྱེན་གྱིས་རྣམ་པ་གཉིས་སུ་བཞེད། །,འདི་,,འདི འི་,འདི་,རྒྱུ་དང་པོ་མ་རིག་པ། །ཐ་མ་འཆི་,K,,,,,,≡,,,p=n d 84.93%,p འདི(1651), །_།འདི(15056); d འདིའི(14), །_།འདིའི(325), འདིའི་རྒྱུ(44); n འདི(1651), །_།འདི(15056); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,19
ན་འབྱུང་བ་མེད། །དེ་རྣམས་བདག་སོགས་མི་,ལྡན་པ,,ལྡན་ ལ,ལྡན་པ,། །གཞན་ཡང་སུའི་ཡང་མ་ཡིན་ནོ། །གང་,K,,,,,,≡,,,p=n d 84.93%,p ལྡན་པ(4520), ལྡན་པ།_།(794), མི་ལྡན་པ(555); d ལྡན་ལ(188), ལྡན་ལ།_།(88); n ལྡན་པ(4520), ལྡན་པ།_།(794), མི་ལྡན་པ(555); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,21
། །དེ་རྣམས་བདག་སོགས་མི་ལྡན་ལ། །གཞན་ཡང་,སུ་,,སུ འི་,སུ་,ཡང་མ་ཡིན་ནོ། །གང་གཅིག་རིལ་སོགས་འདུ་,K,,,,,,≡,,,p=n d 84.93%,p སུ(4121), ཡང་སུ(53), སུ་ཡང(1997); d སུའི(66); n སུ(4121), ཡང་སུ(53), སུ་ཡང(1997); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,22
དེ་ལས་འདུ་བྱེད་དངོས་པོ་ནི། །རྣམ་པར་,རིག་པ ས་,,རིག་པ འི་,རིག་པ ས་,རྣམ་ཤེས་འབྱུང་། །རྣམ་ཤེས་ལྷན་ཅིག་འབྱུང་བ་,K,,,,,,≡,,,p=n d 84.93%,p རིག་པས(46); d རིག་པའི(2605), རྣམ་པར་རིག་པའི(92); n རིག་པས(46); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,23
ནི། །གཟུགས་ཅན་མ་ཡིན་ཕུང་པོ་བཞི། །,ཤེས་,,མིང་,ཤེས་,དང་གཟུགས་ལ་བརྟེན་ནས་ནི། །དབང་པོ་སྐྱེ་,K,,,,,,≡,,,p=n d 84.93%,p ཤེས(2585), ཤེས་དང(359), །_།ཤེས(5211), །_།ཤེས་དང(44); d མིང(4), །_།མིང(840), མིང་དང(1484), །_།མིང་དང(213), །_།མིང་དང་གཟུགས(125); n ཤེས(2585), ཤེས་དང(359), །_།ཤེས(5211), །_།ཤེས་དང(44); ,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,24
