Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཆོས་དང་ཆོས་ཅན་སྤྱི་ནི་ཕྱོགས་སོ། །འདི་,ནི་,ན་,ན་,ན་,ཆོས་ཡོད་པས་ཆོས་ཅན་ཏེ་གདུགས་ཅན་བཞིན་ནོ,K,g,,,,,,,,c=d=n p 6.94%,c ན(73509), འདི་ན(1776), ན་ཆོས(1542); p ནི(44237), འདི་ནི(23970), ནི་ཆོས(5415), འདི་ནི་ཆོས(783), །_།འདི་ནི་ཆོས(130); d ན(73509), འདི་ན(1776), ན་ཆོས(1542); n ན(73509), འདི་ན(1776), ན་ཆོས(1542); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,33
པའི་སྲོལ་བསྟན་པའི་དོན་དུ་བསྟན་བཅོས་རྩོམ་པ་,ལ་,ལས་,ལས་,ལ་,སྟོན་པ་ལ་མཆོད་པ་བྱེད་དོ། །འདི་ནི་,K,g,,,,,,,,c=d p=n 81.39%,c ལས(5885); p ལ(33965), ལ་སྟོན་པ(152), རྩོམ་པ་ལ(83); d ལས(5885); n ལ(33965), ལ་སྟོན་པ(152), རྩོམ་པ་ལ(83); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,39
ཕྱིར་སྨྲས་པ།བདུད་བཞིའོ། །ཉོན་མོངས་པ་,དང,དང,དང,དག,། ཕུང་པོ་དང་། ལྷའི་བུ་དང་།འཆི་,K,g,,,,,,,,c=p=d n 7.92%,c དང(18517), དང་།_(394717), ཉོན་མོངས་པ་དང(927), ཉོན་མོངས་པ་དང་།_(458); p དང(18517), དང་།_(394717), ཉོན་མོངས་པ་དང(927), ཉོན་མོངས་པ་དང་།_(458); d དང(18517), དང་།_(394717), ཉོན་མོངས་པ་དང(927), ཉོན་མོངས་པ་དང་།_(458); n དག(5192), ཉོན་མོངས་པ་དག(64); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,53
འདི་གསུངས་ནས་ཞེས་བྱ་བ་ནི་བཅོམ་ལྡན་འདས་,ལས་,ལ་,ལ་,ལས་,ཤཱ་རིའི་བུས་eམདོ་གང་ཐོས་པ་དགེ་སློང་རྣམས་,K,g,,,,,,,,c=d p=n 81.39%,c ལ(33965), བཅོམ་ལྡན་འདས་ལ(61); p ལས(5885), བཅོམ་ལྡན་འདས་ལས(347); d ལ(33965), བཅོམ་ལྡན་འདས་ལ(61); n ལས(5885), བཅོམ་ལྡན་འདས་ལས(347); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,100
ཤཱ་རིའི་བུས་eམདོ་གང་ཐོས་པ་དགེ་སློང་རྣམས་,ལས་,ལ་,ལ་,ལས་,གསུངས་ནས་ཏེ། བཀའ་སྩལ་ནས་སོ། །འདྲེན་,K,g,,,,,,,,c=d p=n 81.39%,c ལ(33965), རྣམས་ལ(895), ལ་གསུངས(158); p ལས(5885), རྣམས་ལས(2222), ལས་གསུངས(150); d ལ(33965), རྣམས་ལ(895), ལ་གསུངས(158); n ལས(5885), རྣམས་ལས(2222), ལས་གསུངས(150); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,101
མ་ཕྱེ་བར། །ཅང་མི་གསུང་བར་བཞུགས་གྱུར་,ན,ནས,ནས,ན,། །དེའི་དོན་ཇི་ལྟར་རྟོགས་པར་བྱ། །ཞེས་,K,g,,,,,,,,c=d p=n 81.39%,c ནས(35333), ནས།_།(9174), གྱུར་ནས(3334), གྱུར་ནས།_།(890), གྱུར་ནས།_།དེ(72); p ན(73509), ན།_།(11932), གྱུར་ན(3227), གྱུར་ན།_།(974), གྱུར་ན།_།དེ(150); d ནས(35333), ནས།_།(9174), གྱུར་ནས(3334), གྱུར་ནས།_།(890), གྱུར་ནས།_།དེ(72); n ན(73509), ན།_།(11932), གྱུར་ན(3227), གྱུར་ན།_།(974), གྱུར་ན།_།དེ(150); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,107
འོན་ཀྱང་ས་ལ་སོགས་པ་ཡོད་ན་ས་བོན་,ལས་,ལ་,ལ་,ལས་,མྱུ་གུ་ལ་སོགས་པ་འབྱུང་བར་འགྱུར་ལ། ,K,g,,,,,,,,c=d p=n 81.39%,c ལ(33965), ས་བོན་ལ(110); p ལས(5885), ས་བོན་ལས(132); d ལ(33965), ས་བོན་ལ(110); n ལས(5885), ས་བོན་ལས(132); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,133
བའི་ཕྱིར་དང་། ཉལ་བའི་ཕྱིར་དང་། བཅད་,ནས་,ན་,ན་,ནས་,སྐྱེ་བའི་ཕྱིར་རོ་ཞེས་ཐ་སྙད་འདོགས་པ་ལྟ་,K,g,,,,,,,,c=d p=n 81.39%,c ན(73509), བཅད་ན(121), ན་སྐྱེ་བ(120); p ནས(35333), བཅད་ནས(314), ནས་སྐྱེ་བ(101); d ན(73509), བཅད་ན(121), ན་སྐྱེ་བ(120); n ནས(35333), བཅད་ནས(314), ནས་སྐྱེ་བ(101); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,202
ཞེས་བྱ་བ་ནི་གང་དག་སྡིག་པའི་ཆོས་རྣམས་,ལས་,ལ་,ལ་,ལས་,ཕ་རོལ་དུ་རིང་བ་དེ་དག་ནི་འཕགས་པའོ། །,K,g,,,,,,,,c=d p=n 81.39%,c ལ(33965), རྣམས་ལ(895), ལ་ཕ་རོལ(146); p ལས(5885), རྣམས་ལས(2222); d ལ(33965), རྣམས་ལ(895), ལ་ཕ་རོལ(146); n ལས(5885), རྣམས་ལས(2222); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,213
ཅན་གྱི་མྱུ་གུ་ལ་སོགས་པ་དེ་སྐྱེས་པ་,ནས,ན,ན,ནས,། བདག་ལས་མ་ཡིན་གཞན་ལས་མིན། །གཉིས་,K,g,,,,,,,,c=d p=n 81.39%,c ན(73509), ན།_(60485), སྐྱེས་པ་ན(80); p ནས(35333), ནས།_(25825); d ན(73509), ན།_(60485), སྐྱེས་པ་ན(80); n ནས(35333), ནས།_(25825); ,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།,246
