Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །འདི་ནི་ཆེན་པོ་ཉིད་ཀྱི་ལམ། །རིགས་,འདི་,,ནི་,འདི་,སེམས་ཅན་ཆེན་པོས་བསྟེན། །སེམས་ཅན་ཀུན་ལ་,K,g,,,,,,,,p=n d 90.00%,p འདི(1651), རིགས་འདི(50), འདི་སེམས་ཅན(109); d ནི(44237), རིགས་ནི(1365), ནི་སེམས་ཅན(2403); n འདི(1651), རིགས་འདི(50), འདི་སེམས་ཅན(109); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,29
སྡུག་མཚུངས་པ་ཅན་ནི་གཉེན་ཡིན་ན། །བདག་,གི་,,གིས་,གི་,དེ་དག་རབ་ཏུ་སྤངས་ནས་ཀྱང་། །མྱ་ངན་,K,p,,,,,,,,p=n d 90.00%,p གི(1276), བདག་གི(11456); d གིས(2588), བདག་གིས(13868), གིས་དེ་དག(312), བདག་གིས་དེ་དག(58); n གི(1276), བདག་གི(11456); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,1
ཡིས། །རྒྱལ་སྲིད་རྒྱལ་སྲིད་ཆེ་དང་ཡང་དག་,གིས,,གི,གིས,།རྒྱལ་སྲིད་འཁོར་ལོས་སྒྱུར་བ་མཆོག་ཉིད་དང་,K,p,,,,,,,,p=n d 90.00%,p གིས(2588); d གི(1276); n གིས(2588); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,9
ཤེས། །བྱང་ཆུབ་ཕྱོགས་དང་མཐུན་པའི་ཆོས་རྣམས་,ཀྱིས,,ཀྱི,ཀྱིས,། །རྒྱུ་ནི་ཇི་ལྟར་སེམས་ཅན་རྣམས་ཡིན་ལ། །དེ་,K,p,,,,,,,,p=n d 90.00%,p ཀྱིས(6156), ཀྱིས།_།(3361), རྣམས་ཀྱིས(952), རྣམས་ཀྱིས།_།(763); d ཀྱི(5256), ཀྱི།_།(2371), རྣམས་ཀྱི(571), རྣམས་ཀྱི།_།(509); n ཀྱིས(6156), ཀྱིས།_།(3361), རྣམས་ཀྱིས(952), རྣམས་ཀྱིས།_།(763); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,13
ལྟ། །དེ་ལྟར་འབྱུང་པོ་རྣམས་ནི་བདེ་ཆེན་,གྱིས,,གྱི,གྱིས,། །སྒོ་རུ་སེམས་བཞིན་པར་ནི་བྱེད་པ་ལ,K,p,,,,,,,,p=n d 90.00%,p གྱིས(7492), གྱིས།_།(3730), ཆེན་གྱིས(134), ཆེན་གྱིས།_།(133); d གྱི(3024), གྱི།_།(1099), ཆེན་གྱི(88), ཆེན་གྱི།_།(88); n གྱིས(7492), གྱིས།_།(3730), ཆེན་གྱིས(134), ཆེན་གྱིས།_།(133); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,17
གནོད་པ་ཡི། །སེམས་ཅན་དེ་དག་བསམ་གཏན་,དབང་པོ་,,དབང་ གིས་,དབང་པོ་,ནི། །བླ་མ་དང་ནི་བླ་མར་རབ་ཏུ་,K,,≠,,,,,,,p=n d 90.00%,p དབང་པོ(95), དབང་པོ་ནི(171); d དབང་གིས(70); n དབང་པོ(95), དབང་པོ་ནི(171); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,21
དང་ནི་ལྷན་ཅིག་ཏུ། །ངན་སོང་དག་ཏུ་,སྡུག་བསྔལ་,,སྡུག་བསྔལ་,#བསྡུག་ བསྔལ་,དྲག་པོ་དང་། །བདེ་འགྲོ་དག་ཏུ་འང་བདེ་,K,,,nw✓,,,,,,p=d n 6.67%,p སྡུག་བསྔལ(44), ཏུ་སྡུག་བསྔལ(348); d སྡུག་བསྔལ(44), ཏུ་སྡུག་བསྔལ(348); n ; ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,3
འདི་ཉིད་ལ་ནི་གསོད་དང་འཆིང་བ་དང་། །,བརྡེག་,,རྡེག་,བརྡེག་,དང་སྡིག་སོགས་སྡུག་བསྔལ་མྱོང་བ་གང་། །དེ་,K,,,,,⟶,,,,p=n d 90.00%,p བརྡེག(29); d རྡེག(13); n བརྡེག(29); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,8
ལོས་སྒྱུར་བ་མཆོག་ཉིད་དང་། །དབང་པོའི་གནས་ནི་,ཐོབ་པ ར་,,འཐོབ་པ ར་,ཐོབ་པ ར་,འགྱུར་བ་ཡིན། །སྐྱེས་བུ་སེམས་ཅན་ཕན་པར་,K,,,,,⟶,,,,p=n d 90.00%,p ཐོབ་པར(9230), ནི་ཐོབ་པར(169), ཐོབ་པར་འགྱུར་བ(398); d འཐོབ་པར(2120), ནི་འཐོབ་པར(41), འཐོབ་པར་འགྱུར་བ(330); n ཐོབ་པར(9230), ནི་ཐོབ་པར(169), ཐོབ་པར་འགྱུར་བ(398); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,11
ཡིན། །གང་གི་ཆེད་དུ་དཔའ་བོ་བཟོད་པ་,བསྒོམ,,སྒོམ,བསྒོམ,། །གང་ཞིག་མངོན་པར་འདོད་པ་ཐོབ་བྱའི་ཕྱིར,K,,,,,⟶,,,,p=n d 90.00%,p བསྒོམ(1273), བསྒོམ།_།(1248), བཟོད་པ་བསྒོམ(90); d སྒོམ(123), སྒོམ།_།(80), བཟོད་པ་སྒོམ(194); n བསྒོམ(1273), བསྒོམ།_།(1248), བཟོད་པ་བསྒོམ(90); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,12
ཡིས། །སེམས་ཅན་རྣམས་ནི་བླ་མ་བཞིན་དུ་,བལྟ,,ལྟ,བལྟ,། །དེ་ལྟར་འབྱུང་པོ་རྣམས་ནི་བདེ་ཆེན་གྱི,K,,,,,⟶,,,,p=n d 90.00%,p བལྟ(300), བལྟ།_།(265), དུ་བལྟ(42), དུ་བལྟ།_།(40); d ལྟ(472), ལྟ།_།(254), དུ་ལྟ(49); n བལྟ(300), བལྟ།_།(265), དུ་བལྟ(42), དུ་བལྟ།_།(40); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,16
ཁས་བླང་གི །སེམས་ཅན་རྣམས་ལ་གནོད་མི་,བྱེད,,བྱ,བྱེད,། །ཉེས་པ་དྲག་པོ་བྱེད་པ་ཡི། །སེམས་,K,,,,,⟶,,,,p=n d 90.00%,p བྱེད(19318), བྱེད།_།(8016), མི་བྱེད(2318), མི་བྱེད།_།(575); d བྱ(28822), མི་བྱ(1831), བྱ།_།(22355), མི་བྱ།_།(891); n བྱེད(19318), བྱེད།_།(8016), མི་བྱེད(2318), མི་བྱེད།_།(575); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,18
གནས་པར་སྤྲོ། །བདག་གི་སྐྱེ་དང་འཇིག་དང་,རྟོག་པ་,,རྟོགས་པ་,རྟོག་པ་,ལ། །ཇི་ལྟ་བ་དང་ཇི་སྙེད་གནོད་པ་,K,,,,,⟶,,,,p=n d 90.00%,p རྟོག་པ(179), རྟོག་པ་ལ(195); d རྟོགས་པ(218), རྟོགས་པ་ལ(76), དང་རྟོགས་པ(54); n རྟོག་པ(179), རྟོག་པ་ལ(195); ,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,20
