Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དུ། །འཁོར་བ་ཆུ་ཤིང་སྙིང་པོ་མེད་པ་,ལ,ལས,ལས,ལ,། །མི་མཆོག་ཁྱོད་ཀྱི་ཐུགས་ནི་དབྱུང་བར་མཛོད,K,g,,,,,,,,c=d p=n 93.92%,c ལས(5885), ལས།_།(3638), མེད་པ་ལས(45); p ལ(33965), ལ།_།(14361), མེད་པ་ལ(141), མེད་པ་ལ།_།(100); d ལས(5885), ལས།_།(3638), མེད་པ་ལས(45); n ལ(33965), ལ།_།(14361), མེད་པ་ལ(141), མེད་པ་ལ།_།(100); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,67
སྐྱེས་བུ་དམ་པ་ལ་ནི་བརྟེན་པ་དང་། །,བདག་ གི་,བདག་ཉིད་,བདག་ཉིད་,བདག་ གི་,ལེགས་སྨོན་སྔོན་ཡང་བསོད་ནམས་བགྱིས། །འཁོར་ལོ་,K,g,,,,,,,,c=d p=n 93.92%,c བདག་ཉིད(208), །_།བདག་ཉིད(1447); p བདག་གི(11456), །_།བདག་གི(1489); d བདག་ཉིད(208), །_།བདག་ཉིད(1447); n བདག་གི(11456), །_།བདག་གི(1489); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,70
པ་ལྟ་བུ་ལགས། །ཁ་ཅིག་མཚན་ཞིང་ཁ་,ན་,ནས་,ནས་,ན་,འབར་བ་སྟེ། །ཟས་སུ་འབར་བའི་ཁར་བབས་,K,g,,,,,,,,c=d p=n 93.92%,c ནས(35333), ཁ་ནས(406), ནས་འབར་བ(68); p ན(73509), ཁ་ན(1535); d ནས(35333), ཁ་ནས(406), ནས་འབར་བ(68); n ན(73509), ཁ་ན(1535); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,113
རྙིང་དང་། །གོས་ལ་དྲི་མ་ཆགས་དང་ལུས་,ལ་,ལས་,ལས་,ལ་,ནི། །སྔོན་ཆད་མེད་པའི་རྔུལ་འབྱུང་ཞེས་བགྱི་བ། །,K,g,,,,,,,,c=d p=n 93.92%,c ལས(5885), ལས་ནི(2987), ལུས་ལས(614); p ལ(33965), ལ་ནི(13387), ལུས་ལ(49); d ལས(5885), ལས་ནི(2987), ལུས་ལས(614); n ལ(33965), ལ་ནི(13387), ལུས་ལ(49); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,116
ཡང་སྲིད་མེད་པར་བགྱི་སླད་འབད་འཚལ་ཏེ། །,འདི་བ ས་,དེ་བ ས་,དེ་བ ས་,འདི་བ ས་,ཆེས་མཆོག་དགོས་པ་གཞན་མ་མཆིས། །ཚུལ་ཁྲིམས་,K,g,,,,,,,,c=d p=n 93.92%,c དེ་བས(4541), །_།དེ་བས(1801), དེ་བས་ཆེས(223); p འདི་བས(83); d དེ་བས(4541), །_།དེ་བས(1801), དེ་བས་ཆེས(223); n འདི་བས(83); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,122
རྩོལ་བ་དང་། །དྲན་དང་ཏིང་འཛིན་དག་དང་ལས་,མཐའ་ དང ་།,མཐའ་དག །,མཐའ་དག །,མཐའ་ དང ་།,ཡང་དག་རྟོག་ཉིད་ལམ་གྱི་ཡན་ལག་བརྒྱད། །,K,g,,,,,,,,c=d p=n 93.92%,c ; p ; d ; n ; ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,131
སྡུག་བསྔལ་སྲེད་པ་ཞེས་བགྱི་བ། །དེ་ནི་,འདི་,དེ་,དེ་,འདི་,ཡི་ཀུན་འབྱུང་རྒྱ་ཆེན་ཏེ། །འདི་འགོག་པ་,K,g,,,,,,,,c=d p=n 93.92%,c དེ(1), དེ་ཡི(6810), ནི་དེ(8942), ནི་དེ་ཡི(128); p འདི(1651), འདི་ཡི(837), ནི་འདི(8407); d དེ(1), དེ་ཡི(6810), ནི་དེ(8942), ནི་དེ་ཡི(128); n འདི(1651), འདི་ཡི(837), ནི་འདི(8407); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,133
པར་དགེ་སློང་གིས་ཀྱང་བགྱི་བར་དཀའ། །འདི་,ལས་,ལ་,ལ་,ལས་,གང་ཞིག་སྤྱོད་པའི་ངོ་བོ་དེའི། །ཡོན་ཏན་,K,g,,,,,,,,c=d p=n 93.92%,c ལ(33965), འདི་ལ(173), ལ་གང་ཞིག(106); p ལས(5885), འདི་ལས(1642); d ལ(33965), འདི་ལ(173), ལ་གང་ཞིག(106); n ལས(5885), འདི་ལས(1642); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,139
པ་ཆེན་པོའི་བཀའ་ནི་སྨན་དགུ་ཞིག །ཁྱོད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ཐུགས་སུ་ལྟ་ཡང་ཆུད་མོད་ཀྱི། །རྡོ་ཐལ་,K,p,,,,,,,,c=d p=n 93.92%,c ཀྱི(5256), ཀྱི་ཐུགས(553), ཁྱོད་ཀྱི(3668), ཁྱོད་ཀྱི་ཐུགས(40); p ཀྱིས(6156), ཁྱོད་ཀྱིས(55), ཀྱིས་ཐུགས(176); d ཀྱི(5256), ཀྱི་ཐུགས(553), ཁྱོད་ཀྱི(3668), ཁྱོད་ཀྱི་ཐུགས(40); n ཀྱིས(6156), ཁྱོད་ཀྱིས(55), ཀྱིས་ཐུགས(176); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,5
ལས་གཞན་པའི་གཉེན་མཆོག་མ་མཆིས་སོ། །ཁྱོད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ཚུལ་ཁྲིམས་མ་ཉམས་མོད་མི་དམའ། །མ་འདྲེས་,K,p,,,,,,,,c=d p=n 93.92%,c ཀྱི(5256), ཁྱོད་ཀྱི(3668), ཀྱི་ཚུལ་ཁྲིམས(272); p ཀྱིས(6156), ཁྱོད་ཀྱིས(55), ཀྱིས་ཚུལ་ཁྲིམས(85); d ཀྱི(5256), ཁྱོད་ཀྱི(3668), ཀྱི་ཚུལ་ཁྲིམས(272); n ཀྱིས(6156), ཁྱོད་ཀྱིས(55), ཀྱིས་ཚུལ་ཁྲིམས(85); ,1-116 བཤེས་པའི་སྤྲིང་ཡིག,10
