Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཅི་ན་ཡང་རུང་སྟེ། དང་པོར་སྦྲང་རྩི་,ལས་,,ལ་,ལས་,སྦྱར་ཏེ་གཏང་། དེའི་འོག་ཏུ་ཞུན་མར་ལ་,K,g,,,,,,,,p=n d 70.59%,p ལས(5885); d ལ(33965), ལ་སྦྱར(47); n ལས(5885); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,4
ཚད་དུ་འགྱུར་རོ། །ཨ་བ་ཕྱེ་མ་མར་,ལྡན་པ,,ལྡན་པ ས,ལྡན་པ,། །རུས་པ་ཆག་ལ་ནུབ་གསུམ་དུ། །འཐུངས་ན་,K,p,,,,,,,,p=n d 70.59%,p ལྡན་པ(4520), ལྡན་པ།_།(794); d ལྡན་པས(685), ལྡན་པས།_།(396); n ལྡན་པ(4520), ལྡན་པ།_།(794); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,17
ཛ་དེ་བཞིན་ཏེ། །སྦྲང་རྩི་པི་པི་ལིང་,བཞིན,,བཞིན,བཞིན་ ཏེ,། །མར་དང་འོ་མར་ལྷན་ཅིག་བཏུང་། །ཞག་,K,,✘,,,,,,,p=d n 20.59%,p བཞིན(3439), དེ་བཞིན(629), བཞིན།_།(2984), དེ་བཞིན།_།(325); d བཞིན(3439), དེ་བཞིན(629), བཞིན།_།(2984), དེ་བཞིན།_།(325); n བཞིན་ཏེ(136), དེ་བཞིན་ཏེ(61), བཞིན་ཏེ།_།(951), དེ་བཞིན་ཏེ།_།(641); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,31
ནི། །རྡོ་རྗེ་ལྟ་བུར་སྲ་བར་འགྱུར། །,ཨ་བ་,,ཨ་བ་,ཨ་,གསུམ་དེ་བཞིན། །ཚ་ནག་ཉེའུ་ཤིང་རྩ་བ་,K,,པ་བ་,,,,s,,,p=d n 20.59%,p ཨ་བ(1053), །_།ཨ་བ(49); d ཨ་བ(1053), །_།ཨ་བ(49); n ཨ(188), །_།ཨ(1040); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,19
། མཁྲིས་པ་དང་། དྲེག་ནད་དང་། ད་,རྒན་,,#སྒལ་,རྒན་,དང་། རོ་སྨད་མན་ཆད་འཇས་པ་དང་། ,K,,,nw✓,,,,,,p=n d 70.59%,p རྒན(7); d སྒལ(71); n རྒན(7); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,1
། ལིང་ཏོག་དང་། སྤྲིས་གཡོགས་པ་དང་། ,ལྡོངས་པ་,,#མདོངས་པ་,ལྡོངས་པ་,དང་། མིག་གཡའ་བ་དང་། ན་བ་དང་,K,,,nw✓,,,,,,p=n d 70.59%,p ; d ; n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,8
སྨན་འདི་ཉིན་ཞག་ཉི་ཤུ་ཙམ་བཏང་ན། ,ལྡོངས་པ་,,#མདོངས་པ་,ལྡོངས་པ་,ཡང་མིག་གིས་མཐོང་བར་འགྱུར་རོ། །ཡང་སྦྱོར་,K,,,nw✓,,,,,,p=n d 70.59%,p ; d ; n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,14
བར་འགྱུར། །ཨ་བ་གསུམ་དེ་བཞིན། །ཚ་ནག་,ཉེ་,,#ཉེའུ་,ཉེ་,ཤིང་རྩ་བ་ཡིས། །དུག་སྐམ་རུས་པ་ན་,K,,,nw✓,,,,,,p=n d 70.59%,p ཉེ(33); d ཉེའུ(24); n ཉེ(33); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,20
བ་ཡི་ནད་ལ་ཕན། །ཨ་བ་དང་ནི་,ཉེ་,,#ཉེའུ་,ཉེ་,ཤིང་དང་། །སོ་མ་ར་ཛ་དེ་བཞིན་ཏེ,K,,,nw✓,,,,,,p=n d 70.59%,p ཉེ(33), ནི་ཉེ(492); d ཉེའུ(24); n ཉེ(33), ནི་ཉེ(492); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,30
བདུད་རྩི་དང་སྦྱོར་བའི་སྐར་མ་ལ་བཟང་སྟེ་སྨན་,བཏང་,,གཏང་,བཏང་,ངོ་། །སྨན་གཏང་བའི་ཐབས་ནི་ནད་ཅི་ན་,K,,,,,⟶,,,,p=n d 70.59%,p བཏང(4), བཏང་ངོ(695); d གཏང(4), གཏང་ངོ(74); n བཏང(4), བཏང་ངོ(695); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,3
བདུན་བར་དུ་སྦྱར་བར་བྱ། །འདོད་ཆགས་རྣམ་པར་,སྤངས་,,སྤང་,སྤངས་,བྱས་ཏེ། །ཞག་བདུན་བར་དུ་སྦྱར་བ་ཡིས,K,,,,,⟶,,,,p=n d 70.59%,p སྤངས(803), རྣམ་པར་སྤངས(329); d སྤང(5), རྣམ་པར་སྤང(131); n སྤངས(803), རྣམ་པར་སྤངས(329); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,33
ལ་བབ་པའི་ཆུ་ལྷ་སྟེ། བདུད་རྩི་དང་,འབྱོར་བ འི་,,སྦྱོར་བ འི་,འབྱོར་བ འི་,སྐར་མ་ལ་བཟང་སྟེ་སྨན་གཏང་ངོ་། །སྨན་,K,,,,,≠,,,,p=n d 70.59%,p ; d སྦྱོར་བའི(123); n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,2
ཀྱི་རུས་པ་ཆག་པ་དང་། རྐང་ལག་ཆག་,གྲུམས་,,གྲུགས་,གྲུམས་,བྱུང་ངོ་ཅོག་དང་། ལུས་ལ་རྨ་བྱུང་ངོ་,K,,,,,≠,,,,p=n d 70.59%,p ; d གྲུགས(2); n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,6
ལྕགས་དོག་གི་ནང་དུ་ཆབ་ཅན་རྩེ་གསུམ་ལས་,བསྒྲལ་,,བསྐོལ་,བསྒྲལ་,ཏེ། གང་ལུས་པ་དང་བཙགས་ལ་ཆུ་དྲོན་འཇམ་,K,,,,,≠,,,,p=n d 70.59%,p བསྒྲལ(117), ལས་བསྒྲལ(123); d བསྐོལ(10); n བསྒྲལ(117), ལས་བསྒྲལ(123); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,10
སོ་མ་ར་ཛ་དང་། །ར་ཡི་འོ་མར་,སྐོལ་,,བསྐོལ་,སྐོལ་,ཏེ་བཏུང་། །འཐུངས་ན་རླུང་ལྟར་མགྱོགས་པར་འགྱུར,K,,,,,≠,,,,p=n d 70.59%,p སྐོལ(68); d བསྐོལ(10); n སྐོལ(68); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,26
རེ་རེ་འདྲ་སྟེ། ཞག་བདུན་བདུན་སྦྱར་ཞིང་,འཕུལ་,,ཕུལ་,འཕུལ་,ཏེ་འཚལ་ལོ། །ཕན་པའི་སྣ་གྲངས་ནི། ,K,,,,,?,,,,p=n d 70.59%,p འཕུལ(11); d ཕུལ(201), ཕུལ་ཏེ(145); n འཕུལ(11); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,5
འགྱུར་ཏེ། །ཤ་ཆོད་རུས་པ་ཆག་པ་དང་། །,སྐེམ་,,སྐོམ་,སྐེམ་,དང་སྙིང་ནད་མགོ་འཁོར་དང་། །ཐམས་ཅད་ནད་,K,,,,,?,,,,p=n d 70.59%,p སྐེམ(6); d སྐོམ(52), །_།སྐོམ(80), སྐོམ་དང(158); n སྐེམ(6); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,28
རྩེ་གསུམ་ལས་བསྐོལ་ཏེ། གང་ལུས་པ་དང་,བཙགས་ ལ་,,བཙགས་ ལ་,བཙགས་པ་,ཆུ་དྲོན་འཇམ་ཙམ་གྱི་ནང་དུ་སྨན་ཨ་བ་,K,,,,,,≡,,,p=d n 20.59%,p ; d ; n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,11
ཞོ་གསུམ་བཏབ་སྟེ་འཇམ་ཙམ་ལ་ནུབ་མོ་ཉལ་,ག ར་,,ཀ ར་,ག ར་,འཚལ་ལོ། །དགོངས་མ་མི་འཚལ་ན། དྲོ་,K,,,,,,≡,,,p=n d 70.59%,p གར(56); d ཀར(14); n གར(56); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,12
ཙམ་ལ་ནུབ་མོ་ཉལ་ཀར་འཚལ་ལོ། །དགོངས་,,,མ་,,མི་འཚལ་ན། དྲོ་འཚལ་བའི་རྗེས་ལ་འཚལ་,K,,,,,,≡,,,p=n d 70.59%,p (1), མི(406), འཚལ(1146); d མ(4286), མ་མི(429), འཚལ་མ(87); n (1), མི(406), འཚལ(1146); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,13
ཀྱང་ཞོ་རེ་རེ། ལྕགས་ཕྱེ་ཞོ་གསུམ། ,བར་,,བ་,བུ་,མར་སྲང་གཉིས། ཆབ་ཅན་རྩེ་གསུམ་གྱི་ནང་,K,,,,,,≡,,,p d n 5.88%,p བར(1385), །_བར(949), བར་མ(2970), །_བར་མ(207); d བ(22879), བ་མ(10108), །_བ(2569); n བུ(3638), །_བུ(2912), བུ་མ(1330); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,15
དུ་ཨ་བ་བཏགས་པ་ཞོ་གསུམ་བཏབ་ལ་ཉལ་,ག ར་,,ཁ ར་,ག ར་,འཚལ་ལོ། །དགོངས་འཚལ་མི་འཚལ་བ་ལྟ་ཞིག་,K,,,,,,≡,,,p=n d 70.59%,p གར(56); d ཁར(23); n གར(56); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,16
། །ཨ་བ་ཕྱེ་མ་མར་ལྡན་པས། །རུས་པ་,ཆག་པ ས་,,ཆག་ ལ་,ཆགས་པ ས་,ནུབ་གསུམ་དུ། །འཐུངས་ན་དེ་ཡི་རུས་པ་,K,,,,,,≡,,,p d n 5.88%,p ; d ; n ཆགས་པས(48); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,18
བཞིན། །ཚ་ནག་ཉེའུ་ཤིང་རྩ་བ་ཡིས། །,དྲུག་,,དུག་,དྲུག་,སྐམ་རུས་པ་ན་བ་དང་། །ལུད་པ་དེ་,K,,,,,,≡,,,p=n d 70.59%,p དྲུག(327), །_།དྲུག(825); d དུག(45), །_།དུག(625); n དྲུག(327), །_།དྲུག(825); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,21
སུམ་ཆ་གཅིག་དང་ལྡན། །དེ་བཞིན་ཨ་བ་,བཞི་,,བཞི་,བཞིན་,ཆ་གཅིག །ཟན་ཟོས་འོག་ཏུ་ནུབ་གསུམ་དུ,K,,,,,,≡,,,p=d n 20.59%,p བཞི(541), བཞི་ཆ(57); d བཞི(541), བཞི་ཆ(57); n བཞིན(3439); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,22
ལྡན། །དེ་བཞིན་ཨ་བ་བཞི་ཆ་གཅིག །,ཟན་,,ཟན་,ཟས་,ཟོས་འོག་ཏུ་ནུབ་གསུམ་དུ། །འཐུངས་ནས་འུ་,K,,,,,,≡,,,p=d n 20.59%,p ཟན(2), ཟན་ཟོས(105); d ཟན(2), ཟན་ཟོས(105); n ཟས(86), ཟས་ཟོས(107); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,23
འོག་ཏུ་ནུབ་གསུམ་དུ། །འཐུངས་ནས་འུ་ཤ་,གསུམ་ དང་ བཟའ,,ཟས་ དང་ ཟན,གསུམ་ དང་ བཟའ,། །གྱེན་དུ་ཟ་བའི་ནད་ལས་རྒྱལ། །རབ་,K,,,,,,≡,,,p=n d 70.59%,p ; d ; n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,24
རྫི་བོར་མིག་སེར་དང་། །ཚད་རྙིང་གཡན་པ་,ཚོར་,,ཚོར་,མཚོ ར་,བཅས་དང་། །མིག་གི་ནད་ནི་ཐམས་ཅད་དང་,K,,,,,,≡,,,p=d n 20.59%,p ཚོར(35); d ཚོར(35); n མཚོར(6); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,25
འཐུངས་ན་དེ་དག་ཤིས་འགྱུར་ཏེ། །ཤ་ཆོད་,རུལ་པ་,,རུས་པ་,རུལ་པ་,ཆག་པ་དང་། །སྐོམ་དང་སྙིང་ནད་མགོ་འཁོར་,K,,,,,,≡,,,p=n d 70.59%,p རུལ་པ(80); d རུས་པ(949); n རུལ་པ(80); ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,27
གང་གི་ལུས་ནི་འཇིག་པ་དང་། །གལ་ཏེ་,རུས་པ་,,རུས་པ་,སུ་པ་,ནར་གྱུར་ཅིང་། །གསོ་དཀའ་བ་ཡི་ནད་ལ་,K,,,,,,≡,,,p=d n 20.59%,p རུས་པ(949); d རུས་པ(949); n ; ,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,29
