Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རང་གི་ཕྱོགས་པར་གནས་པ་ཕྱོགས་ཤིང་དགའ་བ་,#སྨྲང་,#སྨྲང་,#སྨྲང་,#སྨང་(སྨད་),མང་བ་ཤ་རྒྱས་པ་གཞོན་པ་སྐྲ་གནག་པ་,K,,,ངད,,,,,,c=p=d n 91.67%,c སྨྲང(23); p སྨྲང(23); d སྨྲང(23); n སྨང(14); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,2
ན་ཅུང་ཟད་རླག་གོ །རྣ་བ་དུ་བ་,བརྟག་པ་,བརྟག་པ་,བརྟག་པ་,བརྟག་ #གེ་པ་,རྫོགས་སོ།། །།མ་རིག་པའི་ཉི་མ་ལ་མགྲིན་,K,,,nw✓,,,,,,c=p=d n 91.67%,c བརྟག་པ(859); p བརྟག་པ(859); d བརྟག་པ(859); n ; ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,5
རྐུན་མ་འོང་ངོ་། །བྱ་རོག་སྐད་སྒྲོག་ན་,སྐྲག་པ ར་,སྐྲག་པ ར་,སྐྲག་པ ར་,#བསྐྲག་པ ར་,འགྱུར་རོ། །གོས་ཚིག་ན་འགའ་ཞིག་འཆི་བར་,K,,,nw✓,,,,,,c=p=d n 91.67%,c སྐྲག་པར(737), སྐྲག་པར་འགྱུར(98); p སྐྲག་པར(737), སྐྲག་པར་འགྱུར(98); d སྐྲག་པར(737), སྐྲག་པར་འགྱུར(98); n ; ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,9
འཆི་བར་འགྱུར་རོ། །གོས་ལ་སྣུམ་འབག་སྣུམ་,འབག་,འབག་,འབག་,འབགས་,ན་སྐྲག་གོ །ས་གཡོས་ན་རྒན་པ་རྣམས་,K,,,,,⟶,,,,c=p=d n 91.67%,c འབག(9); p འབག(9); d འབག(9); n འབགས(120); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,8
འགྲོ་ན་དོན་རབ་ཏུ་རྙེད་པ་དང་དེ་ལྟར་,འཇིགས་པ ར་,འཇིགས་པ ར་,འཇིགས་པ ར་,འཇིག་པ ར་,འགྱུར་རོ། །ལྷོ་ཕྱོགས་སུ་འགྲོ་ན་བཟང་བར་,K,,,,,?,,,,c=p=d n 91.67%,c འཇིགས་པར(1134), འཇིགས་པར་འགྱུར(42); p འཇིགས་པར(1134), འཇིགས་པར་འགྱུར(42); d འཇིགས་པར(1134), འཇིགས་པར་འགྱུར(42); n འཇིག་པར(1368), འཇིག་པར་འགྱུར(146); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,1
བརྩོད་པ་འབྱུང་ངོ་། །ལེན་པའི་ཉི་མ་ལ་,གོས་,གོས་,གོས་,བོས་,རྙེད་དོ། །སྲིད་པའི་ཉི་མ་ལ་བརྩོད་པ་,K,,,,,?,,,,c=p=d n 91.67%,c གོས(100), ལ་གོས(481), གོས་རྙེད(66); p གོས(100), ལ་གོས(481), གོས་རྙེད(66); d གོས(100), ལ་གོས(481), གོས་རྙེད(66); n བོས(42), ལ་བོས(128); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,3
ལྟོགས་ན་བཟང་ངོ་། །སྐྱེ་བའི་ཉི་མ་ལ་,ལྟོགས་,ལྟོགས་,ལྟོགས་,རྟོགས་,ན་འཇིགས་པ་ཆེན་པོ་འབྱུང་ངོ་། །རྒ་ཤིའི་,K,,,,,?,,,,c=p=d n 91.67%,c ལྟོགས(169); p ལྟོགས(169); d ལྟོགས(169); n རྟོགས(481), རྟོགས་ན(73), ལ་རྟོགས(121); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,6
། །རྣ་བ་གཡོན་པ་དུ་ན་བཟང་ངོ་། །,སྲིད་པ འི་,སྲིད་པ འི་,སྲིད་པ འི་,སྲེད་པ འི་,ཉི་མ་ལ་རྣ་བ་གཡས་པ་དུ་ན་འགའ་,K,,,,,,≡,,,c=p=d n 91.67%,c སྲིད་པའི(1636), །_།སྲིད་པའི(458); p སྲིད་པའི(1636), །_།སྲིད་པའི(458); d སྲིད་པའི(1636), །_།སྲིད་པའི(458); n སྲེད་པའི(639), །_།སྲེད་པའི(159); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,4
ན་རིང་པོ་ནས་འགའ་ཞིག་འོང་ངོ་། །གོས་,ཚིག་,ཚིག་,ཚིག་,ཚིགས་,ན་དོན་ཉམས་པར་འགྱུར་རོ། །བྱི་བས་གོས་,K,,,,,,≡,,,c=p=d n 91.67%,c ཚིག(295); p ཚིག(295); d ཚིག(295); n ཚིགས(10); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,7
འགྱུར་རོ། །བྱི་བས་གོས་ཟོས་ན་གོས་དེ་,གོས་,གོས་,གོས་,དེ་,ལ་གཙོ་བོ་བལྟ་བར་བྱས་ན་བཀའ་དྲིན་རྩོལ་,K,,,,,,≡,,,c=p=d n 91.67%,c གོས(100), གོས་ལ(266), དེ་གོས(71); p གོས(100), གོས་ལ(266), དེ་གོས(71); d གོས(100), གོས་ལ(266), དེ་གོས(71); n དེ(1), དེ་ལ(763), དེ་དེ(4720), དེ་དེ་ལ(263); ,1-121 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,10
