Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རབ་བརྒྱ་བསྐྱེད་པ། །དོན་གྱི་བསྟན་བཅོས་ལུགས་དག་,ནི །_,གི _།,གི _།,ནི །_,།འབྱུང་གནས་ཆེན་པོར་རབ་ཏུ་བཤད། །མཁས་,K,g,,,,,,,,c=d p=n 78.03%,c གི_།(411), དག་གི_།(74); p ནི།_(15867), དག་ནི།_(420); d གི_།(411), དག་གི_།(74); n ནི།_(15867), དག་ནི།_(420); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,3
། །མེ་ཡང་རླུང་ལ་ལྟོས་དགོས་སོ། །བདག་,དང་,དང་,དང་,ལ་,གཞན་ལ་མི་ཕན་པའི། །ཕྱུག་པོ་བཀྲེན་དང་ཅིས་མི་,K,g,,,,,,,,c=p=d n 6.94%,c དང(18517), དང་གཞན(1552), བདག་དང(2373), བདག་དང་གཞན(426), བདག་དང་གཞན་ལ(131), །_།བདག་དང་གཞན(108); p དང(18517), དང་གཞན(1552), བདག་དང(2373), བདག་དང་གཞན(426), བདག་དང་གཞན་ལ(131), །_།བདག་དང་གཞན(108); d དང(18517), དང་གཞན(1552), བདག་དང(2373), བདག་དང་གཞན(426), བདག་དང་གཞན་ལ(131), །_།བདག་དང་གཞན(108); n ལ(33965), ལ་གཞན(623), བདག་ལ(5201); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,145
བྱ། །ཤེས་རབ་ལྡན་པ་གཅིག་རྒྱ་ཡང་། །གཞན་,གྱི་,གྱིས་,གྱིས་,གྱི་,འདི་ལ་གནོད་མི་འགྱུར། །དོར་ཐབས་ལྡན་པའི་,K,p,,,,,,,,c=d p=n 78.03%,c གྱིས(7492), གྱིས་འདི(814), གཞན་གྱིས(1902); p གྱི(3024), གྱི་འདི(73), གཞན་གྱི(3364); d གྱིས(7492), གྱིས་འདི(814), གཞན་གྱིས(1902); n གྱི(3024), གྱི་འདི(73), གཞན་གྱི(3364); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,10
ཤེས་རབ་ཀྱིས་ནི་ལུས་བསྲུངས་ལདགྲ་ཡི་ཚོགས་,ཀྱིས་,ཀྱིས་,ཀྱིས་,ཀྱི་,ཅི་བྱར་ཡོད། །ལག་ན་གདུགས་དང་བཅས་པ་ལ,K,p,,,,,,,,c=p=d n 6.94%,c ཀྱིས(6156), ཀྱིས་ཅི(324), ཚོགས་ཀྱིས(179); p ཀྱིས(6156), ཀྱིས་ཅི(324), ཚོགས་ཀྱིས(179); d ཀྱིས(6156), ཀྱིས་ཅི(324), ཚོགས་ཀྱིས(179); n ཀྱི(5256), ཚོགས་ཀྱི(2855); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,14
ཁོ་ནར་ཟད། །གླང་ཆེན་རི་བརྩེགས་ལྟ་བུ་,ཡིས,ཡི,ཡི,ཡིས,། །ལུས་དང་ལྡན་པ་སྣང་བ་བཞིན། །ཤེས་,K,p,,,,,,,,c=d p=n 78.03%,c ཡི(8322), ཡི།_།(8252), ལྟ་བུ་ཡི(46), ལྟ་བུ་ཡི།_།(46); p ཡིས(7433), ཡིས།_།(7321); d ཡི(8322), ཡི།_།(8252), ལྟ་བུ་ཡི(46), ལྟ་བུ་ཡི།_།(46); n ཡིས(7433), ཡིས།_།(7321); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,17
ལ། །མ་རུངས་པ་དག་མི་སྣང་སྟེ། །,འཕྲོད་པ ར་,འཕྲོད་པ་,འཕྲོད་པ་,འཕྲོད་པ ར་,ཟ་བའི་ལུས་ལ་ནི། །ནད་ཀྱི་བར་ཆད་,K,p,,,,,,,,c=d p=n 78.03%,c ; p ; d ; n ; ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,20
བསྒྲུབ་པར་བྱ་བ་རྣམས། །བག་དང་བཅས་པའི་ལས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,བསྒྲུབ། །སྲིན་བུ་བད་པ་ཟོན་ཅན་ལུས། །ཁྲག་,K,p,,,,,,,,c=d p=n 78.03%,c ཀྱིས(6156), ལས་ཀྱིས(1492), ཀྱིས་བསྒྲུབ(89); p ཀྱི(5256), ལས་ཀྱི(7315); d ཀྱིས(6156), ལས་ཀྱིས(1492), ཀྱིས་བསྒྲུབ(89); n ཀྱི(5256), ལས་ཀྱི(7315); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,27
བྱས་པའི། །སྒྲུབ་པ་པོ་ཡིས་ཅི་མི་འགྲུབ། །གཞན་,གྱིས་,གྱི་,གྱི་,གྱི་,ཕྱོགས་གཞོམ་འདོད་པས་ཀྱང་། །བདག་ཉིད་ཡོན་ཏན་,K,p,,,,,,,,c=d=n p 4.62%,c གྱི(3024), གཞན་གྱི(3364), གྱི་ཕྱོགས(638); p གྱིས(7492), གཞན་གྱིས(1902), གྱིས་ཕྱོགས(78); d གྱི(3024), གཞན་གྱི(3364), གྱི་ཕྱོགས(638); n གྱི(3024), གཞན་གྱི(3364), གྱི་ཕྱོགས(638); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,32
ཡུལ་འདི་ན་གྲགས་པས་མཛེས། །གང་ཞིག་དབང་པོ་བྲན་,ལྟ་བུ,ལྟ་བུ ར,ལྟ་བུ ར,ལྟ་བུ,། །བཀའ་བཞིན་རྗེས་སུ་མཐུན་བྱེད་པ། །རྒྱ་,K,p,,,,,,,,c=d p=n 78.03%,c ལྟ་བུར(191), ལྟ་བུར།_།(167); p ལྟ་བུ(1179), ལྟ་བུ།_།(474); d ལྟ་བུར(191), ལྟ་བུར།_།(167); n ལྟ་བུ(1179), ལྟ་བུ།_།(474); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,47
པའི། །རི་དགས་གཞན་གྱིས་བརླག་པར་སྣང་། །,མཁས་པ ས་,མཁས་པ་,མཁས་པ་,མཁས་པ ས་,རྟག་ཏུ་དགྲ་ལ་ཡང་། །མཉེན་དེས་ཅན་དུ་,K,p,,,,,,,,c=d p=n 78.03%,c མཁས་པ(663), །_།མཁས་པ(910); p མཁས་པས(386), །_།མཁས་པས(740); d མཁས་པ(663), །_།མཁས་པ(910); n མཁས་པས(386), །_།མཁས་པས(740); ,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,50
