Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གའི་འདབ་མ་ལ་བྲིས་ཏེ་ལག་པ་ལ་བཏགས་,ནས་,,ན་,ནས་,རིམས་ཉིན་བཞི་པ་ཕྲལ་དུ་ཉམས་པར་བྱེད་དོ,K,g,,,,,,,,p=n d 36.30%,p ནས(35333), བཏགས་ནས(233); d ན(73509), བཏགས་ན(162); n ནས(35333), བཏགས་ནས(233); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,22
དུ་ཚོང་འབྱུང་བར་འགྱུར་རོ། །སྒོག་པ་ཟོས་,ནས་,,ན་,ནས་,ཨ་རུ་དང་། ཀུ་ཊ་བཏགས་ན་དྲི་མ་,K,g,,,,,,,,p=n d 36.30%,p ནས(35333), ནས་ཨ(89), ཟོས་ནས(303); d ན(73509), ན་ཨ(192), ཟོས་ན(286); n ནས(35333), ནས་ཨ(89), ཟོས་ནས(303); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,135
བྱས་ནས་བདག་ཉིད་རྒྱལ་པོའི་ཕོ་བྲང་དུ་སོང་,དུ་,,,,ན་མཆོད་པ་ཆེན་པོ་ཐོབ་ཅིང་བཙུན་མོ་རྣམས་,K,p,,,,,,,,p d=n 41.78%,p དུ(11516), དུ་ན(819), སོང་དུ(452); d (1), ན(73509), སོང(15), སོང་ན(303), དུ་སོང་ན(83); n (1), ན(73509), སོང(15), སོང་ན(303), དུ་སོང་ན(83); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,18
མཿསརྦ་སིདྷ་བྷྱཿསེདྷེརྦྷ་བ་ཏྲ་མེ་སྭཱ་ཧཱ། སྔགས་,འདི་,,འདི ས་,འདི་,མངོན་པར་བསྔགས་ཏེ། བ་བླ་དང་། ལྡོང་རོས་,K,p,,,,,,,,p=n d 36.30%,p འདི(1651), སྔགས་འདི(1527), འདི་མངོན་པར(72); d འདིས(285), སྔགས་འདིས(319); n འདི(1651), སྔགས་འདི(1527), འདི་མངོན་པར(72); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,35
དང་། ཞུ་མཁན་དང་། པུ་ཤེ་ཙི་དང་,མ ར་,,མ་,མ་,སར། སྤོས་དཀར། པ་མ། བཱི་ཏཱ,K,p,,,,,,,,p d=n 41.78%,p མར(66), དང་མར(499); d མ(4286), མ་ས(333), དང་མ(2887); n མ(4286), མ་ས(333), དང་མ(2887); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,64
། ཡུངས་ཀར་དཀར་པོ་དང་། མཎྜུ་ཀའི་རིལ་,མ ར་,,མ་,མ ར་,བྲེ་གང་གིས་སྨིན་པར་བྱས་ཏེ། འདིས་རྩ་,K,p,,,,,,,,p=n d 36.30%,p མར(66); d མ(4286); n མར(66); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,127
ཁར་བཅུག་ཅིང། ལུས་ལ་བྱུག་པ་་བྱས་ན་གཡུལ་,དུ་,,ལས་,དུ་,མཚོན་ཆ་བཟློག་པར་བྱེད་དོ། །སྐྱུ་རུ་རའི་,K,p,,,,,,,,p=n d 36.30%,p དུ(11516), དུ་མཚོན(40), གཡུལ་དུ(170); d ལས(5885), གཡུལ་ལས(148); n དུ(11516), དུ་མཚོན(40), གཡུལ་དུ(170); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,139
དང་། མེ་ཏོག་ཕྱུང་ནས་ཁར་བཅུག་ན་གཡུལ་,དུ་,,ལས་,,མཚོན་ཆ་རེངས་པར་བྱེད་དོ། །ཨུ་དྷ་དྷ་,K,p,,,,,,,,p d n 11.64%,p དུ(11516), དུ་མཚོན(40), གཡུལ་དུ(170); d ལས(5885), གཡུལ་ལས(148); n (1), མཚོན(74), གཡུལ(1356); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,140
ན་ཁུ་བ་རེངས་པར་བྱེད་པའི་མཆོག་ཏུ་བསྟན་,ཏོ,,ནོ,ནོ,། །བ་རཱ་ཧ་ཀཱནྟའི་རྩ་བ་ཆུ་དང་བཏགས་,K,,✘,,,,,,,p d=n 41.78%,p ཏོ(2171), ཏོ།_།(34598), བསྟན་ཏོ(211), བསྟན་ཏོ།_།(1821), ཏུ་བསྟན་ཏོ།_།(129); d ནོ(4158), ནོ།_།(37154), བསྟན་ནོ(79), བསྟན་ནོ།_།(78); n ནོ(4158), ནོ།_།(37154), བསྟན་ནོ(79), བསྟན་ནོ།_།(78); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,33
ཏེ་བུད་མེད་ཀྱི་མདུན་དུ་གཏོར་ན་བུད་མེད་,དེ་,,,,དེའི་མོད་ཁོ་ན་ལ་དབང་དུ་འགྱུར་རོ། །,K,,✘,,,,,,,p d=n 41.78%,p དེ(1), དེ་དེ(4720), མེད་དེ(3001), མེད་དེ་དེ(67); d (1), དེ(1), མེད(12565), མེད་དེ(3001), མེད་དེའི(69), བུད་མེད་དེ(300); n (1), དེ(1), མེད(12565), མེད་དེ(3001), མེད་དེའི(69), བུད་མེད་དེ(300); ,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,39
