Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དོན་མི་འགྲུབ་པས་སྙིང་རྗེ་ཆེན་པོའི་རང་བཞིན་,གྱིས་,,གྱི་,གྱིས་,པཾ་ལས་པདྨ་འདབ་མ་སྟོང་དང་ལྡན་པ་ཡངས་,K,p,,,,,,,,p=n d 81.58%,p གྱིས(7492), རང་བཞིན་གྱིས(157); d གྱི(3024), རང་བཞིན་གྱི(818); n གྱིས(7492), རང་བཞིན་གྱིས(157); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,21
ཧཱུཾ་ཞེས་བརྗོད་པས་དྲི་མཆོག་ཐོགས་པའི་ལྷ་མོ་,སེར་པོ་,,སེར་ མོ་,སེར་པོ་,དཔག་ཏུ་མེད་པ་དང་། ཨོཾ་བཛྲ་ན་བི་,K,,≠,,,,,,,p=n d 81.58%,p སེར་པོ(73); d སེར་མོ(89); n སེར་པོ(73); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,9
གྱུར་པ་སྐུ་མདོག་གསེར་བཙོ་མའི་ཁ་དོག་ལྟ་བུ་,ཨུཏྤལ,,ཨུཏྤལ་ བསྣམས་པ འོ,ཨུཏྤལ,གཡོན་དུ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་སྐུ་མདོག་དཀར་,K,,,nw✘,,,,,,p=n d 81.58%,p ཨུཏྤལ(6); d ; n ཨུཏྤལ(6); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,28
པཾ་ཀཱ་ར་ཤྲཱི་ཛྙཱ་ན་དང་། བོད་ཀྱི་,ལོཙྪ་བ་,,ལོ་ཙཱ་བ་,ལོཙྪ་བ་,དགེ་སློང་རིན་ཆེན་བཟང་པོས་བསྒྱུར་ཅིང་ཞུས་ཏེ་,K,,,nw✘,,,,,,p=n d 81.58%,p ལོཙྪ་བ(236), ལོཙྪ་བ་དགེ་སློང(44); d ལོ་ཙཱ་བ(58); n ལོཙྪ་བ(236), ལོཙྪ་བ་དགེ་སློང(44); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,36
དཔག་ཏུ་མེད་པས་མཆོད་ལ། ཨོཾ་སརྦ་བི་,#ཤྭ་,,ཤོ་,#ཤྭ་,དྷ་པཱུ་ཛ་གྷ་སྥ་ར་ཎ་ས་མུ་དྲེ་,K,,,nw✓,,,,,,p=n d 81.58%,p ཤྭ(24), བི་ཤྭ(152); d ཤོ(7), ཤོ་དྷ(51), བི་ཤོ(258); n ཤྭ(24), བི་ཤྭ(152); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,11
བྱམས་པ་སྐུ་མདོག་དམར་པོ་ཀླུ་ཤིང་གི་གོ་,#ལྕོགས་,,#ལྕོག་,#ལྕོགས་,མེ་ཏོག་དང་བཅས་པ་དང་རིལ་བ་སྤྱི་བླུགས་,K,,,nw✓,,,,,,p=n d 81.58%,p ལྕོགས(52); d ལྕོག(6); n ལྕོགས(52); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,26
གཉིས་པོ་བཞག་ལ་བ་དམར་མོ་གཉིས་ཀྱི་འོ་,མ་ #མགོད་པ་,,མ ས་ དགང་བ་,མ་ #མགོད་པ་,དང་། གདུགས་བརྒྱ་རྩ་བརྒྱད་དང་། ཚོན་སྣ་,K,,,nw✓,,,,,,p=n d 81.58%,p ; d ; n ; ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,32
,ན་,,#ནཱ་,ན་,གེ་ཤྭ་རཱ་རཱ་ཛ་སཱ་དྷ་ནཾ། བོད་,K,,,,✓,,,,,p=n d 81.58%,p ན(73509), །_ན(3762); d ནཱ(62), །_ནཱ(431); n ན(73509), །_ན(3762); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,1
,ར་,,#རཱ་,ར་,རཱ་ཛ་སཱ་དྷ་ནཾ། བོད་སྐད་དུ། ,K,,,,✓,,,,,p=n d 81.58%,p ར(2609), ཤྭ་ར(120); d རཱ(178), ཤྭ་རཱ(695); n ར(2609), ཤྭ་ར(120); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,2
ཨ་ཀཱ་རོ་མུ་ཁཾ་སརྦ་དྷརྨ་ཎཱཾ་ཨཱདྱ་ནུཏྤནྣ་,#ཏྭད་,,#ཏྭཱཏ་,#ཏྭད་,ཨོཾ་ཨཱཿཧཱུཾ་ཕཊ་སྭཱ་ཧཱ། ཞེས་བརྗོད་ལ་ཨཱཿབིགྷྣཱནྟ་ཀྲིཏ་,K,,,,✓,,,,,p=n d 81.58%,p ཏྭད(3); d ཏྭཱཏ(1); n ཏྭད(3); ,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,3
