Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མེད་པ་ཞེས་བྱ་བ་དེ་མཐོང་སྟེ། འདི་,ནི་,ན་,ན་,ནི་,འབྲས་སཱ་ལུའི་མྱུ་གུ་གཤེད་ནས་འོངས་ན། ,K,g,,,,,,,,c=d p=n 88.27%,c ན(73509), འདི་ན(1776), ན་འབྲས(198); p ནི(44237), འདི་ནི(23970), ནི་འབྲས(467); d ན(73509), འདི་ན(1776), ན་འབྲས(198); n ནི(44237), འདི་ནི(23970), ནི་འབྲས(467); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,53
འདི་ན་འབྲས་སཱ་ལུའི་མྱུ་གུ་གཤེད་ནས་འོངས་,ནས,ན,ན,ནས,། འབྲས་སཱ་ལུའི་ས་བོན་ལ་ངེས་པར་གནས་,K,g,,,,,,,,c=d p=n 88.27%,c ན(73509), ན།_(60485), འོངས་ན(242), འོངས་ན།_(46); p ནས(35333), ནས།_(25825), འོངས་ནས(928), འོངས་ནས།_(176); d ན(73509), ན།_(60485), འོངས་ན(242), འོངས་ན།_(46); n ནས(35333), ནས།_(25825), འོངས་ནས(928), འོངས་ནས།_(176); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,54
། འདི་ན་འབྲས་སཱ་ལུའི་མྱུ་གུ་ས་བོན་,ལས་,ལ་,ལ་,ལས་,འགྲོ་བ་མེད་པར་མཐོང་ངོ་། །གལ་ཏེ་འགྲོ་,K,g,,,,,,,,c=d p=n 88.27%,c ལ(33965), ས་བོན་ལ(110), ལ་འགྲོ་བ(284); p ལས(5885), ས་བོན་ལས(132); d ལ(33965), ས་བོན་ལ(110), ལ་འགྲོ་བ(284); n ལས(5885), ས་བོན་ལས(132); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,57
མ་ཡིན། །བདག་ལས་མ་ཡིན་ཞེས་བྱ་བ་,ནི་,འདི་,འདི་,ནི་,བདག་ཉིད་ལས་མ་ཡིན་པའོ། །གཞན་ལས་མིན་,K,g,,,,,,,,c=d p=n 88.27%,c འདི(1651), ཞེས་བྱ་བ་འདི(771); p ནི(44237), ནི་བདག་ཉིད(338), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་བདག་ཉིད(67); d འདི(1651), ཞེས་བྱ་བ་འདི(771); n ནི(44237), ནི་བདག་ཉིད(338), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་བདག་ཉིད(67); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,61
མ་ཡིན་པའོ། །གཞན་ལས་མིན་ཞེས་བྱ་བ་,ནི་,འདི་,འདི་,ནི་,གཞན་གྱི་བདག་ཉིད་ལས་མ་ཡིན་པ་ཁོ་ནའོ,K,g,,,,,,,,c=d p=n 88.27%,c འདི(1651), འདི་གཞན(80), ཞེས་བྱ་བ་འདི(771); p ནི(44237), ནི་གཞན(816), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་གཞན(56); d འདི(1651), འདི་གཞན(80), ཞེས་བྱ་བ་འདི(771); n ནི(44237), ནི་གཞན(816), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་གཞན(56); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,62
པོ་ཡོད་པ་མ་ཡིན་པས་དངོས་པོ་རྣམས་གཉིས་,ལ་,ལས་,ལས་,ལ་,སྐྱེ་བར་མི་འཐད་དོ། །རྒྱུ་མེད་པ་ནི་,K,g,,,,,,,,c=d p=n 88.27%,c ལས(5885), གཉིས་ལས(451), ལས་སྐྱེ་བ(150); p ལ(33965), གཉིས་ལ(66), ལ་སྐྱེ་བ(845); d ལས(5885), གཉིས་ལས(451), ལས་སྐྱེ་བ(150); n ལ(33965), གཉིས་ལ(66), ལ་སྐྱེ་བ(845); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,75
སོར་བཀག་པས། རྐྱེན་རྣམས་སོ་སོ་འདུས་པ་,ལ,ལས,ལས,ལ,། །འབྲས་བུ་དེ་ནི་མེད་པ་ཉིད། །རྐྱེན་,K,g,,,,,,,,c=d p=n 88.27%,c ལས(5885), ལས།_།(3638), འདུས་པ་ལས(262); p ལ(33965), ལ།_།(14361), འདུས་པ་ལ(106); d ལས(5885), ལས།_།(3638), འདུས་པ་ལས(262); n ལ(33965), ལ།_།(14361), འདུས་པ་ལ(106); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,97
འགྱུར་ཏེ། །འགྲོ་པོ་འགྲོ་བར་འདོད་ཕྱིར་རོ། །,འདི་,དེ་,དེ་,འདི་,ལ་གང་གི་ཕྱོགས་ལ་འགྲོ་བ་པོ་འགྲོ་བར་,K,g,,,,,,,,c=d p=n 88.27%,c དེ(1), དེ་ལ(763), །_།དེ(137195), །_།དེ་ལ(10928), རོ།_།དེ་ལ(681), །_།དེ་ལ་གང(230); p འདི(1651), འདི་ལ(173), །_།འདི(15056), །_།འདི་ལ(808); d དེ(1), དེ་ལ(763), །_།དེ(137195), །_།དེ་ལ(10928), རོ།_།དེ་ལ(681), །_།དེ་ལ་གང(230); n འདི(1651), འདི་ལ(173), །_།འདི(15056), །_།འདི་ལ(808); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,118
པའི་ཕྱོགས་ནི་སྡོད་པ་ཡིན་པའི་ཕྱིར་རོ། །,དེ་,འདི་,འདི་,དེ་,གཉིས་ལས་གཞན་པ་གསུམ་པ་ཡང་མི་སྡོད་དེ,K,g,,,,,,,,c=d p=n 88.27%,c འདི(1651), །_།འདི(15056), འདི་གཉིས(698); p དེ(1), །_།དེ(137195), དེ་གཉིས(9205), །_།དེ་གཉིས(489); d འདི(1651), །_།འདི(15056), འདི་གཉིས(698); n དེ(1), །_།དེ(137195), དེ་གཉིས(9205), །_།དེ་གཉིས(489); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,125
དེ་རིགས་པ་མ་ཡིན་ཏེ། བྱེ་མ་དག་,ལས་,ལ་,ལ་,ལས་,འབྲུ་མར་བཞིན་ནོ། །ཡང་གཞན་ཡང་། རེ་,K,g,,,,,,,,c=d p=n 88.27%,c ལ(33965), དག་ལ(672); p ལས(5885), དག་ལས(2911); d ལ(33965), དག་ལ(672); n ལས(5885), དག་ལས(2911); ,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།,126
