Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྲོང་སྙན་པ་ཆེན་པོས་བསྟན་པ། གྲོགས་པོ་,གང་,དག་,དག་,གང་,དེ་བཞིན་གཤེགས་པ་གར་བྱེད་པ་དང་ལྡན་པའི་,K,g,,,,?,,,,c=d p=n 87.46%,c དག(5192), དག་དེ(3571), གྲོགས་པོ་དག(706), གྲོགས་པོ་དག་དེ(115); p གང(44), གང་དེ(2044); d དག(5192), དག་དེ(3571), གྲོགས་པོ་དག(706), གྲོགས་པོ་དག་དེ(115); n གང(44), གང་དེ(2044); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,21
འདི་དག་ནི། གང་ཟག་ཚངས་པར་སྤྱོད་པ་,ལས་,ལ་,ལ་,ལས་,གནས་པའི་དུས་མ་ཡིན་ཏེ། ། བརྒྱད་གང་ཞེ་,K,g,,,,,,,,c=d p=n 87.46%,c ལ(33965), ལ་གནས་པ(695), སྤྱོད་པ་ལ(1267), སྤྱོད་པ་ལ་གནས་པ(92); p ལས(5885), སྤྱོད་པ་ལས(43); d ལ(33965), ལ་གནས་པ(695), སྤྱོད་པ་ལ(1267), སྤྱོད་པ་ལ་གནས་པ(92); n ལས(5885), སྤྱོད་པ་ལས(43); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,37
རྒྱས་ནས་བསྟན་པར་མོས་པའོ་ཞེས་གསུངས་སོ། །,འདི་དག་པ ས་,དེ་དག་པ ས་,དེ་དག་པ ས་,འདི་དག་པ ས་,ཀྱང་གང་དག་བྱང་ཆུབ་སེམས་བསྐྱེད་པའི་སེམས་ཅན་,K,g,,,,,,,,c=d p=n 87.46%,c དེ་དག་པས(40); p ; d དེ་དག་པས(40); n ; ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,85
བརྗོད་དུ་མེད་པ་བརྒྱ་སྟོང་དུ་བསགས་པའི་ལས་,ལ་,དང་,དང་,ལ་,ཉོན་མོངས་པ་ཀུན་གྱི་འོ་མའི་རྒྱ་མཚོར་ཡང་,K,g,,,,,,,,c=d p=n 87.46%,c དང(18517), ལས་དང(2283), དང་ཉོན་མོངས་པ(146), ལས་དང་ཉོན་མོངས་པ(75); p ལ(33965), ལས་ལ(1047), ལ་ཉོན་མོངས་པ(99); d དང(18517), ལས་དང(2283), དང་ཉོན་མོངས་པ(146), ལས་དང་ཉོན་མོངས་པ(75); n ལ(33965), ལས་ལ(1047), ལ་ཉོན་མོངས་པ(99); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,100
དབུལ་བ་ཐམས་ཅད་ཀྱང་རྣམ་པར་ཟློག་གོ་ཞེས་,དེ་ སྐད་,ཇི་སྐད་,ཇི་སྐད་,དེ་ སྐད་,གསུངས་པ་ལྟ་བུའོ། །གསལ་རྒྱལ་གྱིས་ཞུས་པ་,K,g,,,,,,,,c=d p=n 87.46%,c ཇི་སྐད(1863), ཇི་སྐད་གསུངས་པ(70); p དེ་སྐད(6506), ཞེས་དེ་སྐད(383); d ཇི་སྐད(1863), ཇི་སྐད་གསུངས་པ(70); n དེ་སྐད(6506), ཞེས་དེ་སྐད(383); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,104
དེ་བཞིན་གཤེགས་པ་སྒྲ་འབྱིན་ཞེས་བྱ་བ་དེ་,ལས་,ལ་,ལ་,ལ་,སོ་རྩིའི་འདབ་མ་ཕུལ་ཏེ། དང་པོ་བྱང་,K,g,,,,,,,,c=d=n p 3.62%,c ལ(33965), ལ་སོ(841), དེ་ལ(763), དེ་ལ་སོ(88); p ལས(5885), ལས་སོ(102), དེ་ལས(5447); d ལ(33965), ལ་སོ(841), དེ་ལ(763), དེ་ལ་སོ(88); n ལ(33965), ལ་སོ(841), དེ་ལ(763), དེ་ལ་སོ(88); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,126
པོར་སྐྱེ་སྟེ། ལུས་དཔག་ཚད་ལྔ་བརྒྱ་པ་,ལ་,ལས་,ལས་,ལ་,མགོ་བོ་ལྔ་བརྒྱ་ཡོད་དེ། མགོ་བོ་རེ་རེ་,K,g,,,,,,,,c=d p=n 87.46%,c ལས(5885), བརྒྱ་པ་ལས(88); p ལ(33965); d ལས(5885), བརྒྱ་པ་ལས(88); n ལ(33965); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,170
སྐུ་གཟུགས་རི་མོར་བྲིས་པ་དང་། འཇིམ་པ་,ལ་,ལས་,ལས་,ལ་,བྱས་པ་མཐོང་བ་འདི་ཡང་དེ་བས་བསོད་ནམས་,K,g,,,,,,,,c=d p=n 87.46%,c ལས(5885), ལས་བྱས་པ(137); p ལ(33965), ལ་བྱས་པ(149); d ལས(5885), ལས་བྱས་པ(137); n ལ(33965), ལ་བྱས་པ(149); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,207
མཚམས་མེད་པ་ལྔ་དང་འདྲ་ཞེས་མི་བྱའོ་ཞེས་,དེ་ སྐད་,ཇི་སྐད་,ཇི་སྐད་,དེ་ སྐད་,གསུངས་པ་ལྟ་བུའོ། །བྱང་ཆུབ་སེམས་དཔའ་རྣམས་,K,g,,,,,,,,c=d p=n 87.46%,c ཇི་སྐད(1863), ཇི་སྐད་གསུངས་པ(70); p དེ་སྐད(6506), ཞེས་དེ་སྐད(383); d ཇི་སྐད(1863), ཇི་སྐད་གསུངས་པ(70); n དེ་སྐད(6506), ཞེས་དེ་སྐད(383); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,249
སེམས་དཔས་བདུད་ཀྱི་ལས་སུ་རིག་པར་བྱའོ་ཞེས་,དེ་ སྐད་,ཇི་སྐད་,ཇི་སྐད་,དེ་ སྐད་,གསུངས་པ་ལྟ་བུའོ། །འཇམ་དཔལ་རྣམ་པར་འཕྲུལ་,K,g,,,,,,,,c=d p=n 87.46%,c ཇི་སྐད(1863), ཇི་སྐད་གསུངས་པ(70); p དེ་སྐད(6506), ཞེས་དེ་སྐད(383); d ཇི་སྐད(1863), ཇི་སྐད་གསུངས་པ(70); n དེ་སྐད(6506), ཞེས་དེ་སྐད(383); ,1-149 མདོ་ཀུན་ལས་བཏུས་པ།,253
