Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལ་མངའ་བ། ཞི་བ་ཆོས་ཀྱི་སྐུ་,སོ་སོ་,སོ་སོ ར་,སོ་སོ ར་,སོ་སོ་,རང་གིས་རིག་པ་ལ་སྐྱབས་སུ་མཆིའོ། །དགེ་,K,p,,,,,,,,c=d p=n 64.29%,c སོ་སོར(6579); p སོ་སོ(10614), སོ་སོ་རང(280); d སོ་སོར(6579); n སོ་སོ(10614), སོ་སོ་རང(280); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,7
ཤིང་ལྟ་བུར། །རྟག་ཏུ་སྲོག་ཆགས་ཐམས་ཅད་,ཀྱི,ཀྱིས,ཀྱིས,ཀྱི,། །འདོད་དགུར་དཔག་མེད་སྤྱོད་པར་ཤོག །མཐོང་,K,p,,,,,,,,c=d p=n 64.29%,c ཀྱིས(6156), ཀྱིས།_།(3361), ཐམས་ཅད་ཀྱིས(433), ཐམས་ཅད་ཀྱིས།_།(353); p ཀྱི(5256), ཀྱི།_།(2371), ཐམས་ཅད་ཀྱི(721), ཐམས་ཅད་ཀྱི།_།(666); d ཀྱིས(6156), ཀྱིས།_།(3361), ཐམས་ཅད་ཀྱིས(433), ཐམས་ཅད་ཀྱིས།_།(353); n ཀྱི(5256), ཀྱི།_།(2371), ཐམས་ཅད་ཀྱི(721), ཐམས་ཅད་ཀྱི།_།(666); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,24
ཅད་ཀྱི་སྤྱན་སྔར་བླ་ན་མེད་པའི་སོ་སོར་,བཤགས་པ ར་,བཤགས་པ ས་,བཤགས་པ ས་,བཤགས་པ ར་,འཆགས་སོ། །མི་འཆབ་བོ། །སླན་ཆད་འདི་,K,,≠,,,,,,,c=d p=n 64.29%,c ; p བཤགས་པར(570); d ; n བཤགས་པར(570); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,4
མཁན་པོ་སུ་རན་དྲ་བོདྷི་དང་། ཞུ་ཆེན་གྱི་,ལོཙྪ་བ་,ལོ་ཙཱ་བ་,ལོ་ཙཱ་བ་,ལོཙྪ་བ་,བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་,K,,,nw✘,,,,,,c=d p=n 64.29%,c ལོ་ཙཱ་བ(58); p ལོཙྪ་བ(236), གྱི་ལོཙྪ་བ(144), ལོཙྪ་བ་བན་དེ(82), གྱི་ལོཙྪ་བ་བན་དེ(70), ཆེན་གྱི་ལོཙྪ་བ་བན་དེ(70), གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(53), ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(53), ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(52), །_ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(50); d ལོ་ཙཱ་བ(58); n ལོཙྪ་བ(236), གྱི་ལོཙྪ་བ(144), ལོཙྪ་བ་བན་དེ(82), གྱི་ལོཙྪ་བ་བན་དེ(70), ཆེན་གྱི་ལོཙྪ་བ་བན་དེ(70), གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(53), ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(53), ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(52), །_ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས(50); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,27
བསྐྱེད་པར་བགྱི། །སེམས་ཅན་ཐམས་ཅད་བདག་གིས་,#འགྲོན་,མགྲོན་,མགྲོན་,#འགྲོན་,དུ་གཉེར། །བྱང་ཆུབ་སྤྱོད་མཆོག་ཡིད་འོང་སྤྱད་,K,,,nw✓,,,,,,c=d p=n 64.29%,c མགྲོན(442), མགྲོན་དུ(391); p འགྲོན(387), འགྲོན་དུ(43); d མགྲོན(442), མགྲོན་དུ(391); n འགྲོན(387), འགྲོན་དུ(43); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,15
མ་ལ་སོགས་པ་སེམས་ཅན་མ་བརྒལ་བ་རྣམས་ནི་,#སྒྲལ་,བསྒྲལ་,བསྒྲལ་,#སྒྲལ་,ལོ། །མ་གྲོལ་བ་རྣམས་ནི་དགྲོལ་ལོ། །,K,,,nw✓,,,,,,c=d p=n 64.29%,c བསྒྲལ(117), ནི་བསྒྲལ(54); p སྒྲལ(2); d བསྒྲལ(117), ནི་བསྒྲལ(54); n སྒྲལ(2); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,18
,#ཨུཏ་པ་ ཏ་,#ཨུཏྤཱ་ ད་,#ཨུཏྤཱ་ ད་,#ཨུཏ་པ་ ཏ་,བི་དྷི། བོད་སྐད་དུ། བྱང་ཆུབ་ཏུ་,K,,,,✓,,,,,c=d p=n 64.29%,c ; p ; d ; n ; ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,1
པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པ་རྫོགས་,སོ,#སྟོ,#སྷོ,སོ,།། །།རྒྱ་གར་གྱི་མཁན་པོ་སུ་རན་དྲ་བོདྷི་དང་,K,,,,✓,,,,,c p=n d 3.57%,c སྟོ(16); p སོ(40406), སོ།།_།།(1472), རྫོགས་སོ(120), རྫོགས་སོ།།_།།(1081), རྫོགས་སོ།།_།།རྒྱ་གར(340); d སྷོ(712), སྷོ།།_།།(600), རྫོགས་སྷོ(710), རྫོགས་སྷོ།།_།།(598), རྫོགས་སྷོ།།_།།རྒྱ་གར(59); n སོ(40406), སོ།།_།།(1472), རྫོགས་སོ(120), རྫོགས་སོ།།_།།(1081), རྫོགས་སོ།།_།།རྒྱ་གར(340); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,25
པ་རྫོགས་སྷོ།། །།རྒྱ་གར་གྱི་མཁན་པོ་སུ་,#རེནྟྲ་,རན་ དྲ་,རན་ དྲ་,#རེནྟྲ་,བོདྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙཱ་བ་བན་དེ་ཡེ་,K,,,,✓,,,,,c=d p=n 64.29%,c ; p རེནྟྲ(1); d ; n རེནྟྲ(1); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,26
སེམས་ཅན་དག་ལ་སྡིག་པ་མི་དགེ་བའི་ལས་,བགྱིས་པ་,བགྱིད་པ་,བགྱིད་པ་,བགྱིས་པ་,དང་བགྱིད་དུ་སྩལ་བ་དང་། བགྱིད་པ་ལ་,K,,,,,⟶,,,,c=d p=n 64.29%,c བགྱིད་པ(523), ལས་བགྱིད་པ(77), བགྱིད་པ་དང(822); p བགྱིས་པ(122), ལས་བགྱིས་པ(106), བགྱིས་པ་དང(335); d བགྱིད་པ(523), ལས་བགྱིད་པ(77), བགྱིད་པ་དང(822); n བགྱིས་པ(122), ལས་བགྱིས་པ(106), བགྱིས་པ་དང(335); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,3
། །བདག་མིང་འདི་ཞེས་བགྱི་བ་དུས་འདི་ནས་,གཟུང་,བཟུང་,བཟུང་,གཟུང་,སྟེ་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་གནས་ཀྱི་བར་,K,,,,,⟶,,,,c=d p=n 64.29%,c བཟུང(11), ནས་བཟུང(739), བཟུང་སྟེ(612), ནས་བཟུང་སྟེ(229); p གཟུང(5), ནས་གཟུང(54); d བཟུང(11), ནས་བཟུང(739), བཟུང་སྟེ(612), ནས་བཟུང་སྟེ(229); n གཟུང(5), ནས་གཟུང(54); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,8
ཡང་བདུད་དཔུང་དང་བཅས་པ་མཐའ་དག་ཕམ་པར་,གྱིས་,བགྱིས་,བགྱིས་,བགྱིས་,ཏེ། བདག་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་,K,,,,,⟶,,,,c=d=n p 10.71%,c བགྱིས(960), བགྱིས་ཏེ(343); p གྱིས(7492), གྱིས་ཏེ(49); d བགྱིས(960), བགྱིས་ཏེ(343); n བགྱིས(960), བགྱིས་ཏེ(343); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,14
གིས་བསོད་ནམས་ཅུང་ཟད་ཅི་བགྱིས་པ་དང་། ,བགྱིད་པ་,བགྱིད་པ་,བགྱིད་པ་,བགྱིས་པ་,དང་བགྱིད་པར་འགྱུར་བ་དེ་དག་ཐམས་ཅད་ཕ་,K,,,,,⟶,,,,c=p=d n 14.29%,c བགྱིད་པ(523), །_བགྱིད་པ(85), བགྱིད་པ་དང(822); p བགྱིད་པ(523), །_བགྱིད་པ(85), བགྱིད་པ་དང(822); d བགྱིད་པ(523), །_བགྱིད་པ(85), བགྱིད་པ་དང(822); n བགྱིས་པ(122), བགྱིས་པ་དང(335); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,16
ནམས་འདིས་ཕ་མ་ལ་སོགས་པ་སེམས་ཅན་མ་,རྒལ་བ་,བརྒལ་བ་,བརྒལ་བ་,རྒལ་བ་,རྣམས་ནི་བསྒྲལ་ལོ། །མ་གྲོལ་བ་རྣམས་ནི་,K,,,,,⟶,,,,c=d p=n 64.29%,c ; p རྒལ་བ(52), མ་རྒལ་བ(71); d ; n རྒལ་བ(52), མ་རྒལ་བ(71); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,17
བརྩོན་འགྲུས་བརྩམ་པ་དང་། བསམ་གཏན་ལ་མཉམ་པར་,བཞག་པ་,གཞག་པ་,གཞག་པ་,བཞག་པ་,དང་། ཤེས་རབ་རྣམ་པར་དཔྱོད་པ་དང་། ཐབས་,K,,,,,⟶,,,,c=d p=n 64.29%,c གཞག་པ(101), གཞག་པ་དང(305), མཉམ་པར་གཞག་པ་དང(64), མཉམ་པར་གཞག་པ་དང་།_(57), ལ་མཉམ་པར་གཞག་པ་དང་།_(42); p བཞག་པ(107), བཞག་པ་དང(202); d གཞག་པ(101), གཞག་པ་དང(305), མཉམ་པར་གཞག་པ་དང(64), མཉམ་པར་གཞག་པ་དང་།_(57), ལ་མཉམ་པར་གཞག་པ་དང་།_(42); n བཞག་པ(107), བཞག་པ་དང(202); ,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག,22
