Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མཉམ་པ་ཁོ་ནས་རབ་ཏུ་ཕྱག་འཚལ་ལམ་ཅི་,ཞེས་ ན་,ཞེ་ན་,ཞེ་ན་,ཞེས་ ན་,མ་ཡིན་ནོ་ཞེས་བརྗོད་པ་ནི། རྒྱལ་བ་,K,g,,,,,,,,c=d p=n 86.39%,c ཞེ་ན(629); p ; d ཞེ་ན(629); n ; ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,11
ཞེ་ན། འདི་ལྟར་ཉན་ཐོས་ཀྱི་ཐེག་པ་,ལས་,ལ་,ལ་,ལས་,ཡན་ལག་ལྔ་དང་ལྡན་པར་བརྗོད་པ་དང་། ,K,g,,,,,,,,c=d p=n 86.39%,c ལ(33965), ལ་ཡན་ལག(122), ཐེག་པ་ལ(674); p ལས(5885); d ལ(33965), ལ་ཡན་ལག(122), ཐེག་པ་ལ(674); n ལས(5885); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,21
རྒྱལ་བ་ཀུན་གྱི་ཞེས་བྱ་བ་ལ་སོགས་པ་,ལས,ལ,ལ,ལས,། །རྒྱལ་བ་རྣམས་ཀྱི་ཡོན་ཏན་ཏེ་བྱང་,K,g,,,,,,,,c=d p=n 86.39%,c ལ(33965), ལ།_།(14361), ལ་སོགས་པ་ལ(380); p ལས(5885), ལས།_།(3638), ལ་སོགས་པ་ལས(58); d ལ(33965), ལ།_།(14361), ལ་སོགས་པ་ལ(380); n ལས(5885), ལས།_།(3638), ལ་སོགས་པ་ལས(58); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,24
སེམས་མི་བརྗེད་པ་ནི། བྱང་ཆུབ་སྤྱོད་པ་,དག་,དག་,དག་,དང་,ནི་བདག་སྤྱོད་ཚེ། །ཞེས་བྱ་བ་ནས་བརྩམས་,K,g,,,,,,,,c=p=d n 6.33%,c དག(5192), དག་ནི(15855), སྤྱོད་པ་དག(293); p དག(5192), དག་ནི(15855), སྤྱོད་པ་དག(293); d དག(5192), དག་ནི(15855), སྤྱོད་པ་དག(293); n དང(18517), དང་ནི(6235), སྤྱོད་པ་དང(72); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,78
ལས་དང་ཉོན་མོངས་པ་དང་བདུད་ཀྱི་ལས་རྣམས་,ལ་,ལས་,ལས་,ལས་,ཏེ། ལས་འདི་ཡང་ཁྱད་པར་མེད་པའི་ཕྱིར་,K,g,,,,,,,,c=d=n p 4.43%,c ལས(5885), ལས་ཏེ(69), རྣམས་ལས(2222); p ལ(33965), རྣམས་ལ(895); d ལས(5885), ལས་ཏེ(69), རྣམས་ལས(2222); n ལས(5885), ལས་ཏེ(69), རྣམས་ལས(2222); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,102
། རབ་ཏུ་སྟོན་པར་བརྗོད་པར་འདོད་པའི་ངག་,ལ་,ལས་,ལས་,ལ་,བཟང་པོ་སྤྱོད་པར་བཏགས་པའི་ཕྱིར་ན། དེ་,K,g,,,,,,,,c=d p=n 86.39%,c ལས(5885), ངག་ལས(56); p ལ(33965), ངག་ལ(99); d ལས(5885), ངག་ལས(56); n ལ(33965), ངག་ལ(99); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,117
མི་སྐྱོ་བར་དེ་བཞིན་གཤེགས་པར་མངོན་དུ་གྱུར་པ་,ན,ནི,ནི,ནི,། སངས་རྒྱས་སྲས་ཀྱིས་བསྐོར་བའི་མགོན་པོ་རྣམས,K,g,,,,,,,,c=d=n p 4.43%,c ནི(44237), ནི།_(15867), གྱུར་པ་ནི(181), གྱུར་པ་ནི།_(68); p ན(73509), ན།_(60485), གྱུར་པ་ན(570), གྱུར་པ་ན།_(356); d ནི(44237), ནི།_(15867), གྱུར་པ་ནི(181), གྱུར་པ་ནི།_(68); n ནི(44237), ནི།_(15867), གྱུར་པ་ནི(181), གྱུར་པ་ནི།_(68); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,127
བརྒྱུད་པར་འབྱུང་བ་རྣམས་ལ་མདོར་བསྡུས་ཏེ་བདག་,ནི་,གིས་,གིས་,ནི་,འཇུག་པར་བགྱིའོ། །གང་ཡང་བསྐལ་པ་དུས་གསུམ་,K,g,,,,,,,,c=d p=n 86.39%,c གིས(2588), བདག་གིས(13868); p ནི(44237), བདག་ནི(4809), ནི་འཇུག་པ(60); d གིས(2588), བདག་གིས(13868); n ནི(44237), བདག་ནི(4809), ནི་འཇུག་པ(60); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,180
མ་འདྲེས་པར་གནས་པ་ཇི་ལྟར་འགྱུར་ཏེ། དེས་,ན་,ནི་,ནི་,ནི་,འདི་ཇི་ལྟར་ཡིད་ཆེས་པར་བྱ་ཞེ་ན། ,K,g,,,,,,,,c=d=n p 4.43%,c ནི(44237), ས་ནི(617), ནི་འདི(8407); p ན(73509), ས་ན(194), ན་འདི(1777), དེས་ན་འདི(60); d ནི(44237), ས་ནི(617), ནི་འདི(8407); n ནི(44237), ས་ནི(617), ནི་འདི(8407); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,191
ཉེ་བར་དགོད་པར་ཉམས་སུ་མྱོང་བར་འགྱུར་བ་,ནི་,ན་,ན་,ན་,ལེགས་པར་སྒོམ་པར་བྱེད་པའོ། །གནས་འདིར་གསལ་བར་,K,g,,,,,,,,c=d=n p 4.43%,c ན(73509), ན་ལེགས་པར(128); p ནི(44237), ནི་ལེགས་པར(435), འགྱུར་བ་ནི(139); d ན(73509), ན་ལེགས་པར(128); n ན(73509), ན་ལེགས་པར(128); ,1-151 འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,193
