Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དང་སྡུག་བསྔལ་དེ་བཞིན་དུ། །རྟག་མི་རྟག་སོགས་,ལས་,,ལ་,ལས་,གཙོ་ཁྱོད། །དེ་ལྟའི་རྣམ་རྟོག་སྣ་ཚོགས་ཀྱིས,K,g,,,,,,,,p=n d 88.10%,p ལས(5885), སོགས་ལས(64); d ལ(33965), སོགས་ལ(48); n ལས(5885), སོགས་ལས(64); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,10
མེད་ཁྱོད་ལ་ཕྱག་འཚལ་བསྟོད། །གང་ཞིག་ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,ཅུང་ཞིག་ཀྱང་། །སངས་རྒྱས་སྤྱན་གྱིས་མ་གཟིགས་,K,p,,,,,,,,p=n d 88.10%,p ཀྱི(5256), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55); n ཀྱི(5256), ཁྱོད་ཀྱི(3668); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,3
། །སངས་རྒྱས་སྤྱན་གྱིས་མ་གཟིགས་པ། །ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,གཟིགས་པ་བླ་མེད་དེ། །དེ་ཉིད་དོན་ནི་,K,p,,,,,,,,p=n d 88.10%,p ཀྱི(5256), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55); n ཀྱི(5256), ཁྱོད་ཀྱི(3668); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,4
གྱུར་པ་ཡིས། །མྱ་ངན་འདས་ཁྱོད་མི་བཞེད་,ཀྱིས,,ཀྱི,ཀྱིས, །།འཁོར་བ་མ་དམིགས་པ་ཉིད་ཀྱི། །ཞི་,K,p,,,,,,,,p=n d 88.10%,p ཀྱིས(6156); d ཀྱི(5256); n ཀྱིས(6156); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,6
རྣམས་གང་དུའང་འགྲོ་འོང་མེད། །དེ་བཞིན་ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,གཤེགས་པའང་ལགས། །འགའ་རུ་སྤུངས་པ་མ་མཆིས་,K,p,,,,,,,,p=n d 88.10%,p ཀྱི(5256), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55); n ཀྱི(5256), ཁྱོད་ཀྱི(3668); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,11
བུའི་འགྲོ་བ་རྣམས། །འཕོ་དང་འཇིག་པ་རྣམ་,སྤངས་པ ར,,སྤངས་པ,སྤངས་པ ར,། །སྨད་པ་མེད་པ་ཁྱོད་ཀྱིས་རྟོགས། །རྟག་དང་,K,p,,,,,,,,p=n d 88.10%,p སྤངས་པར(425); d སྤངས་པ(383), སྤངས་པ།_།(208), རྣམ་སྤངས་པ(81), རྣམ་སྤངས་པ།_།(81); n སྤངས་པར(425); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,15
། །འཕོ་དང་འཇིག་པ་རྣམ་སྤངས་པ། །སྨད་པ་,མེད་པ ར་,,མེད་པ་,མེད་པ ར་,ཁྱོད་ཀྱིས་རྟོགས། །རྟག་དང་ཆད་པ་དང་བྲལ་,K,p,,,,,,,,p=n d 88.10%,p མེད་པར(15663); d མེད་པ(5438); n མེད་པར(15663); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,16
། །ཉོན་མོངས་ཉིད་ཀྱི་རང་བཞིན་ཡང་། །ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,བདུད་རྩི་ཉིད་དུ་བསྒྲུབས། །དཔའ་བོ་ཁྱོད་ཀྱིས་,K,p,,,,,,,,p=n d 88.10%,p ཀྱི(5256), ཀྱི་བདུད(122), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55), ཀྱིས་བདུད(179); n ཀྱི(5256), ཀྱི་བདུད(122), ཁྱོད་ཀྱི(3668); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,19
ཀྱིས་བདུད་རྩི་ཉིད་དུ་བསྒྲུབས། །དཔའ་བོ་ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,གཟུགས་རྣམས་ཀྱི། །མཚན་མ་མེད་མཐོང་གཟུགས་མེད་,K,p,,,,,,,,p=n d 88.10%,p ཀྱི(5256), ཁྱོད་ཀྱི(3668), ཀྱི་གཟུགས(892); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55), ཀྱིས་གཟུགས(143); n ཀྱི(5256), ཁྱོད་ཀྱི(3668), ཀྱི་གཟུགས(892); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,20
ལས་ཀྱི་སྒྲིབ་པའི་སྐྱོན་རྣམས་ནི། །སྡིག་མེད་ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,ཀུན་སྤངས་ཀྱང་། །ཁྱོད་ཀྱིས་སེམས་ཅན་རྗེས་གཟུང་,K,p,,,,,,,,p=n d 88.10%,p ཀྱི(5256), ཀྱི་ཀུན(368), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཀྱིས་ཀུན(772), ཁྱོད་ཀྱིས(55); n ཀྱི(5256), ཀྱི་ཀུན(368), ཁྱོད་ཀྱི(3668); ,1-2 དཔེ་མེད་པར་བསྟོད་པ།,25
