Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པའོ། །ཚད་མེད་པ་བཞིའི་ངོ་བོའི་ལྷའི་བདག་ཉིད་,ནི་,,ན་,ནི་,རྒྱལ་བ་རིགས་ལྔའི་སྤྲུལ་པ་ཉོན་མོངས་པ་ལྔ་,K,g,,,,,,,,p=n d 61.64%,p ནི(44237), ནི་རྒྱལ་བ(140), བདག་ཉིད་ནི(58); d ན(73509), ན་རྒྱལ་བ(50); n ནི(44237), ནི་རྒྱལ་བ(140), བདག་ཉིད་ནི(58); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,56
གུག་བསྣམས་པ། གཡོན་པ་ན་ཐོད་པ་ཁྲག་,གིས་,,གིས་,གི་,བཀང་བ་་བསྣམས་པ། སྟག་གི་པགས་པའི་ཤམ་,K,p,,,,,,,,p=d n 10.96%,p གིས(2588), ཁྲག་གིས(422); d གིས(2588), ཁྲག་གིས(422); n གི(1276), ཁྲག་གི(197); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,8
བཀང་བ་ཐོགས་ནས་བྱོན་པ་ལ་སྔ་མ་ལྟར་,མཆོད་པ ར་,,མཆོད་པ་,མཆོད་པ་,དབུལ་བར་བྱའོ། །ཨ་བྷི་ཥིཉྩ་ཏུ་མཱཾ་སརྦ་,K,p,,,,,,,,p d=n 19.18%,p མཆོད་པར(2514); d མཆོད་པ(194); n མཆོད་པ(194); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,13
མི་ཚུགས་པར་འགྱུར་བའི་དགོས་པའོ། །དེ་ནས་བདག་,གིས་,,གི་,གིས་,སྙིང་གར་སྣ་ཚོགས་པད་ཟླའི་སྟེང་དུ་ཏཱཾ་ལྗང་,K,p,,,,,,,,p=n d 61.64%,p གིས(2588), བདག་གིས(13868), གིས་སྙིང(75); d གི(1276), བདག་གི(11456), གི་སྙིང(881), བདག་གི་སྙིང(114); n གིས(2588), བདག་གིས(13868), གིས་སྙིང(75); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,29
བཙུན་མའི་གཟུགས་སུ་བྱས་པས་སེམས་ཅན་ཐམས་ཅད་,,,ཀྱི་,,ཉོན་མོངས་པ་ལྔ་དག་པར་བྱས་སོ། །དེ་,K,p,,,,,,,,p=n d 61.64%,p (1), ཐམས་ཅད(165), ཉོན་མོངས་པ(40), ཐམས་ཅད་ཉོན་མོངས་པ(42); d ཀྱི(5256), ཐམས་ཅད་ཀྱི(721), ཀྱི་ཉོན་མོངས་པ(183), ཐམས་ཅད་ཀྱི་ཉོན་མོངས་པ(107), སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཉོན་མོངས་པ(94); n (1), ཐམས་ཅད(165), ཉོན་མོངས་པ(40), ཐམས་ཅད་ཉོན་མོངས་པ(42); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,30
མྱ་ངན་མེད་པའི་ཤིང་ནི་སེམས་ཅན་ཐམས་ཅད་,,,ཀྱི་,ཀྱི་,དུཿཁ་སྤོང་བར་བྱེད་པའོ། །ཕུང་པོ་ནི་ཚོར་བའི་,K,p,,,,,,,,p d=n 19.18%,p (1), དུཿཁ(1), ཐམས་ཅད(165); d ཀྱི(5256), ཐམས་ཅད་ཀྱི(721); n ཀྱི(5256), ཐམས་ཅད་ཀྱི(721); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,50
བྱུང་བས་སོ་སོར་འབྲང་མ་སྤྱན་དྲངས་ནས་བདག་,གིས་,,གི་,གི་,དཔྲལ་བར་ཐིམ་མོ། །ཡང་ལྟེ་བ་ནས་འོད་,K,p,,,,,,,,p d=n 19.18%,p གིས(2588), བདག་གིས(13868); d གི(1276), བདག་གི(11456); n གི(1276), བདག་གི(11456); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,61
ལ་ཐིམ། ཐིག་ལེ་བིནྡུ་ལ་ཐིམ་མོ།,ཐིམ་ མོ,,ཐིམ་ མོ,ཐིམ,།བིནྡུ་དམར་པོ་ཁབ་ཀྱི་རྩེ་མོ་ལྟ་བུར་,K,p,,,,,,,,p=d n 10.96%,p ; d ; n ཐིམ(146), ལ་ཐིམ(79); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,68
རྒྱ་མཚོའི་རྒྱུད་ནས་ཕྱུང་བ་འཕགས་པ་ཀླུ་སྒྲུབ་,ཀྱི་,,ཀྱིས་,ཀྱིས་,མཛད་པ་རྫོགས་སོ།། །།རྒྱ་གར་གྱི་པཎྜི་ཏ་,K,p,,,,,,,,p d=n 19.18%,p ཀྱི(5256), ཀྱི་མཛད་པ(378); d ཀྱིས(6156); n ཀྱིས(6156); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,71
ཥཊ་ཨ་མུ་ཀཾ་པ་ཤིཾ་ཀུ་རུ་བ་ཥཊ་,ཞེས་,,ཅེས་,ཞེས་,བརྗོད་པར་བྱའོ། །དགུག་པ་ལ་ནི་ཨོཾ་ཏཱ་,K,,✘,,,,,,,p=n d 61.64%,p ཞེས(1047), ཞེས་བརྗོད་པ(259); d ཅེས(700); n ཞེས(1047), ཞེས་བརྗོད་པ(259); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,33
ནས་གཙོ་མོ་ཉིད་པདྨ་དང་ཟླ་བ་དང་ཏཱཾ་,གྱི་,,གི་,གྱི་,ངོ་བོར་གྱུར་ཏོ། །པདྨ་ཡང་ཟླ་བ་ལ་ཐིམ།ཟླ་བ་ཏཱཾ་ལ་ཐིམཟླ་བ་ཏཱཾ་,K,,✘,,,,,,,p=n d 61.64%,p གྱི(3024), གྱི་ངོ་བོ(154); d གི(1276), གི་ངོ་བོ(291); n གྱི(3024), གྱི་ངོ་བོ(154); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,66
པ་ཉིད་དུ་འཛིན་པའོ། །ཡང་དགོས་པ་གཉིས་ཏེ་,འཇིག་རྟེན་,,འཇིག་རྟེན་པ་,འཇིག་རྟེན་,དང་འཇིག་རྟེན་ལས་འདས་པའི་དངོས་གྲུབ་ཐམས་ཅད་,K,,པ་བ་,,,,s,,,p=n d 61.64%,p འཇིག་རྟེན(42680), འཇིག་རྟེན་དང(593), ཏེ་འཇིག་རྟེན(132); d འཇིག་རྟེན་པ(939), འཇིག་རྟེན་པ་དང(302); n འཇིག་རྟེན(42680), འཇིག་རྟེན་དང(593), ཏེ་འཇིག་རྟེན(132); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,27
བ་ནི་གཡས་པ་ཀུན་རྫོབ་གཡོན་པ་དོན་དམ་,བདེན་པ་,,བདེན་པ་,བདེན་,གཉིས་རྟོགས་པའོ། །ཞབས་གཡས་བརྐྱང་བ་ནི་བདུད་,K,,པ་བ་,,,,s,,,p=d n 10.96%,p བདེན་པ(5752), བདེན་པ་གཉིས(72); d བདེན་པ(5752), བདེན་པ་གཉིས(72); n བདེན(20); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,45
འོད་ཟེར་དཀར་པོ་རྣམ་སྣང་གི་རང་བཞིན་དུ་,གཙོ་བོ འི་,,གཙོ་ མོ འི་,གཙོ་བོ འི་,ལྟེ་བ་ནས་བྱུང་བས་སོ་སོར་འབྲང་མ་སྤྱན་,K,,≠,,,,,,,p=n d 61.64%,p གཙོ་བོའི(323); d ; n གཙོ་བོའི(323); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,60
རང་བཞིན་དུ་བྱུང་བས་ཕག་མོ་སྤྱན་དྲངས་ནས་,གཙོ་བོ འི་,,གཙོ་ མོ འི་,གཙོ་བོ འི་,མགྲིན་པར་ཐིམ་མོ། །ཡང་ལྟེ་བ་ནས་འོད་,K,,≠,,,,,,,p=n d 61.64%,p གཙོ་བོའི(323); d ; n གཙོ་བོའི(323); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,63
བསྐྱོད་པའི་རང་བཞིན་དུ་བྱུང་བས་རལ་གཅིག་མ་,གཙོ་བོ འི་,,གཙོ་ མོ འི་,གཙོ་བོ འི་,ཐུགས་ཀར་ཐིམ་མོ། །ཡང་ལྟེ་བ་ནས་འོད་,K,,≠,,,,,,,p=n d 61.64%,p གཙོ་བོའི(323); d ; n གཙོ་བོའི(323); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,64
ལྡན་གྱི་རང་བཞིན་དུ་བྱུང་བས་འོད་ཟེར་ཅན་,གཙོ་བོ འི་,,གཙོ་ མོ འི་,གཙོ་བོ འི་,ལྟེ་བར་ཐིམ་མོ། །དེ་ནས་གཙོ་མོ་ཉིད་,K,,≠,,,,,,,p=n d 61.64%,p གཙོ་བོའི(323); d ; n གཙོ་བོའི(323); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,65
བིནྡུ་དམར་པོ་ཁབ་ཀྱི་རྩེ་མོ་ལྟ་བུར་གྱུར་,ཏོ,,ཏེ,ཏོ,། དེ་ནི་ཆོས་ཀྱི་སྐུའོ། །དེ་ནས་རྣམ་,K,,≠,,,,,,,p=n d 61.64%,p ཏོ(2171), ཏོ།_(196), གྱུར་ཏོ(465); d ཏེ(80365), ཏེ།_(76922), གྱུར་ཏེ(1118), གྱུར་ཏེ།_(4201), གྱུར་ཏེ།_དེ(772); n ཏོ(2171), ཏོ།_(196), གྱུར་ཏོ(465); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,69
མ། ཕྱག་གཉིས་མ། སྤྱན་གསུམ་མ། ,སྐྱིལ་ #དཀྲུང་,,སྐྱིལ་ཀྲུང་,སྐྱིལ་ #ཀྲུངས་,དང་བཅས་པ། ཕྱག་གཡས་ནོར་བུ་རིན་པོ་,K,,,nw✓,,,,,,p d n 6.85%,p ; d སྐྱིལ་ཀྲུང(288); n ; ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,5
མོ་ཞལ་གཅིག་ཕྱག་གཉིས་མ་སྤྱན་གསུམ་མ། ,སྐྱིལ་ མོ་ #དཀྲུང་,,སྐྱིལ་ཀྲུང་,སྐྱིལ་ #ཀྲུངས་,དང་བཅས་པ་ཕྱག་གཡས་ན་རྡོ་རྗེ་བསྣམས་པ,K,,,nw✓,,,,,,p d n 6.85%,p ; d སྐྱིལ་ཀྲུང(288); n ; ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,6
། ཕག་གི་གདོང་པ་ཅན། སྤྱན་གསུམ་པ་,སྐྱིལ་ #དཀྲུང་,,སྐྱིལ་ཀྲུང་,སྐྱིལ་ཀྲུང་,དང་བཅས་པ། ཕྱག་གཡས་ན་པདྨ་དམར་པོ,K,,,nw✓,,,,,,p d=n 19.18%,p ; d སྐྱིལ་ཀྲུང(288); n སྐྱིལ་ཀྲུང(288); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,7
བསྣམས་པ། སྟག་གི་པགས་པའི་ཤམ་ཐབས་ཅན། ,སྐྱིལ་ #དཀྲུང་,,སྐྱིལ་ཀྲུང་,སྐྱིལ་ཀྲུང་,དུ་བཞུགས་པའོ། །དེ་ནས་གཙོ་མོའི་ཐུགས་ཀ་,K,,,nw✓,,,,,,p d=n 19.18%,p ; d སྐྱིལ་ཀྲུང(288); n སྐྱིལ་ཀྲུང(288); ,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།,10
