Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཕན་ཡོན་གྱིས། །དེ་ནི་སྒྲུབ་ལ་དགའ་བ་,དག,,དང,དག,། །མྱུར་བར་དངོས་གྲུབ་ཐོབ་པར་འགྱུར། །དཔལ་,K,g,,,,,,,,p=n d 82.35%,p དག(5192), དགའ་བ་དག(70); d དང(18517), དང་།_།(32216), དགའ་བ་དང(101), དགའ་བ་དང་།_།(137), ལ་དགའ་བ་དང་།_།(45); n དག(5192), དགའ་བ་དག(70); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,49
ལ་ཕྱག་འཚལ་ལོ། །འཇིགས་པའི་ཚོགས་རྣམས་འཇིགས་,བྱེད་པ ས,,བྱེད་པ,བྱེད་པ ས, །།ནག་པོ་དེ་ལ་ཕྱག་འཚལ་ནས། །དེ་,K,p,,,,,,,,p=n d 82.35%,p བྱེད་པས(549); d བྱེད་པ(4256), འཇིགས་བྱེད་པ(49); n བྱེད་པས(549); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,3
གསུམ་པ་དགྲ་སྟ་ཞགས་པ་འཛིན། །སྟག་གི་,པགས་པ ས་,,པགས་པ ས་,པགས་པ་,སྨད་དཀྲིས་ཤིང་། །འཛག་པའི་མགོ་བོས་དོ་ཤལ་,K,p,,,,,,,,p=d n 5.88%,p པགས་པས(57); d པགས་པས(57); n པགས་པ(838), གི་པགས་པ(114); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,11
གིས་བྲི་བར་བྱ། །དེ་ཡི་དབུས་སུ་གྲི་གུག་,བྲི ས,,བྲི,བྲི ས,། །སྔགས་དང་མིང་སྤེལ་དུག་གིས་དགང་། །ཀླུ་,K,p,,,,,,,,p=n d 82.35%,p བྲིས(81), བྲིས།_།(64); d བྲི(1403), བྲི།_།(1328); n བྲིས(81), བྲིས།_།(64); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,33
ཞག་བདུན་དག་གི་ཆོ་ག་ཡིས། །བརྒྱ་བྱིན་,ཡང་,,ཀྱང་,ཡང་,ནི་དབང་དུ་འགྱུར། །ད་དུ་ར་ཡི་ཕྱེ་མ་,K,,✘,,,,,,,p=n d 82.35%,p ཡང(82), ཡང་ནི(1248), བྱིན་ཡང(151); d ཀྱང(95), ཀྱང་ནི(835); n ཡང(82), ཡང་ནི(1248), བྱིན་ཡང(151); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,42
ཅན་དབང་ལྡན་ལྷ། །རིའམ་ཚང་ཚིང་ཕུག་དག་,གི,,གམ,གིས, །།དུར་ཁྲོད་དག་གམ་ལམ་ཅན་ནམ། །མཚན་,K,,≠,,,,,,,p d n 3.92%,p གི(1276), དག་གི(341); d གམ(1988), དག་གམ(274); n གིས(2588), དག་གིས(850); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,7
སོ།། །།པཎྜི་ཏ་འབུམ་ཕྲག་གསུམ་པ་དང་། ,ལོཙྪ་བ་,,ལོ་ཙཱ་བ་,ལོ་ཙཱ་བ་,དགེ་སློང་དར་མ་གྲགས་ཀྱིས་བསྒྱུར་བའོ།།,K,,,nw✘,,,,,,p d=n 5.88%,p ལོཙྪ་བ(236), །_ལོཙྪ་བ(49), ལོཙྪ་བ་དགེ་སློང(44); d ལོ་ཙཱ་བ(58); n ལོ་ཙཱ་བ(58); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,50
དམ་ཚིག་སྨོད་དང་བསྟན་པ་བཤིག །དེ་རྣམས་,#སྒྲལ་,,བསྒྲལ་,#སྒྲལ་,བར་བྱ་བ་ཡིན། །གཞན་དུ་ནམ་ཡང་བྱ་,K,,,nw✓,,,,,,p=n d 82.35%,p སྒྲལ(2); d བསྒྲལ(117), བསྒྲལ་བར(166); n སྒྲལ(2); ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,5
དང་། །མི་དབང་འབྲས་དང་དཀར་དམར་དང་། །,གླ་བ་,,#ཀླད་པ་,གླ་བ་,ན་ཚེ་དམར་བཞི་དང་། །བདུད་རྩི་ལྔ་དང་,K,,,nw✓,,,,,,p=n d 82.35%,p ; d ཀླད་པ(188), ཀླད་པ་ན(69); n ; ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,16
སྔགས་ལས་གྲི་གུག་འགྱུར། །དེ་ཡིས་བཅད་ཅིང་,#བཏུབས་པ ར་,,གཏུབས་པ ར་,#བཏུབས་པ ར་,བསམ། ཨོཾ་མ་ཧཱ་ཀཱ་ལ་གུ་ཎ་ཧྲྀ་ད་ཨེ་,K,,,nw✓,,,,,,p=n d 82.35%,p ; d ; n ; ,1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།,26
