Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པའི་གཟི་བརྗིད་རྒྱས། །ཐམས་ཅད་ཤེས་ཤིང་དེ་,ཡི་,,ཡིས་,ཡི་,ཉིན་མཚན་རྟག་ཏུ་བགེགས་ཀྱི་ཚོགས་ནི་མྱོས་ཤིང་,K,p,,,,,,,,p=n d 84.21%,p ཡི(8322), དེ་ཡི(6810); d ཡིས(7433), དེ་ཡིས(1499); n ཡི(8322), དེ་ཡི(6810); ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,18
ཧྲིཾ། །ནག་པོའི་མཆུ་དང་འདྲ་བའི་སྐུ་ནི་,#རྩོ་,,རྩོད་,#རྩོ་,དང་ཉེས་འཕྲོག་ཐོད་པའི་ཕྲེང་ཅན་ཀཾ་ཀཾ་ཀཾ,K,,,nw✓,,,,,,p=n d 84.21%,p རྩོ(1); d རྩོད(25), ནི་རྩོད(105); n རྩོ(1); ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,13
དགྱེས་ཞིང་སྐྱོང་ཀུན་ནས་སྲུངས །།ཞལ་དང་ཞལ་,#ཕཾ་ #ཕཾ་ #བེ་ ཏ་,,ནས་ #ཕེཾ་ #ཕེཾ་ #ཕཊ་,#ཕཾ་ #ཕཾ་ #བེ་ ཏ་,ཅེས་སྒྲོགས་པས་སོ་སོར་བསྐྱེད་པའི་མེ་དཔུང་ཆེན་,K,,,,✓,,,,,p=n d 84.21%,p ; d ; n ; ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,4
སྤྱན་དང་ཕྱག་ནི་ཁྲག་ལྟར་དམར་བ་རཾ་རཾ་,#རཾ་,,#ཏི་,#རཾ་,ཏི་དང་རུ་རུ་རུ། །ངོ་མཚར་སྣང་མཛད་,K,,,,✓,,,,,p=n d 84.21%,p རཾ(80); d ཏི(1484), ཏི་དང(119); n རཾ(80); ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,10
ཤུགས་ཅན་ཁྲོ་བོའི་ལྟ་བས་ཁྲོ་གཉེར་མཛོད་ཅིག་,#ཀྲཱུཾ་ #ཀྲཱུཾ་ #ཀྲཱུཾ,,#ཀྲུཾ་ #ཀྲུཾ་ #ཀྲུཾ,#ཀྲཱུཾ་ #ཀྲཱུཾ་ #ཀྲཱུཾ,། །འཁོར་བཅས་སྐྱོང་བའི་ཞིང་སྐྱོང་མ་ལུས་བདུད་,K,,,,✓,,,,,p=n d 84.21%,p ; d ; n ; ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,11
མ་ལུས་བདུད་དང་རོ་ལངས་འདུལ་བར་མཛད་པ་,#ཌཾ་ #ཌཾ་ #ཌཾ,,#ཊཾ་ #ཊཾ་ #ཊཾ,#ཌཾ་ #ཌཾ་ #ཌཾ,། །ངེས་པར་གནོད་པའི་བདུད་དང་ཉོན་མོངས་བག་,K,,,,✓,,,,,p=n d 84.21%,p ; d ; n ; ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,12
ལུས་ཅན་གཅིག་པུས་ཐམས་ཅད་གནོན། །ཧྲཱིཾ་ཀླཱིཾ་,#ཤྲིཾ་,,#ཤྲཱིཾ་,#ཤྲིཾ་,གིས་སྔགས་དང་པ་ཙ་པ་ཙའི་སྔགས་རྣམས་ཀྱིས་,K,,,,✓,,,,,p=n d 84.21%,p ཤྲིཾ(1); d ཤྲཱིཾ(3); n ཤྲིཾ(1); ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,15
དམར་སེར་དུར་ཁྲོད་ལ་དགྱེས་ཞིང་སྐྱོང་ཀུན་ནས་,བསྲུངས,,སྲུངས,བསྲུངས, །།ཞལ་དང་ཞལ་ནས་ཕེཾ་ཕེཾ་ཕཊ་ཅེས་སྒྲོགས་པས་སོ་སོར་,K,,,,,⟶,,,,p=n d 84.21%,p བསྲུངས(86); d སྲུངས(44); n བསྲུངས(86); ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,3
རྫོགས་པའི་བྱང་ཆུབ་བརྙེས་ཀྱང་སྲིད་པ་གསུམ་པོ་,ཁེང་པ ར་,,ཁེངས་པ ར་,ཁེང་པ ར་,འགེངས་ནུས་འོ་དོད་ཀྱིས། །ཧཱུཾ་ཧཱུཾ་ཕཊ་ཅེས་མ་,K,,,,,⟶,,,,p=n d 84.21%,p ; d ཁེངས་པར(57); n ; ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,5
དུ་ཤིན་ཏུ་རབ་ཏུ་འཇིགས་པར་བྱེད། །མགོ་,སྐྱེ་,,སྐྱེས་,སྐྱེ་,རལ་པ་སྨ་ར་ཤིན་ཏུ་དམར་སེར་ཉེ་བར་,K,,,,,⟶,,,,p=n d 84.21%,p སྐྱེ(779); d སྐྱེས(1030); n སྐྱེ(779); ,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།,8
