Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །ཅང་མི་སྨྲ་བར་གྱུར་ཏོ་ཞེས་བྱ་བ་,ནི་,,ནི་,ན་,ཆོས་བསྟན་པ་མཉན་པར་བྱ་བའི་ཕྱིར་རྩེ་གཅིག་,K,g,,,,,,,,p=d n 1.13%,p ནི(44237), ནི་ཆོས(5415), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་ཆོས(279); d ནི(44237), ནི་ཆོས(5415), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་ཆོས(279); n ན(73509), ན་ཆོས(1542), ཞེས་བྱ་བ་ན(81); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,55
པའི་སྐུ་རྣམས་འཇའ་ཚོན་དང་འདྲ་བ་འོད་གསལ་,ལ་,,ལས་,ལ་,བྱུང་བས་ན་གསང་བ་སྟེ། བདག་ལ་བྱིན་,K,g,,,,,,,,p=n d 97.89%,p ལ(33965), གསལ་ལ(122); d ལས(5885), ལས་བྱུང་བ(441); n ལ(33965), གསལ་ལ(122); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,57
པོར་གྱུར་པའི་ཐིག་ལེ་པདྨའི་ལྟེ་བར་འཛིན་པ་,ན་,,ནི་,ན་,དེ་ཁོ་ན་ཉིད་ལྔ་སྟེ་འཛིན་པའོ། །དེ་,K,g,,,,,,,,p=n d 97.89%,p ན(73509); d ནི(44237), འཛིན་པ་ནི(85), ནི་དེ་ཁོ་ན་ཉིད(49); n ན(73509); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,152
ནི་ཆགས་པ་བར་པའོ། །དེ་དང་བྲལ་བས་,ན་,,ནི་,ན་,ཐོག་མ་ཐ་མ་མེད་པའོ། །ཞི་བ་ནི་,K,g,,,,,,,,p=n d 97.89%,p ན(73509), ས་ན(194), ན་ཐོག(117); d ནི(44237), ས་ནི(617), ནི་ཐོག(269); n ན(73509), ས་ན(194), ན་ཐོག(117); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,163
སེམས་རྩེ་གཅིག་པ་ཉིད་དུ་སྐྱེད་པར་བྱེད་པས་,ནི་,,ན་,ནི་,ཞི་བའོ། །དངོས་དང་དངོས་མེད་ནི་སེམས་ཅན་,K,g,,,,,,,,p=n d 97.89%,p ནི(44237), ས་ནི(617), ནི་ཞི་བ(160); d ན(73509), ས་ན(194); n ནི(44237), ས་ནི(617), ནི་ཞི་བ(160); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,164
བཤད་པར་བྱ་སྟེ། ཉོན་མོངས་པ་ནི་མ་,དང་པ་,,དག་པ་,དང་པ་,ལ་སོགས་པ་དེ་རྣམས་བརྟན་པས་ན་རྗེའོ། །,K,g,,,,,,,,p=n d 97.89%,p དང་པ(72); d དག་པ(6242), མ་དག་པ(262); n དང་པ(72); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,232
སྐྱེས་པའི་འཁོར་ལོ་རྩིབས་བཅུ་པ་སེར་པོ་བསྒོམས་ཏེ། རྩིབས་བཅུ་,ལས་,,ལ་,ལས་,འཕགས་པ་གཤིན་རྗེ་གཤེད་ལ་སོགས་པ་ཁྲོ་བོ་,K,g,,,,,,,,p=n d 97.89%,p ལས(5885), བཅུ་ལས(116), ལས་འཕགས་པ(44); d ལ(33965), བཅུ་ལ(556), ལ་འཕགས་པ(190); n ལས(5885), བཅུ་ལས(116), ལས་འཕགས་པ(44); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,269
ཆེན་ནི་འོད་གསལ་བའི་ཡེ་ཤེས་རྣལ་འབྱོར་པ་,ལ་,,ལས་,ལ་,འབྱུང་བར་འགྱུར་རོ། །དེ་བཞིན་དུ་གཏི་མུག་,K,g,,,,,,,,p=n d 97.89%,p ལ(33965), ལ་འབྱུང་བ(106); d ལས(5885), ལས་འབྱུང་བ(181); n ལ(33965), ལ་འབྱུང་བ(106); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,282
རིགས་ཀྱི་བདག་པོས་རྒྱས་བཏབ་ཅིང་ཚངས་པའི་སྒོ་,ན་,,ནས་,ན་,དེ་བཞིན་གཤེགས་པ་རྣམས་བཞུགས་ཤིང་། ཨོཾ་སརྦ་,K,g,,,,,,,,p=n d 97.89%,p ན(73509), ན་དེ(8710), སྒོ་ན(194); d ནས(35333), ནས་དེ(8458), སྒོ་ནས(845); n ན(73509), ན་དེ(8710), སྒོ་ན(194); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,408
བསྙེན་པར་བཤད་དོ། །སྔ་མ་བཞིན་དུ་སྔགས་,ལ་,,ལས་,ལ་,བསྐྱེད་པ་སྔོན་དུ་འགྲོ་བས་རྡོ་རྗེ་དང་པདྨར་,K,g,,,,,,,,p=n d 97.89%,p ལ(33965), སྔགས་ལ(187); d ལས(5885), སྔགས་ལས(91); n ལ(33965), སྔགས་ལ(187); ,1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,463
