Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །སྣ་ཚོགས་པདྨ་དེ་བཞིན་གཤེགས། །གཡོན་པ་,ལས་,ལ་,ལ་,ལས་,ནི་སྣ་ཚོགས་ལས། །སྤྱི་བོར་ནམ་མཁའི་རྡོ་,K,g,,,,,,,,c=d p=n 87.01%,c ལ(33965), ལ་ནི(13387), གཡོན་པ་ལ(84); p ལས(5885), ལས་ནི(2987); d ལ(33965), ལ་ནི(13387), གཡོན་པ་ལ(84); n ལས(5885), ལས་ནི(2987); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,57
གདུག་པ་ཚིག་པ་ཕན་ཚུན་དུ། །འབྲོས་པར་,གྱུར་པ་,གྱུར་པ ར་,གྱུར་པ ར་,གྱུར་པ་,རྣམ་པར་བསམ། །ཕྱོགས་བཅུར་ཕུས་བུས་བཏབ་ནས་,K,p,,,,,,,,c=d p=n 87.01%,c གྱུར་པར(675); p གྱུར་པ(3361); d གྱུར་པར(675); n གྱུར་པ(3361); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,12
ན་རྡོ་རྗེ་མཁའ་སྙིང་པོ། །བརྟུལ་ཞུགས་ཅན་,གྱི་,གྱིས་,གྱིས་,གྱི་,ལྷོ་རུ་དགོད། །འཇིག་རྟེན་དབང་ཕྱུག་འཇམ་པའི་,K,p,,,,,,,,c=d p=n 87.01%,c གྱིས(7492), ཅན་གྱིས(91); p གྱི(3024), ཅན་གྱི(115); d གྱིས(7492), ཅན་གྱིས(91); n གྱི(3024), ཅན་གྱི(115); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,19
དེ་ཡི་འོག་ཏུ་རྣམ་པར་བསམ། །གཙུག་ཏོར་,འཁོར་ལོ་,འཁོར་ལོ ས་,འཁོར་ལོ ས་,འཁོར་ལོ་,སྒྱུར་རྒྱལ་ཡང་། །དེ་བཞིན་སྟེང་དུ་རྣམ་པར་,K,p,,,,,,,,c=d p=n 87.01%,c འཁོར་ལོས(2448), འཁོར་ལོས་སྒྱུར(2240); p འཁོར་ལོ(7335); d འཁོར་ལོས(2448), འཁོར་ལོས་སྒྱུར(2240); n འཁོར་ལོ(7335); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,20
སུ་སྦྱོར་བ་བརྩམ་པར་བྱ། །རྣལ་འབྱོར་པ་,ཡི་,ཡིས་,ཡིས་,ཡི་,ཡིག་གསུམ་ཡང་། །ཟླ་བའི་དབུས་སུ་རྣམ་པར་,K,p,,,,,,,,c=d p=n 87.01%,c ཡིས(7433), རྣལ་འབྱོར་པ་ཡིས(196); p ཡི(8322), ཡི་ཡིག(70), རྣལ་འབྱོར་པ་ཡི(74); d ཡིས(7433), རྣལ་འབྱོར་པ་ཡིས(196); n ཡི(8322), ཡི་ཡིག(70), རྣལ་འབྱོར་པ་ཡི(74); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,26
གཡོན་པར་སྟོབས་པོ་ཆེ། །སྤྱི་བོར་གཙུག་ཏོར་,འཁོར་ལོ་,འཁོར་ལོ ས་,འཁོར་ལོ ས་,འཁོར་ལོ་,སྒྱུར། །གནོད་མཛེས་རྒྱལ་པོ་བསམ་པ་ནི། །,K,p,,,,,,,,c=d p=n 87.01%,c འཁོར་ལོས(2448), འཁོར་ལོས་སྒྱུར(2240); p འཁོར་ལོ(7335); d འཁོར་ལོས(2448), འཁོར་ལོས་སྒྱུར(2240); n འཁོར་ལོ(7335); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,37
རྫོགས། །སྤྱི་བོའི་དབུས་སུ་རྣམ་པར་བསམ། །,དེ་,དེ ར་,དེ ར་,དེ་,ནི་ཡི་གེ་ཨོཾ་དཀར་པོ། །འོད་ཟེར་ལྔ་,K,p,,,,,,,,c=d p=n 87.01%,c དེར(309), །_།དེར(1865), དེར་ནི(1229), །_།དེར་ནི(743); p དེ(1), །_།དེ(137195), དེ་ནི(35963), །_།དེ་ནི(6012); d དེར(309), །_།དེར(1865), དེར་ནི(1229), །_།དེར་ནི(743); n དེ(1), །_།དེ(137195), དེ་ནི(35963), །_།དེ་ནི(6012); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,38
ཡི་བྱིན་གྱིས་བརླབ་པ་བརྩམ། །སངས་རྒྱས་ཀུན་,གྱིས་,གྱི་,གྱི་,གྱིས་,སྐུ་གང་ཡིན། །ཕུང་པོ་ལྔ་ཡིས་རབ་གང་,K,p,,,,,,,,c=d p=n 87.01%,c གྱི(3024), ཀུན་གྱི(88), གྱི་སྐུ(142); p གྱིས(7492), ཀུན་གྱིས(73); d གྱི(3024), ཀུན་གྱི(88), གྱི་སྐུ(142); n གྱིས(7492), ཀུན་གྱིས(73); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,44
ཝ་ཨཱཏྨ་ཀོ྅ཧཾ། ཨཱཿ་་ནི་ཁ་དོག་དམར་,ལྡན་པ,ལྡན་པ ས,ལྡན་པ ས,ལྡན་པ,། །ལྕེ་ཡི་པདྨར་རྣམ་བསམས་ཏེ། །གོས་དཀར་,K,p,,,,,,,,c=d p=n 87.01%,c ལྡན་པས(685), ལྡན་པས།_།(396); p ལྡན་པ(4520), ལྡན་པ།_།(794); d ལྡན་པས(685), ལྡན་པས།_།(396); n ལྡན་པ(4520), ལྡན་པ།_།(794); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,46
། །ལྕེ་ལ་ཞུགས་པར་རབ་བསམས་ཏེ། །གསུང་,གིས་,གི་,གི་,གིས་,བྱིན་གྱིས་བརླབ་པ་བརྩམ། །རྡོ་རྗེ་ཆོས་ཀྱི་,K,p,,,,,,,,c=d p=n 87.01%,c གི(1276), གསུང་གི(667), གི་བྱིན(74); p གིས(2588), གིས་བྱིན(124), གསུང་གིས(125); d གི(1276), གསུང་གི(667), གི་བྱིན(74); n གིས(2588), གིས་བྱིན(124), གསུང་གིས(125); ,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,49
