Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པ་བཤད་དུ་གསོལ། །ཞི་བའི་ཆོས་ནི་མཆོག་,ལ་,ལས་,ལས་,ལ་,བྱུང་། །ཡེ་ཤེས་སྤྱོད་པ་རྣམ་སྦྱོང་བ། །,K,g,,,,,,,,c=d p=n 90.59%,c ལས(5885), མཆོག་ལས(104), ལས་བྱུང(8268); p ལ(33965), ལ་བྱུང(91), མཆོག་ལ(52); d ལས(5885), མཆོག་ལས(104), ལས་བྱུང(8268); n ལ(33965), ལ་བྱུང(91), མཆོག་ལ(52); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,38
པ་སྨོས་ཅི་དགོས། །སྐྱོབ་པའི་གསང་སྔགས་བཟླས་,ནས་,ན་,ན་,ནས་,ནི། །གོ་འཕང་བླ་ན་མེད་པར་འགྱུར། །,K,g,,,,,,,,c=d p=n 90.59%,c ན(73509), ན་ནི(3673), བཟླས་ན(602); p ནས(35333), ནས་ནི(1022), བཟླས་ནས(426), བཟླས་ནས་ནི(45), བཟླས་ནས་ནི།_།(45); d ན(73509), ན་ནི(3673), བཟླས་ན(602); n ནས(35333), ནས་ནི(1022), བཟླས་ནས(426), བཟླས་ནས་ནི(45), བཟླས་ནས་ནི།_།(45); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,109
བ་ལ་གནས་པའི་བྱམས་པའི་ཀླུ་ཤིང་དང་གཞན་སེམས་དཔའ་དག་,གི་,ནི་,ནི་,གི་,གཙོ་བོའི་ཁ་དོག་དང་ཕྱག་མཚན་དང་མཐུན་པར་,K,g,,,,,,,,c=d p=n 90.59%,c ནི(44237), དག་ནི(15855), ནི་གཙོ་བོ(63); p གི(1276), དག་གི(341), གི་གཙོ་བོ(49); d ནི(44237), དག་ནི(15855), ནི་གཙོ་བོ(63); n གི(1276), དག་གི(341), གི་གཙོ་བོ(49); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,169
མཐོང་ནས་གང་ཡང་རུང་བའི་དངོས་གྲུབ་བོ། །,དེ་ ན,དེ་ནས,དེ་ནས,དེ་ ན,། རྡོ་རྗེ་སེམས་དཔའ་དེང་ཁྱོད་ཀྱི། །མིག་,K,g,,,,,,,,c=d p=n 90.59%,c དེ་ནས(48227), །_།དེ་ནས(35076); p དེ་ན(5593), དེ་ན།_(336), །_།དེ་ན(909); d དེ་ནས(48227), །_།དེ་ནས(35076); n དེ་ན(5593), དེ་ན།_(336), །_།དེ་ན(909); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,219
ལ་སོགས་པས་ནམ་མཁའི་ཁམས་གང་སྟེ་དེ་དག་,ནི་,གི་,གི་,ནི་,རིག་བའི་དབང་བསྐུར་བའི་ཚིགས་བཅད་ནི་འདི་ཡིན་,K,g,,,,,,,,c=d p=n 90.59%,c གི(1276), དེ་དག་གི(105); p ནི(44237), དེ་དག་ནི(569); d གི(1276), དེ་དག་གི(105); n ནི(44237), དེ་དག་ནི(569); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,263
ཀྱང་ཚིག་གི་དོན་དང་རྒྱ་ཆེར་སྦྱར་རོ། །,དེ་ ན་,དེ་ནས་,དེ་ནས་,དེ་ ན་,ལྷའི་དེ་ཁོ་ན་ཉིད་བསྟན་ཏེ། གཟུགས་དང་,K,g,,,,,,,,c=d p=n 90.59%,c དེ་ནས(48227), །_།དེ་ནས(35076), དེ་ནས་ལྷ(884), །_།དེ་ནས་ལྷ(688), རོ།_།དེ་ནས་ལྷ(50), །_།དེ་ནས་ལྷའི(621), རོ།_།དེ་ནས་ལྷའི(53); p དེ་ན(5593), །_།དེ་ན(909), དེ་ན་ལྷ(94); d དེ་ནས(48227), །_།དེ་ནས(35076), དེ་ནས་ལྷ(884), །_།དེ་ནས་ལྷ(688), རོ།_།དེ་ནས་ལྷ(50), །_།དེ་ནས་ལྷའི(621), རོ།_།དེ་ནས་ལྷའི(53); n དེ་ན(5593), །_།དེ་ན(909), དེ་ན་ལྷ(94); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,280
། །འཁོར་ལོ་རྗེས་མཉམ་སྦྱོར་བ་ཡིས། །བསྒྲུབས་,ནས་,ན་,ན་,ནས་,འགྲུབ་པར་མྱུར་དུ་འགྱུར། །ཞེས་གསུངས་པས་རྒྱུད་,K,g,,,,,,,,c=d p=n 90.59%,c ན(73509), བསྒྲུབས་ན(170); p ནས(35333), བསྒྲུབས་ནས(212); d ན(73509), བསྒྲུབས་ན(170); n ནས(35333), བསྒྲུབས་ནས(212); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,289
ནས་སླར་ཡང་བསྐུལ་བར་བྱ། །ལས་དང་སྐྱེ་,ལ་,ལས་,ལས་,ལ་,རྣམ་གྲོལ་ཞིང་། །སྣང་བ་གསུམ་པོ་སྤངས་པ་,K,g,,,,,,,,c=d p=n 90.59%,c ལས(5885), ལས་རྣམ(1935); p ལ(33965), ལ་རྣམ(3902), སྐྱེ་ལ(78); d ལས(5885), ལས་རྣམ(1935); n ལ(33965), ལ་རྣམ(3902), སྐྱེ་ལ(78); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,312
ཀྲུང་གནས་ཏེ། །འཁོར་བའི་འདམ་དུ་བྱིང་བ་,ཡི,ཡིས,ཡིས,ཡི, །།འགྲོ་ལ་ཕན་དང་བསྐྱབ་པའི་ཕྱིར། །སྙིང་,K,p,,,,,,,,c=d p=n 90.59%,c ཡིས(7433); p ཡི(8322); d ཡིས(7433); n ཡི(8322); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,3
བྱིན་གྱིས་བརླབ་པ་དང་། དབང་བསྐུར་བའི་མཐར་,ཐུག་པ ར་,ཐུག་པ་,ཐུག་པ་,ཐུག་པ ར་,བྱ་ཞིང་། དེ་ལ་ཕྱི་ནང་གསང་བའི་མཆོད་,K,p,,,,,,,,c=d p=n 90.59%,c ཐུག་པ(80); p ཐུག་པར(481); d ཐུག་པ(80); n ཐུག་པར(481); ,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,7
