Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཕྱིར་སེམས་ནི་ཀུན་དུ་བསྲུང་། །བདེ་ལེགས་སེམས་,ལ་,,ལས་,ལ་,སངས་རྒྱས་འབྱུང་། །སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ་,K,g,,,,,,,,p=n d 80.00%,p ལ(33965), སེམས་ལ(101), ལ་སངས་རྒྱས(1341); d ལས(5885), སེམས་ལས(750), ལས་སངས་རྒྱས(199); n ལ(33965), སེམས་ལ(101), ལ་སངས་རྒྱས(1341); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,8
གང་གིས་སེམས་བྱུང་དྲ་བ་ནི། །སེམས་ཉིད་,ཀྱི་,,ཀྱིས་,ཀྱི་,ནི་བསལ་མཛད་དེ། །སེམས་ཀྱི་རྨོངས་པ་སེལ་,K,p,,,,,,,,p=n d 80.00%,p ཀྱི(5256), ཀྱི་ནི(1448), ཉིད་ཀྱི(171), ཉིད་ཀྱི་ནི(118); d ཀྱིས(6156), ཀྱིས་ནི(2449), ཉིད་ཀྱིས(603), ཉིད་ཀྱིས་ནི(82); n ཀྱི(5256), ཀྱི་ནི(1448), ཉིད་ཀྱི(171), ཉིད་ཀྱི་ནི(118); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,2
ལས་མ་གཏོགས་ཅུང་ཟད་མེད། །འགྲོ་བ་ཀུན་,གྱིས་,,གྱི་,གྱིས་,མཐོང་བ་རྣམས། །ཅུང་ཟད་བསྒོམ་པའི་རྣམ་པ་,K,p,,,,,,,,p=n d 80.00%,p གྱིས(7492), ཀུན་གྱིས(73); d གྱི(3024), ཀུན་གྱི(88); n གྱིས(7492), ཀུན་གྱིས(73); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,4
,སྟ་བ,,སྟ་ #བཾ,སྟ་བ, །བོད་སྐད་དུ། སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་,K,,,,✓,,,,,p=n d 80.00%,p ; d ; n ; ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,1
པ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ,།།་  #མངྒ་ #ལཾ,,,,,K,,,,✓,,,,,p d=n 10.00%,p ; d (1), །།(216), སོ(40406); n (1), །།(216), སོ(40406); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,9
རྟོག་པ་སྤངས་པའི་སེམས། །རྣམ་པར་རྟོག་པས་,སྒོ་,,བསྡོས་,སྒོ་,བྱས་པའི། །འཁོར་བ་རྣམ་རྟོག་ཙམ་ཉིད་དེ,K,,,,,≠,,,,p=n d 80.00%,p སྒོ(136); d བསྡོས(66); n སྒོ(136); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,5
ལས། །ལྷ་གཞན་བསྒྲུབ་ཏུ་ཡོད་མ་ཡིན། །,རིམ་,,སེམས་,རིམ་,ཐོབ་པ་ནི་བྱང་ཆུབ་སྟེ། །སེམས་ནི་འགྲོ་,K,,,,,,≡,,,p=n d 80.00%,p རིམ(78), །_།རིམ(1114); d སེམས(4229), །_།སེམས(12797); n རིམ(78), །_།རིམ(1114); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,3
། །བྱང་ཆུབ་སེམས་ལ་ཕྱག་བྱའོ། །སེམས་ཀྱི་,རྡོ་རྗེ འི་,,རྡོ་རྗེ་,རྡོ་རྗེ འི་,བསྒོམ་པའི་ཕྱིར། །དེ་ནི་བྱང་ཆུབ་མཆོག་ཅེས་,K,,,,,,≡,,,p=n d 80.00%,p རྡོ་རྗེའི(5673), ཀྱི་རྡོ་རྗེའི(161); d རྡོ་རྗེ(204), ཀྱི་རྡོ་རྗེ(580); n རྡོ་རྗེའི(5673), ཀྱི་རྡོ་རྗེའི(161); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,6
སེམས་ནི་ལུས་ཀྱིས་བཅིངས། །སེམས་མེད་ཁམས་ནི་,ཁེད་པ ར་,,བདེ་བ ར་,ཁེད་པ ར་,འཇུག །དེ་ཕྱིར་སེམས་ནི་ཀུན་དུ་བསྲུང་། །,K,,,,,,≡,,,p=n d 80.00%,p ; d བདེ་བར(5801), ནི་བདེ་བར(186); n ; ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,7
སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ,,,,,,K,,,,,,,[ ],,p=d=n 10.00%,p (1), །།(216); d (1), །།(216); n (1), །།(216); ,1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,10
