Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དང་ཏིལ་མར་ལ་སོགས་པ་ལ་ཀུ་ཤའི་པིར་,གྱི་,,གྱིས་,གྱི་,ཁྲུས་བྱ་ཞིང་སྔགས་འདི་བརྗོད། ན་མོ་སརྦ་,K,p,,,,,,,,p=n ཞོལ་=d 86.61%,p གྱི(3024); ཞོལ་: གྱིས(7492); d གྱིས(7492); n གྱི(3024); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,72
ལ་བདག་གིས་དཀྱིལ་འཁོར་བསྒྲུབ་སྟེ། བདག་ཉིད་,ཀྱི་,,,ཀྱི་,དཀྱིལ་འཁོར་མཆོད་པ་རྫོགས་པའི་རྗེས་ལ་རབ་གནས་,K,p,,,,,,,,p=n ཞོལ་=d 86.61%,p ཀྱི(5256), བདག་ཉིད་ཀྱི(54), ཀྱི་དཀྱིལ་འཁོར(1614); ཞོལ་: (1), བདག་ཉིད(208), དཀྱིལ་འཁོར(79); d (1), བདག་ཉིད(208), དཀྱིལ་འཁོར(79); n ཀྱི(5256), བདག་ཉིད་ཀྱི(54), ཀྱི་དཀྱིལ་འཁོར(1614); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,76
། །ཁྱུང་དང་མཐུ་ཆེན་བསྡིགས་ཤིང་བྲབ། །མདོངས་,ཀྱི་,,ཀྱིས་,ཀྱི་,དུད་ཁུང་ལྟ་བུར་བྱབ། །རླུང་གི་དཀྱིལ་འཁོར་བསྐྱོན་བྱས་,K,p,,,,,,,,p=n ཞོལ་=d 86.61%,p ཀྱི(5256); ཞོལ་: ཀྱིས(6156); d ཀྱིས(6156); n ཀྱི(5256); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,112
ཅིང་འབྲེལ་པའི་ཐབས། །རིགས་ལ་རིན་ཆེན་གཏེར་,གྱི་,,གྱིས་,གྱི་,གཟེར། །གདོན་ལ་བྱབ་བསྲུངས་ལྷ་ཡི་སྔགས། །,K,p,,,,,,,,p=n ཞོལ་=d 86.61%,p གྱི(3024), གཏེར་གྱི(103); ཞོལ་: གྱིས(7492); d གྱིས(7492); n གྱི(3024), གཏེར་གྱི(103); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,125
ཀྵ་ཡ། ཛྲི་རྦམ་བ་ར་དེ་སྭཱ་ཧཱ། ཆུ་ལ་བཏབ་,ཏེ་,,སྟེ་,ཏེ་,གཏོར་ན་བཅིངས་པ་ལས་རྣམ་པར་གྲོལ་ལོ། །,K,,✘,,,,,,,p=n ཞོལ་=d 86.61%,p ཏེ(80365), ཏེ་གཏོར(53); ཞོལ་: སྟེ(27897), བཏབ་སྟེ(264); d སྟེ(27897), བཏབ་སྟེ(264); n ཏེ(80365), ཏེ་གཏོར(53); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,55
ཤེས་བདུད་རྩིར་བྱིན་བརླབས་ལ། །རྡོ་རྗེ་ཁོང་,སེང་ ཡེ་ཤེས་ ལྕགས,,#གསེང་ ཡེ་ཤེས་ ལྗགས(གསེད་),སེང་ ཡེ་ཤེས་ ལྕགས,། །ཧཱུཾ་མཛད་སྔགས་འདིས་གསོལ་བར་བསམ། །ཨོཾ་,K,,,ངད,,,,,,p=n ཞོལ་=d 86.61%,p ; ཞོལ་: ; d ; n ; ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,16
སྒྱེད། །ཨ་ལས་ཐོད་པའི་གཞལ་ཡས་སུ། །,ཤ་,,#ཤུ་,ཤ་,དང་བི་མུ་མ་ར་ལས། །ན་དང་གོ་,K,,,nw✓,,,,,,p=n ཞོལ་=d 86.61%,p ཤ(333), །_།ཤ(3307), ཤ་དང(898), །_།ཤ་དང(81); ཞོལ་: ཤུ(31), །_།ཤུ(85), ཤུ་དང(166); d ཤུ(31), །_།ཤུ(85), ཤུ་དང(166); n ཤ(333), །_།ཤ(3307), ཤ་དང(898), །_།ཤ་དང(81); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,13
གྱི་མཆོད་པ་ནི། ཨ་མྲྀ་ཏ་པཱུ་ཛ་,ཛ འོ,,#ཧོ,ཛ འོ,། །རཀྟའི་མཆོད་པ་ནི། རཀྟ་པི་པ་ཏ་,K,,,nw✓,,,,,,p=n ཞོལ་=d 86.61%,p ཛའོ(4); ཞོལ་: ཧོ(330), ཧོ།_།(147); d ཧོ(330), ཧོ།_།(147); n ཛའོ(4); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,19
ལོ། །ཨོཾ་ཏ་རི་ནི་ཏ་ར་ཡ། ,,,ནི་ མོ་ #ཙ་,ནི་ མོ་ #ཙ་,མོ་ཙ་ཡ། མོ་ཀྵ་ནི་མོ་ཀྵ་ཡ,K,,,nw✓,,,,,,p ཞོལ་=d=n 1.57%,p (1), ཡ(7515), ཙ(240), ཙ་ཡ(47); ཞོལ་: ; d ; n ; ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,57
པའི་སྔགས་མངོན་པར་བྲིས་ལ། སྤྲ་ཚིལ་གྱིས་,#བཏུམས་,,#གཏུམས་,#བཏུམས་,ཏེ་དྲི་ཞིམ་པོས་བཀང་བའི་ཆུའི་བུམ་པར་བླུགས་,K,,,nw✓,,,,,,p=n ཞོལ་=d 86.61%,p བཏུམས(1); ཞོལ་: གཏུམས(22); d གཏུམས(22); n བཏུམས(1); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,60
གསེར་དང་མུ་ཏིག་ཅན། །རིན་ཆེན་སིལ་མ་,#དཔུངས་,,སྤུང་,#དཔུངས་,བར་བཀྲུ། །ཇི་ལྟར་བལྟམས་པའི་ཚིགས་བཅད་བརྗོད,K,,,nw✓,,,,,,p=n ཞོལ་=d 86.61%,p ; ཞོལ་: སྤུང(16); d སྤུང(16); n ; ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,70
བརྗོད། །ལུགས་མ་བཀྲུ་ཞིང་མེ་ལོང་ལ། །,པ་ #ཏི་,,པོ་ཏི་,པ་ #ཏི་,ལྷ་ཁང་བཀྲུ་བྱའོ། །ཁྲུས་བྱེད་ན་བཀྲ་ཤིས་,K,,,nw✓,,,,,,p=n ཞོལ་=d 86.61%,p པ་ཏི(94); ཞོལ་: པོ་ཏི(40); d པོ་ཏི(40); n པ་ཏི(94); ,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།,71
