Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཡོངས་སུ་ཀླུབས། །དེ་ནས་རང་གི་བསམ་པ་,རྫོགས །།,,རྫོགས་ སོ _།།,རྫོགས །།,ལྷག་པའི་ཏིང་འཛིན་གསལ་བར་ཤེས། །དབང་བསྐུར་,K,p,,,,,,,,p=n d 88.00%,p ; d ; n ; ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,7
བསྡུས་ས་ཚོན་ཆུ་ལ་དབོ། །འདི་བརྩམས་པ་,ཡི་,,ཡང་,ཡི་,དགེ་བ་ཡིས། །བདག་དང་ཁམས་གསུམ་སེམས་ཅན་,K,,≠,,,,,,,p=n d 88.00%,p ཡི(8322); d ཡང(82), ཡང་དགེ་བ(64); n ཡི(8322); ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,23
,#ཏིཥྛ་ མ་ #ཧཱ་ #སི་ #ཏི་,,#པྲ་ #ཏིཥྛ་,#ཏིཥྛ་ མ་ #ཧཱ་ #སི་ #ཏི་,ཨ་ལཾ་ཀཱ་ར། བོད་སྐད་དུ། རབ་,K,,,,✓,,,,,p=n d 88.00%,p ; d ; n ; ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,1
། །སྐུ་ནི་རྟག་པའི་རང་བཞིན་ནོ། །ཚ་,#སཱཙྪ་,,ཚ་ ཚ་,#སཱཙྪ་,མཆོད་རྟེན་ལ་སོགས་པ། །སངས་དེ་ཞུ་ནས་,K,,,,✓,,,,,p=n d 88.00%,p ; d ; n ; ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,8
དེ་ཞུ་ནས་ལྕེ་ལས་ནི། །ཡེ་ཤེས་ཚ་,#སཱཙྪ་,,ཚ་ ཚ་,#སཱཙྪ་,མཆོད་རྟེན་གྱི། །འབྱུང་བའི་རྒྱུ་རུ་རྣམ་པར་,K,,,,✓,,,,,p=n d 88.00%,p ; d ; n ; ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,9
། ན་མོ་སྶཾ་གྷཱ་ཡ། ཨ་དནྟེ། ,ད་,,#དྷ་,ད་,ར་ནི། ཏདྱ་ཐཱ། ཨཱ་ཀཪྵ་ཎི། ,K,,,,✓,,,,,p=n d 88.00%,p ད(194), ད་ར(71), །_ད(3260), །_ད་ར(58); d དྷ(248), །_དྷ(422), དྷ་ར(361), །_དྷ་ར(182); n ད(194), ད་ར(71), །_ད(3260), །_ད་ར(58); ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,17
ནི། ཏདྱ་ཐཱ། ཨཱ་ཀཪྵ་ཎི། སྭ་,#སྭ་ #སྭརྦྦ་བ་,,#སྭ་ #བྷ་བ་,#སྭརྦྷ་བ་,བ་སརྦ་དྷརྨཱ། ནིས་སརྦ། ཨིས་མ་ཐི,K,,,,✓,,,,,p d n 4.00%,p ; d ; n ; ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,18
ཤ་ན། བི་མ་ལ་སུ་པ་རི་དྷརྨཱ་,ཀ་ #ཏི་,,#ཀརྟི་,ཀ་ #ཏི་,ཀ་ན།བ་ལ་ནིཥྐ། ཡ་ཐ་མ་ལེ,K,,,,✓,,,,,p=n d 88.00%,p ཀ་ཏི(122); d ཀརྟི(6); n ཀ་ཏི(122); ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,19
ལ་སུ་པ་རི་དྷརྨཱ་ཀརྟི་ཀ་ན།བ་,ནི ས་ #ཤྐ,,ལ་ #ནིཥྐ,ནི ས་ #ཤྐ,། ཡ་ཐ་མ་ལེ། ཙ་ལེ་ཙ་ལེ་,K,,,,✓,,,,,p=n d 88.00%,p ; d ; n ; ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,20
ཧུ་ལུ་ཧུ་ལུ། བི་ཤད་དེ། མནྟྲ་,#མནྟྲ་,,#མནྟྲས་,#མནྟྲ་,སྭཱ་ཧཱ། སྟོང་དང་བརྒྱ་ཡི་བཟླས་པ་ཡིས,K,,,,✓,,,,,p=n d 88.00%,p མནྟྲ(25); d ; n མནྟྲ(25); ,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།,21
