Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྔགས་ཀྱི་འོད་ཟེར་བདག་གི་ཞལ་ནས་ལྷ་མོའི་,ཞལ,ཞལ་ དུ,ཞལ་ དུ,ཞལ་ དུ,། ལྷ་མོའི་ཞལ་ནས་བདག་གི་ཐུགས་ཀར་ཐིམ་,K,p,,,,,,,,c=d=n p 32.14%,c ཞལ་དུ(273); p ཞལ(228); d ཞལ་དུ(273); n ཞལ་དུ(273); ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,17
གསུམ་བསྒྲུབས་ན་སྐྱེ་བ་དྲན་པར་འགྱུར་རོ། །ཉི་མ་བཞི་ཡིས་སངས་རྒྱས་དང་པྲ་པྲཛྙཱ་མཉམ་པར་,འགྱུར་ རོ,འགྱུར་ རོ,འགྱུར་ རོ,འགྱུར,ལྔ་ཡིས་མ་བསླབས་པའི་ཆོས་ལ་མཁས་པར་འགྱུར་,K,p,,,,,,,,c=p=d n 14.29%,c འགྱུར་རོ(2600), འགྱུར་རོ།_།(48576); p འགྱུར་རོ(2600), འགྱུར་རོ།_།(48576); d འགྱུར་རོ(2600), འགྱུར་རོ།_།(48576); n འགྱུར(31151), འགྱུར།_།(18273), མཉམ་པར་འགྱུར།_།(52); ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,21
རི་ལུ་ལ་བསྟིམ་རིལ་བུ་དེ་སྒྲུབ་པ་པོས་,ཟོས་པ,ཟོས་པ ས,ཟོས་པ ས,ཟོས་པ ས,། འཇམ་པའི་དབྱངས་དང་ཤེས་རབ་མཉམ་པར་འགྱུར་,K,p,,,,,,,,c=d=n p 32.14%,c ཟོས་པས(94); p ཟོས་པ(429); d ཟོས་པས(94); n ཟོས་པས(94); ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,22
བརྒྱད་བརྒྱར་འགྲོ། །དགུ་བཅུ་ལོན་པ་བཅུ་དྲུག་,ལྟ་བུ ར་,ལྟ་བུ་,ལྟ་བུ་,ལྟ་བུ ར་,འགྱུར།། །།སྐྲ་དཀར་བུད་ནས་ནག་པོར་འགྱུར། །,K,p,,,,,,,,c=d p=n 17.86%,c ལྟ་བུ(1179); p ལྟ་བུར(191), ལྟ་བུར་འགྱུར(58); d ལྟ་བུ(1179); n ལྟ་བུར(191), ལྟ་བུར་འགྱུར(58); ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,23
བོད་སྐད་དུ། འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་,འཕེལ་,འཕེལ་བ་,འཕེལ་བ་,འཕེལ་,ཞེས་བྱ་བ། བཅོམ་ལྡན་འདས་འཇམ་པའི་མགོན་ལ་,K,,པ་བ་,,,,s,,,c=d p=n 17.86%,c འཕེལ་བ(1664); p འཕེལ(262); d འཕེལ་བ(1664); n འཕེལ(262); ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,2
སྤང་རྒྱན་དཀར་པོ། ཙནྡན་དཀར་པོ་རྣམས་པ་,དམར་ མོ འི་,དམར་པོ འི་,དམར་པོ འི་,དམར་ མོ འི་,འོ་མས་སྦྲུས་ཏེ། རིལ་བུ་སྲན་མ་ཙམ་,K,,≠,,,,,,,c=d p=n 17.86%,c དམར་པོའི(425); p ; d དམར་པོའི(425); n ; ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,6
བསྟན་བཅོས་ཐམས་ཅད་ལ་མཁས་པར་འགྱུར་རོ། །,,གསུམ་ བསྒྲུབས་ ན་ སྐྱེ་བ་ དྲན་པ ར་ འགྱུར་ རོ །_། ཉི་མ་,གསུམ་ བསྒྲུབས་ ན་ སྐྱེ་བ་ དྲན་པ ར་ འགྱུར་ རོ །_། ཉི་མ་,གསུམ་ བསྒྲུབས་ ན་ སྐྱེ་བ་ དྲན་པ ར་ འགྱུར་ རོ །_། ཉི་མ་,བཞི་ཡིས་སངས་རྒྱས་དང་པྲ་པྲཛྙཱ་མཉམ་པར་འགྱུར་རོ,K,,,nw✘,,,,,,c=d=n p 32.14%,c ; p (1), བཞི(541), ཉི་མ(6125); d ; n ; ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,19
,ནི་ #སྭཱ་ #ཧཱ་ ན་ མ,ན་ ནཱ་མ,ན་ ནཱ་མ,ན་ ནཱ་མ,། བོད་སྐད་དུ། འཇམ་དཔལ་རྡོ་རྗེ་བློ་,K,,,,✓,,,,,c=d=n p 32.14%,c ; p ; d ; n ; ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,1
གཉིས་ཞལ་སྦྱོར་གྱི་ཙ་ཀ་ལི་ཅིག་བཞུགས་པར་,#སྭཱ་ #བྷཱ་བ་ #བི་ ཤུད་ #དྷ་ སརྦ་ #དྷརྨཱ་ #སྭཱ་ #བྷ་བ་ #བི་ ཤུད་ #དྷོ་ #ཧཾ་,#སྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྡྷཿསརྦ་ #དྷ་ #རྨཱཿསྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷོ྅ཧཾ་,#སྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྡྷཿསརྦ་ #དྷ་ #རྨཱཿསྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷོ྅ཧཾ་,#སྭཱ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷཿསརྦ་ #དྷརྨཱཿསྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷོ྅ཧཾ་,གི་སྔགས་ཀྱིས་ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དུ་,K,,,,✓,,,,,c=d p n 28.57%,c ; p ; d ; n ; ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,8
དུ་ཨ་ལས་ཟླ་བའི་དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་,#དྷི་ སེར་པོ་,#དྷཱིཿསེར་པོ་,#དྷཱིཿསེར་པོ་,#དྷིཿསེར་པོ་,སེར་པོ་གུར་གུམ་གྱི་མདོག་ཅན་ཅིག་བསམ། ,K,,,,✓,,,,,c=d p n 28.57%,c ; p ; d ; n ; ,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,10
