Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མ་སྟོང་དང་ལྡན་པ་ཅིག་ཏུ་བསམ། དེ་,ལས་,,ལས་,ལ་,འོད་ཟེར་འཕྲོས་པས་སེམས་ཅན་ཐམས་ཅད་འཕགས་པ་སྤྱན་,K,g,,,,,,,,p=d n 29.21%,p ལས(5885), དེ་ལས(5447), ལས་འོད(312); d ལས(5885), དེ་ལས(5447), ལས་འོད(312); n ལ(33965), དེ་ལ(763), ལ་འོད(374), དེ་ལ་འོད(43); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,52
། །གནས་དང་དུས་ཐམས་ཅད་དུ་རྒྱལ་པོའི་བགེགས་,ལས་,,ལས་,ལ་,ཐར་བར་འདོད་ན་དགྲ་སྟ་ཐོགས་པའི་ཕྱག་ལ་,K,g,,,,,,,,p=d n 29.21%,p ལས(5885), ལས་ཐར་བ(64); d ལས(5885), ལས་ཐར་བ(64); n ལ(33965); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,116
གིས་བྱུགས་ཏེ་ལུང་བསྟན་པར་འདོད་ན་སྤྱི་བོ་,ན་,,ན་,ནས་,སྤྲུལ་པའི་སངས་རྒྱས་ཐོགས་པའི་ཕྱག་ལ་མཆོད་དོ,K,g,,,,,,,,p=d n 29.21%,p ན(73509); d ན(73509); n ནས(35333), སྤྱི་བོ་ནས(323); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,131
ལས་སངས་རྒྱས་རེ་རེ་སྤྲུལ་ཏེ། དེ་དག་,ལ་,,ལས་,ལ་,བསྐལ་པ་བཟང་པོའི་སངས་རྒྱས་སྟོང་འབྱུང་ངོ་། །,K,g,,,,,,,,p=n d 33.71%,p ལ(33965), དེ་དག་ལ(229), ལ་བསྐལ་པ(109); d ལས(5885), དེ་དག་ལས(54); n ལ(33965), དེ་དག་ལ(229), ལ་བསྐལ་པ(109); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,152
བ་ཡིས། །སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་དྲན་,ནས་,,ན་,ནས་,ནི། །ཆུ་བཏབ་བཞིན་དུ་མེད་གཞི་བར་འགྱུར,K,g,,,,,,,,p=n d 33.71%,p ནས(35333), ནས་ནི(1022), དྲན་ནས(145); d ན(73509), ན་ནི(3673), དྲན་ན(72); n ནས(35333), ནས་ནི(1022), དྲན་ནས(145); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,165
ན་ཡང་། །སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་དྲན་,ནས་,,ན་,ནས་,ནི། །ཆུ་ཡི་ནང་དུ་ནམ་ཡང་མི་འཆིའོ,K,g,,,,,,,,p=n d 33.71%,p ནས(35333), ནས་ནི(1022), དྲན་ནས(145); d ན(73509), ན་ནི(3673), དྲན་ན(72); n ནས(35333), ནས་ནི(1022), དྲན་ནས(145); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,166
ཆུབ་སེམས་དཔའ་ནི། སྣ་ཚོགས་ཐབས་མཁས་པ་,ཡི་,,ཡིས་,ཡིས་,ཕན་མཛད་དང་། །ཕྱོགས་བཅུའི་ལོ་ཀ་དག་ལ་,K,p,,,,,,,,p d=n 26.97%,p ཡི(8322); d ཡིས(7433), མཁས་པ་ཡིས(79); n ཡིས(7433), མཁས་པ་ཡིས(79); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,27
ཅན་ཐམས་ཅད་ལ་ནི་ཕན་པའི་ཕྱིར། །བདག་,གིས་,,གིས་,གི་,དགེ་བ་གང་དག་ཅི་བསགས་པ། །སྐྱེ་བ་,K,p,,,,,,,,p=d n 29.21%,p གིས(2588), བདག་གིས(13868), གིས་དགེ་བ(48); d གིས(2588), བདག་གིས(13868), གིས་དགེ་བ(48); n གི(1276), བདག་གི(11456); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,38
རྒྱན་སྤངས་པ་དབུའི་ཐོར་ཚུགས་དང་ལྡན་པའོ། །,དེ་,,དེ་,དེ ས་,ནི་སྐྱེ་བ་རྣམ་པ་བཞིས་སངས་རྒྱས་སྒྲུབ་པར་,K,p,,,,,,,,p=d n 29.21%,p དེ(1), །_།དེ(137195), དེ་ནི(35963), །_།དེ་ནི(6012); d དེ(1), །_།དེ(137195), དེ་ནི(35963), །_།དེ་ནི(6012); n དེས(1023), དེས་ནི(2092), །_།དེས(6698), །_།དེས་ནི(1043); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,58
ཐུགས་ཀར་ཐལ་མོ་སྦྱར་བ། དེའི་འོག་མ་,གཡོན་པ་,,གཡོན་པ ས་,གཡོན་པ་,གསེར་གྱི་པདྨ་རྩ་བ་དང་བཅས་པ་འཛིན་པ,K,p,,,,,,,,p=n d 33.71%,p གཡོན་པ(1041); d གཡོན་པས(419); n གཡོན་པ(1041); ,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།,59
