Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དུག་ལྔ། །རྣམ་སྨིན་ལུས་ཀྱིནད་ལྔ་བསྲེགདེ་,ཡིས་,,ཡིས་,ཡི་,དེ་དག་བསྲེགས་ནས་ཀྱང་། །ལྷག་མ་ལུས་པར་,K,p,,,,,,,,p=d n 29.41%,p ཡིས(7433); d ཡིས(7433); n ཡི(8322); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,5
ཟླ་དྲུག་བསྙེན་པ་དེ་ལྡན་ན། །ཐུན་མོང་མཆོག་,གི་,,གི་,གིས་,དངོས་གྲུབ་འགྲུབ། །དེས་ན་བསྒྲུབ་བྱ་འདྲེན་པའི་,K,p,,,,,,,,p=d n 29.41%,p གི(1276), གི་དངོས(681), མཆོག་གི(3134), མཆོག་གི་དངོས(95), མཆོག་གི་དངོས་གྲུབ(91); d གི(1276), གི་དངོས(681), མཆོག་གི(3134), མཆོག་གི་དངོས(95), མཆོག་གི་དངོས་གྲུབ(91); n གིས(2588), མཆོག་གིས(106), གིས་དངོས(100); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,12
འདྲེན་པའི་ལྷ། །དགེ་སློང་དཔལ་དང་ལྡན་པ་,ཡིས,,ཡི,ཡི,། །ཀླུ་ཞེས་བྱ་བས་དེ་སྐད་གསུངས། །སྐྱབས་,K,p,,,,,,,,p d=n 47.06%,p ཡིས(7433), ཡིས།_།(7321), ལྡན་པ་ཡིས(212), ལྡན་པ་ཡིས།_།(212), དང་ལྡན་པ་ཡིས།_།(85); d ཡི(8322), ཡི།_།(8252), ལྡན་པ་ཡི(318), ལྡན་པ་ཡི།_།(318), དང་ལྡན་པ་ཡི།_།(134); n ཡི(8322), ཡི།_།(8252), ལྡན་པ་ཡི(318), ལྡན་པ་ཡི།_།(318), དང་ལྡན་པ་ཡི།_།(134); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,14
རིག་པ་འཛིན་པས། བསམ་གཏན་གྱི་ཁང་པར་,#མཎྜལ་,,#མཎྜལ་,#མནྚལ་,སྔོན་པོ་བྱ་སྟེ། མཆོད་རྟེན་སྔོན་པོ་དང་,K,,,,✓,,,,,p=d n 29.41%,p མཎྜལ(7); d མཎྜལ(7); n ; ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,1
མ་ལུས་པར་གྱུར་པ་རྣམས། །སྤོགས་པ་ཡི་,ནི་,,ནི་,#༼ནི་,སྦྱོར་བས་བསྲེག །བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་,K,,,,✓,,,,,p=d n 29.41%,p ནི(44237), ཡི་ནི(1724), ནི་སྦྱོར་བ(132); d ནི(44237), ཡི་ནི(1724), ནི་སྦྱོར་བ(132); n ; ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,6
དང་ཀླུ་དུག་ལྔ། །རྣམ་སྨིན་ལུས་ཀྱིནད་ལྔ་,སྲེག,,བསྲེག,བསྲེག,དེ་ཡིས་དེ་དག་བསྲེགས་ནས་ཀྱང་། །ལྷག་མ་,K,,,,,⟶,,,,p d=n 47.06%,p སྲེག(82), སྲེག_།(81); d བསྲེག(120), བསྲེག_།(120); n བསྲེག(120), བསྲེག_།(120); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,4
རབ་ཏུ་སྤང་། །གཞན་གྱི་གཏམ་གྱིས་བར་མི་,གཅད,,བཅད,གཅད,། །བདུད་དང་རྡོ་རྗེ་འཛིན་པའི་ལམ། །བླ་,K,,,,,⟶,,,,p=n d 17.65%,p གཅད(86), མི་གཅད(98), གཅད།_།(77); d བཅད(167), བཅད།_།(108); n གཅད(86), མི་གཅད(98), གཅད།_།(77); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,8
དགེ་བ་བསྔོ། །རྟགས་རྣམས་སྒྱུ་མ་ལྟ་བུར་,བཟུང,,གཟུང,གཟུང,། །དད་ལྡན་བརྩོན་བྱས་ཡིད་ཆེས་ན། །གདོན་,K,,,,,⟶,,,,p d=n 47.06%,p བཟུང(11), བཟུང་།_།(178); d གཟུང(5), གཟུང་།_།(323); n གཟུང(5), གཟུང་།_།(323); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,10
ཐུན་མོང་མཆོག་གི་དངོས་གྲུབ་འགྲུབ། །དེས་ན་,སྒྲུབ་,,བསྒྲུབ་,བསྒྲུབ་,བྱ་འདྲེན་པའི་ལྷ། །དགེ་སློང་དཔལ་དང་ལྡན་,K,,,,,⟶,,,,p d=n 47.06%,p སྒྲུབ(176); d བསྒྲུབ(271), བསྒྲུབ་བྱ(368); n བསྒྲུབ(271), བསྒྲུབ་བྱ(368); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,13
བྱ། །དེ་ནས་སྤྱོད་ལམ་དུས་དག་ཏུ། །,སྐྱེད་,,བསྐྱེད་,བསྐྱེད་,མི་དམིགས་རྒྱས་བཏབ་ལ། །བརྒྱ་པས་བཤགས་ཤིང་,K,,,,,≠,,,,p d=n 47.06%,p སྐྱེད(412), །_།སྐྱེད(201), སྐྱེད་མི(40); d བསྐྱེད(673), །_།བསྐྱེད(181); n བསྐྱེད(673), །_།བསྐྱེད(181); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,9
པོ་བྱ་སྟེ། མཆོད་རྟེན་སྔོན་པོ་དང་། ,རྟ་,,གཏའ་,རྟ་,གཏོར་དང་། བུམ་པ་དང་།མཆོད་རྫས་དང་། རྟེན་ཁྱད་,K,,,,,,≡,,,p=n d 17.65%,p རྟ(28), །_རྟ(681); d གཏའ(13); n རྟ(28), །_རྟ(681); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,2
བར་ཆད་རབ་ཏུ་སྤང་། །གཞན་གྱི་གཏམ་གྱིས་,བར་,,བར་,རབ་,མི་བཅད། །བདུད་དང་རྡོ་རྗེ་འཛིན་པའི་ལམ,K,,,,,,≡,,,p=d n 29.41%,p བར(1385), བར་མི(14206), གྱིས་བར(40); d བར(1385), བར་མི(14206), གྱིས་བར(40); n རབ(57), རབ་མི(100), གྱིས་རབ(403); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,7
ཤིན་ཏུ་དད་པས་འབད་དེ་བསྒྲུབ། །ཟླ་དྲུག་,གཉེན་པ་,,བསྙེན་པ་,བསྙེན་པ་,དེ་ལྡན་ན། །ཐུན་མོང་མཆོག་གི་དངོས་གྲུབ་,K,,,,,,≡,,,p d=n 47.06%,p ; d བསྙེན་པ(559); n བསྙེན་པ(559); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,11
ཐབས་ཀྱི་བསྲུང་བའོ། །ཤེས་རབ་ཟུང་འཇུག་ལམ་,བསྒོམ་ སྟེ,,བསྒོམས་ ཏེ,བསྒོམས་ ཏེ,། །སྐྱོན་སྤངས་སྔགས་བཟླས་དགེ་བ་བསྔོ། །ཡན་,K,,,,,,≡,,,p d=n 47.06%,p ; d བསྒོམས་ཏེ(186), བསྒོམས་ཏེ།_།(89); n བསྒོམས་ཏེ(186), བསྒོམས་ཏེ།_།(89); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,15
མཆོད་རྟེན་སྔོན་པོ་དང་། གཏའ་གཏོར་དང་། ,,,བུམ་པ་ དང ་།,,མཆོད་རྫས་དང་། རྟེན་ཁྱད་པར་ཅན་བཞག་ལ,K,,,,,,s,,,p=n d 17.65%,p (1), །_(47), མཆོད(795), །_མཆོད(2249), དང་།_མཆོད(921); d ; n (1), །_(47), མཆོད(795), །_མཆོད(2249), དང་།_མཆོད(921); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,3
ནས་ཀྱང་། །གདུག་པའི་ནད་ལས་གྲོལ་བར་ཤོག,།།_།།_།,,_།,_།,སློབ་དཔོན་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་,K,,,,,,,[ ],,p d=n 47.06%,p ; d _།(50430), ཤོག_།(1450); n _།(50430), ཤོག_།(1450); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,16
འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ།། ,,,,,,K,,,,,,,[ ],,p=d=n 5.88%,p (1), །།(216); d (1), །།(216); n (1), །།(216); ,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།,17
