Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བའི། །སྒྲོལ་མ་དེ་ལ་ཕྱག་འཚལ་ལོ། །,དང་པོ ར་,,དང་པོ་,དང་པོ ར་,རེ་ཞིག་སྔགས་པས་ཡིད་དང་མཐུན་པའི་གནས་སུ་བུད་,K,p,,,,,,,,p=n d 25.76%,p དང་པོར(2250), །_།དང་པོར(1289), དང་པོར་རེ་ཞིག(75); d དང་པོ(193), །_།དང་པོ(667), དང་པོ་རེ་ཞིག(46); n དང་པོར(2250), །_།དང་པོར(1289), དང་པོར་རེ་ཞིག(75); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,6
ཞིག་སྔགས་པས་ཡིད་དང་མཐུན་པའི་གནས་སུ་བུད་མེད་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ཚོགས་ལ་སོགས་པ་དང་བྲལ་བར་སྟན་བདེ་བ་,K,p,,,,,,,,p=n d 25.76%,p ཀྱིས(6156), མེད་ཀྱིས(105); d ཀྱི(5256), མེད་ཀྱི(107), ཀྱི་ཚོགས(1531), མེད་ཀྱི་ཚོགས(44), བུད་མེད་ཀྱི་ཚོགས(44); n ཀྱིས(6156), མེད་ཀྱིས(105); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,8
འཁོར་གྱི་སྟེང་དུ་འོད་ཟེར་དང་བཅས་པའི་ཧྲཱིཿཡིག་,གིས་,,གི་,གིས་,ས་བོན་ལས་བྱུང་བའི་འོད་ཟེར་དམར་པོའི་ཚོགས་,K,p,,,,,,,,p=n d 25.76%,p གིས(2588), གིས་ས་བོན(44); d གི(1276), གི་ས་བོན(187); n གིས(2588), གིས་ས་བོན(44); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,9
གྱུར་པ་ལས་ཟླ་བ་ལ་གནས་པའི་ས་བོན་,གྱི་,,གྱི་,གྱིས་,འོད་ཟེར་རྣམས་ཀྱིས་སྔོན་བཞིན་དུ་འགྲོ་བ་རྣམས་,K,p,,,,,,,,p=d n 69.70%,p གྱི(3024), གྱི་འོད(527), ས་བོན་གྱི(279); d གྱི(3024), གྱི་འོད(527), ས་བོན་གྱི(279); n གྱིས(7492), གྱིས་འོད(233), ས་བོན་གྱིས(40); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,20
བ་ལ་གནས་པའི་ས་བོན་གྱི་འོད་ཟེར་རྣམས་,ཀྱིས་,,ཀྱིས་,ཀྱི་,སྔོན་བཞིན་དུ་འགྲོ་བ་རྣམས་གསལ་བར་མཛད་ནས,K,p,,,,,,,,p=d n 69.70%,p ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སྔོན(311), རྣམས་ཀྱིས་སྔོན(40); d ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སྔོན(311), རྣམས་ཀྱིས་སྔོན(40); n ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་སྔོན(428), རྣམས་ཀྱི་སྔོན(132); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,21
གདན་ལ་བཞུགས་པ། དར་དམར་པོའི་སྟོད་གཡོགས་,བྱས་པ་,,བྱས་པ ས་,བྱས་པ་,འོད་ཟེར་དམར་པོ་དང་ལྡན་པ། རིན་པོ་,K,p,,,,,,,,p=n d 25.76%,p བྱས་པ(1536); d བྱས་པས(395); n བྱས་པ(1536); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,24
ལའི་ཕྱག་རྒྱའོ། །དེའི་རྗེས་སུ། བྱང་ཆུབ་,རྡོ་རྗེ་,,རྡོ་རྗེ ས་,རྡོ་རྗེ་,སངས་རྒྱས་ལ། །ཇི་ལྟར་མཆོད་ཆེན་སྩལ་བ་,K,p,,,,,,,,p=n d 25.76%,p རྡོ་རྗེ(204), རྡོ་རྗེ་སངས་རྒྱས(92); d རྡོ་རྗེས(1965); n རྡོ་རྗེ(204), རྡོ་རྗེ་སངས་རྒྱས(92); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,39
གསུམ་ཀུན་གྱིས་ཕྱག་བྱས་པ། །སངས་རྒྱས་ཀུན་,གྱི་,,གྱི་,གྱིས་,གསང་གསུམ་གྱི། །གནས་ལས་བྱུང་བ་བདག་གིས་,K,p,,,,,,,,p=d n 69.70%,p གྱི(3024), གྱི་གསང(223), ཀུན་གྱི(88), ཀུན་གྱི་གསང(115), སངས་རྒྱས་ཀུན་གྱི་གསང(73); d གྱི(3024), གྱི་གསང(223), ཀུན་གྱི(88), ཀུན་གྱི་གསང(115), སངས་རྒྱས་ཀུན་གྱི་གསང(73); n གྱིས(7492), ཀུན་གྱིས(73); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,41
བྱུང་བ་བདག་གིས་སྦྱིན། །ཞེས་བརྗོད་པ་རྣམས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,སངས་རྒྱས་ཀྱི་བཀས་སྤྱན་མ་ལ་སོགས་པ་རྣམས་,K,p,,,,,,,,p=n d 25.76%,p ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སངས་རྒྱས(717), རྣམས་ཀྱིས་སངས་རྒྱས(160); d ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་སངས་རྒྱས(955), རྣམས་ཀྱི་སངས་རྒྱས(279), རྣམས་ཀྱི་སངས་རྒྱས་ཀྱི(248); n ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སངས་རྒྱས(717), རྣམས་ཀྱིས་སངས་རྒྱས(160); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,42
གི་མཐར་ཟླ་བ་ཡོངས་སུ་གང་བའི་མཚན་མོ་,རིལ་པོ ར་,,རིལ་པོ ར་,རིལ་པོ་,བཟླས་པར་བྱའོ། །དེ་ནས་ཕྱག་རྒྱ་འབར་ཏེ་,K,p,,,,,,,,p=d n 69.70%,p ; d ; n རིལ་པོ(236); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,60
། དེ་ལྟར་ཐུན་མཚམས་གསུམ་གྱི་རིམ་པས་ཁུར་བ་དང་ཀ་,ར་,,ར་,ར་བ་,ལ་སོགས་པའི་གཏོར་མ་དབུལ་བ་སྔོན་དུ་འགྲོ་བས་,K,,པ་བ་,,,,s,,,p=d n 69.70%,p ར(2609), ཀ་ར(225); d ར(2609), ཀ་ར(225); n ར་བ(2400); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,51
འབྱུང་བར་འགྱུར་རོ། །དེའི་རྗེས་ལ་ཟླ་བ་,དང་པོ་,,དང་པོ་,དང་བ་,ལ་ནད་ལ་སོགས་པ་བར་དུ་གཅོད་པ་བརྒྱ་,K,,≠,,,,,,,p=d n 69.70%,p དང་པོ(193), དང་པོ་ལ(58); d དང་པོ(193), དང་པོ་ལ(58); n དང་བ(51); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,54
དེ་ནས་ཚད་མེད་པའི་གནས་བཞི་བསྒོམ་པ་སྔོན་,དུ་ འགྲོ་བ ས །_ ཆོས་ ཐམས་ཅད་ སྟོང་པ་ཉིད་ དུ་,,དུ་ འགྲོ་བ ས །_ ཆོས་ ཐམས་ཅད་ སྟོང་པ་ཉིད་ དུ་,ཆོས་,བསྒོམ་ཞིང་། སྔགས་འདིས་བྱིན་གྱིས་བརླབ་པ་བརྗོད་པར་,K,,,nw✘,,,,,,p=d n 69.70%,p ; d ; n ཆོས(602); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,13
། ཧ་ཅང་སྐྱེན་མིན་བུལ་བའང་། །མི་གསལ་མ་ཡིན་,ཆ་ མཉམ་ མིན །_། ཡང་དག་ མ་ ཡིན་,,ཆ་ མཉམ་ མིན །_། ཡང་དག་ མ་ ཡིན་,,རྟོག་པ་སྤངས། ཨོཾ་ཀུ་རུ་ཀུལླེ་ཧྲཱིཿཧཱུཾ་སྭཱ་ཧཱ། ,K,,,nw✘,,,,,,p=d n 69.70%,p ; d ; n (1), ཡིན(32960), རྟོག་པ(179); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,47
འཚལ་ལོ། །དང་པོ་རེ་ཞིག་སྔགས་པས་ཡིད་དང་,#འཐུན་པ འི་,,མཐུན་པ འི་,#འཐུན་པ འི་,གནས་སུ་བུད་མེད་ཀྱི་ཚོགས་ལ་སོགས་པ་དང་,K,,,nw✓,,,,,,p=n d 25.76%,p འཐུན་པའི(1214), དང་འཐུན་པའི(387); d མཐུན་པའི(1540), དང་མཐུན་པའི(936); n འཐུན་པའི(1214), དང་འཐུན་པའི(387); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,7
མིང་མེད་དག་བཅུག་སྟེ། གུང་མོའི་རྒྱབ་ཏུ་,མཛུབ་མོ་,,མཛུབ་མོ་,#འཛུབ་ མོ་,གཉིས་གནས་ཤིང་མཐེབ་ཆེན་གཉིས་འོག་ཏུ་གཞུག་པ་དེ་ལྟ་བུའི་,K,,,nw✓,,,,,,p=d n 69.70%,p མཛུབ་མོ(1125), མཛུབ་མོ་གཉིས(427); d མཛུབ་མོ(1125), མཛུབ་མོ་གཉིས(427); n ; ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,36
སྤྱན་མ་ལ་སོགས་པ་རྣམས་ཀྱིས་དབང་བསྐུར་བ་,སྟེར་,,སྟེར་,#བསྟེར་,བར་བསམ་པར་བྱ་ཞིང་འོད་དཔག་མེད་དབུ་རྒྱན་,K,,,nw✓,,,,,,p=d n 69.70%,p སྟེར(275), སྟེར་བར(370); d སྟེར(275), སྟེར་བར(370); n བསྟེར(1); ,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,44
