Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བས། །སེམས་ཅན་བཀྲེས་པས་ཉེན་པར་གྱུར་པ་,ལས,ལ,ལ,ལས,། །ཟས་ནོར་ལུས་ཀྱི་སྒོ་ནས་ཕན་འདོགས་པ,K,g,,,,,,,,c=d p=n 78.18%,c ལ(33965), ལ།_།(14361), གྱུར་པ་ལ(119), གྱུར་པ་ལ།_།(75); p ལས(5885), ལས།_།(3638), གྱུར་པ་ལས(90), གྱུར་པ་ལས།_།(48); d ལ(33965), ལ།_།(14361), གྱུར་པ་ལ(119), གྱུར་པ་ལ།_།(75); n ལས(5885), ལས།_།(3638), གྱུར་པ་ལས(90), གྱུར་པ་ལས།_།(48); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,36
པར་གྱུར་པ་ལ། །ཟས་ནོར་ལུས་ཀྱི་སྒོ་,ན་,ནས་,ནས་,ནས་,ཕན་འདོགས་པ། །རྒྱལ་པོ་ཤུད་ལོ་གར་ནེ་,K,g,,,,,,,,c=d=n p 10.00%,c ནས(35333), ནས་ཕན(161), སྒོ་ནས(845); p ན(73509), ན་ཕན(225), སྒོ་ན(194); d ནས(35333), ནས་ཕན(161), སྒོ་ནས(845); n ནས(35333), ནས་ཕན(161), སྒོ་ནས(845); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,37
ཡིན། །དགེ་བ་ཉམ་ཆུང་སྡིག་པ་སྟོབས་ཆེན་,དག _།,དང ་།_།,དང ་།_།,དག _།,བླ་མེད་བྱང་ཆུབ་སེམས་ནི་མ་བསྐྱེད་པར། །,K,g,,,,,,,,c=d p=n 78.18%,c དང་།_།(32216), དང་།_།བླ(86), ཆེན་དང་།_།(310); p དག_།(5101); d དང་།_།(32216), དང་།_།བླ(86), ཆེན་དང་།_།(310); n དག_།(5101); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,50
རྟོགས་པར། །སྔགས་ཀྱི་ཏན་གན་ཆོས་སྤྱོད་འཕྲིགས་མཐོང་,ན,ནས,ནས,ན,། །བན་དེ་ལོག་ཆོས་སྤྱོད་ཅིང་རྩིང་ཆོས་བྱེད,K,g,,,,,,,,c=d p=n 78.18%,c ནས(35333), ནས།_།(9174), མཐོང་ནས(4492), མཐོང་ནས།_།(285); p ན(73509), ན།_།(11932), མཐོང་ན(1635), མཐོང་ན།_།(181); d ནས(35333), ནས།_།(9174), མཐོང་ནས(4492), མཐོང་ནས།_།(285); n ན(73509), ན།_།(11932), མཐོང་ན(1635), མཐོང་ན།_།(181); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,106
དཔེར་ན་ཆུ་འགྲམ་གཡང་སའི་སྡོང་པོ་འདྲ། །,རིང་པོ་,རིང་པོ ར་,རིང་པོ ར་,རིང་པོ་,མི་ཐོགས་བྱ་ཁྱི་ངུར་པ་དང་། །སྲིན་བྱ་,K,p,,,,,,,,c=d p=n 78.18%,c རིང་པོར(1042), །_།རིང་པོར(92), རིང་པོར་མི(329), །_།རིང་པོར་མི(89), །_།རིང་པོར་མི་ཐོགས(87); p རིང་པོ(2017), །_།རིང་པོ(51), རིང་པོ་མི(243); d རིང་པོར(1042), །_།རིང་པོར(92), རིང་པོར་མི(329), །_།རིང་པོར་མི(89), །_།རིང་པོར་མི་ཐོགས(87); n རིང་པོ(2017), །_།རིང་པོ(51), རིང་པོ་མི(243); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,16
ཝ་དང་འབུ་སྦྲང་གཟན་དུ་འགྱུར། །དེ་བཞིན་,སྒྱུ་མ ར་,སྒྱུ་མ་,སྒྱུ་མ་,སྒྱུ་མ ར་,མི་རྟག་མི་རྟོགས་པར། །ཕུང་པོ་འདི་ཡི་,K,p,,,,,,,,c=d p=n 78.18%,c སྒྱུ་མ(104); p སྒྱུ་མར(162); d སྒྱུ་མ(104); n སྒྱུ་མར(162); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,18
མཐོ་རིས་ཐོབ་པར་གདོན་མི་ཟ། །དེ་ཡང་,ཅི་,ཅི ས་,ཅི ས་,ཅི ས་,མངོན་སྟོན་པའི་བཀའ་ལས་ནི། །དང་པོ་རྒྱལ་,K,p,,,,,,,,c=d=n p 10.00%,c ཅིས(4); p ཅི(500); d ཅིས(4); n ཅིས(4); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,34
སྲོང་དག་ལས་སེམས་བསྐྱེད་ནས། །འགྱོད་པའི་སེམས་,ཀྱིས་,,,,ཀྱིས་འབྲས་བུ་ཐོབ་པ་འདྲའོ། །དེ་ཕྱིར་ངེས་,K,p,,,,,,,,c=d=n p 10.00%,c (1), ཀྱིས(6156), འབྲས་བུ(49); p ཀྱིས(6156); d (1), ཀྱིས(6156), འབྲས་བུ(49); n (1), ཀྱིས(6156), འབྲས་བུ(49); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,35
བུ་སྐྱེད་བྱེད་པས། །ཕ་མ་ས་མཁན་དུས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,དབྱར་དང་འདྲའོ། །དེ་ཕྱིར་དགེ་བཤེས་དམ་པ་,K,p,,,,,,,,c=d p=n 78.18%,c ཀྱི(5256), དུས་ཀྱི(2173); p ཀྱིས(6156), དུས་ཀྱིས(154); d ཀྱི(5256), དུས་ཀྱི(2173); n ཀྱིས(6156), དུས་ཀྱིས(154); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,40
ཡི་ཕྱིར་ན་མི་ཆོས་སོ་ནམ་འདྲ། །ཆོས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,བདག་བཤད་བདག་གིས་ཆོས་མ་བཤད། །དོན་རྟོགས་,K,p,,,,,,,,c=d p=n 78.18%,c ཀྱིས(6156), ཆོས་ཀྱིས(1404), ཀྱིས་བདག(1171); p ཀྱི(5256), ཆོས་ཀྱི(24644), ཀྱི་བདག(1640), ཆོས་ཀྱི་བདག(65); d ཀྱིས(6156), ཆོས་ཀྱིས(1404), ཀྱིས་བདག(1171); n ཀྱི(5256), ཆོས་ཀྱི(24644), ཀྱི་བདག(1640), ཆོས་ཀྱི་བདག(65); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,41
ཚ་གཉེན་འདུན་ཐམས་ཅད་དང་། །འཁོར་གཡོག་ལས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,འབྲེལ་པ་ཐམས་ཅད་ཀུན། །གྲོས་བཏབ་གལ་གྱིས་,K,p,,,,,,,,c=d p=n 78.18%,c ཀྱིས(6156), ལས་ཀྱིས(1492); p ཀྱི(5256), ལས་ཀྱི(7315), ཀྱི་འབྲེལ་པ(105); d ཀྱིས(6156), ལས་ཀྱིས(1492); n ཀྱི(5256), ལས་ཀྱི(7315), ཀྱི་འབྲེལ་པ(105); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,47
ཆུབ་སེམས་ནི་མ་བསྐྱེད་པར། །དགེ་བ་གཞན་,གྱིས་,གྱི་,གྱི་,གྱིས་,ཟིལ་གྱིས་མི་ནོན་པས། །འཁོར་བའི་བཙོན་ར་བསྡམས་,K,p,,,,,,,,c=d p=n 78.18%,c གྱི(3024), གཞན་གྱི(3364); p གྱིས(7492), གཞན་གྱིས(1902), གྱིས་ཟིལ(45); d གྱི(3024), གཞན་གྱི(3364); n གྱིས(7492), གཞན་གྱིས(1902), གྱིས་ཟིལ(45); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,51
སྡིག་མེད་དགེ་བའི་སེམས་དང་ལྡན་དེ་ལ། །,བདེ ར་,བདེ་,བདེ་,བདེ ར་,གཤེགས་རྣམས་ཀྱི་སྲས་སུ་དགོངས་པ་དང་། །ལྷ་,K,p,,,,,,,,c=d p=n 78.18%,c བདེ(366), །_།བདེ(4807), བདེ་གཤེགས(2106), །_།བདེ་གཤེགས(1401); p བདེར(455), །_།བདེར(93), བདེར་གཤེགས(143), །_།བདེར་གཤེགས(86); d བདེ(366), །_།བདེ(4807), བདེ་གཤེགས(2106), །_།བདེ་གཤེགས(1401); n བདེར(455), །_།བདེར(93), བདེར་གཤེགས(143), །_།བདེར་གཤེགས(86); ,1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།,55
