Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལྟར་དགོངས་མཛེས་ཀུན་ཁྱབ་དོན། །ཐེག་དགུའི་ལྟ་,རི་ མཁས་,,རིམ་ #སྐས་,,ཀྱི་གདང་ལྟ་བུ། །ཀུན་བཟང་དགོངས་དོན་རྡོ་,K,,,nw✓,,,,,,p d 94.44%,p ; d ; ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,1
ཁྱོད་ཀྱང་གལ་ཏེ་ལྷུན་གྲུབ་ན། །སྤྱོད་དང་,#འཕྲིན་ ལས་,,ཕྲིན་ལས་,,དང་ལེན་འཁྲུལ་། །བྱ་བ་མེད་པས་སྤྱོད་དོ་,K,,,nw✓,,,,,,p d 94.44%,p འཕྲིན་ལས(142); d ཕྲིན་ལས(1040); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,9
དེང་སང་དུས་ཀྱི་གང་ཟག་རྣམས། །མ་རིག་,#ལྷིང་ ཏོག་,,ལིང་ཏོག་,,མ་སོལ་བས། །ལྟ་བའི་ལ་ཤན་མ་ཕྱེད་,K,,,nw✓,,,,,,p d 94.44%,p ; d ལིང་ཏོག(68); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,12
བསྟན། །གང་དག་དམིགས་པ་དངོས་འདྲེས་པའི། །,#ལྷིང་,,#ལིང་,,ཐོག་བསལ་ཕྱིར་ཐུགས་འདྲ་འདིས། །རབ་རིབ་ནད་,K,,,nw✓,,,,,,p d 94.44%,p ལྷིང(3); d ལིང(515), །_།ལིང(57); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,17
ཀྱིས་། །བསླབ་པ་མེད་པའི་བསླབ་པ་ཉིད། །,བསླབ་,,བསླབས་,,རྣམས་འཇིགས་བྱེད་བསླབ་པའི་མཆོག །དངོས་པོ་སྤྱོད་,K,,,,,⟶,,,,p d 94.44%,p བསླབ(44), །_།བསླབ(297); d བསླབས(60); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,13
རང་རིག་གཉིས་མེད་དག་པ་འམ། །རྒྱུ་ལ་,རྟེན་,,བརྟེན་,,ནམ་རང་བྱུང་བའི། །གློ་བུར་བར་རམ་རང་,K,,,,,≠,,,,p d 94.44%,p རྟེན(218), ལ་རྟེན(864), རྟེན་ནམ(92); d བརྟེན(256), ལ་བརྟེན(91); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,3
སྤྱོད་བྱེད་འཁྲུལ། །དེས་ན་ད་དུང་ཤེད་མ་,བྱེད,,བྱེ,,། །བྱིས་པ་གཙོ་མཆོག་ཁྱེད་རྣམས་ཀྱིས། །གསང་,K,,,,,≠,,,,p d 94.44%,p བྱེད(19318), མ་བྱེད(146), བྱེད།_།(8016), མ་བྱེད།_།(95); d བྱེ(27), མ་བྱེ(227); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,5
རྣལ་འབྱོར་གཉིས། །གང་ལ་རུང་སྟེ་སྤོང་མི་,བྱེད,,ཕྱེད,,། །དེ་ཀུན་བྱང་ཆུབ་སྤྱོད་པའི་མཆོག །རྒྱ་,K,,,,,?,,,,p d 94.44%,p བྱེད(19318), བྱེད།_།(8016), མི་བྱེད(2318), མི་བྱེད།_།(575), མི་བྱེད།_།དེ(84); d ཕྱེད(103), ཕྱེད།_།(68), མི་ཕྱེད(766); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,4
པ། །གཉིས་མེད་རྣམ་དག་ཡེ་ཤེས་ལ། །,རྒྱུ་,,རྒྱུད་,,ནས་བསྐུར་སྣང་བདེན་ཞེ་ན། །རྒྱུའི་ཡེ་ཤེས་,K,,,,,?,,,,p d 94.44%,p རྒྱུ(523), །_།རྒྱུ(1553); d རྒྱུད(232), །_།རྒྱུད(678); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,8
རིན་ཆེན་ལྟ་བུའི་མཆོག།།འདི་ལ་སྒྲིབ་བྱེད་,ཆུབ་,,ཆུ་,,འབྲང་དང་། །ཆུ་སྲིན་ཉ་མིད་ལྟ་བུའི་དགྲ,K,,,,,,≡,,,p d 94.44%,p ཆུབ(55); d ཆུ(123); ,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།,2
