Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དབང་པོ་བཅུ་ཡི་དོན་རྣམས་ནི། །རང་གི་,གི་,,གིས་,,འཇུག་གནས་ཐམས་ཅད་ལས། །སོ་སོ་སོ་སོར་,K,p,,,,,,,,p d 90.91%,p གི(1276), རང་གི(12122); d གིས(2588), རང་གིས(930); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,1
རྗེའི་ལམ་ནས་ནི། །ནམ་མཁའི་ཁམས་སུ་སྤྲོ་,སྤྲོ་,,སྤོ་,,བར་བྱ། །གང་ཞིག་སྒོམ་པ་རྗེས་དྲན་པས,K,,,,,≠,,,,p d 90.91%,p སྤྲོ(232), སྤྲོ་བར(544); d སྤོ(5); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,4
ཤེས་པར་བྱ། །སངས་རྒྱས་ཐམས་ཅད་འབྱུང་ཞི་,ཞི་བ _།།,,བཞི་པ །།,,ནམ་མཁའ་ཀུན་ལ་རབ་ཏུ་གནས།༢ །,K,,,,,,≡,,,p d 90.91%,p ; d ; ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,2
།༢ །ཡེ་ཤེས་ལྔ་ལས་བྱུང་བའི་དབྱུགས,དབྱུགས,,དབུགས,, །།འབྱུང་བ་ལྔ་ཡི་རང་བཞིན་ཅན། །གོང་,K,,,,,,≡,,,p d 90.91%,p དབྱུགས(4); d དབུགས(9); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,3
།༥ །དེ་ལས་སོ་སོར་སྣང་བ་སྟེ,སྟེ,,སྐྱེ,, །།ཐབས་དང་ཤེས་རབ་སྙོམས་འཇུག་པས། །དངོས་,K,,,,,,≡,,,p d 90.91%,p སྟེ(27897), སྣང་བ་སྟེ(82); d སྐྱེ(779); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,5
ཀྱི་མཚན་ཉིད་ཅན་གང་ཡིན་པ་དེ་ནི་དཀའ་,དཀའ་བ་,,དགའ་བ་,,བ་འདྲ་བའོ། །དེ་ཁོ་ན་ཉིད་ལ་མངོན་,K,,,,,,≡,,,p d 90.91%,p དཀའ་བ(324), ནི་དཀའ་བ(132); d དགའ་བ(445), ནི་དགའ་བ(178); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,6
རང་སྔགས་སྙིང་ཁར་ནི། རང་གི་སྙིང་ཁའི་,ཁ འི་,,ག འི་,,པདྨ་དཀར་པོ་ལ་བསམས་ནས། སྲོག་ནི་ཐིག་,K,,,,,,≡,,,p d 90.91%,p ཁའི(292), སྙིང་ཁའི(40); d གའི(1712), སྙིང་གའི(188); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,7
ཆེ་སྟེ། སེམས་ཀྱི་རིན་པོ་ཆེ་ལ་སྲོགས་,སྲོགས་,,སྲོག་,,རྩོལ་དང་ལྷན་ཅིག་པས་འགག་པ་སྟེ་ནུབ་པར་,K,,,,,,≡,,,p d 90.91%,p སྲོགས(4); d སྲོག(31), ལ་སྲོག(253), སྲོག་རྩོལ(59); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,8
བྱ་ཞིང་། ཆོས་ཀྱི་སྐུའི་རང་བཞིན་གྱིས་ཁྱད་,ཁྱད་པར་,,ཁྱབ་པ ར་,,པར་བྱའོ། །འདི་ལྟར་བདག་ཉིད་འོད་གསལ་དུ་,K,,,,,,≡,,,p d 90.91%,p ཁྱད་པར(4944); d ཁྱབ་པར(1799); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,9
དང་གཡོ་བའོ། །ཐབས་དང་ཤེས་རབ་སྙོམས་པར་,སྙོམས་པར་,,སྙོམས་,,འཇུག་པ་ནི་ཀུན་རྫོབ་དང་དོན་དམ་པའི་སྦྱོར་,K,,,,,,s,,,p d 90.91%,p སྙོམས་པར(10343), སྙོམས་པར་འཇུག་པ(5707); d སྙོམས(27); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,10
གསང་འདུས་སྦྱོར་དྲུག་རྒྱུད་ལ་ཕྱག་འཚལ་ལོ།། །།,,,,,,K,,,,,,,[ ],,p=d 9.09%,p (1), །།_།།(7586); d (1), །།_།།(7586); ,1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།,11
