Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རིམ་པ་མཚུངས། །འདོད་ཆགས་དང་ནི་ཆགས་པ་,དང ་།,དག །,དག །,དག །,ལྷན་ཅིག་ཉིད་དུ་སྐྱེ་མི་རིགས། །འདི་ལྟར་,K,g,,,,,,,,c=ཞོལ་=d=n p 2.68%,c ; p དང་།(6355); ཞོལ་: ; d ; n ; ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,59
 །ཐ་དད་ཉིད་དུ་གྲུབ་འགྱུར་རམ། །དེས་,ན་,ན་,ན་,ནི་,དེ་གཉིས་ལྷན་ཅིག་འགྱུར། །གལ་ཏེ་འདོད་ཆགས་,K,g,,,,,,,,c=p=ཞོལ་=d n 6.97%,c ན(73509), ས་ན(194), ན་དེ(8710), དེས་ན་དེ(230); p ན(73509), ས་ན(194), ན་དེ(8710), དེས་ན་དེ(230); ཞོལ་: ན(73509), ས་ན(194), ན་དེ(8710), དེས་ན་དེ(230); d ན(73509), ས་ན(194), ན་དེ(8710), དེས་ན་དེ(230); n ནི(44237), ས་ནི(617), ནི་དེ(8942), དེས་ནི་དེ(111); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,63
སྐྱེད་པར་བྱེད་ཡིན་ན། །མར་མེ་དང་ནི་གང་དག་,ན,ན,ན,ནི,། །དེ་འདུག་པ་ན་མུན་པ་མེད། །མར་,K,g,,,,,,,,c=p=ཞོལ་=d n 6.97%,c ན(73509), ན།_།(11932), གང་དག་ན(88); p ན(73509), ན།_།(11932), གང་དག་ན(88); ཞོལ་: ན(73509), ན།_།(11932), གང་དག་ན(88); d ན(73509), ན།_།(11932), གང་དག་ན(88); n ནི(44237), ནི།_།(28227); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,75
། །མཐོ་རིས་འགྱུར་བའི་ལམ་མི་འཐད། །བྱ་བ་,དག་,དག་,དག་,དང་,ནི་ཐམས་ཅད་ཀྱང་། །དོན་མེད་ཉིད་དུ་ཐལ་,K,g,,,,,,,,c=p=ཞོལ་=d n 6.97%,c དག(5192), དག་ནི(15855), བྱ་བ་དག(469), བྱ་བ་དག་ནི(44); p དག(5192), དག་ནི(15855), བྱ་བ་དག(469), བྱ་བ་དག་ནི(44); ཞོལ་: དག(5192), དག་ནི(15855), བྱ་བ་དག(469), བྱ་བ་དག་ནི(44); d དག(5192), དག་ནི(15855), བྱ་བ་དག(469), བྱ་བ་དག་ནི(44); n དང(18517), དང་ནི(6235), བྱ་བ་དང(408); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,95
པར་བྱ་བའི་ཤིང་ལ་ཡང་། །མེ་མེད་པར་,ཡང་,ནི་,ནི་,ཡང་,འགྱུར་པ་ཡིན། །གལ་ཏེ་དངོས་པོ་གང་ལྟོས་,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c ནི(44237), ར་ནི(161); p ཡང(82); ཞོལ་: ནི(44237), ར་ནི(161); d ནི(44237), ར་ནི(161); n ཡང(82); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,122
། །གཉིས་ཀ་རྒྱུ་མེད་ཅན་དུ་འགྱུར། །གང་,ལས་,ལ་,ལ་,ལས་,སྔ་ཕྱི་ལྷན་ཅིག་གི། །རིམ་པ་དེ་དག་,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c ལ(33965), གང་ལ(85), ལ་སྔ(105); p ལས(5885), གང་ལས(600); ཞོལ་: ལ(33965), གང་ལ(85), ལ་སྔ(105); d ལ(33965), གང་ལ(85), ལ་སྔ(105); n ལས(5885), གང་ལས(600); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,135
བརྟེན་ནས་འབྱུང་མི་འགྱུར། །གང་ཕྱིར་ཕུང་པོ་,དེ་དག་,འདི་དག་,འདི་དག་,དེ་དག་,ལ། །བརྟེན་ནས་ཕུང་པོ་དེ་དག་འབྱུང་། །,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c འདི་དག(113), འདི་དག་ལ(646); p དེ་དག(179), དེ་དག་ལ(229); ཞོལ་: འདི་དག(113), འདི་དག་ལ(646); d འདི་དག(113), འདི་དག་ལ(646); n དེ་དག(179), དེ་དག་ལ(229); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,139
མ་ཡིན་པར་མ་ཟད་ཀྱི། །ཕྱི་རོལ་དངོས་པོ་,རྣམས་,དག་,དག་,རྣམས་,ལ་ཡང་། །རྣམ་པ་བཞི་པོ་ཡོད་མ་ཡིན,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c དག(5192), དག་ལ(672), དངོས་པོ་དག(74); p རྣམས(5469), རྣམས་ལ(895), དངོས་པོ་རྣམས(180); ཞོལ་: དག(5192), དག་ལ(672), དངོས་པོ་དག(74); d དག(5192), དག་ལ(672), དངོས་པོ་དག(74); n རྣམས(5469), རྣམས་ལ(895), དངོས་པོ་རྣམས(180); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,146
ཀྱིས་སྤྲུལ་ཞིང་། །སྤྲུལ་པ་དེ་ཡང་སྤྲུལ་པ་,ནི,ན,ན,ནི,། །སླར་ཡང་གཞན་ནི་སྤྲུལ་པ་ལྟར། །དེ་,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c ན(73509), ན།_།(11932); p ནི(44237), ནི།_།(28227), སྤྲུལ་པ་ནི(62); ཞོལ་: ན(73509), ན།_།(11932); d ན(73509), ན།_།(11932); n ནི(44237), ནི།_།(28227), སྤྲུལ་པ་ནི(62); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,195
། །དེ་དག་གྲུབ་པ་ཇི་ལྟར་ཡོད། །ཟད་,ལས་,ལ་,ལ་,ལས་,འབྱུང་བ་ཡོད་མ་ཡིན། །མ་ཟད་པ་ལའང་འབྱུང་བ་,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c ལ(33965), ཟད་ལ(73), ལ་འབྱུང་བ(106); p ལས(5885), ལས་འབྱུང་བ(181); ཞོལ་: ལ(33965), ཟད་ལ(73), ལ་འབྱུང་བ(106); d ལ(33965), ཟད་ལ(73), ལ་འབྱུང་བ(106); n ལས(5885), ལས་འབྱུང་བ(181); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,229
སྐྱེ་བར་འགྱུར། །དངོས་པོ་ཡོད་པར་ཁས་བླངས་,ནས,ན,ན,ནས,། །རྟག་དང་ཆད་པར་ལྟ་བར་ནི། །ཐལ་བར་,K,g,,,,,,,,c=ཞོལ་=d p=n 84.45%,c ན(73509), ན།_།(11932), བླངས་ན(258); p ནས(35333), ནས།_།(9174), བླངས་ནས(1489), བླངས་ནས།_།(53); ཞོལ་: ན(73509), ན།_།(11932), བླངས་ན(258); d ན(73509), ན།_།(11932), བླངས་ན(258); n ནས(35333), ནས།_།(9174), བླངས་ནས(1489), བླངས་ནས།_།(53); ,1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།,234
