Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །དངོས་འགའ་ཡོད་པ་མ་ཡིན་ནོ། །གང་,ལས་,,ལ་,ལས་,རང་བཞིན་ཡོད་མིན་པའི། །འགོག་པ་གལ་ཏེ་,K,g,,,,,,,,p=n d 80.33%,p ལས(5885), གང་ལས(600); d ལ(33965), གང་ལ(85), ལ་རང་བཞིན(813), གང་ལ་རང་བཞིན(239), །_།གང་ལ་རང་བཞིན(104); n ལས(5885), གང་ལས(600); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,11
ཏེ་རང་ལས་ཚད་མ་གྲུབ། །གཞལ་བྱ་རྣམས་,ལས་,,ལ་,ལས་,མ་ལྟོས་པར། །ཁྱོད་ཀྱི་ཚད་མ་གྲུབ་འགྱུར་,K,g,,,,,,,,p=n d 80.33%,p ལས(5885), ལས་མ(1189), རྣམས་ལས(2222); d ལ(33965), ལ་མ(3490), རྣམས་ལ(895), རྣམས་ལ་མ(183); n ལས(5885), ལས་མ(1189), རྣམས་ལས(2222); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,26
ཀྱི་ཚད་མ་གྲུབ་འགྱུར་འདི། །རང་གྲུབ་གཞན་,ལས་,,ལ་,ལས་,ལྟོས་མ་ཡིན། །གལ་ཏེ་གཞལ་བྱའི་དོན་རྣམས་,K,g,,,,,,,,p=n d 80.33%,p ལས(5885), གཞན་ལས(268); d ལ(33965), གཞན་ལ(773), ལ་ལྟོས(367); n ལས(5885), གཞན་ལས(268); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,27
བྱེད་པ་ཡིན། །གལ་ཏེ་ཡོང་ཡེ་གཞལ་བྱ་,ལས,,ལ,ལས,། །ལྟོས་ནས་ཚད་མ་འགྲུབ་ཡིན་ན། །ཚད་,K,g,,,,,,,,p=n d 80.33%,p ལས(5885), ལས།_།(3638); d ལ(33965), བྱ་ལ(114), ལ།_།(14361); n ལས(5885), ལས།_།(3638); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,29
བོད་ཀྱི་ལོཙྪ་བ་ཀ་བ་དཔལ་བརྩེགས་ཀྱིས་བསྒྱུར་བ་,ལས,,ལ,ལས,། སླད་ཀྱིས་ཁ་ཆེའི་པཎྜི་ཏ་ཛ་ཡ་ཨ་,K,g,,,,,,,,p=n d 80.33%,p ལས(5885), ལས།_(2200); d ལ(33965), ལ།_(19029); n ལས(5885), ལས།_(2200); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,58
ངེད་ལ་མེད། །རེ་ཞིག་གལ་ཏེ་མངོན་སུམ་,གྱི,,གྱིས,གྱི, །།དངོས་རྣམས་དམིགས་ནས་ཟློག་བྱེད་པ། །གང་,K,p,,,,,,,,p=n d 80.33%,p གྱི(3024), གྱི།_།(1099); d གྱིས(7492), གྱིས།_།(3730); n གྱི(3024), གྱི།_།(1099); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,2
ལྟར་ཆུ་ཞེས་ལོག་འཛིན་ལྟར། །དེ་བཞིན་ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,ཡོད་མིན་ལ། །ལོག་པར་འཛིན་པ་འགོག་བྱེད་,K,p,,,,,,,,p=n d 80.33%,p ཀྱི(5256), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55); n ཀྱི(5256), ཁྱོད་ཀྱི(3668); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,8
བུད་མེད་སྙམ། །ལོག་འཛིན་འབྱུང་ལ་སྤྲུལ་པ་,ཡི,,ཡིས,ཡི,། །འགོག་བྱེད་དེ་ནི་དེ་ལྟ་ཡིན། །ཡང་,K,p,,,,,,,,p=n d 80.33%,p ཡི(8322), ཡི།_།(8252); d ཡིས(7433), ཡིས།_།(7321); n ཡི(8322), ཡི།_།(8252); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,20
དེ་རྣམས། །ཚད་མ་ཉིད་ཀྱིས་རབ་བསྒྲུབས་ན། །ཁྱོད་,ཀྱི་,,ཀྱིས་,ཀྱི་,ཚད་མ་དེ་རྣམས་ཀྱང་། །ཇི་ལྟར་རབ་ཏུ་,K,p,,,,,,,,p=n d 80.33%,p ཀྱི(5256), ཁྱོད་ཀྱི(3668); d ཀྱིས(6156), ཁྱོད་ཀྱིས(55); n ཀྱི(5256), ཁྱོད་ཀྱི(3668); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,22
ཉིད་སྲེག་པའང་བྱེད་པར་འགྱུར། །གལ་ཏེ་ཁྱོད་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ཚིག་གིས་ནི། །མེ་ཡིས་རང་གཞན་གསལ་བྱེད་,K,p,,,,,,,,p=n d 80.33%,p ཀྱིས(6156), ཀྱིས་ཚིག(136), ཁྱོད་ཀྱིས(55); d ཀྱི(5256), ཀྱི་ཚིག(1461), ཁྱོད་ཀྱི(3668); n ཀྱིས(6156), ཀྱིས་ཚིག(136), ཁྱོད་ཀྱིས(55); ,1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།,25
