Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཉེ་བར་ལེན་པ་གཟུང་བའི་ཕྱིར་དང་། ཐམས་ཅད་,ལས་,,ལ་,ལས་,འབྱུང་བ་མེད་པའི་ཕྱིར་དང་། ནུས་པ་ཅན་,K,g,,,,,,,,p=n d 92.81%,p ལས(5885), ཐམས་ཅད་ལས(59), ལས་འབྱུང་བ(181); d ལ(33965), ཐམས་ཅད་ལ(486), ལ་འབྱུང་བ(106); n ལས(5885), ཐམས་ཅད་ལས(59), ལས་འབྱུང་བ(181); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,48
པའམ་སྐྱེ་བ་མེད་དོ། །དེའི་ཕྱིར་མཐོང་བ་,ལས་,,ལ་,ལས་,འཇིག་པ་དང་སྐྱེ་བ་མེད་དོ་ཞེས་བྱའོ། །འོན་,K,g,,,,,,,,p=n d 92.81%,p ལས(5885), མཐོང་བ་ལས(62); d ལ(33965), མཐོང་བ་ལ(214); n ལས(5885), མཐོང་བ་ལས(62); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,69
ནོ། །གལ་ཏེ་འོ་མ་ཞེས་བྱ་བའི་རྒྱུ་,ལ་,,ལས་,ལ་,ཞོ་ཞེས་བྱ་བའི་འབྲས་བུ་ཡོད་པ་ཞེས་བྱ་,K,g,,,,,,,,p=n d 92.81%,p ལ(33965), ལ་ཞོ(102), རྒྱུ་ལ(339); d ལས(5885), རྒྱུ་ལས(790); n ལ(33965), ལ་ཞོ(102), རྒྱུ་ལ(339); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,77
པ་མ་ཡིན་ནོ། །དེ་ལྟར་རེ་ཞིག་རང་,ལ་,,ལས་,ལ་,སྐྱེ་བ་མ་ཡིན་ནོ། །གཞན་ལས་ཀྱང་སྐྱེ་,K,g,,,,,,,,p=n d 92.81%,p ལ(33965), རང་ལ(164), ལ་སྐྱེ་བ(845); d ལས(5885), རང་ལས(101), ལས་སྐྱེ་བ(150); n ལ(33965), རང་ལ(164), ལ་སྐྱེ་བ(845); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,82
ཞེ་ན། འདི་ནི་དྷ་དྷ་ཞེས་བརྗོད་པ་,ན་,,ནི་,ན་,སྐྱེས་པ་དང་། ཏ་ནི་ཞེས་བརྗོད་པ་ན་,K,g,,,,,,,,p=n d 92.81%,p ན(73509), བརྗོད་པ་ན(78), ན་སྐྱེས་པ(84); d ནི(44237), བརྗོད་པ་ནི(68), ནི་སྐྱེས་པ(114); n ན(73509), བརྗོད་པ་ན(78), ན་སྐྱེས་པ(84); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,126
བུ་ལ་སོགས་པ་བཞིན་དུ་དངོས་པོ་ཐམས་ཅད་,,,ཀྱང་,,ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། དེ་,K,p,,,,,,,,p=n d 92.81%,p (1), ཡོད་པ(550), ཐམས་ཅད(165); d ཀྱང(95), ཀྱང་ཡོད་པ(70), ཐམས་ཅད་ཀྱང(6320); n (1), ཡོད་པ(550), ཐམས་ཅད(165); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,2
ཡིན་པ་དེ་དག་གི་རྒྱུ་ནི་ཡོད་པ་མ་,ཡིན་ ནོ,,ཡིན,ཡིན་ ནོ,། ཅིའི་ཕྱིར་ཞེ་ན། དངོས་པོ་ཡོད་པ་,K,p,,,,,,,,p=n d 92.81%,p ཡིན་ནོ(2935), ཡིན་ནོ།_(106), མ་ཡིན་ནོ(979), མ་ཡིན་ནོ།_(44); d ཡིན(32960), ཡིན།_(20424), མ་ཡིན(13919), མ་ཡིན།_(12111), ཡོད་པ་མ་ཡིན།_(315); n ཡིན་ནོ(2935), ཡིན་ནོ།_(106), མ་ཡིན་ནོ(979), མ་ཡིན་ནོ།_(44); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,26
ག་སྲིད་པ་ཡང་འགལ་བའི་ཕྱིར་རོ། །གང་,གི་,,གིས་,གི་,ཡོད་པ་དེའི་མཚན་ཉིད་འཛིན་པ་དེས་མེད་པ་,K,p,,,,,,,,p=n d 92.81%,p གི(1276), གང་གི(8014); d གིས(2588), གང་གིས(183); n གི(1276), གང་གི(8014); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,31
རྒྱུ་དགག་པ་བྱས་པ་ཉིད་ཀྱིས་འབྲས་བུ་བཀག་པའི་,ཕྱིར ་།_།,,ཕྱིར་ རོ །_།,ཕྱིར ་།_།,ཤུགས་ཀྱིས་རྒྱུ་དང་འབྲས་བུ་གཉི་ག་ཡང་ཁས་བླངས་,K,p,,,,,,,,p=n d 92.81%,p ; d ཕྱིར་རོ།_།(5578); n ; ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,35
པ་བྱས་པ་ཉིད་ཀྱིས་འབྲས་བུ་བཀག་པའི་ཕྱིར་རོ། །ཤུགས་,ཀྱི་,,ཀྱིས་,ཀྱི་,རྒྱུ་དང་འབྲས་བུ་གཉི་ག་ཡང་ཁས་བླངས་པར་འགྱུར་,K,p,,,,,,,,p=n d 92.81%,p ཀྱི(5256), ཤུགས་ཀྱི(120), ཀྱི་རྒྱུ(872); d ཀྱིས(6156), ཤུགས་ཀྱིས(460), ཀྱིས་རྒྱུ(56); n ཀྱི(5256), ཤུགས་ཀྱི(120), ཀྱི་རྒྱུ(872); ,1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,36
