Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཐ་མར་གནས་པར་རྟོགས་སོ། །བཅོམ་ལྡན་འདས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,དབང་བཙན་ཐབས་ཀྱི་སྦྱོར་བས་བསྟན་ཏོ། །དེ་,K,p,,,,,,,,c=d p=n 76.74%,c ཀྱིས(6156), ཀྱིས་དབང(244), བཅོམ་ལྡན་འདས་ཀྱིས(70); p ཀྱི(5256), ཀྱི་དབང(3361), བཅོམ་ལྡན་འདས་ཀྱི(6597); d ཀྱིས(6156), ཀྱིས་དབང(244), བཅོམ་ལྡན་འདས་ཀྱིས(70); n ཀྱི(5256), ཀྱི་དབང(3361), བཅོམ་ལྡན་འདས་ཀྱི(6597); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,5
ཙམ་མཐོང་བ་ལ་འོན་ཀྱང་འཇིག་རྟེན་པ་རྣམས་,རང་ གི་ བཞིན་,རང་བཞིན་,རང་བཞིན་,རང་ གི་ བཞིན་,མཐོང་ཞེས་འཁྲུལ་པས་དགའ་བར་འགྱུར་རོ། །དེ་,K,p,,,,,,,,c=d p=n 76.74%,c རང་བཞིན(184), རྣམས་རང་བཞིན(194), རང་བཞིན་མཐོང(94); p ; d རང་བཞིན(184), རྣམས་རང་བཞིན(194), རང་བཞིན་མཐོང(94); n ; ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,10
ཝཾ་གིས་རྣམ་པར་བརྒྱན། །བདེ་བ་ཐམས་ཅད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ནི་གནས། །སངས་རྒྱས་རིན་ཆེན་ཟ་མ་ཏོག,K,p,,,,,,,,c=d p=n 76.74%,c ཀྱི(5256), ཀྱི་ནི(1448), ཐམས་ཅད་ཀྱི(721), ཐམས་ཅད་ཀྱི་ནི(88); p ཀྱིས(6156), ཀྱིས་ནི(2449), ཐམས་ཅད་ཀྱིས(433), ཐམས་ཅད་ཀྱིས་ནི(88); d ཀྱི(5256), ཀྱི་ནི(1448), ཐམས་ཅད་ཀྱི(721), ཐམས་ཅད་ཀྱི་ནི(88); n ཀྱིས(6156), ཀྱིས་ནི(2449), ཐམས་ཅད་ཀྱིས(433), ཐམས་ཅད་ཀྱིས་ནི(88); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,12
དང་པའོ།། །།ཨོཾ་ཆོས་ཀྱི་ཕྱག་རྒྱ་ནི་ཆོས་,ཀྱི་,ཀྱི་,ཀྱི་,ཀྱིས་,དབྱིངས་ཀྱི་རང་བཞིན་ཏེ། སྤྲོས་པ་དང་བྲལ་,K,p,,,,,,,,c=p=d n 6.98%,c ཀྱི(5256), ཆོས་ཀྱི(24644), ཀྱི་དབྱིངས(116), ཆོས་ཀྱི་དབྱིངས(95), ནི་ཆོས་ཀྱི་དབྱིངས(240), ཆོས་ཀྱི་དབྱིངས་ཀྱི(623), ནི་ཆོས་ཀྱི་དབྱིངས་ཀྱི(56); p ཀྱི(5256), ཆོས་ཀྱི(24644), ཀྱི་དབྱིངས(116), ཆོས་ཀྱི་དབྱིངས(95), ནི་ཆོས་ཀྱི་དབྱིངས(240), ཆོས་ཀྱི་དབྱིངས་ཀྱི(623), ནི་ཆོས་ཀྱི་དབྱིངས་ཀྱི(56); d ཀྱི(5256), ཆོས་ཀྱི(24644), ཀྱི་དབྱིངས(116), ཆོས་ཀྱི་དབྱིངས(95), ནི་ཆོས་ཀྱི་དབྱིངས(240), ཆོས་ཀྱི་དབྱིངས་ཀྱི(623), ནི་ཆོས་ཀྱི་དབྱིངས་ཀྱི(56); n ཀྱིས(6156), ཆོས་ཀྱིས(1404); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,17
གཅིག་ཏུ་མཛེས་པའི་ཐབས་སུ་འགྱུར་བ། རྒྱུན་,གྱི་,གྱིས་,གྱིས་,གྱི་,རྟག་པ་ལྷན་ཅིག་སྐྱེས་པའི་རང་བཞིན་གྱི་ཤེས་,K,p,,,,,,,,c=d p=n 76.74%,c གྱིས(7492), རྒྱུན་གྱིས(81); p གྱི(3024), རྒྱུན་གྱི(206); d གྱིས(7492), རྒྱུན་གྱིས(81); n གྱི(3024), རྒྱུན་གྱི(206); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,18
རྒྱུན་གྱིས་རྟག་པ་ལྷན་ཅིག་སྐྱེས་པའི་རང་བཞིན་,གྱིས་,གྱི་,གྱི་,གྱི་,ཤེས་རབ་དང་ལྷན་ཅིག་སྐྱེས་པ་ལས་འབྱུང་བ། དབྱེར་མེད་,K,p,,,,,,,,c=d=n p 11.63%,c གྱི(3024), རང་བཞིན་གྱི(818); p གྱིས(7492), གྱིས་ཤེས་རབ(51), རང་བཞིན་གྱིས(157); d གྱི(3024), རང་བཞིན་གྱི(818); n གྱི(3024), རང་བཞིན་གྱི(818); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,19
འོད་ཟེར་དང་འདྲ་བར་བླ་མའི་མན་ངག་ཉིད་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,མི་ཤེས་པའི་མུན་པས་ཀུན་ནས་འཁྲུགས་པའི་འཁྲུལ་,K,p,,,,,,,,c=d p=n 76.74%,c ཀྱིས(6156), ཀྱིས་མི(1706), ཉིད་ཀྱིས(603), ཉིད་ཀྱིས་མི(72); p ཀྱི(5256), ཀྱི་མི(449), ཉིད་ཀྱི(171); d ཀྱིས(6156), ཀྱིས་མི(1706), ཉིད་ཀྱིས(603), ཉིད་ཀྱིས་མི(72); n ཀྱི(5256), ཀྱི་མི(449), ཉིད་ཀྱི(171); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,21
རླབས་མེད་པའི་སྟོང་པ་ཉིད་དང་སྙིང་རྗེ་དབྱེར་,མེད་པ ར་,མེད་པ་,མེད་པ་,མེད་པ ར་,ཤེས་པར་བྱའོ། །བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་གསུངས་,K,p,,,,,,,,c=d p=n 76.74%,c མེད་པ(5438), མེད་པ་ཤེས་པ(120); p མེད་པར(15663), མེད་པར་ཤེས་པ(111); d མེད་པ(5438), མེད་པ་ཤེས་པ(120); n མེད་པར(15663), མེད་པར་ཤེས་པ(111); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,23
མ་ཤེས་རབ་རང་བཞིན་ལ། །རོ་མ་ཐབས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,ཡང་དག་གནས། །སྡིག་སྤངས་མ་ནི་དབུས་ཉིད་,K,p,,,,,,,,c=d p=n 76.74%,c ཀྱིས(6156), ཐབས་ཀྱིས(543), ཀྱིས་ཡང་དག(573); p ཀྱི(5256), ཐབས་ཀྱི(925), ཀྱི་ཡང་དག(365); d ཀྱིས(6156), ཐབས་ཀྱིས(543), ཀྱིས་ཡང་དག(573); n ཀྱི(5256), ཐབས་ཀྱི(925), ཀྱི་ཡང་དག(365); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,24
ཡང་དག་པར་བསྒོམས་པར་འགྱུར་ཏེ། དེ་སྐད་,།_ ཡང་,།,།,།_ ཡང་,སྔགས་བཟླས་མེད་ཅིང་དཀའ་ཐུབ་མེད་དེ་སྦྱིན་སྲེག་,K,p,,,,,,,,c=d p=n 76.74%,c །(46), དུ།(56); p །_ཡང(8570); d །(46), དུ།(56); n །_ཡང(8570); ,118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།,32
