Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཅན་བླ་མ་སྟེང་དུ་སྒོམ། ཁྲོ་བོ་བརྒྱད་,ཀྱིས་,,ཀྱི་,,བླ་མའི་མཐའ་བསྐོར་ལ། །སྟེང་དུ་གདུག་པ་,K,p,,,,,,,,p d 91.30%,p ཀྱིས(6156), བརྒྱད་ཀྱིས(531); d ཀྱི(5256), བརྒྱད་ཀྱི(1099); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,3
སེར་བ་ཤོ་རྒལ་རི་ཉེར་རྨི། །ཟོར་ཁ་,#རྟོང་པ འི་(རྟོད་),,གཏོང་པ འི་,,ལྟས་སུ་བཟུང། །དོང་དུ་ལྷུང་དང་འདམ་དུ་,K,,,ངད,,,,,,p d 91.30%,p ; d ; ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,15
གསུས་པ་མ་ཞུམ་པ་འཕྱང་ཞིང་གཡོན་བརྐྱང་གཡས་,#བརྐུམ་,,བཀུམ་,,བཞུགས། སྟག་གི་ཤམ་ཐབས་རློན་པ་སྦྲུལ་གྱིས་,K,,,nw✓,,,,,,p d 91.30%,p བརྐུམ(1); d བཀུམ(56); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,1
དུ་མི་རུང་གསུང་བྷ་ཡ་ན་ས་ནི། ,དྲ་,,#ཏྲ་,,ས་ནི་སརྦ་མ་ར། པྲ་ཀཾ་ཏཾ། ,K,,,nw✓,,,,,,p d 91.30%,p དྲ(128), །_དྲ(195); d ཏྲ(429), །_ཏྲ(87); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,2
མི་འཇིགས་བརྟན་པའི་རྟེན་འབྲེལ་སྙིང་པོ་གཟུངས་དང་,#བཞུག,,གཞུག,,། བྲི་གཞི་དུར་ཁྲོད་རས་ཀྱི་གཞི་མ་ལ,K,,,nw✓,,,,,,p d 91.30%,p བཞུག(2); d གཞུག(392); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,6
དུག་ཆུ་སྦྱར་བ་ཡིས། །དགྲའི་ལྟེ་་བ་,རྩིབས་,,#བརྩིབས་,,བརྒྱད་མུ་ཁྱུད་གཉིས། ལྟེ་དགྲའི་ཟེར་དང་སྔགས་,K,,,nw✓,,,,,,p d 91.30%,p རྩིབས(7), རྩིབས་བརྒྱད(90); d བརྩིབས(1); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,7
བསྒྲུབ་ཁང་དུ། །མ་དྷལ་སྟེང་དུ་ལིང་ཁ་,#བདིང,,གདིང,,། དེའི་སྟེང་དུ་མཆོད་རྟེན་བཞག། དུས་ཟླ་,K,,,nw✓,,,,,,p d 91.30%,p ; d གདིང(575); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,10
ཞགས་པ་རབ་སྤྲོས་ལ། །དགྲའི་སྙིང་ཕུགས་མགུལ་,ཆིངས་,,#མཆིངས་,,དགུག་པར་བྱ། །ཨོཾ་བྷ་ཡ་ན་དགྲའི་མིང་,K,,,nw✓,,,,,,p d 91.30%,p ཆིངས(2); d མཆིངས(3); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,11
བརྒྱད་བཟླས་ལ། །གོས་གསར་གོན་ལ་སྔས་ཁར་,#བཞུག,,གཞུག,,། ལྷོ་རུ་མགོ་བསྟན་བཞོགས་གཡས་ཕབ། །ཉལ་,K,,,nw✓,,,,,,p d 91.30%,p བཞུག(2); d གཞུག(392); ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,13
གཉན་པོའི་གནས་སུ་སྦ། །གྲུ་གསུམ་ཁྲུ་གང་,#ནོང་ དུ་ #བཞུག,,དོང་ དུ་ གཞུག,,། སྟེང་ནས་རྒྱ་རཾ་བྷར་བས་མནན། །སྟེང་,K,,,nw✓,,,,,,p d 91.30%,p ; d ; ,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས།,20
