Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཀུན་ཏུ་བཟང་པོ་ཡབ་ཡུམ་དུ་སྐྱེད་ལ། ,དེ་ #ཉིདགཉིས,,དེ་ཉིད,,སྙོམས་པར་ཞུགས་པ་ལས་དེ་འོད་དུ་ཞུ་བ་,K,,,,✓,,,,,p d 78.57%,p ; d དེ་ཉིད(70), །_དེ་ཉིད(547); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,3
ཉམས་དགའ་བ་ཆེན་པོ་བསྒོམས་ལ། སླར་,#སྒོམཔ་,,#བསྒོམསཔ་,,པ་དེ་ཁང་པའི་ནང་དུ་འགྲོན་གྱི་བཞིན་དུ་,K,,,,✓,,,,,p d 78.57%,p ; d ; ,277_ལྷ་མཆོད་པའི་རིམ་པ།,9
མ་ལ་ཕྱག་འཚལ་ལོ། །བསོད་ནམས་ཀྱི་ཚོགས་,བསག་པ ར་,,བསགས་པ ར་,,འདོད་པས་དང་པོ་སྟེ་ལྷ་མཆོད་པའི་དགོས་པ་,K,,,,,⟶,,,,p d 78.57%,p ; d བསགས་པར(91); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,1
གཉིས་མེད་འདྲེས་པའི་ཐུགས་ཀ་ནས་ཏིང་ངེ་འཛིན་,སེམས་,,,,མཚོན་གང་བའི་སྙིང་ག་ནས་འོད་ཟེར་ལས་། ,K,,,,,,≡,,,p d 78.57%,p སེམས(4229); d (1), མཚོན(74), ཏིང་ངེ་འཛིན(108); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,2
དཀྱིལ་འཁོར་རྒྱས་པ་སྐྱེད་ལ། དེའི་སྟེང་དུ་,དེ་ འཛིན་ ནི་,,ཏིང་ངེ་འཛིན་,,སེམས་དཔའ་ལས་ཡི་གེ་ཨ་ལས་རྟགས་པ་ཡབ་,K,,,,,,≡,,,p d 78.57%,p ; d ཏིང་ངེ་འཛིན(108), དུ་ཏིང་ངེ་འཛིན(141); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,5
པ་ཡབ་ཡུམ་རྣམ་སྣང་དུ་གྱུར་པ་དང་། ,དེ་ཡང་,,དེ འི་ ཡང་,,སྙོམས་པར་ཞུགས་པ་ལས་འོད་དུ་ཞུ་བ་ལས,K,,,,,,≡,,,p d 78.57%,p དེ་ཡང(10377), །_དེ་ཡང(1346); d དེའི་ཡང(486); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,6
མ་གས་མ་ཆག་འཕན་མེད་པ། ཕྱོགས་སུ་,གསུམ་,,མ་,,ཆད་པ། དེ་ལས་ཀྱང་འོད་ཟེར་སྣ་ཚོགས་,K,,,,,,≡,,,p d 78.57%,p གསུམ(586); d མ(4286), སུ་མ(7391), མ་ཆད་པ(54); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,7
པ་དང་། །བཞི་པ་སྟེ་ཇི་ལྟར་མཆོད་པ་,སྟན་,,བསྟན་,,ནོ། བདག་གི་རྣམ་སྨིན་རྣམ་པའི་ལུས་འདི་,K,,,,,,≡,,,p d 78.57%,p སྟན(20); d བསྟན(2152), བསྟན་ནོ(79); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,10
དང་། ལྔ་པ་སྟེ་ལྷས་འགྲོ་དོན་མཛད་པ་,སྟན་པ་,,བསྟན་པ་,,སྟེ་དཀྱིལ་འཁོར་གྱི་ཚོགས་བླ་མ་དང་བཅས་པ་,K,,,,,,≡,,,p d 78.57%,p ; d བསྟན་པ(590), བསྟན་པ་སྟེ(49); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,11
པོ་ལྷ་ཚོགས་རང་བཞིན་གྱི་ཡེ་ཤེས་འགྲོ་བ་,རྣམ་,,རྣམས་,,གཉིས་སྦྱོང་བའི་ཕྱིར་རྡོ་རྗེའི་ཚིག་བརྗོད་པ་རང་,K,,,,,,≡,,,p d 78.57%,p རྣམ(1), རྣམ་གཉིས(143), འགྲོ་བ་རྣམ(67); d རྣམས(5469), རྣམས་གཉིས(64), འགྲོ་བ་རྣམས(49); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,12
གྲུ་གསུམ་གྱི་རྣམ་པར་བསྒོམས་ལ། དེ་ནས་,ཏིང་འཛིན་,,ཏིང་ངེ་འཛིན་,,སེམས་པ་ལས། ཆོས་འབྱུང་ནང་དུཧྲི་ཆད་པ་,K,,,,,,s,,,p d 78.57%,p ཏིང་འཛིན(2165); d ཏིང་ངེ་འཛིན(108); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,4
། མཐོང་བ་ཙམ་ཉམས་དགའ་བ་ཆེན་པོ་བསྒོམས་,,,,,ལ། སླར་བསྒོམསཔ་པ་དེ་ཁང་པའི་ནང་དུ་,K,,,,,,,[ ],,p=d 21.43%,p (1); d (1); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,8
ཀྱི་འཇིག་རྟེན་ཐམས་ཅད་ཀྱང་གཞལ་ཡས་ཁང་པ་,,,,,དེའི་ངོ་བོ་ཉིད་དུ་དམིགས། ནང་བཅུད་ཀྱི་,K,,,,,,,[ ],,p=d 21.43%,p (1), དུ(11516), ངོ་བོ་ཉིད་དུ(147); d (1), དུ(11516), ངོ་བོ་ཉིད་དུ(147); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,13
པ་དེའི་ལྷ་མཆོད་པའི་རིམ་པ་རྫོགས་སོ། །། །,,,,,,K,,,,,,,[ ],,p=d 21.43%,p (1), །_།།_།(1); d (1), །_།།_།(1); ,277_ལྷ་མཆོད་པའི་རིམ་པ།,14
