Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གནས་ཉིད་དུ། །དང་པོར་དེ་ལ་གནས་བྱས་,ནས,ན,ན,ནས,། །མི་དང་ལྷ་ཡི་བདག་པོར་མཚུངས། །མཆོག་,K,g,,,,,,,,c=d p=n 83.59%,c ན(73509), ན།_།(11932), བྱས་ན(3388), བྱས་ན།_།(821); p ནས(35333), ནས།_།(9174), བྱས་ནས(6811), བྱས་ནས།_།(1463); d ན(73509), ན།_།(11932), བྱས་ན(3388), བྱས་ན།_།(821); n ནས(35333), ནས།_།(9174), བྱས་ནས(6811), བྱས་ནས།_།(1463); ,D1793x,5
ལ་ངེས་པར་འཇུག་ཅིང་དེ་ཡོངས་སུ་གྱུར་པ་,ལས,ལས,ལས,ལ,། རྡོ་རྗེ་དམར་པོ་ཡི་གེ་ཧཱུཾ་གིས་བྱིན་,K,g,,,,,,,,c=p=d n 6.86%,c ལས(5885), ལས།_(2200), གྱུར་པ་ལས(90), གྱུར་པ་ལས།_(42); p ལས(5885), ལས།_(2200), གྱུར་པ་ལས(90), གྱུར་པ་ལས།_(42); d ལས(5885), ལས།_(2200), གྱུར་པ་ལས(90), གྱུར་པ་ལས།_(42); n ལ(33965), ལ།_(19029), གྱུར་པ་ལ(119), གྱུར་པ་ལ།_(43); ,D1793x,88
རྒྱས་སྤྱན་མའི་ཚོགས་སྤྲོས་ཏེ། ནམ་མཁའི་ཁམས་,ནས་,ན་,ན་,ནས་,འོག་མིན་གྱི་གནས་སུ་བཞུགས་པའི་བཅོམ་ལྡན་འདས་,K,g,,,,,,,,c=d p=n 83.59%,c ན(73509), ཁམས་ན(570); p ནས(35333), ཁམས་ནས(124); d ན(73509), ཁམས་ན(570); n ནས(35333), ཁམས་ནས(124); ,D1793x,102
རྣམ་པར་འཇོམས་ཤིང་ཏིང་ངེ་འཛིན་གྱི་དབང་པོ་,ལས་,ལ་,ལ་,ལས་,སེམས་ཅན་ཐམས་ཅད་རབ་ཏུ་དགོད་དེ། སླར་,K,g,,,,,,,,c=d p=n 83.59%,c ལ(33965), དབང་པོ་ལ(316), ལ་སེམས་ཅན(1179); p ལས(5885), ལས་སེམས་ཅན(236); d ལ(33965), དབང་པོ་ལ(316), ལ་སེམས་ཅན(1179); n ལས(5885), ལས་སེམས་ཅན(236); ,D1793x,194
ལ་སོགས་པ་རྣམས་ཀྱིས་ཀྱང་སེམས་རྩེ་གཅིག་པ་,ལ་,ལས་,ལས་,ལ་,ཉམས་པར་མི་འགྱུར་ཏེ་ཕྲ་མོའི་རྣལ་འབྱོར་དང་,K,g,,,,,,,,c=d p=n 83.59%,c ལས(5885), ལས་ཉམས་པ(126); p ལ(33965), གཅིག་པ་ལ(216); d ལས(5885), ལས་ཉམས་པ(126); n ལ(33965), གཅིག་པ་ལ(216); ,D1793x,246
དང་མུ་ཏིག་དང། །དེ་བཞིན་དཀར་པོ་ཁམས་,ལ་,ལས་,ལས་,ལ་,བྱུང། །ཞི་བ་ཡི་ནི་ལས་རྣམས་ལ། །,K,g,,,,,,,,c=d p=n 83.59%,c ལས(5885), ཁམས་ལས(285), ལས་བྱུང(8268); p ལ(33965), ཁམས་ལ(1886), ལ་བྱུང(91); d ལས(5885), ཁམས་ལས(285), ལས་བྱུང(8268); n ལ(33965), ཁམས་ལ(1886), ལ་བྱུང(91); ,D1793x,263
ཁ་དོག་དམར་པོ་རྣམ་པར་བསམས་ཏེ། དེ་,ལས་,ལས་,ལས་,ལ་,བྱུང་བའི་འོད་ཟེར་དམར་པོ་མགྲིན་པ་ན་གནས་,K,g,,,,,,,,c=p=d n 6.86%,c ལས(5885), དེ་ལས(5447), ལས་བྱུང་བ(441), དེ་ལས་བྱུང་བ(43), དེ་ལས་བྱུང་བའི(43); p ལས(5885), དེ་ལས(5447), ལས་བྱུང་བ(441), དེ་ལས་བྱུང་བ(43), དེ་ལས་བྱུང་བའི(43); d ལས(5885), དེ་ལས(5447), ལས་བྱུང་བ(441), དེ་ལས་བྱུང་བ(43), དེ་ལས་བྱུང་བའི(43); n ལ(33965), དེ་ལ(763); ,D1793x,559
ཁྱད་པར་འཕགས། །ཡེ་ཤེས་གསུམ་གྱི་དབྱེ་བ་,ནི,ན,ན,ནི,། །འདི་ཉིད་དུ་ནི་གསལ་བར་མཚོན། །ཞེས་,K,g,,,,,,,,c=d p=n 83.59%,c ན(73509), ན།_།(11932); p ནི(44237), ནི།_།(28227), དབྱེ་བ་ནི(44); d ན(73509), ན།_།(11932); n ནི(44237), ནི།_།(28227), དབྱེ་བ་ནི(44); ,D1793x,573
བདག་ཉིད་དང། དེ་ལས་བྱུང་བའོ། །དེ་,ལ་,ལས་,ལས་,ལ་,དེའི་བདག་ཉིད་ཅེས་བྱ་བ་ནི་དབྱེར་མེད་པའི་,K,g,,,,,,,,c=d p=n 83.59%,c ལས(5885), ལས་དེ(1805), དེ་ལས(5447), དེ་ལས་དེ(126); p ལ(33965), ལ་དེ(5093), དེ་ལ(763), དེ་ལ་དེ(1089), དེ་ལ་དེའི(57), །_།དེ་ལ་དེ(310); d ལས(5885), ལས་དེ(1805), དེ་ལས(5447), དེ་ལས་དེ(126); n ལ(33965), ལ་དེ(5093), དེ་ལ(763), དེ་ལ་དེ(1089), དེ་ལ་དེའི(57), །_།དེ་ལ་དེ(310); ,D1793x,726
བྱེད་པ་དངོས་པོ་དག་གི་རྗེས་སུ་འགྲོ་བ་,དག་,དང་,དང་,དག་,ལྡོག་པ་ཁོ་ན་རྒྱུ་ཡིན་ནོ། །དེ་ལྟ་,K,g,,,,,,,,c=d p=n 83.59%,c དང(18517), འགྲོ་བ་དང(111); p དག(5192), འགྲོ་བ་དག(193); d དང(18517), འགྲོ་བ་དང(111); n དག(5192), འགྲོ་བ་དག(193); ,D1793x,741
