Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བསྐུར་ནི་བཞིའོ། །འདིར་བཞི་ནི་རབ་ཏུ་ཕྱེ་,ནས་,ན་,ན་,ནས་,བཅུ་བཞིར་འགྱུར་རོ། །དེ་རྣམས་ཀྱི་སྟེང་ན་,K,g,,,,,,,,c=d p=n 93.35%,c ན(73509), ཕྱེ་ན(84); p ནས(35333), ཕྱེ་ནས(167); d ན(73509), ཕྱེ་ན(84); n ནས(35333), ཕྱེ་ནས(167); ,D1793y,8
གནས་པའི་མྱ་ངན་ལས་འདས་པ་ལ་གནས་པས་,ན་,ནི་,ནི་,ན་,ཞེས་པ་ནི་གཉིས་ཀ་ལ་དམིགས་པ་ལས་རྣམ་པར་,K,g,,,,,,,,c=d p=n 93.35%,c ནི(44237), ས་ནི(617), ནི་ཞེས་པ(51); p ན(73509), ས་ན(194); d ནི(44237), ས་ནི(617), ནི་ཞེས་པ(51); n ན(73509), ས་ན(194); ,D1793y,92
ཏེ། བདེ་བ་ཆེན་པོ་སྐད་ཅིག་མ་གཅིག་,ལས་,ལ་,ལ་,ལས་,མྱོང་བར་བྱའོ། །དེ་ཉིད་བསྟན་པའི་ཕྱིར། ,K,g,,,,,,,,c=d p=n 93.35%,c ལ(33965), གཅིག་ལ(79), ལ་མྱོང(193); p ལས(5885), གཅིག་ལས(364); d ལ(33965), གཅིག་ལ(79), ལ་མྱོང(193); n ལས(5885), གཅིག་ལས(364); ,D1793y,113
ཕྱིར་རོ། དེས་མཆོག་ཏུ་སྟོན་པར་མཛད་པས་,ནི་,ན་,ན་,ནི་,ཞེས་པ་ནི་སེམས་ཅན་ཐམས་ཅད་ལ་དམིགས་པར་,K,g,,,,,,,,c=d p=n 93.35%,c ན(73509), ས་ན(194); p ནི(44237), ས་ནི(617), ནི་ཞེས་པ(51); d ན(73509), ས་ན(194); n ནི(44237), ས་ནི(617), ནི་ཞེས་པ(51); ,D1793y,174
བཞིན་མ་ཡིན་པ་ཡང་མི་སྣང་བར་བྱའོ། །,འདི་,དེ་,དེ་,འདི་,ནི་ཞེ་སྡང་རིགས་ཞེས་པ་ནི་འདོད་ཆགས་ལ་,K,g,,,,,,,,c=d p=n 93.35%,c དེ(1), །_།དེ(137195), དེ་ནི(35963), །_།དེ་ནི(6012); p འདི(1651), །_།འདི(15056), འདི་ནི(23970), །_།འདི་ནི(5697); d དེ(1), །_།དེ(137195), དེ་ནི(35963), །_།དེ་ནི(6012); n འདི(1651), །_།འདི(15056), འདི་ནི(23970), །_།འདི་ནི(5697); ,D1793y,209
བོ་ཡོངས་སུ་བརྗེ་བ་ཡིན་པས་སོ་ཞེས་པ་,ནི་,ན་,ན་,ནི་,ཐ་མལ་བའི་ངོ་བོ་སྤངས་ནས་དཔལ་རྡོ་རྗེ་,K,g,,,,,,,,c=d p=n 93.35%,c ན(73509); p ནི(44237), ཞེས་པ་ནི(1316); d ན(73509); n ནི(44237), ཞེས་པ་ནི(1316); ,D1793y,251
པ་རྣམས་ཏེ། རླུང་བསྐུལ་བས་གནས་བརྒྱད་པོ་,ལ་,ལས་,ལས་,ལ་,སྐྱེས་པའི་དབྱངས་དང་གསལ་བྱེད་ལས་བྱུང་བ་ཞེས་,K,g,,,,,,,,c=d p=n 93.35%,c ལས(5885), ལས་སྐྱེས་པ(99); p ལ(33965), ལ་སྐྱེས་པ(144); d ལས(5885), ལས་སྐྱེས་པ(99); n ལ(33965), ལ་སྐྱེས་པ(144); ,D1793y,362
ལ་སོགས་པ་བསྟན་ཏོ། །བསྟན་པའི་བྱ་བ་,ལས་,ལ་,ལ་,ལས་,མངོན་པར་སྦྱོར་བ་སྟེ་ཞེས་པ་ནི་བྱེད་པ་,K,g,,,,,,,,c=d p=n 93.35%,c ལ(33965), བྱ་བ་ལ(180), ལ་མངོན་པར(5361); p ལས(5885), བྱ་བ་ལས(197), ལས་མངོན་པར(443); d ལ(33965), བྱ་བ་ལ(180), ལ་མངོན་པར(5361); n ལས(5885), བྱ་བ་ལས(197), ལས་མངོན་པར(443); ,D1793y,389
། །སྔགས་སྤེལ་བ་དང་ཞེས་པ་ནི་ཞི་བ་,དང་ སོགས་པ འི་,ལ་སོགས་པ འི་,ལ་སོགས་པ འི་,དང་ སོགས་པ འི་,ལས་ཀྱི་ཚོགས་ཀྱི་སྐབས་སུ་བཽཥཊ་ལ་སོགས་པ་,K,g,,,,,,,,c=d p=n 93.35%,c ལ་སོགས་པའི(131), ལ་སོགས་པའི་ལས(122); p ; d ལ་སོགས་པའི(131), ལ་སོགས་པའི་ལས(122); n ; ,D1793y,411
། །དེ་བཞིན་དུ་སྔགས་པ་རྣམས་ཀྱིས་ཞེས་པ་,ན་,ནི་,ནི་,ན་,བསྐྱེད་པའི་རིམ་པའི་རྣལ་འབྱོར་པ་རྣམས་ཀྱིས་སོ,K,g,,,,,,,,c=d p=n 93.35%,c ནི(44237), ཞེས་པ་ནི(1316); p ན(73509); d ནི(44237), ཞེས་པ་ནི(1316); n ན(73509); ,D1793y,451
