Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཞེ་ན། བརྗོད་པ། དངོས་པོ་ཐམས་ཅད་དང་,བྲལ ་_།།,,བྲལ་བ _།།,བྲལ ་_།།,ཞེས་ཏེ་དངོས་པོའི་སྒྲས་བདག་ལ་སོགས་པ་མངོན་,K,,པ་བ་,,,,s,,,p=n d 96.15%,p ; d ; n ; ,D1801,3
། ཤེད་ལས་སྐྱེས་དང་། ཤེད་བུ་དང་། ,བྱེད་པོ་,,བྱེད་པ་པོ་,བྱེད་པོ་,ལ་སོགས་པའི་རང་བཞིན་མ་ཡིན་ནོ། །ཅིའི་,K,,པ་བ་,,,,s,,,p=n d 96.15%,p བྱེད་པོ(90); d བྱེད་པ་པོ(65), །_བྱེད་པ་པོ(375); n བྱེད་པོ(90); ,D1801,4
གྲུབ་སྟེ། ཇི་ལྟ་ཞེ་ན། ཚོར་བ་,རྣམ་,,རྣམ་པ་,རྣམ་,གསུམ་མོ། །བདེ་བ་དང་། སྡུག་བསྔལ་བ་,K,,པ་བ་,,,,s,,,p=n d 96.15%,p རྣམ(1), རྣམ་གསུམ(487), ཚོར་བ་རྣམ(1805); d རྣམ་པ(33423), རྣམ་པ་གསུམ(63); n རྣམ(1), རྣམ་གསུམ(487), ཚོར་བ་རྣམ(1805); ,D1801,7
དང་བྲལ་བ་ཞེས་བྱའོ། །ཆོས་བདག་མེད་པར་,མཉམ་པ་ཉིད་པ ས,,མཉམ་ཉིད་པ ས,མཉམ་པ་ཉིད་པ ས,། །ཞེས་བྱ་བ་ནི་ཕུང་པོ་ལ་སོགས་པ་,K,,པ་བ་,,,,s,,,p=n d 96.15%,p ; d ; n ; ,D1801,15
། །ཚིག་དེ་ཉིད་ཀྱིས་རྣ་བ་དང་། སྣ་,ཤེས་པ ར་ བྱ འོ །__། ཡིད་,,དང ་།_ ལྕེ་ དང་ ལུས་,ཤེས་པ ར་ བྱ འོ །__། ཡིད་,ཡིད་འདས་པ་དང་མ་འོངས་པའི་ཆོས་ཐམས་ཅད་,K,,,nw✘,,,,,,p=n d 96.15%,p ; d ; n ; ,D1801,12
ཕན་ཚུན་ལྟོས་པའི་ཕྱིར་ཏེ། སྡུག་བསྔལ་ལ་,#བལྟོས་,,ལྟོས་,#བལྟོས་,ནས་བདེ་བ་དང་། བདེ་བ་ལ་ལྟོས་ནས་,K,,,nw✓,,,,,,p=n d 96.15%,p བལྟོས(7); d ལྟོས(546), ལ་ལྟོས(367); n བལྟོས(7); ,D1801,8
,#ཏཱ་,,#ཏྟ་,#ཏཱ་,བི་བ་ར་ཎ། བོད་སྐད་དུ། བྱང་,K,,,,✓,,,,,p=n d 96.15%,p ཏཱ(128); d ཏྟ(42); n ཏཱ(128); ,D1801,1
ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།ཁ་ཆེའི་པཎྜི་ཏ་,#ཛཱ་ ཡ་,,ཛ་ཡ་,#ཛཱ་ ཡ་,ཨ་ནནྟ་དང་། བོད་ཀྱི་ལོ་ཙཱ་བ་ཁུ་,K,,,,✓,,,,,p=n d 96.15%,p ཛཱ་ཡ(195); d ཛ་ཡ(120); n ཛཱ་ཡ(195); ,D1801,25
མིང་ཙམ་ཡིན། གང་ཡང་སེམས་མ་སྐྱེས་མ་,འགག་པ ར་,,འགགས་པ ར་,འགག་པ ར་,ཁོང་དུ་ཆུད་པ་དེ་ནི་བྱང་ཆུབ་བོ། །,K,,,,,⟶,,,,p=n d 96.15%,p འགག་པར(784); d འགགས་པར(98); n འགག་པར(784); ,D1801,19
ཁམས་དང་སྐྱེ་མཆེད་དུ་བསྟན་པའི་ཕྱིར་ལོགས་སུ་,དག་པ ར་,,དགག་པ ར་,དག་པ ར་,མི་བྱ་སྟེ། ས་བོན་མེད་པས་མྱུ་གུ་,K,,,,,≠,,,,p=n d 96.15%,p དག་པར(55743), སུ་དག་པར(1394), དག་པར་མི(188); d དགག་པར(86); n དག་པར(55743), སུ་དག་པར(1394), དག་པར་མི(188); ,D1801,13
རང་གི་སེམས་ཀྱི་ཆོས་ཉིད་ཀྱི་རང་བཞིན་མ་,རྟོགས་པ་,,གཏོགས་པ་,རྟོགས་པ་,ཡང་དག་པ་མ་ཡིན་པའི་རྣམ་པར་རྟོག་པ་,K,,,,,≠,,,,p=n d 96.15%,p རྟོགས་པ(218), མ་རྟོགས་པ(85); d གཏོགས་པ(79), མ་གཏོགས་པ(49); n རྟོགས་པ(218), མ་རྟོགས་པ(85); ,D1801,24
མ་གྲུབ་པོ། །དེའི་ཕྱིར་ཚོར་བའི་ཕུང་པོ་ནི་,,,ཚོར་བ འི་ ཕུང་པོ ས་ སྟོང་ ངོ་,,ཞེས་གསུངས་པ་ལས་ན། ཚོར་བའི་ཕུང་པོ་,K,,,,,,l,,,p=n d 96.15%,p (1), ནི(44237), ཞེས(1047), ནི་ཞེས(122); d ; n (1), ནི(44237), ཞེས(1047), ནི་ཞེས(122); ,D1801,10
ནོ། །བྱང་ཆུབ་ཀྱང་དེའི་རང་བཞིན་ནོ། །,,,སེམས་ ཀྱང་ དེ འི་ རང་བཞིན་ ནོ་,,ཞེས་གསུངས་སོ། །དེ་བཞིན་དུ་ནམ་མཁའ་རང་,K,,,,,,l,,,p=n d 96.15%,p (1), ཞེས(1047), །_།(997103), །_།ཞེས(4887), ནོ།_།ཞེས(271), །_།ཞེས་གསུངས(1437); d ; n (1), ཞེས(1047), །_།(997103), །_།ཞེས(4887), ནོ།_།ཞེས(271), །_།ཞེས་གསུངས(1437); ,D1801,16
དེའི་ཕྱིར་དངོས་པོ་ཐམས་ཅད་དང་བྲལ་ཞིང་བདག་,དང་,,ཏུ་,དང་,འཛིན་པ་ཙམ་གྱིས་ཡང་དག་པར་བསྐྱེད་པའོ། །,K,,,,,,≡,,,p=n d 96.15%,p དང(18517), བདག་དང(2373), དང་འཛིན་པ(133); d ཏུ(1863), བདག་ཏུ(1237), ཏུ་འཛིན་པ(314), བདག་ཏུ་འཛིན་པ(93); n དང(18517), བདག་དང(2373), དང་འཛིན་པ(133); ,D1801,5
བ་ཡང་མ་གྲུབ་པོ། །དེའི་ཕྱིར་ཚོར་བའི་,ཕུང་པོ འོ་,,ཕུང་པོ་,ཕུང་པོ འོ་,ནི་ཚོར་བའི་ཕུང་པོས་སྟོང་ངོ་ཞེས་གསུངས་པ་ལས་ན། ཚོར་བའི་,K,,,,,,≡,,,p=n d 96.15%,p ཕུང་པོའོ(68); d ཕུང་པོ(7427), ཕུང་པོ་ནི(176); n ཕུང་པོའོ(68); ,D1801,9
འདུ་བྱེད་ཀྱི་ཕུང་པོ་ནི་ཚོར་བ་དང་། ,སེམས་དཔའ་,,སེམས་པ་,སེམས་དཔའ་,དང་འདུ་ཤེས་དང་འདུན་པ་དང་རེག་པ་དང་,K,,,,,,≡,,,p=n d 96.15%,p སེམས་དཔའ(99553), །_སེམས་དཔའ(87), སེམས་དཔའ་དང(644); d སེམས་པ(131), །_སེམས་པ(147), སེམས་པ་དང(354), །_སེམས་པ་དང(55), དང་།_སེམས་པ་དང(42); n སེམས་དཔའ(99553), །_སེམས་དཔའ(87), སེམས་དཔའ་དང(644); ,D1801,11
ཕྱི་རོལ་ན་ཡང་མ་ཡིན། གཉིས་ཀའི་བར་,ན་,,དུ་,ན་,ཡང་མ་ཡིན་ནོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན,K,,,,,,≡,,,p=n d 96.15%,p ན(73509), བར་ན(196), ན་ཡང(7917), བར་ན་ཡང(60); d དུ(11516), དུ་ཡང(7124), བར་དུ(12882), བར་དུ་ཡང(946); n ན(73509), བར་ན(196), ན་ཡང(7917), བར་ན་ཡང(60); ,D1801,14
གསུངས་སོ། །དེ་བཞིན་དུ་ནམ་མཁའ་རང་བཞིན་,མེད་པ འི་,,མེད་པ་,མེད་པ འི་,མིང་ཙམ་མོ། །དེ་བཞིན་དུ་སེམས་ཀྱང་རང་,K,,,,,,≡,,,p=n d 96.15%,p མེད་པའི(267), རང་བཞིན་མེད་པའི(133); d མེད་པ(5438), རང་བཞིན་མེད་པ(220); n མེད་པའི(267), རང་བཞིན་མེད་པའི(133); ,D1801,17
ཙམ་མོ། །དེ་བཞིན་དུ་སེམས་ཀྱང་རང་བཞིན་,མེད་པ འི་,,མེད་པ་,མེད་པ འི་,མིང་ཙམ་ཡིན། གང་ཡང་སེམས་མ་སྐྱེས་མ་,K,,,,,,≡,,,p=n d 96.15%,p མེད་པའི(267), རང་བཞིན་མེད་པའི(133); d མེད་པ(5438), རང་བཞིན་མེད་པ(220); n མེད་པའི(267), རང་བཞིན་མེད་པའི(133); ,D1801,18
རྫོགས་པའི་བྱང་ཆུབ་བོ། །གསང་བའི་བདག་པོ་,,,ཆོས་,,ཕྲ་བ་ཡང་ཡོད་པ་མ་ཡིན་ཞིང་དམིགས་པ་,K,,,,,,≡,,,p=n d 96.15%,p (1), ཕྲ་བ(42), བདག་པོ(79); d ཆོས(602), བདག་པོ་ཆོས(115); n (1), ཕྲ་བ(42), བདག་པོ(79); ,D1801,20
ཀྱིས། ཀྱེ་མ་ཀྱི་ཧུད་སེམས་ཅན་འདི་དག་,,,ནི་,,སྡུག་བསྔལ་བ། འདི་དག་ནི་རང་གི་སེམས་,K,,,,,,≡,,,p=n d 96.15%,p (1), འདི་དག(113), སྡུག་བསྔལ་བ(110); d ནི(44237), འདི་དག་ནི(204), ནི་སྡུག་བསྔལ་བ(147); n (1), འདི་དག(113), སྡུག་བསྔལ་བ(110); ,D1801,23
ཅི་ཡིན་ཞེ་ན། བརྗོད་པ། དངོས་པོ་,,,ཐམས་ཅད་,,དང་བྲལ་བ །།ཞེས་ཏེ་དངོས་པོའི་སྒྲས་བདག་ལ་སོགས་,K,,,,,,s,,,p=n d 96.15%,p (1), དང(18517), དངོས་པོ(16196), དངོས་པོ་དང(484), །_དངོས་པོ་དང(53); d ཐམས་ཅད(165), ཐམས་ཅད་དང(77), དངོས་པོ་ཐམས་ཅད(539); n (1), དང(18517), དངོས་པོ(16196), དངོས་པོ་དང(484), །_དངོས་པོ་དང(53); ,D1801,2
ན། རེ་ཞིག་གཟུགས་ལ་སོགས་པའི་ཕུང་པོ་,རྣམས་ དངོས་པོ་,,,རྣམས་ དངོས་པོ་,དངོས་པོ་མེད་པ་ཉིད་དེ། གཟུགས་ཀྱི་ཕུང་,K,,,,,,s,,,p=n d 96.15%,p རྣམས་དངོས་པོ(207); d (1), མེད་པ(5438), དངོས་པོ(16196), དངོས་པོ་མེད་པ(49); n རྣམས་དངོས་པོ(207); ,D1801,6
ཅིའི་ཕྱིར་ཞེ་ན། བྱང་ཆུབ་ནི་ནམ་མཁའི་,ཀྱི་ མཚན་ཉིད་,,,ཀྱི་ མཚན་ཉིད་,མཚན་ཉིད་དེ། རྟོགས་པ་པོ་དང་རྟོགས་པར་,K,,,,,,s,,,p=n d 96.15%,p ཀྱི་མཚན་ཉིད(1424); d (1), དེ(1), མཚན་ཉིད(161), མཚན་ཉིད་དེ(197), མཚན་ཉིད་དེ།_(128); n ཀྱི་མཚན་ཉིད(1424); ,D1801,21
རང་གི་སེམས་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་,མ་རིག་པ་,,རིག་པ་,མ་རིག་པ་,དེ་ལ་བརྩེ་བའི་ཐབས་ཀྱིས། ཀྱེ་མ་ཀྱི་,K,,,,,,s,,,p=n d 96.15%,p མ་རིག་པ(1793); d རིག་པ(134), རིག་པ་དེ(88); n མ་རིག་པ(1793); ,D1801,22
ཙཱ་བ་ཁུ་མདོ་སྡེ་འབར་གྱིས་བསྒྱུར་བའོ།།,,,,,,K,,,,,,,[ ],,p=d=n 3.85%,p (1), །།(216); d (1), །།(216); n (1), །།(216); ,D1801,26
