Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རི་ལུ་ལ་བསྟིམ་རིལ་བུ་དེ་སྒྲུབ་པ་པོས་,ཟོས་པ,ཟོས་པ ས,ཟོས་པ ས,ཟོས་པ ས,། འཇམ་པའི་དབྱངས་དང་ཤེས་རབ་མཉམ་པར་འགྱུར་,K,p,,,,,,,,c=d=n p 32.14%,c ཟོས་པས(94); p ཟོས་པ(429); d ཟོས་པས(94); n ཟོས་པས(94); ,D2701,22
བརྒྱད་བརྒྱར་འགྲོ། །དགུ་བཅུ་ལོན་པ་བཅུ་དྲུག་,ལྟ་བུ ར་,ལྟ་བུ་,ལྟ་བུ་,ལྟ་བུ ར་,འགྱུར།། །།སྐྲ་དཀར་བུད་ནས་ནག་པོར་འགྱུར། །,K,p,,,,,,,,c=d p=n 17.86%,c ལྟ་བུ(1179); p ལྟ་བུར(191), ལྟ་བུར་འགྱུར(58); d ལྟ་བུ(1179); n ལྟ་བུར(191), ལྟ་བུར་འགྱུར(58); ,D2701,23
སྤང་རྒྱན་དཀར་པོ། ཙནྡན་དཀར་པོ་རྣམས་པ་,དམར་ མོ འི་,དམར་པོ འི་,དམར་པོ འི་,དམར་ མོ འི་,འོ་མས་སྦྲུས་ཏེ། རིལ་བུ་སྲན་མ་ཙམ་,K,,≠,,,,,,,c=d p=n 17.86%,c དམར་པོའི(425); p ; d དམར་པོའི(425); n ; ,D2701,6
,ནི་ #སྭཱ་ #ཧཱ་ ན་ མ,པྲཛྙཱ་ #བརྡྷ་ ན་ ནཱ་མ,པྲཛྙཱ་ #བརྡྷ་ ན་ ནཱ་མ,པྲཛྙཱ་ #བརྡྷ་ ན་ ནཱ་མ,། བོད་སྐད་དུ། འཇམ་དཔལ་རྡོ་རྗེ་བློ་,K,,,,✓,,,,,c=d=n p 32.14%,c ; p ; d ; n ; ,D2701,1
བོད་སྐད་དུ། འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་,འཕེལ་ #༼བ་,འཕེལ་བ་,འཕེལ་བ་,འཕེལ་ #༼བ་,ཞེས་བྱ་བ། བཅོམ་ལྡན་འདས་འཇམ་པའི་མགོན་ལ་,K,,,,✓,,,,,c=d p=n 17.86%,c འཕེལ་བ(1664); p ; d འཕེལ་བ(1664); n ; ,D2701,2
གཉིས་ཞལ་སྦྱོར་གྱི་ཙ་ཀ་ལི་ཅིག་བཞུགས་པར་,#བྱའོསྭཱ་ #བྷཱ་བ་ #བི་ ཤུད་ #དྷ་ སརྦ་ #དྷརྨཱ་ #སྭཱ་ #བྷ་བ་ #བི་ ཤུད་ #དྷོ་ #ཧཾ་,བྱ འོ །_། དེ་ནས་ ཨོཾ་ #སྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྡྷཿསརྦ་ #དྷ་ #རྨཱཿསྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷོཉ྄ཧཾ་,བྱ འོ །_། དེ་ནས་ ཨོཾ་ #སྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྡྷཿསརྦ་ #དྷ་ #རྨཱཿསྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷོཉ྄ཧཾ་,བྱ འོ །_། དེ་ནས་ ཨོཾ་ #སྭ་ #སྭཱ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷཿསརྦ་ #དྷརྨཱཿསྭ་ #བྷཱ་བ་ #བི་ #ཤུདྡྷོ྅ཧཾ་,གི་སྔགས་ཀྱིས་ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དུ་,K,,,,✓,,,,,c=d p n 25.00%,c ; p ; d ; n ; ,D2701,8
དུ་ཨ་ལས་ཟླ་བའི་དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་,#དྷིསེར་པོ་,#དྷཱིཿསེར་པོ་,#དྷཱིཿསེར་པོ་,#དྷིཿསེར་པོ་,སེར་པོ་གུར་གུམ་གྱི་མདོག་ཅན་ཅིག་བསམ། ,K,,,,✓,,,,,c=d p n 25.00%,c ; p ; d ; n ; ,D2701,10
པར་བྱའོ། །མདུན་གྱི་ལྷུང་བཟེད་ཀྱི་ནང་དུ་,#ཧྲིདཀར་པོ་,#ཧྲཱིཿདཀར་པོ་,#ཧྲཱིཿདཀར་པོ་,#ཧྲཱིཿདཀར་པོ་,དཀར་པོ་ཡོངས་སུ་གྱུར་པ་ལས་པདྨ་དང་ཟླ་,K,,,,✓,,,,,c=d=n p 32.14%,c ; p ; d ; n ; ,D2701,12
ལས་པདྨ་དང་ཟླ་བའི་སྟེང་དུ། དབྱངས་ཅན་,མ་,#༼མ་,མ་,མ་,དཀར་མོ་གཡས་ན་རལ་གྲི་གཡོན་ན་པུ་སྟི་,K,,,,✓,,,,,c p=d=n 3.57%,c ; p མ(4286), ཅན་མ(127); d མ(4286), ཅན་མ(127); n མ(4286), ཅན་མ(127); ,D2701,13
སེམས་དཔའ་སྤྱན་དྲངས་ནས་སོ་སོར་བསྟིམ་མོ། །,ཡང་,ཡང་,ཡང་,#༽ན་,འོད་ཟེར་འཕྲོས་པས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་,K,,,,✓,,,,,c=p=d n 14.29%,c ཡང(82), །_།ཡང(8517), ཡང་འོད(106); p ཡང(82), །_།ཡང(8517), ཡང་འོད(106); d ཡང(82), །_།ཡང(8517), ཡང་འོད(106); n ; ,D2701,14
དེ་ནས་བཟླས་པ་བྱ་སྟེ། ན་མོ་མཉྫུ་,#ཤྲཱི་བ་ གི་ #ཤྭ་ རི་ མུ །_ བ་ གི་ #ཤྭ་ རི་ #ཧོ,#ཤྲཱི་ #བཱ་ #གཱི་ #ཤྭ་ རི་ #མུཾ །_ #བཱ་ #གཱི་ #ཤྭ་ རི་ མུ །_ #བཱ་ #གཱི་ #ཤྭ་ རི་ #ཧོཿ,#ཤྲཱི་ #བཱ་ #གཱི་ #ཤྭ་ རི་ #མུཾ །_ #བཱ་ #གཱི་ #ཤྭ་ རི་ #ཧོཿ,#ཤྲཱི་ #བཱ་ #གཱི་ #ཤྭ་ རི་ #མུཾ །_ #བཱ་ #གཱི་ #ཤྭ་ རི་ #མུཾ །_ #བཱ་ གི་ ཤ་ རི་ #ཧོ,། ཨུ་པ་དེ་ཤ་པྲ་མོ་ད་ཏ་དྷ་,K,,,,✓,,,,,c p d n 3.57%,c ; p ; d ; n ; ,D2701,15
པ་དེ་ཤ་པྲ་མོ་ད་ཏ་དྷ་བ་ནི་,#ཧྲིསྭཱ་,#ཧྲཱིཿསྭཱ་,#ཧྲཱིཿསྭཱ་,#ཧྲཱིཿསྭཱ་,སྭཱ་ཧཱ། སྔགས་ཀྱི་འོད་ཟེར་བདག་གི་ཞལ་,K,,,,✓,,,,,c=d=n p 32.14%,c ཧྲཱིཿསྭཱ(24); p ; d ཧྲཱིཿསྭཱ(24); n ཧྲཱིཿསྭཱ(24); ,D2701,16
