Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བསྐྱེད་པའི་ཕྱིར་རམ། དེའི་དོན་བཟང་བ་ལས་,ནི་,ན་,ན་,ནི་,སྟོན་པ་གྲུབ་པར་བྱ་བའི་ཕྱིར་ཏེ། དེ་,K,g,,,,,,,,c=d p=n 88.20%,c ན(73509), ལས་ན(127), ན་སྟོན་པ(90); p ནི(44237), ལས་ནི(2987), ནི་སྟོན་པ(172); d ན(73509), ལས་ན(127), ན་སྟོན་པ(90); n ནི(44237), ལས་ནི(2987), ནི་སྟོན་པ(172); ,D3883,5
དོན་ཡིན་པའི་ཕྱིར་རོ། །རབ་ཏུ་བྱེད་པ་,དེ་,འདི་,འདི་,དེ་,ནི་དགོས་པ་མེད་པའི་ཕྱིར་བརྩམ་པར་བྱ་བ་,K,g,,,,,,,,c=d p=n 88.20%,c འདི(1651), འདི་ནི(23970), བྱེད་པ་འདི(515), བྱེད་པ་འདི་ནི(268); p དེ(1), དེ་ནི(35963), བྱེད་པ་དེ(56), བྱེད་པ་དེ་ནི(377); d འདི(1651), འདི་ནི(23970), བྱེད་པ་འདི(515), བྱེད་པ་འདི་ནི(268); n དེ(1), དེ་ནི(35963), བྱེད་པ་དེ(56), བྱེད་པ་དེ་ནི(377); ,D3883,13
གཞན་རིག་པ་ནི་མ་ཡིན་ནོ་ཞེས་བྱ་བ་,འདི་ལྟ་བུ འི་,དེ་ལྟ་བུ འི་,དེ་ལྟ་བུ འི་,འདི་ལྟ་བུ འི་,ངོ་བོ་ཉིད་ཅིག་ཤེས་པ་དེ་ལ་ཡོད་མོད་,K,g,,,,,,,,c=d p=n 88.20%,c དེ་ལྟ་བུའི(3372); p འདི་ལྟ་བུའི(1087); d དེ་ལྟ་བུའི(3372); n འདི་ལྟ་བུའི(1087); ,D3883,61
སྐྱེས་ཞེས་བྱ་བ་དེ་ལ་ཚད་མ་ཅི་ཡང་,མེད་པ་པ འི་,མེད་པ་ དེ འི་,མེད་པ་ དེ འི་,མེད་པ་པ འི་,ཕྱིར་མི་སླུ་བའི་ཚད་མ་མེད་པའི་ཕྱིར་ཏེ་ཞེས་,K,g,≠,,,,,,,c=d p=n 88.20%,c མེད་པ་དེའི(140); p ; d མེད་པ་དེའི(140); n ; ,D3883,62
སྨོས་སོ། །སེམས་མི་མཐུན་པ་ཞེས་བྱ་བ་,ནི་,ན་,ན་,ནི་,གཞུང་ལུགས་ཐ་དད་པ་གང་ལ་གནས་པ་རྣམས་,K,g,,,,,,,,c=d p=n 88.20%,c ན(73509), ཞེས་བྱ་བ་ན(81); p ནི(44237), ཞེས་བྱ་བ་ནི(365); d ན(73509), ཞེས་བྱ་བ་ན(81); n ནི(44237), ཞེས་བྱ་བ་ནི(365); ,D3883,64
ཀུན་རྫོབ་ཀྱི་བདེན་པ་མ་ཡིན་ཏེ། དེ་,ནི་,ན་,ན་,ནི་,ཐ་སྙད་གདགས་པ་ཡིན་པའི་ཕྱིར་ཏེ། འདི་ལྟར་མདོ་,K,g,,,,,,,,c=d p=n 88.20%,c ན(73509), ན་ཐ(132), དེ་ན(5593); p ནི(44237), ནི་ཐ(452), དེ་ནི(35963); d ན(73509), ན་ཐ(132), དེ་ན(5593); n ནི(44237), ནི་ཐ(452), དེ་ནི(35963); ,D3883,98
པ་མ་ཡིན་པའི་རྗེས་སུ་བྱེད་པར་གསལ་ཞིང་,འདི འི་,དེ འི་,དེ འི་,འདི འི་,རྗེས་སུ་འགྲོ་བ་དང་། ལྡོག་པའི་རྗེས་སུ་,K,g,,,,,,,,c=d p=n 88.20%,c དེའི(108), ཞིང་དེའི(162), དེའི་རྗེས་སུ(164); p འདིའི(14); d དེའི(108), ཞིང་དེའི(162), དེའི་རྗེས་སུ(164); n འདིའི(14); ,D3883,176
དེའི་བྱེད་པའི་ཡུལ་ཐ་དད་པར་བརྟགས་པ་བྱེད་དོ་,ཞེས་ ན་,ཞེ་ན་,ཞེ་ན་,ཞེས་ ན་,ནི་ཞེས་བྱ་བ་སྨོས་ཏེ། དེའི་ཞེས་བྱ་,K,g,,,,,,,,c=d p=n 88.20%,c ཞེ་ན(629); p ; d ཞེ་ན(629); n ; ,D3883,188
གིས་སྐྱེ་བ་ལ་སོགས་པར་ཡོངས་སུ་བརྟགས་པ་,དང་,དག་,དག་,དང་,འཇུག་པ་དེ་དག་ཀྱང་དེ་ལྟར་ནི་མངོན་སུམ་,K,g,,,,,,,,c=d p=n 88.20%,c དག(5192); p དང(18517), དང་འཇུག་པ(52), བརྟགས་པ་དང(92); d དག(5192); n དང(18517), དང་འཇུག་པ(52), བརྟགས་པ་དང(92); ,D3883,274
འདིའི་རྒྱུ་རིགས་པའི་རྗེས་སུ་འབྲང་བ་མེད་དོ་,ཞེས་ ན,ཞེ་ན,ཞེ་ན,ཞེས་ ན,། འདི་ཡང་རྣམ་པ་དེ་ལྟ་བུ་ཁོ་ན་,K,g,,,,,,,,c=d p=n 88.20%,c ཞེ་ན(629), ཞེ་ན།_(24728); p ; d ཞེ་ན(629), ཞེ་ན།_(24728); n ; ,D3883,330
