Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཞེས་པ་འདི་རྣམས་ནི་བཞི་པའོ། །འབྱུང་ཁུངས་,ལས་,ལ་,ལ་,ལས་,ལྔ་པའོ་ཞེས་པ་ལྔ་པའི་རྣམ་དབྱེ་ཡིན་ནོ,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,D4274,12
སྟེ། ཊཱ་ཡིག་ནི་ཊཱ་ངས྄་དག་གི་ཨི་,ནི་,ན་,ན་,ནི་,སྱ་དག་གོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་ཏོ། །,K,g,,,,,,,,c=d p=n 85.20%,c ན(73509); p ནི(44237); d ན(73509); n ནི(44237); ,D4274,32
ཀྱང་། སུའིའོ་ཞེས་པ་སུ་དབྱིའོ། །རྫོགས་པ་,ལས་,ལ་,ལ་,ལས་,ཡང་ནའོ་ཞེས་པའི་ཕྱོགས་ལ་ད་ཡིག་གི་ཏ་ཡིག་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), རྫོགས་པ་ལ(264); p ལས(5885); d ལ(33965), རྫོགས་པ་ལ(264); n ལས(5885); ,D4274,43
ལས་ཤས྄ཀྱི་ན་སྐྱེས་པ་ལའོ་ཞེས་པས་ཡིག་གི་,ནི་,ན་,ན་,ནི་,ཡིག་གོ། །ཨ་ཙ་མ་ཡིན་པ་ལ་ཞེས་,K,g,,,,,,,,c=d p=n 85.20%,c ན(73509); p ནི(44237), གི་ནི(657); d ན(73509); n ནི(44237), གི་ནི(657); ,D4274,61
ནུ་ནུཏའོ་ཞེས་པ་སྔོན་དུ་རུཊའོ། །ཨུ་ཡིག་,ན་,ནི་,ནི་,ན་,བརྗོད་པའི་དོན་ཏོ། །ཊ་ཡིག་ནི་ཊ་ཀིཏ་དག་,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237), ནི་བརྗོད་པ(108); p ན(73509); d ནི(44237), ནི་བརྗོད་པ(108); n ན(73509); ,D4274,79
ལའོ་ཞེས་པ་ཨནང་རུ་བསྒྱུར་རོ། །ང་ཡིག་,ན་,ནི་,ནི་,ན་,དིདའི་དོན་ཏོ། །ན་ཡིག་ལ་ཨ་ཡིག་ནི་,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237); p ན(73509); d ནི(44237); n ན(73509); ,D4274,122
སུའིའོ་སུ་དབྱིའོ། །སུཔའི་རང་བཞིན་གྱི་ཞེས་པ་,ན་,ནི་,ནི་,ན་,དབྱིའོ། །ཤི་མ་ཡིན་པ་ལས་ཁིའི་ཨེཏའོ་ཞེས་པ་,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237), ཞེས་པ་ནི(1316); p ན(73509); d ནི(44237), ཞེས་པ་ནི(1316); n ན(73509); ,D4274,125
དྷཱུ། ཧེ་བ་དྷཽ། ཧེ་བ་དྷྭཿ། ,འདི་ལྟར,དེ་ལྟར,དེ་ལྟར,འདི་ལྟར,། ཀ་དྲྭུ། ཀ་དྲྭཿ། ཤྲཱི་ཞེས་པ་འདིའི་,K,g,,,,,,,,c=d p=n 85.20%,c དེ་ལྟར(32495), །_དེ་ལྟར(10367); p འདི་ལྟར(49), འདི་ལྟར།_(48), །_འདི་ལྟར(4557); d དེ་ལྟར(32495), །_དེ་ལྟར(10367); n འདི་ལྟར(49), འདི་ལྟར།_(48), །_འདི་ལྟར(4557); ,D4274,558
ཤཿ། ཤནི་ཤཱ། ནི་ཤ་བྷྱཱཾ། ནི་ཤ་བྷིཿ། ,ན་,ནི་,ནི་,ན་,ཤེ། ནི་ཤ་བྷྱཱཾ། ནི་ཤ་བྷྱཿ། ,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237), །_ནི(385); p ན(73509), །_ན(3762); d ནི(44237), །_ནི(385); n ན(73509), །_ན(3762); ,D4274,674
། །ཨ་ལས་ཨེཏ་ཨེངའོ། །སུཔ་ལའོ། །ཨཏ་,ལ་,ལས་,ལས་,ལ་,བྷི་སའི་ཨཻས། ཨེཙ་ལའོ། །ངེ་ངསི་དག་,K,g,,,,,,,,c=d p=n 85.20%,c ལས(5885); p ལ(33965); d ལས(5885); n ལ(33965); ,D4274,689
ཨམ་དག་གི་མ་ནིང་ལས་སོ། ཨིཀའི་སུཔ་,ལ་,ལས་,ལས་,ལ་,ཨཙ་ལའོ། །མ་ནིང་ལས་སོ། །ཛས་ཤེས་,K,g,,,,,,,,c=d p=n 85.20%,c ལས(5885); p ལ(33965); d ལས(5885); n ལ(33965); ,D4274,724
། །ངི་ཤཱི་དག་གི་ཡང་ནའོ། །མ་ནིང་,ལས་,ལ་,ལ་,ལས་,ཡང་ན་ཞེས་པའི་ཕྱོགས་ལན་དབྱིའོ། །རྣམ་པར་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,D4274,733
། །དང་པོ་དག་གི་ཨཏ་ལའོ། །ཨ་མ་,ལས་,ལ་,ལ་,ལས་,སྔ་མའོ། །ཊཱ་ལ་ཨཔའིའོ། །ཨེཙའི་ཨཡ་ཨཝ་ཨཱ་ཡ་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), མ་ལ(418), ལ་སྔ་མ(49); p ལས(5885), མ་ལས(739); d ལ(33965), མ་ལ(418), ལ་སྔ་མ(49); n ལས(5885), མ་ལས(739); ,D4274,810
མ་བཞིན་ནོ། །སཪྺི་ཀཱཿ། སཪྺི་ཀེ །སཪྺི་ཀཱཿ། མ་ནིང་ལ་སཪྺ་ཀཾ །སཪྺ་ཀེ །སཪྺ་། གཉིས་པ་ལའང་,དེ་ལྟར་,དེ་ལྟར་,དེ་ལྟར་,འདི་ལྟར་,རོ། །ཊཱ་ལ་སོགས་པ་ལས་སྐྱེས་པ་བཞིན་,K,g,,,,,,,,c=p=d n 8.17%,c དེ་ལྟར(32495); p དེ་ལྟར(32495); d དེ་ལྟར(32495); n འདི་ལྟར(49); ,D4274,832
ཨེངའོ། །དང་པོ་དག་གི་ཨཙ་ལའོ། །ཨམ་,ལས་,ལ་,ལ་,ལས་,སྔ་མའོ། །ཨཱ་པའི་ཊཱ་ལའང་ངོ་། །ཨེཙའི་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), ལ་སྔ་མ(49); p ལས(5885); d ལ(33965), ལ་སྔ་མ(49); n ལས(5885); ,D4274,916
ཨེངའོ། །དང་པོ་དག་གི་ཨཙ་ལའོ། །ཨམ་,ལས་,ལ་,ལ་,ལས་,སྔ་། །ཌཱ་ལའང་ཨཱཔའིའོ། །ཨེཙའི་ཨཡ་ཨཝ་ཨཱཡ་ཨཱཝའོ། །སྨཻ་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), ལ་སྔ་མ(49); p ལས(5885); d ལ(33965), ལ་སྔ་མ(49); n ལས(5885); ,D4274,992
། །ཥ་ཥ་ཞེས་པ་འདིའོ། ཥན་ལས་གྲངས་,ལ་,ལས་,ལས་,ལ་,དབྱིའོ། །རྫོགས་པ་ལ་ཡང་ནའོ་ཞེས་པ་ཊ་,K,g,,,,,,,,c=d p=n 85.20%,c ལས(5885), གྲངས་ལས(53); p ལ(33965), གྲངས་ལ(64); d ལས(5885), གྲངས་ལས(53); n ལ(33965), གྲངས་ལ(64); ,D4274,1028
རྣམ་པར་གཅད་པའོ། །དང་པོ་དག་གི་ཨཙ་ལའོ་,ཞེས་པ་,ཞེས་པ ས་,ཞེས་པ ས་,ཞེས་པ་,རིང་པོ་ཉིད་དོ། །ཛས་ལའོ་ཞེས་པ་ཨེ་,K,p,,,,,,,,c=d p=n 85.20%,c ཞེས་པས(130); p ཞེས་པ(107); d ཞེས་པས(130); n ཞེས་པ(107); ,D4274,149
ཉིད་དོ། །སུའི་སུ་དབྱིའོ། །བརྩེགས་པའི་ཚིག་,གོ འོ་,གི འོ་,གི འོ་,གོ འོ་,ཞེས་པ་ཏ་ཡིག་དབྱིའོ། །ཛྷལ་མཐའ་མ་ཡིན་,K,p,,,,,,,,c=d p=n 85.20%,c གིའོ(16); p གོའོ(11); d གིའོ(16); n གོའོ(11); ,D4274,321
། །ཀུ་ལས་ཀྱང་ཞེས་པ་ལ་སོགས་པ་རྣམས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ཥ་ཉིད་དོ། །བ་སུ་སྤམ་སུ་དྷྭས་རྣམས་ཀྱི་སའིའོ་,K,p,,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), རྣམས་ཀྱི(571); p ཀྱིས(6156), རྣམས་ཀྱིས(952); d ཀྱི(5256), རྣམས་ཀྱི(571); n ཀྱིས(6156), རྣམས་ཀྱིས(952); ,D4274,359
། །བ་སུ་སྤམ་སུ་དྷྭས་རྣམས་ཀྱི་སའིའོ་ཞེས་པས་ཡིག་,,གི་,གི་,,ད་ཡིག་གོ། །ཨཙ་མ་ཡིན་པ་ལ་ཞེས་,K,p,,,,,,,,c=d p=n 85.20%,c གི(1276), ཡིག་གི(62); p (1), ད(194), ཡིག(11); d གི(1276), ཡིག་གི(62); n (1), ད(194), ཡིག(11); ,D4274,361
གི་ཌ་ཡིག་གོ། །ཀྭིནའིའོ་ཞེས་པ་ཀུ་ཉིད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ག་ཡིག་གོ། །རྫོགས་པ་ལ་ཡང་ནའོ་ཞེས་,K,p,,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), ཉིད་ཀྱི(171); p ཀྱིས(6156), ཉིད་ཀྱིས(603); d ཀྱི(5256), ཉིད་ཀྱི(171); n ཀྱིས(6156), ཉིད་ཀྱིས(603); ,D4274,504
ཀྱང་། དཱི་ཨཱཔ་དག་གི་རིང་པོ་ལས་སོ་,ཞེས་པ་,ཞེས་པ ས་,ཞེས་པ ས་,ཞེས་པ་,སུ་དབྱིའོ། །ཨཱཔ་ལས་ཨཽཏའི་ཤཱིའོ་ཞེས་པ་ཤཱི་,K,p,,,,,,,,c=d p=n 85.20%,c ཞེས་པས(130); p ཞེས་པ(107), སོ་ཞེས་པ(113); d ཞེས་པས(130); n ཞེས་པ(107), སོ་ཞེས་པ(113); ,D4274,524
ཞེས་པ་ཡཱཊའོ། །ཨེཙ་ལའོ་ཞེས་པ་ཨཻ་ཉིད་,ཉིད །།_།།,ཉིད་ དོ །_།,ཉིད་ དོ །_།,ཉིད །།_།།,ཨཀའི་རིང་པོ་ཨཀ་ལའོ། །ཐུང་ངུ་ཨཱཔ་ལས་,K,p,,,,,,,,c=d p=n 85.20%,c ཉིད་དོ།_།(3354); p ; d ཉིད་དོ།_།(3354); n ; ,D4274,526
དང་པོ་ཅན་རྣམས་ལ་ཨཱཏའིའོ་ཞེས་པ་ཨཱ་ཡིག་,,གི་,གི་,,དབྱིའོ། །རྣམ་པར་གཅད་པའོ། །ཀཱི་ལཱ་ལ་པཿ,K,p,,,,,,,,c=d p=n 85.20%,c གི(1276), ཡིག་གི(62); p (1), ཡིག(11), དབྱི(2); d གི(1276), ཡིག་གི(62); n (1), ཡིག(11), དབྱི(2); ,D4274,590
གོ། །ཛྷླའི་ཛ་ཤ་ཞེས་པ་ཛ་ཤ་ཉིད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ག་ཡིག་གོ། །རྫོགས་པ་ལ་ཡང་ནའོ་ཞེས་,K,p,,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), ཉིད་ཀྱི(171); p ཀྱིས(6156), ཉིད་ཀྱིས(603); d ཀྱི(5256), ཉིད་ཀྱི(171); n ཀྱིས(6156), ཉིད་ཀྱིས(603); ,D4274,650
། །གསུམ་པ་ལ་སོགས་པ་ལ་སྐྱེས་པ་དང་,མཚུངས་ སོ,མཚུངས་ སོ,མཚུངས་ སོ,མཚུངས,། །ཨི་དཾ། ཨི་མེ། ཨི་མཱ་ནི,K,p,,,,,,,,c=p=d n 8.17%,c མཚུངས་སོ(248), དང་མཚུངས་སོ(206), མཚུངས་སོ།_།(247), དང་མཚུངས་སོ།_།(205); p མཚུངས་སོ(248), དང་མཚུངས་སོ(206), མཚུངས་སོ།_།(247), དང་མཚུངས་སོ།_།(205); d མཚུངས་སོ(248), དང་མཚུངས་སོ(206), མཚུངས་སོ།_།(247), དང་མཚུངས་སོ།_།(205); n མཚུངས(436), མཚུངས།_།(390), དང་མཚུངས(234), དང་མཚུངས།_།(206); ,D4274,1001
། བཞི་པར་གྲངས་མེད་ལས་སུ་པའི་འཇིག་གོ་,ཞེས་པ ས་,ཞེས་པ་,ཞེས་པ་,ཞེས་པ ས་,སུ་དབྱིའོ། །ཡང་བྱིངས་དི་ཝ་སོགས་སུ་པད་,K,p,,,,,,,,c=d p=n 85.20%,c ཞེས་པ(107); p ཞེས་པས(130); d ཞེས་པ(107); n ཞེས་པས(130); ,D4274,1097
སུཊ་ཅེས་པ་སོ་སོར་བརྗོད་པ་བཟུང་བའི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །ཤས྄་ཀྱི་ཤ་ཡིག་ལས་ཨ་ཡིག་ཕྱུང་སྟེ,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,D4274,30
ཨི་ན་སྱ་དག་གོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །དེ་ཡིག་ལ་ཨེ་ཡིག་བཞག་སྟེ། ང་,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485), དོན་ཏོ།_།དེ(56); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485), དོན་ཏོ།_།དེ(56); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,D4274,33
ངོ་ཞེས་པ་ཨཽ་ཉིད་དོ། །ཨེ་ཡིག་གི་,འང་,ཡང་,ཡང་,འང་,ཨ་ཡི་གོ། །ཨེཙ་ལའོ། །ཀུན་ལས་ཀྱང་,K,,✘,,,,,,,c=d p=n 85.20%,c ཡང(82), གི་ཡང(341); p འང(542); d ཡང(82), གི་ཡང(341); n འང(542); ,D4274,110
ཐུང་ངུ་ཨཱཔ་ལས་ནུཊའོ། །ཨུ་ཡིག་ནི་བརྗོད་པའི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །ཊ་ཡིག་ནི་ཊ་ཀིཏ་དག་དང་པོ་ཐ་,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,D4274,204
གི་རུའོ། །ཨུ་ཡིག་ནི་ཧ་ཤ་ལའང་ཨས་,,ལས་,ལས་,,རུའིའོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་ཏོ། །རྣམ་པར་,K,,✘,,,,,,,c=d p=n 85.20%,c ལས(5885), ས་ལས(518); p (1), ས(542), རུ(1952), ས་རུ(59); d ལས(5885), ས་ལས(518); n (1), ས(542), རུ(1952), ས་རུ(59); ,D4274,692
ཨཀཙ་འབྱུང་ངོ་། །ཙ་ཡིག་ནི་དབྱངས་ཀྱི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །ཨ་ཡིག་ནི་བརྗོད་པའི་དོན་ཏོ། །སཪྺ་ཀ་ཞེས་,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,D4274,825
པོའི་ཚིག་གི་ཡུལ་ཉིད་ལས་མང་པོའི་ཚིག་གི་,,དེ་,དེ་,,ངེས་པའོ། །ཨེ་ཀེ། ཨེ་ཀན། ཨེ་,K,,✘,,,,,,,c=d p=n 85.20%,c དེ(1), གི་དེ(547); p (1), གི(1276), ངེས་པ(65); d དེ(1), གི་དེ(547); n (1), གི(1276), ངེས་པ(65); ,D4274,1006
པ་འདིའོ། །ཀི་མའི་ཀའོ་ཞེས་པ་ཀ་ཡིག་དག་,རུ་,ཏུ་,ཏུ་,རུ་,བསྒྱུར་རོ། །ལྷག་མ་རྣམས་སརྦ་བཞིན་ནོ། །,K,,✘,,,,,,,c=d p=n 85.20%,c ཏུ(1863), དག་ཏུ(577); p རུ(1952); d ཏུ(1863), དག་ཏུ(577); n རུ(1952); ,D4274,1072
