Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པས། །ནང་པར་ཆུ་ལ་བདུན་གསུམ་བཟླས་བཏུངས་,ན,ན,ན,ནས,། །དེ་ནི་ཟླ་བ་གཅིག་གིས་གླེན་པ་ཡང་,K,g,,,,,,,,c=p=d n 93.67%,c ན(73509), ན།_།(11932); p ན(73509), ན།_།(11932); d ན(73509), ན།_།(11932); n ནས(35333), ནས།_།(9174); ,N3542,29
མི་ཤེས་ཀྱང་། །རྒོལ་བ་དག་ལས་སྐད་ཅིག་,ལ་,ལ་,ལ་,ལས་,ཡང་རྒྱལ། །ཨོཾ་ཨམ་ཨཱིམ་ཨུམ་ཅིག་ཆར་ཕྱོགས་,K,g,,,,,,,,c=p=d n 93.67%,c ལ(33965), ལ་ཡང(17091), སྐད་ཅིག་ལ(196); p ལ(33965), ལ་ཡང(17091), སྐད་ཅིག་ལ(196); d ལ(33965), ལ་ཡང(17091), སྐད་ཅིག་ལ(196); n ལས(5885), ལས་ཡང(1332); ,N3542,31
པ་དེས་ནི་ཅི་བཞིན་ཤེས། །དེ་བཞིན་དཔྱད་,ལ་,ལ་,ལ་,ལས་,འབྲས་བུ་ཁྱད་པར་ཅན། །བསྟན་པ་རྣམས་ཀྱང་,K,g,,,,,,,,c=p=d n 93.67%,c ལ(33965), ལ་འབྲས་བུ(130); p ལ(33965), ལ་འབྲས་བུ(130); d ལ(33965), ལ་འབྲས་བུ(130); n ལས(5885), ལས་འབྲས་བུ(78); ,N3542,43
པར་བཟུང་ནས་སུ། །ཟླ་བ་གཟས་ཟིན་ཚེ་,ནི་,ནི་,ནི་,ན་,རལ་གྲི་དེ། །འབར་ཞིང་རབ་ཏུ་གཡོ་བའི་,K,g,,,,,,,,c=p=d n 93.67%,c ནི(44237), ཚེ་ནི(311), ནི་རལ་གྲི(46); p ནི(44237), ཚེ་ནི(311), ནི་རལ་གྲི(46); d ནི(44237), ཚེ་ནི(311), ནི་རལ་གྲི(46); n ན(73509), ཚེ་ན(2083), ན་རལ་གྲི(157); ,N3542,63
ར་ཞེས་པའི་ཐོག་མ་ལ། །ཨོཾ་སྟེ་དེ་,ཡིས་,ཡིས་,ཡིས་,ཡི་,ཐ་མར་མུ་གཞག་གོ། །སྙིང་པོའི་སྔགས་ནི་,K,p,,,,,,,,c=p=d n 93.67%,c ཡིས(7433), དེ་ཡིས(1499); p ཡིས(7433), དེ་ཡིས(1499); d ཡིས(7433), དེ་ཡིས(1499); n ཡི(8322), དེ་ཡི(6810); ,N3542,5
ཟླ་གསུམ་བྱས་པ་ཡིས། །དེ་འདིར་ཚིག་གི་,དབང་པོ་,དབང་པོ་,དབང་པོ་,དབང་པོ ར་,གྲུབ་པར་འགྱུར། །ཡང་དག་བཀོད་པ་དང་པོར་,K,p,,,,,,,,c=p=d n 93.67%,c དབང་པོ(95), གི་དབང་པོ(440); p དབང་པོ(95), གི་དབང་པོ(440); d དབང་པོ(95), གི་དབང་པོ(440); n དབང་པོར(211); ,N3542,16
ལུས་བྱས་ནས། །དེ་ནི་ཚིག་གི་དབང་པོར་,འདི ར་,འདི ར་,འདི ར་,འདི་,འགྱུར་རོ། །དེ་ནི་ཡིད་ཀྱིས་རྩ་བའི་སྔགས་,K,p,,,,,,,,c=p=d n 93.67%,c འདིར(338); p འདིར(338); d འདིར(338); n འདི(1651); ,N3542,21
གི་དབང་པོར་འདིར་འགྱུར་རོ། །དེ་ནི་ཡིད་,ཀྱིས་,ཀྱིས་,ཀྱིས་,ཀྱི་,རྩ་བའི་སྔགས་ཟློས་ཤིང་། །སྔགས་མཁན་བདག་གི་,K,p,,,,,,,,c=p=d n 93.67%,c ཀྱིས(6156), ཡིད་ཀྱིས(133); p ཀྱིས(6156), ཡིད་ཀྱིས(133); d ཀྱིས(6156), ཡིད་ཀྱིས(133); n ཀྱི(5256), ཡིད་ཀྱི(6835), ཀྱི་རྩ་བ(220); ,N3542,22
པའི་ཨུད་པལ་གཡོན་པའི་ཕྱག་ན་བསྣམས། །དེ་,ཡིས་,ཡིས་,ཡིས་,ཡི་,ཕྱག་གཡས་མཆོག་ནི་སྦྱིན་པར་མཛད། །རིགས་འཛིན་,K,p,,,,,,,,c=p=d n 93.67%,c ཡིས(7433), དེ་ཡིས(1499); p ཡིས(7433), དེ་ཡིས(1499); d ཡིས(7433), དེ་ཡིས(1499); n ཡི(8322), དེ་ཡི(6810), ཡི་ཕྱག(229), དེ་ཡི་ཕྱག(41); ,N3542,51
མྱུར་དུ་འཐུངས་ནས་ནི། །ཐམས་ཅད་ཤེས་འགྱུར་,འདི ར་,འདི ར་,འདི ར་,འདི་,ནི་གདོན་མི་ཟ། །སྟོབས་ཀྱང་ཆེ་བ་རླུང་,K,p,,,,,,,,c=p=d n 93.67%,c འདིར(338), འདིར་ནི(1375), འགྱུར་འདིར(41); p འདིར(338), འདིར་ནི(1375), འགྱུར་འདིར(41); d འདིར(338), འདིར་ནི(1375), འགྱུར་འདིར(41); n འདི(1651), འདི་ནི(23970), འགྱུར་འདི(111); ,N3542,62
