Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཤེས་པར་བྱ། །སངས་རྒྱས་ཐམས་ཅད་འབྱུང་ཞི་,ཞི་བ,,#པ(་ #བ),, །།ནམ་མཁའ་ཀུན་ལ་རབ་ཏུ་གནས།༢,K,,,,✓,,,,,p d 9.09%,p ཞི་བ(322); d ; ,N4802,2
དབང་པོ་བཅུ་ཡི་དོན་རྣམས་ནི། །རང་གི་,,,,,འཇུག་གནས་ཐམས་ཅད་ལས། །སོ་སོ་སོ་སོར་,K,,,,,,,[ ],,p=d 90.91%,p (1), ལས(5885), ཐམས་ཅད་ལས(59); d (1), ལས(5885), ཐམས་ཅད་ལས(59); ,N4802,1
།༢ །ཡེ་ཤེས་ལྔ་ལས་བྱུང་བའི་དབྱུགས,,,,, །།འབྱུང་བ་ལྔ་ཡི་རང་བཞིན་ཅན། །གོང་,K,,,,,,,[ ],,p=d 90.91%,p (1), ཡི(8322), ལྔ་ཡི(564); d (1), ཡི(8322), ལྔ་ཡི(564); ,N4802,3
རྗེའི་ལམ་ནས་ནི། །ནམ་མཁའི་ཁམས་སུ་སྤྲོ་,,,,,བར་བྱ། །གང་ཞིག་སྒོམ་པ་རྗེས་དྲན་པས,K,,,,,,,[ ],,p=d 90.91%,p (1), གང་ཞིག(5325), །_།གང་ཞིག(2671), བྱ།_།གང་ཞིག(245); d (1), གང་ཞིག(5325), །_།གང་ཞིག(2671), བྱ།_།གང་ཞིག(245); ,N4802,4
།༥ །དེ་ལས་སོ་སོར་སྣང་བ་སྟེ,,,,, །།ཐབས་དང་ཤེས་རབ་སྙོམས་འཇུག་པས། །དངོས་,K,,,,,,,[ ],,p=d 90.91%,p (1), ཤེས་རབ(44635), དང་ཤེས་རབ(858), ཐབས་དང་ཤེས་རབ(571); d (1), ཤེས་རབ(44635), དང་ཤེས་རབ(858), ཐབས་དང་ཤེས་རབ(571); ,N4802,5
ཀྱི་མཚན་ཉིད་ཅན་གང་ཡིན་པ་དེ་ནི་དཀའ་,,,,,བ་འདྲ་བའོ། །དེ་ཁོ་ན་ཉིད་ལ་མངོན་,K,,,,,,,[ ],,p=d 90.91%,p (1), དེ(1), །_།དེ(137195), འོ།_།དེ(79); d (1), དེ(1), །_།དེ(137195), འོ།_།དེ(79); ,N4802,6
རང་སྔགས་སྙིང་ཁར་ནི། རང་གི་སྙིང་ཁའི་,,,,,པདྨ་དཀར་པོ་ལ་བསམས་ནས། སྲོག་ནི་ཐིག་,K,,,,,,,[ ],,p=d 90.91%,p (1), བསམས(54), ལ་བསམས(247); d (1), བསམས(54), ལ་བསམས(247); ,N4802,7
ཆེ་སྟེ། སེམས་ཀྱི་རིན་པོ་ཆེ་ལ་སྲོགས་,,,,,རྩོལ་དང་ལྷན་ཅིག་པས་འགག་པ་སྟེ་ནུབ་པར་,K,,,,,,,[ ],,p=d 90.91%,p (1), ས(542); d (1), ས(542); ,N4802,8
བྱ་ཞིང་། ཆོས་ཀྱི་སྐུའི་རང་བཞིན་གྱིས་ཁྱད་,,,,,པར་བྱའོ། །འདི་ལྟར་བདག་ཉིད་འོད་གསལ་དུ་,K,,,,,,,[ ],,p=d 90.91%,p (1), འདི་ལྟར(49), །_།འདི་ལྟར(1379), བྱའོ།_།འདི་ལྟར(197); d (1), འདི་ལྟར(49), །_།འདི་ལྟར(1379), བྱའོ།_།འདི་ལྟར(197); ,N4802,9
དང་གཡོ་བའོ། །ཐབས་དང་ཤེས་རབ་སྙོམས་པར་,,,,,འཇུག་པ་ནི་ཀུན་རྫོབ་དང་དོན་དམ་པའི་སྦྱོར་,K,,,,,,,[ ],,p=d 90.91%,p (1), ཀུན་རྫོབ(826), ནི་ཀུན་རྫོབ(73); d (1), ཀུན་རྫོབ(826), ནི་ཀུན་རྫོབ(73); ,N4802,10
གསང་འདུས་སྦྱོར་དྲུག་རྒྱུད་ལ་ཕྱག་འཚལ་ལོ།། །།,,,,,,K,,,,,,,[ ],,p=d 90.91%,p (1), །།_།།(7586); d (1), །།_།།(7586); ,N4802,11
