Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཉིད་དུ་བསམ་པར་བྱའོ། །འབྱུང་བ་རིམ་བརྩེགས་,ཀྱི་,,,ཀྱི་,རི་རབ་ཀྱི་སྟེང་དུ་པདྨ་ལ་ཉི་མ་དང་,K,p,,,,,,,,p=n d 76.92%,p ཀྱི(5256); d (1), རི་རབ(1872), བརྩེགས(24); n ཀྱི(5256); ,T1464,5
བུ་དུམ་བུས་སྐེ་རགས་ཅན། མི་མགོ་སྐམ་པོའི་,ཕྲེང་བ་,,ཕྲེང་བ ས་,ཕྲེང་བ་,སེ་རལ་ཁར་འཕྱང་བ། ཞབས་གཡས་བྱིན་པ་,K,p,,,,,,,,p=n d 76.92%,p ཕྲེང་བ(3939); d ཕྲེང་བས(658); n ཕྲེང་བ(3939); ,T1464,11
འདས་དཔའ་བོ་གཅིག་པ་སྐུ་མདོག་མཐིང་ག་ཞལ་,གཅིག་,,གཅིག་,གཅིག་པ་,ཕྱག་གཉིས་པ་རྡོ་རྗེ་དང་དྲིལ་བུ་འཛིན་པས་,K,,པ་བ་,,,,s,,,p=d n 7.69%,p གཅིག(620), ཞལ་གཅིག(322), གཅིག་ཕྱག(213), ཞལ་གཅིག་ཕྱག(174); d གཅིག(620), ཞལ་གཅིག(322), གཅིག་ཕྱག(213), ཞལ་གཅིག་ཕྱག(174); n གཅིག་པ(317), ཞལ་གཅིག་པ(50); ,T1464,6
པ་ལ་སོགས་པའི་ཉམས་དང་ལྡན་ཞིང་ཤིན་ཏུ་,#སིང་,,འགྱིང་,#སིང་,བག་དང་ལྡན་པ། སྟག་གི་པགས་པས་སྨད་,K,,,nw✓,,,,,,p=n d 76.92%,p སིང(168); d འགྱིང(336), འགྱིང་བག(60); n སིང(168); ,T1464,9
། །དེ་ནས་ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་,#སྭཱ་,,#སྭ་,#སྭ་,བྷཱ་ཝ་ཨཱཏྨ་ཀོ྅ཧཾཧཾ། ཞེས་བརྗོད་པས་སྟོང་,K,,,,✓,,,,,p d=n 7.69%,p སྭཱ(1); d སྭ(18), སྭ་བྷཱ(47), བཛྲ་སྭ(160), བཛྲ་སྭ་བྷཱ(128), ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ(52); n སྭ(18), སྭ་བྷཱ(47), བཛྲ་སྭ(160), བཛྲ་སྭ་བྷཱ(128), ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ(52); ,T1464,3
ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ་ཝ་ཨཱཏྨ་,#ཀོཧཾ,,#ཀོ྅ཧཾ,#ཀོཧཾ,ཧཾ། ཞེས་བརྗོད་པས་སྟོང་པ་ཉིད་དུ་བསམ་,K,,,,✓,,,,,p=n d 76.92%,p ; d ཀོ྅ཧཾ(5); n ; ,T1464,4
ཡུམ་ལ། དེ་སྙིང་གའི་ཧཱུཾ་ལ། ཧཱུཾ་,#ཧཱུཾ་ ལ །_ #ཧཱུཾ་,,#ཧཱུྃ་ ལ །_ #ཧཱུྃ་,#ཧཱུཾ་ ལ །_ #ཧཱུཾ་,ཞབས་ཀྱུ་ནས་ནཱ་དའི་བར་དུ་བསྡུས་ལ། ,K,,,,✓,,,,,p=n d 76.92%,p ; d ; n ; ,T1464,12
ཕྱེད་པའི་དབུ་རྒྱན་ཅན། མི་བསྐྱོད་པས་དབུ་,རྒྱན་པ་,,བརྒྱན་པ་,རྒྱན་པ་,དར་དཔྱངས་ཀྱི་ཅོད་པན་ཅན། སྒེག་པ་ལ་,K,,,,,≠,,,,p=n d 76.92%,p ; d བརྒྱན་པ(1313); n ; ,T1464,8
སྔགས་པས་ཕྱི་ནང་གི་དྲི་མ་དག་པར་བྱས་,,,ལ་,,སྟན་བདེ་བ་ལ་འདུག་སྟེ། རང་སྐད་ཅིག་,K,,,,,,≡,,,p=n d 76.92%,p (1), བྱས(3666), སྟན(20); d ལ(33965), ལ་སྟན(84), བྱས་ལ(1394); n (1), བྱས(3666), སྟན(20); ,T1464,1
བསྐྱེད་པའི་སྙིང་གའི་ཧཱུཾ་གི་འོད་ཀྱིས་གདུག་པ་,,,ཅན་,,ཐམས་ཅད་ཞི་བར་བྱས་ཏེ། འོད་ཚུར་འདུས་,K,,,,,,≡,,,p=n d 76.92%,p (1), གདུག་པ(1251), ཐམས་ཅད(165), གདུག་པ་ཐམས་ཅད(158); d ཅན(5389), ཅན་ཐམས་ཅད(11942), གདུག་པ་ཅན(120); n (1), གདུག་པ(1251), ཐམས་ཅད(165), གདུག་པ་ཐམས་ཅད(158); ,T1464,2
མདོག་མཐིང་ག་ཞལ་གཅིག་ཕྱག་གཉིས་པ་རྡོ་རྗེ་,,,དང་,,དྲིལ་བུ་འཛིན་པས་ཡུམ་ལ་འཁྱུད་པ། ཞབས་,K,,,,,,≡,,,p=n d 76.92%,p (1), དྲིལ(23), རྡོ་རྗེ(204), རྡོ་རྗེ་དྲིལ(297), རྡོ་རྗེ་དྲིལ་བུ(206); d དང(18517), དང་དྲིལ(90), རྡོ་རྗེ་དང(1004); n (1), དྲིལ(23), རྡོ་རྗེ(204), རྡོ་རྗེ་དྲིལ(297), རྡོ་རྗེ་དྲིལ་བུ(206); ,T1464,7
བྱེད་པ། སྐྲ་གྲོལ་བ་གཅེར་བུ་དུམ་བུས་,སྐ་རགས་,,སྐེ་རགས་,སྐ་རགས་,ཅན། མི་མགོ་སྐམ་པོའི་ཕྲེང་བས་སེ་རལ་ཁར་,K,,,,,,≡,,,p=n d 76.92%,p སྐ་རགས(237); d ; n སྐ་རགས(237); ,T1464,10
བ་ནག་ཚོ་ཚུལ་ཁྲིམས་རྒྱལ་བས་བསྒྱུར་བའོ།། །།,,,,,,K,,,,,,,[ ],,p=d=n 7.69%,p (1), །།_།།(7586); d (1), །།_།།(7586); n (1), །།_།།(7586); ,T1464,13
