Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བ། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་,ལ་,ལས་,ལས་,ལ་,ཉེ་བར་འཁྲུངས་པ་སྟེ། དེ་ལྟ་བུའི་ཤེས་,K,g,,,,,,,,c=d p=n 82.61%,c ལས(5885), ལས་ཉེ་བར(99), ཕྱིན་པ་ལས(446); p ལ(33965), ལ་ཉེ་བར(1086), ཕྱིན་པ་ལ(14161); d ལས(5885), ལས་ཉེ་བར(99), ཕྱིན་པ་ལས(446); n ལ(33965), ལ་ཉེ་བར(1086), ཕྱིན་པ་ལ(14161); ,T2326a,38
གྱི་འཇིག་རྟེན་གྱི་ཁམས་ན་སངས་རྒྱས་དཔག་ཏུ་,མེད་པ ས་,མེད་པ་,མེད་པ་,མེད་པ ས་,བྱེ་པ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དཔག་ཏུ་མེད་པ་,K,p,,,,,,,,c=d p=n 82.61%,c མེད་པ(5438), ཏུ་མེད་པ(118); p མེད་པས(593), ཏུ་མེད་པས(109); d མེད་པ(5438), ཏུ་མེད་པ(118); n མེད་པས(593), ཏུ་མེད་པས(109); ,T2326a,23
པོ་ཆེ་ལ་སོགས་པ་རྣམས་ཀྱིས་ཀྱང་སྟེ། འདི་རྣམས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐམས་ཅད་དང་། ལྷ་,K,p,,,,,,,,c=d p=n 82.61%,c ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སངས་རྒྱས(717), རྣམས་ཀྱིས་སངས་རྒྱས(160), རྣམས་ཀྱིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས(68); p ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་སངས་རྒྱས(955), རྣམས་ཀྱི་སངས་རྒྱས(279); d ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སངས་རྒྱས(717), རྣམས་ཀྱིས་སངས་རྒྱས(160), རྣམས་ཀྱིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས(68); n ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་སངས་རྒྱས(955), རྣམས་ཀྱི་སངས་རྒྱས(279); ,T2326a,26
ཟླ་བའི་དཀྱིལ་འཁོར་ལ་དེ་ནས་དྷཱིཿཡིག་དེ་དང་,འདྲ་བ ར་,འདྲ་བ་,འདྲ་བ་,འདྲ་བ ར་,བསམས་ནས། དེ་ཡོངས་སུ་གྱུར་པ་ལས་སྣ་,K,p,,,,,,,,c=d p=n 82.61%,c འདྲ་བ(611), དང་འདྲ་བ(128); p འདྲ་བར(116), དང་འདྲ་བར(1216); d འདྲ་བ(611), དང་འདྲ་བ(128); n འདྲ་བར(116), དང་འདྲ་བར(1216); ,T2326a,30
ལག་ཐམས་ཅད་ལ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,རྒྱན་དུ་མཛད་པ། ཡང་གཡོན་དང་གཡས་ན་,K,p,,,,,,,,c=d p=n 82.61%,c ཀྱིས(6156), ཐམས་ཅད་ཀྱིས(433); p ཀྱི(5256), ཀྱི་རྒྱན(616), ཐམས་ཅད་ཀྱི(721), ཐམས་ཅད་ཀྱི་རྒྱན(103); d ཀྱིས(6156), ཐམས་ཅད་ཀྱིས(433); n ཀྱི(5256), ཀྱི་རྒྱན(616), ཐམས་ཅད་ཀྱི(721), ཐམས་ཅད་ཀྱི་རྒྱན(103); ,T2326a,36
། །བཟླས་པའི་དུས་སུ་ཡང་དཔྲལ་བར་ཨོཾ་ཡིག་,སེར་པོ་,སེར་པོ ར་,སེར་པོ ར་,སེར་པོ་,བལྟ་བར་བྱའོ། །དེ་བཞིན་དུ་མགྲིན་པར་ཨཱཿཡིག་,K,p,,,,,,,,c=d p=n 82.61%,c སེར་པོར(94); p སེར་པོ(73); d སེར་པོར(94); n སེར་པོ(73); ,T2326a,41
སྐྱེས་བུ་རིན་པོ་ཆེ་ལ་སོགས་པ་རྣམས་ཀྱིས་,ཀྱང ་།_,ཀྱང་ སྟེ །_,ཀྱང་ སྟེ །_,ཀྱང ་།_,འདི་རྣམས་ཀྱིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐམས་ཅད་,K,,✘,,,,,,,c=d p=n 82.61%,c ; p ཀྱང་།_(2829), ཀྱིས་ཀྱང་།_(118); d ; n ཀྱང་།_(2829), ཀྱིས་ཀྱང་།_(118); ,T2326a,25
,པྲཛྙཱ་པ་,པྲཛྙཱ་ #པཱ་,པྲཛྙཱ་ #པཱ་,པྲཛྙཱ་པ་,ར་མི་ཏཱ་སཱ་དྷ་ནཾ། བོད་སྐད་དུ,K,,,,✓,,,,,c=d p=n 82.61%,c པྲཛྙཱ་པཱ(53), པྲཛྙཱ་པཱ་ར(53); p ; d པྲཛྙཱ་པཱ(53), པྲཛྙཱ་པཱ་ར(53); n ; ,T2326a,1
། ཨོཾ་བཛྲ་གནྡྷེ་ཧཱུཾ་སྭཱ་ཧཱ། ཨོཾ་བཛྲ་,#དྷི་,#དཱི་,#དཱི་,#དྷི་,པེ་ཧཱུཾ་སྭཱ་ཧཱ། ཨོཾ་བཛྲ་ནེ་བི་དྷྱེ་,K,,,,✓,,,,,c=d p=n 82.61%,c དཱི(1); p དྷི(26); d དཱི(1); n དྷི(26); ,T2326a,7
དབུལ་བར་བྱའོ། །དེའི་མདུན་དུ་ཨོཾ་ན་མོ་,བཻ་རོ་ཙ་ན་,#བཻ་ རོ་ཙ་ #ནཱ་,#བཻ་ རོ་ཙ་ #ནཱ་,བཻ་རོ་ཙ་ན་,ཡ་ཨོཾ། ཨོཾ་བཛྲ་པུཥྤེ་ཧཱུཾ་སྭཱ་ཧཱ། ,K,,,,✓,,,,,c=d p=n 82.61%,c ; p ; d ; n ; ,T2326a,8
ཏུ། ཨོཾ་ན་མོ་ཨ་མི་ཏཱ་བྷཱ་ཡ་,ཨོཾ་,#ཧྲཱིཿཨོཾ་,#ཧྲཱིཿཨོཾ་,ཨོཾ་,ཨོཾ་བཛྲ་པུཥྤེ་ཧཱུཾ་སྭཱ་ཧཱ། དེ་བཞིན་,K,,,,✓,,,,,c=d p=n 82.61%,c ཧྲཱིཿཨོཾ(1); p ཨོཾ(2), ཨོཾ་བཛྲ(91); d ཧྲཱིཿཨོཾ(1); n ཨོཾ(2), ཨོཾ་བཛྲ(91); ,T2326a,10
ཧཱ། དེ་བཞིན་དུ་གཡོན་དུ་ཨོཾ་ན་མོ་,#སིདྷི་ ཡེ །_ ཨོཾ་ #ཨཱཿ་ #ཧཱུཾཨོཾ་,ཨ་ མོ་ #གྷ་ #སིདྡྷི་ ཡེ་ #ཨཿཨོཾ་,ཨ་ མོ་ #གྷ་ #སིདྡྷི་ ཡེ་ #ཨཿཨོཾ་,#སིདྷི་ ཡེ །_ ཨོཾ་ #ཨཱཿ་ #ཧཱུཾཨོཾ་,ཨོཾ་བཛྲ་པུཥྤེ་ཧཱུཾ་སྭཱ་ཧཱ། འདིས་དེ་རྣམས་,K,,,,✓,,,,,c=d p=n 82.61%,c ; p ; d ; n ; ,T2326a,12
དཔག་མེད་དག་གི་དབུས་སུ། ཨོཾ་ན་མོ་,མ་,#མཱ་,#མཱ་,མ་,མ་ཀྱཻ་མཾ་ཨོཾ་བཛྲ་པུཥྤེ་ཧཱུཾ་སྭཱ་ཧཱ། ,K,,,,✓,,,,,c=d p=n 82.61%,c མཱ(40), མཱ་མ(408), མོ་མཱ(43); p མ(4286), མ་མ(40), མོ་མ(283); d མཱ(40), མཱ་མ(408), མོ་མཱ(43); n མ(4286), མ་མ(40), མོ་མ(283); ,T2326a,13
