Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མི་དང་ཁྱི་འདྲ་བས་ཁྱི་ཡང་རང་གི་གནས་,ན་,ནི་,ནི་,ན་,སྟོབས་ཆེ་ལ། ཡུལ་གཞན་དུ་དུལ་བར་འགྱུར་,K,g,,,,,,,,c=d p=n 82.46%,c ནི(44237), གནས་ནི(668), ནི་སྟོབས(377); p ན(73509), གནས་ན(1271), ན་སྟོབས(105); d ནི(44237), གནས་ནི(668), ནི་སྟོབས(377); n ན(73509), གནས་ན(1271), ན་སྟོབས(105); ,T2457,56
བྱ་བ་རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་ལས། གང་,གི་,གིས་,གིས་,གི་,རྨོངས་པ་འཆིང་འགྱུར་ཞིང། །ངུ་འབོད་མཐར་ནི་,K,p,,,,,,,,c=d p=n 82.46%,c གིས(2588), གང་གིས(183); p གི(1276), གང་གི(8014); d གིས(2588), གང་གིས(183); n གི(1276), གང་གི(8014); ,T2457,1
བུར་སྨྲ་ཞིང་མི་བརྟན་པའི་བསམ་པ་སྣ་ཚོགས་,,སུ་,སུ་,,རྒྱུ་བའོ། །ཞེ་སྡང་དང་ལྡན་པའི་གང་ཟག་,K,p,,,,,,,,c=d p=n 82.46%,c སུ(4121), སུ་རྒྱུ་བ(85), སྣ་ཚོགས་སུ(440); p (1), རྒྱུ་བ(83), སྣ་ཚོགས(58); d སུ(4121), སུ་རྒྱུ་བ(85), སྣ་ཚོགས་སུ(440); n (1), རྒྱུ་བ(83), སྣ་ཚོགས(58); ,T2457,6
། ཞེ་སྡང་བའི་དངོས་པོ་ཆུང་ངུ་ལ་ཁོང་,ཁྲོ་བ་,ཁྲོ་བ ས་,ཁྲོ་བ ས་,ཁྲོ་བ་,ཀུན་ནས་དཀྲིས་པ་སྟུག་པོ་དང། མང་པོ་,K,p,,,,,,,,c=d p=n 82.46%,c ཁྲོ་བས(116); p ཁྲོ་བ(993), ཁོང་ཁྲོ་བ(340); d ཁྲོ་བས(116); n ཁྲོ་བ(993), ཁོང་ཁྲོ་བ(340); ,T2457,7
གསུངས་པ་དང། ཉེས་པར་བཤད་པའི་ཆོས་རྣམས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,དོན་ཀུན་ཤེས་པར་མི་ནུས། རྐྱེན་གྱིས་ཕྲོགས,K,p,,,,,,,,c=d p=n 82.46%,c ཀྱི(5256), ཀྱི་དོན(2313), རྣམས་ཀྱི(571), རྣམས་ཀྱི་དོན(954), ཆོས་རྣམས་ཀྱི་དོན(88), རྣམས་ཀྱི་དོན་ཀུན(61), ཆོས་རྣམས་ཀྱི་དོན་ཀུན(60); p ཀྱིས(6156), ཀྱིས་དོན(354), རྣམས་ཀྱིས(952); d ཀྱི(5256), ཀྱི་དོན(2313), རྣམས་ཀྱི(571), རྣམས་ཀྱི་དོན(954), ཆོས་རྣམས་ཀྱི་དོན(88), རྣམས་ཀྱི་དོན་ཀུན(61), ཆོས་རྣམས་ཀྱི་དོན་ཀུན(60); n ཀྱིས(6156), ཀྱིས་དོན(354), རྣམས་ཀྱིས(952); ,T2457,12
། ཐམ་ཐོམ་གྱི་སྣོད་གྱུར། དབྲལ་ཅིང་ཡིད་,འབྱུང་བ་,འབྱུང་བ ར་,འབྱུང་བ་,འབྱུང་བ་,དཀའ། རྒྱ་ཆེན་པོ་ལ་མི་མོས། སྙིང་,K,p,,,,,,,,c p=d=n 7.02%,c འབྱུང་བར(7662), ཡིད་འབྱུང་བར(61); p འབྱུང་བ(470); d འབྱུང་བ(470); n འབྱུང་བ(470); ,T2457,16
མིན། །ཞེས་གསུངས་པས་ཡོངས་སུ་སྒྲོལ་བ་ལ་བསམ་,གྱི་,གྱིས་,གྱིས་,གྱི་,མི་ཁྱབ་པར་འདོད་པ་དང། རྒྱུ་མ་དག་,K,p,,,,,,,,c=d p=n 82.46%,c གྱིས(7492), གྱིས་མི(5804), བསམ་གྱིས(5989), བསམ་གྱིས་མི(4409), བསམ་གྱིས་མི་ཁྱབ་པ(190); p གྱི(3024), གྱི་མི(593), བསམ་གྱི(167); d གྱིས(7492), གྱིས་མི(5804), བསམ་གྱིས(5989), བསམ་གྱིས་མི(4409), བསམ་གྱིས་མི་ཁྱབ་པ(190); n གྱི(3024), གྱི་མི(593), བསམ་གྱི(167); ,T2457,20
རིང་ནི་བདག་གི་ཞེ་སྡང་གི་དངོས་པོ་བདག་,གི་,གིས་,གིས་,གི་,སྐྱེས་པའམ། ཕས་རྒོལ་བའམ། གཞན་དག་ཕན་,K,p,,,,,,,,c=d p=n 82.46%,c གིས(2588), བདག་གིས(13868), གིས་སྐྱེས་པ(47); p གི(1276), བདག་གི(11456); d གིས(2588), བདག་གིས(13868), གིས་སྐྱེས་པ(47); n གི(1276), བདག་གི(11456); ,T2457,30
པར་བྱ་སྟེ། ཞེ་སྡང་ཡིད་ཀྱི་གང་ཟག་,གི་,གིས་,གིས་,གི་,ཞེ་སྡང་ཡི་དམ་དུ་བྱས་པས་དེ་ལས་སུ་,K,p,,,,,,,,c=d p=n 82.46%,c གིས(2588), གང་ཟག་གིས(66); p གི(1276), གང་ཟག་གི(209); d གིས(2588), གང་ཟག་གིས(66); n གི(1276), གང་ཟག་གི(209); ,T2457,34
བྱས་ལ། དེ་ལས་སུ་རུང་བ་དང་རིམ་,གྱི་,གྱིས་,གྱིས་,གྱི་,སྤོ་བར་བྱའོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ,K,p,,,,,,,,c=d p=n 82.46%,c གྱིས(7492), རིམ་གྱིས(1049); p གྱི(3024); d གྱིས(7492), རིམ་གྱིས(1049); n གྱི(3024); ,T2457,37
ཅིའི་ཕྱིར་ཞེ་ན། ལས་དང་པོའི་གང་ཟག་,གི་,གིས་,གིས་,གི་,གཅིག་ལ་མཆོག་ཏུ་མ་གདམས་ན་དུག་ལྔ་མང་,K,p,,,,,,,,c=d p=n 82.46%,c གིས(2588), གིས་གཅིག(264), གང་ཟག་གིས(66); p གི(1276), གང་ཟག་གི(209); d གིས(2588), གིས་གཅིག(264), གང་ཟག་གིས(66); n གི(1276), གང་ཟག་གི(209); ,T2457,38
རམ་ཞེ་ན་མི་འགྱུར་ཏེ། སྡིག་ཆེ་ལས་,ཀྱིས་,ཀྱི་,ཀྱིས་,ཀྱིས་,བསྐལ་ནས་ནི། །མན་ངག་འདོད་ན་མི་ན་,K,p,,,,,,,,c p=d=n 7.02%,c ཀྱི(5256), ལས་ཀྱི(7315), ཀྱི་བསྐལ(149); p ཀྱིས(6156), ལས་ཀྱིས(1492), ཀྱིས་བསྐལ(127); d ཀྱིས(6156), ལས་ཀྱིས(1492), ཀྱིས་བསྐལ(127); n ཀྱིས(6156), ལས་ཀྱིས(1492), ཀྱིས་བསྐལ(127); ,T2457,46
ལག་ཡིན་པས་ཞེ་སྡང་ཅི་བྱུང་ཚོར་བར་ཤོག་,ཅིག་པ ར་,ཤིག་པ ར་,ཤིག་པ ར་,ཅིག་པ ར་,སྨོན་ལམ་བཏབ་ལ། ནམ་ཚོར་བའི་དུས་སུ་,K,,✘,,,,,,,c=d p=n 82.46%,c ཤིག་པར(45); p ; d ཤིག་པར(45); n ; ,T2457,32
རྙེད་ནས་ཚོགས་ཀྱི་གསེབ་ཏུ་ཕྱིན་ཀྱང་ཞེ་སྡང་,ལ་སོགས་པ་,ལ་སོགས་,ལ་སོགས་,ལ་སོགས་པ་,གང་བྱུང་ཡང་དྲན་པ་དང་མི་འབྲལ་ཞིང་གཞན་,K,,པ་བ་,,,,s,,,c=d p=n 82.46%,c ལ་སོགས(493); p ལ་སོགས་པ(403), ལ་སོགས་པ་གང(95); d ལ་སོགས(493); n ལ་སོགས་པ(403), ལ་སོགས་པ་གང(95); ,T2457,55
ཀུན་ཤེས་པར་མི་ནུས། རྐྱེན་གྱིས་ཕྲོགས།,གྱིས་ ཕྲོགས །_ གཞན་,,,གྱིས་ ཕྲོགས །_ གཞན་,གཞན་གྱི་དྲིང་ལ་འཇོག །ཤ་མདོག་ངེས་པ་,K,,,nw✘,,,,,,c=d p=n 82.46%,c (1), གཞན(1356), གྱི(3024), གཞན་གྱི(3364), །_གཞན་གྱི(679), གཞན་གྱི་དྲིང(319), །_གཞན་གྱི་དྲིང(69); p ; d (1), གཞན(1356), གྱི(3024), གཞན་གྱི(3364), །_གཞན་གྱི(679), གཞན་གྱི་དྲིང(319), །_གཞན་གྱི་དྲིང(69); n ; ,T2457,13
གནོད་བཞིན་དུ་གནས། ཁྲོ་གཉེར་དང་ལྡན། ,#གཞིན་,བཞིན་,བཞིན་,#གཞིན་,གྱི་མདོག་མི་གསལ་བའོ། །གཏི་མུག་དང་ལྡན་,K,,,nw✓,,,,,,c=d p=n 82.46%,c བཞིན(3439), །_བཞིན(626), བཞིན་གྱི(1584); p གཞིན(7); d བཞིན(3439), །_བཞིན(626), བཞིན་གྱི(1584); n གཞིན(7); ,T2457,10
པ་སྟེ། འདི་དག་ནི་རྨོངས་པ་རྣམས་ཀྱི་,ངན་,དོན་,#དན་,ངན་,རྟགས་ཡིན་ཏེ། མཁས་པས་ཀུན་དུ་སྤང་བར་བྱ་,K,,,nw✓,,,,,,c p=n d 1.75%,c དོན(504), ཀྱི་དོན(2313); p ངན(54), ཀྱི་ངན(53); d དན(96); n ངན(54), ཀྱི་ངན(53); ,T2457,21
བྱའོ། །དེ་ལ་ནང་པར་ལྡང་བའི་དུས་སུ་,#དི་,དེ་,དེ་,#དི་,རིང་ནི་བདག་གི་ཞེ་སྡང་གི་དངོས་པོ་བདག་,K,,,nw✓,,,,,,c=d p=n 82.46%,c དེ(1), སུ་དེ(296), དེ་རིང(837); p དི(31); d དེ(1), སུ་དེ(296), དེ་རིང(837); n དི(31); ,T2457,29
བྱའོ། །དེ་ལྟར་བྱས་པས་ཞེ་སྡང་གི་དུག་,གི་ མི་ #ཚུག་པ ར་,གིས་ མི་ ཚུགས་པ ར་,གིས་ མི་ ཚུགས་པ ར་,གི་ མི་ #ཚུག་པ ར་,བྱའོ། །ཞེ་སྡང་སྐྱེས་སོ་ཅོག་ལམ་དུ་ཤེས་,K,,,nw✓,,,,,,c=d p=n 82.46%,c ; p ; d ; n ; ,T2457,33
ལ་སླ་བར་འོང་བ་དེ་བཞིན་དུ་གང་གི་,#ཞང་,#ཞད་,#ཞད་,#ཞང་,ཆེ་བ་དེ་ཐོག་མར་ཡི་དམ་དུ་བྱའོ། །,K,,,nw✓,,,,,,c=d p=n 82.46%,c ཞད(5); p ཞང(155); d ཞད(5); n ཞང(155); ,T2457,36
དང་པོའི་གང་ཟག་གིས་གཅིག་ལ་མཆོག་ཏུ་མ་,#གདིས་,གདམས་,གདམས་,#གདིས་,ན་དུག་ལྔ་མང་དུ་འབྱུང་བས་ཡིད་གཏོང་སྙིང་,K,,,nw✓,,,,,,c=d p=n 82.46%,c གདམས(2); p ; d གདམས(2); n ; ,T2457,39
དུག་ལྔའི་འཇིགས་པ་བཏུལ་ནས་མི་འཇིགས་པ་ལ་,#ཞུག་པ་,ཞུགས་པ་,ཞུགས་པ་,#ཞུག་པ་,འདི་ནི་མཆོག་ཏུ་གསང་བའོ། །སྣོད་ཤིན་ཏུ་,K,,,nw✓,,,,,,c=d p=n 82.46%,c ཞུགས་པ(625), ལ་ཞུགས་པ(187); p ; d ཞུགས་པ(625), ལ་ཞུགས་པ(187); n ; ,T2457,42
། །གསལ་བ་འདས་ནས་མ་རིག་པ། །ས་,#འཐུག་,མཐུག་,མཐུག་,#འཐུག་,གྱུར་པའི་སྟོབས་ཀྱིས་ཏེ། །དབུགས་དག་མེ་ལོང་,K,,,nw✓,,,,,,c=d p=n 82.46%,c མཐུག(1); p འཐུག(3); d མཐུག(1); n འཐུག(3); ,T2457,44
། མི་རྟོག་པའི་ནུས་པ་རྙེད་ནས་ཚོགས་ཀྱི་,#བསེབ་,གསེབ་,གསེབ་,#བསེབ་,ཏུ་ཕྱིན་ཀྱང་ཞེ་སྡང་ལ་སོགས་གང་བྱུང་ཡང་དྲན་,K,,,nw✓,,,,,,c=d p=n 82.46%,c གསེབ(342), གསེབ་ཏུ(115), ཀྱི་གསེབ(43); p བསེབ(1); d གསེབ(342), གསེབ་ཏུ(115), ཀྱི་གསེབ(43); n བསེབ(1); ,T2457,54
བསྟེན་པར་བྱ་སྟེ། གང་དེ་ལ་མཆོག་ཏུ་,བསྡམས་པ ར་,བསྡམ་པ ར་,བསྡམ་པ ར་,བསྡམས་པ ར་,བྱ་བ་ཡིན་པས་ཐོག་མར་རྒྱུད་བརྟག་པར་བྱའོ,K,,,,,⟶,,,,c=d p=n 82.46%,c བསྡམ་པར(101); p བསྡམས་པར(62); d བསྡམ་པར(101); n བསྡམས་པར(62); ,T2457,2
མི་བརླང་བ་དང། ལུས་ངག་གིས་གཞན་ལ་ཐོ་,འཚམ་པ་,འཚམས་པ་,འཚམས་པ་,འཚམ་པ་,མ་ཡིན་པ་དང། དབྲལ་བར་དཀའ་བ་དང,K,,,,,⟶,,,,c=d p=n 82.46%,c ; p འཚམ་པ(130); d ; n འཚམ་པ(130); ,T2457,5
