Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པ་རྣམས་ཀྱི་སྐུ་ལས་བྱུང་བའི་སངས་རྒྱས་སྤྱན་,ལ་སོགས་པ འི་,,ལས་ སོགས་པ འི་,,ལྷ་མོ་རྣམས་ཀྱིས་ཡེ་ཤེས་ཀྱི་བདུད་རྩིས་ཡོངས་,K,g,,,,,,,,p d 95.00%,p ལ་སོགས་པའི(131), ལ་སོགས་པའི་ལྷ(89); d ; ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,16
པའི་འབྲས་བུ་སྤྱན་རས་གཟིགས་ལ་སོགས་པའོ། །,སོ་སོ་,,སོ་སོ ར་,,ཐར་བའི་འབྲས་བུ་དགྲ་བཅོམ་པའོ་སོ་སོའི་སྐྱེ་,K,p,,,,,,,,p d 95.00%,p སོ་སོ(10614), །_།སོ་སོ(742); d སོ་སོར(6579), །_།སོ་སོར(468); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,9
དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་མཛད་པ་,རྫོགས ་།།_།།,,རྫོགས་ སོ །།_།།,,,K,p,,,,,,,,p d 95.00%,p ; d རྫོགས་སོ།།_།།(1081); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,19
པར་བྱུང་བའི་འོད་ཟེར་སྣ་ཚོགས་ཀྱི་སྒོ་ནས་,,,ལས་,,ཡང་དག་པར་བྱུང་བའི་མེ་ཏོག་གི་མཆོད་པའི་,K,,✘,,,,,,,p d 95.00%,p (1), ནས(35333), ཡང་དག་པར(52698), ནས་ཡང་དག་པར(241); d ལས(5885), ནས་ལས(459), ལས་ཡང་དག་པར(1087); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,7
པོ་བརྒྱ་བྱིན་དང་འཁོར་ལོ་བསྒྱུར་བའི་རྒྱལ་པོ་,ལ་སོགས་པ་པ་,,ལ་སོགས་པ་,,རྒྱུ་འབྲས་ལ་རྗེས་སུ་ཡི་རང་བའོ། །རྗེས་,K,,པ་བ་,,,,s,,,p d 95.00%,p ; d ལ་སོགས་པ(403), རྒྱལ་པོ་ལ་སོགས་པ(44); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,10
ཨོཾ་སརྦ་བི་ཤ་མུ་ཙ་མེ་ཀ་ས་མུན་,དྲ་,,#ཏྲ་,,ཨ་ཧཱུཾ་སྭཱ་ཧཱ། ཞེས་བྱ་བའི་སྔགས་བརྗོད་,K,,,nw✓,,,,,,p d 95.00%,p དྲ(128); d ཏྲ(429); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,8
པར་མཛད་པའི་སྡིགས་འཛུབ་དང་རྡོ་རྗེ་ཞགས་པ་,#སྣམས་པ,,བསྣམས་པ,,། ཇི་ལྟར་མཛེས་པའི་ཀླུ་ཆེན་པོ་ཕུ་སྒྲ་,K,,,nw✓,,,,,,p d 95.00%,p ; d བསྣམས་པ(147), བསྣམས་པ།_(128); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,13
བཅས་པ་གསལ་བར་བྱས་ལ་བྱིན་གྱིས་རླབ། ,ཨོཾ་,,#ཨཱོཾ་,,སརྦ་ཐམས་ཅད་དེ་བཞིན་མཆོད་པ་ལྷ་མོ་སྟོད་,K,,,,✓,,,,,p d 95.00%,p ཨོཾ(2), །_ཨོཾ(407), ཨོཾ་སརྦ(238), །_ཨོཾ་སརྦ(93); d ཨཱོཾ(1); ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,4
བའི་དོན་དུ་གཉེར་བའི་ཕྱིར། ཨོཾ་ཨ་བྷི་,ཤིན་,,#ཥིན་,,ཙ་ཏུ་མཾ་སརྦ་ཏ་ཐཱ་ག་ཏ་ཞེས་བྱ་,K,,,,✓,,,,,p d 95.00%,p ཤིན(1); d ; ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,14
གསོལ་བ་གདབ་པའི་རྗེས་མི་བསྐྱོད་པ་ལ་སོགས་,#པདེ་,,#པའིདེ་,,དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་སྐུ་ལས་བྱུང་བའི་,K,,,,✓,,,,,p d 95.00%,p པདེ(1); d ; ,ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།,15
