Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལ། སྲོག་ཆགས་སྤངས་པའི་ཆུ་ལ། དྲི་,ཞིམ་པོ་,,ཞིམ་པོ ས་,,བགོས་པའི་མ་འདལ། མེ་ཏོག་ལ་སོགས་གཏོར་,K,p,,,,,,,,p d 80.00%,p ཞིམ་པོ(403), དྲི་ཞིམ་པོ(177); d ཞིམ་པོས(91), དྲི་ཞིམ་པོས(80); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,6
འགྱུར། །ཅེས་གསུངས་སོ། །མ་འདལ་འབུལ་བ་,འབུལ་བ་,,འབུལ་བ་བ་,,རྫོགས་སོ།། །།,K,,པ་བ་,,,,s,,,p d 80.00%,p འབུལ་བ(179); d ; ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,9
ནས་ཕུལ་ན་དེ་ནི་བུངྡྷའི་ཞིང་སྟོང་ལ་དབང་,སྒྱུར་,,བསྒྱུར་,,བར་འགྱུར་རོ། །ཞིང་ཁམས་རབ་འབྱམ་དུ། །,K,,,,,≠,,,,p d 80.00%,p སྒྱུར(104), སྒྱུར་བར(305), དབང་སྒྱུར(589); d བསྒྱུར(187), བསྒྱུར་བར(181), དབང་བསྒྱུར(222); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,8
རྣམ་པར་དག་པ་དང་། ཚད་མེད་པ་བཞི་,,,སེམས་ བསྐྱེད་པ འི་ རང་ ངོ་,,དང་ལྡན་པའི་བློས། བྱང་ཆུབ་མཆོག་ཏུ་བསྐྱེད་,K,,,,,,l,,,p d 80.00%,p (1), དང(18517), བཞི(541), བཞི་དང(47), མེད་པ་བཞི་དང(202), བཞི་དང་ལྡན་པ(90); d ; ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,4
ཡས་ཁང་སྤྱིན་པ། རྗེ་བཙུན་མ་སྒྲོལ་མ་,,,ལ་,,ཕྱག་འཚལ་ལོ། །སྟོང་ཉིད་བསྒོམ་པའི་དང་པོ་,K,,,,,,≡,,,p d 80.00%,p (1), མ(4286), ཕྱག(88), མ་ཕྱག(49); d ལ(33965), མ་ལ(418), ལ་ཕྱག(12940), མ་ལ་ཕྱག(131), མ་ལ་ཕྱག་འཚལ(113); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,1
པ་དང་། །འདོད་ལྷའི་གནས་གསུམ་དུ་ཨ་ལས་,ཟླ་ དཀྱིལ་འཁོར་,,ཟླ་བ འི་ དལ་,,གསུམ་ལ་གནས་པའི་ཡི་གེའི་རྒྱལ་པོ་ཨོཾ་ཨཱཿཧཱུཾ་,K,,,,,,≡,,,p d 80.00%,p ; d ; ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,3
སིལ་མ་དང་། འདོད་ལྷའི་གཞན་ཡས་ཁང་དུ་,སྐྱེ་ བྱེད་,,སྐྱེ་བ་,,ན་ཚོམ་བུའི་རྣམ་པར་དབྱེ་བས་དབྱེ་བར་ཤེས་,K,,,,,,≡,,,p d 80.00%,p ; d སྐྱེ་བ(127), སྐྱེ་བ་ན(49), དུ་སྐྱེ་བ(416); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,7
ལ་སོགས་པ་ལས་སྙིང་རྗེ་ཆེན་པོས་འགྲོ་བ་,མ་པ་,,མ་ ལུས་པ་,,ཡུལ་དུ་བྱས་ལ། ཆོ་ག་གསུམ་ལས་ངེས་,K,,,,,,s,,,p d 80.00%,p མ་པ(303); d མ་ལུས་པ(198); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,2
དོག་སྣ་ཚོགས་ལས་བསམས་ལ། ཡང་བདག་ཉིད་,,,,,ཀྱི་སྙིང་གའི་ས་བོན་ལས་འོད་ཟེར་འཕྲོས་པས་,K,,,,,,,[ ],,p=d 20.00%,p (1), ས་བོན(43); d (1), ས་བོན(43); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,5
སོ། །མ་འདལ་འབུལ་བ་འབུལ་བ་བ་རྫོགས་སོ།། །།,,,,,,K,,,,,,,[ ],,p=d 20.00%,p (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); d (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); ,གཞལ་ཡས་ཁང་སྦྱིན་པ།,10
