Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གཉིས་པོ་ཚིག་ཅིང་མེད་པའི་རྗེས་ལ། གང་,གིས་,,གིས་,གི་,སྲེག་པར་བྱེད་པའི་མེ་དེ་ཉིད་ཀྱང་རང་ཞི་,K,p,,,,,,,,p=d n 90.91%,p གིས(2588), གང་གིས(183); d གིས(2588), གང་གིས(183); n གི(1276), གང་གི(8014); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,4
བཞིན་དུ་བདེན་པ་ཡིན་ལ། དོན་དམ་པར་,རམ །_ ཡང་དག་པར་,,རམ །_ ཡང་དག་པར་,,ན་ཀུན་རྫོབ་ཇི་ལྟར་སྣང་བ་དེ་ཁོ་ན་,K,,,nw✘,,,,,,p=d n 90.91%,p ; d ; n (1), ར(2609), ན(73509), ར་ན(173), དམ་པར་ན(229); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,3
གར་སྐད་དུམ་དྷྱཱ་མ་ཨུ་པ་དེ་,#ཤཱ་,,#ཤཱ་,ཤ་,ནཱ་མ། བོད་སྐད་དུ། དབུ་མའི་མན་,K,,,,✓,,,,,p=d n 90.91%,p ཤཱ(9); d ཤཱ(9); n ཤ(333), དེ་ཤ(88); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,2
དང་རིགས་པ་ཤིན་ཏུ་མང་མོད་ཀྱི་འདིར་མ་,སྤྲོས་,,སྤྲོས་,སྤྲས་,སོ། །དབུ་མའི་མན་ངག་ཅེས་བྱ་བ་སློབ་,K,,,,,≠,,,,p=d n 90.91%,p སྤྲོས(32), མ་སྤྲོས(42); d སྤྲོས(32), མ་སྤྲོས(42); n སྤྲས(231); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,9
ན་བྱང་ཆུབ་སེམས་དཔའ་དང་ཁྱད་པར་ཅི་ཡོད་,ཅེས་བྱ་བ་,,ཅེས་བྱ་བ་,ཅེས་ བྱ་པ ར་,ལ་སོགས་པའི་རིགས་པ་དང་ལུང་འདིར་མི་བརྗོད་,K,,,,,,≡,,,p=d n 90.91%,p ཅེས་བྱ་བ(92), ཡོད་ཅེས་བྱ་བ(892); d ཅེས་བྱ་བ(92), ཡོད་ཅེས་བྱ་བ(892); n ; ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,5
པར་ཅི་ཡོད་ཅེས་བྱ་བ་ལ་སོགས་པའི་རིགས་པ་དང་,ལུང་,,ལུང་,ལུས་,འདིར་མི་བརྗོད་དོ། །གཞན་གྱི་དོན་བསྐལ་པ་,K,,,,,,≡,,,p=d n 90.91%,p ལུང(1), དང་ལུང(187); d ལུང(1), དང་ལུང(187); n ལུས(295), དང་ལུས(455), ལུས་འདི(847); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,6
མེད་པར་ཚོགས་བསགས་པ་དང་སྨོན་ལམ་བཏབ་པའི་,མཐུ ས་,,མཐུ ས་,,གདུལ་བྱ་རྣམས་ཇི་ལྟར་འདོད་པ་བཞིན་དུ་འགྱུར་,K,,,,,,≡,,,p=d n 90.91%,p མཐུས(220); d མཐུས(220); n (1), འི(44), གདུལ་བྱ(108); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,7
ཇི་ལྟར་འདོད་པ་བཞིན་དུ་འགྱུར་རོ། །ལུང་,དང་,,དང་,,རིགས་པ་ཤིན་ཏུ་མང་མོད་ཀྱི་འདིར་མ་སྤྲོས་,K,,,,,,≡,,,p=d n 90.91%,p དང(18517), ལུང་དང(77); d དང(18517), ལུང་དང(77); n (1), ལུང(1), རིགས་པ(683); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,8
ས་འཕྲུལ་སྣང་དུ་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་,ཕབ་བོ,,ཕབ་བོ,ཕབ་པ འོ,།། །།,K,,,,,,≡,,,p=d n 90.91%,p ཕབ་བོ(125); d ཕབ་བོ(125); n ; ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,10
,,,,།་  མ,མ་དྷྱཱ་མ་ཨུ་པ་དེ་ཤཱ་ནཱ་མ། ,K,,,,,,s,,,p=d n 90.91%,p (1), །(46), དུ(11516), དུ།(56); d (1), །(46), དུ(11516), དུ།(56); n ; ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,1
སྣང་དུ་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་བོ།། །།,,,,,,K,,,,,,,[ ],,p=d=n 9.09%,p (1), །།_།།(7586); d (1), །།_།།(7586); n (1), །།_།།(7586); ,དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།,11
