Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཡ། ཨ་ཏི་ཥྛཱ་ན་ཨ་དྷི་ཥྠྀ་ཏེ་སྭཱ་ཧཱ། གཟུངས་,འདི ས་,འདི་,འདི་,འདི ས་,འཇིམ་པའི་གོང་བུའམ་བྱེ་མའི་གོང་བུ་ལ་ལན་,K,p,,,,,,,,c=d p=n 85.00%,c འདི(1651), གཟུངས་འདི(838); p འདིས(285); d འདི(1651), གཟུངས་འདི(838); n འདིས(285); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,12
བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ,།_།་  ཨོཾ,,,།_།་  ཨོཾ,ན་མོ་བྷ་ག་བ་ཏེ། བཻ་རོ་ཙ་ན་པྲ་བྷ་,K,,,nw✘,,,,,,c=d p=n 85.00%,c (1), ལོ(14961), །_།(997103), ལོ།_།(14835), ལོ།_།ན(99), འཚལ་ལོ།_།(11026), འཚལ་ལོ།_།ན(52), འཚལ་ལོ།_།ན་མོ(40), ཕྱག་འཚལ་ལོ།_།ན(50); p ; d (1), ལོ(14961), །_།(997103), ལོ།_།(14835), ལོ།_།ན(99), འཚལ་ལོ།_།(11026), འཚལ་ལོ།_།ན(52), འཚལ་ལོ།_།ན་མོ(40), ཕྱག་འཚལ་ལོ།_།ན(50); n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,2
ཡེ་ཤེས་ཀྱི་ཞལ་སྔ་ནས་མཛད་པ་རྫོགས་སྷོ,།།_།།་  ཨོཾ,,,།།_།།་  ཨོཾ,ཡེ་དྷརྨཱ་ཧེ་ཏུ་པྲ་བྷ་བཱ་ཧེ་ཏུནྟེ་ཥཱ་,K,,,nw✘,,,,,,c=d p=n 85.00%,c (1), སྷོ(712), །།_།།(7586), སྷོ།།_།།(600), རྫོགས་སྷོ།།_།།(598); p ; d (1), སྷོ(712), །།_།།(7586), སྷོ།།_།།(600), རྫོགས་སྷོ།།_།།(598); n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,18
བ་ར་ཎེ །ཏ་རཾ་བྷེ། ཡ་ཤོ,།་  ཝ་ #ཏི,,,།་  ཝ་ #ཏི,མ་ཧཱ་ཏེ་ཛེ། ནིར་ཀུ་ལེ། ནིར་བ་,K,,,nw✓,,,,,,c=d p=n 85.00%,c (1), །(46), ཤོ(7); p ; d (1), །(46), ཤོ(7); n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,8
ཏ་རཾ་བྷེ། ཡ་ཤོམ་ཧཱ་ཏེ་,ཛ,#ཛེ,#ཛེ,ཛ,། ནིར་ཀུ་ལེ། ནིར་བ་ཎི། སརྦ་ཏ་,K,,,nw✓,,,,,,c=d p=n 85.00%,c ཛེ(166), ཛེ།_(160), ཏེ་ཛེ(54); p ཛ(231), ཛ།_(212), ཏེ་ཛ(94); d ཛེ(166), ཛེ།_(160), ཏེ་ཛེ(54); n ཛ(231), ཛ།_(212), ཏེ་ཛ(94); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,9
,#སཱཙྪ་,ཚ་,ཚ་,#སཱཙྪ་,གདབ་པའི་ཆོ་ག །སངས་རྒྱས་དང་བྱང་ཆུབ་,K,,,,✓,,,,,c=d p=n 85.00%,c ཚ(48); p ; d ཚ(48); n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,1
འཚལ་ལོན་མོ་བྷ་ག་བ་ཏེ། ,#བཻ་ རོ་ཙ་ #ནཱ་ ཡ་,བཻ་རོ་ཙ་ན་,བཻ་རོ་ཙ་ན་,#བཻ་ རོ་ཙ་ #ནཱ་ ཡ་,པྲ་བྷ་རཱ་ཛཱ་ཡ། ཏ་ཐཱ་ག་ཏཱ་,K,,,,✓,,,,,c=d p=n 85.00%,c ; p ; d ; n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,3
ཏ་ཐཱ་ག་ཏཱ་ཡ། ཨརྷ་ཏེ་ས་མྱ་,#གྶཾ་,#གྶཾ་,#གྶཾ་,#སམྱགཀྶཾ་,བུ་བྡྷཱ་ཡ། ཏ་དྱ་ཐཱ། ཨོཾ་སུ་,K,,,,✓,,,,,c=p=d n 10.00%,c ; p ; d ; n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,4
བུ་བྡྷཱ་ཡ། ཏ་དྱ་ཐཱ། ཨོཾ་སུ་,#སུཀྵྨེ་,#ཀྵྨེ་,#ཀྵྨེ་,#སུཀྵྨེ་,ས་མེ་ས་མ་ཡེ་ས་མ་ཏེ་ས་མཱ་རོ་པོ་ཨ་,K,,,,✓,,,,,c=d p=n 85.00%,c ཀྵྨེ(1); p སུཀྵྨེ(1); d ཀྵྨེ(1); n སུཀྵྨེ(1); ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,5
དྱ་ཐཱ། ཨོཾ་སུ་ཀྵྨེ་ས་མེ་ས་མ་,#ཤཱནྟེ་ #དཱནྟེ །_ ཨ་,ཡེ་ ས་ མ་ ཏེ་,ཡེ་ ས་ མ་ ཏེ་,#ཤཱནྟེ་ #དཱནྟེ །_ ཨ་,ས་མཱ་རོ་པོ་ཨ་ན་བ་ར་ཎེ །,K,,,,✓,,,,,c=d p=n 85.00%,c ; p ; d ; n ; ,ཚ་ཚ་གདབ་པའི་ཆོ་ག་བཞུགས།,6
