ཨང།,ཆོས་མཚན།,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།,པེ་ཅིན་བསྡོམས།,Peking pgs.,548,Peking vol.,1,,པོད་དང་པོའི་བསྡོམས།,གཉིས་པ་དང་གསུམ་པའི་བསྡོམས།,སྡེ་དགེའི་ཤོག་གྲངས།,Derge pgs.,26819,Derge vol.,45,,,,,,,,,,
1,ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་ལ་བསྟོད་པ།,9-1,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཐོགས་མེད།,169-172,ཀ71ན-72ན,ཀ61བ-62བ,7,,,,,,,3,,ཀ,61,b,62,b,,,,,,,,,,
2,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།,1-1,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,178-187,ཀ73ན-77བ,ཀ63བ-67བ,10,,,,,,,9,,ཀ,63,b,67,b,,,,,,,,,,
3,དཔེ་མེད་པར་བསྟོད་པ།,1-2,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,190-193,ཀ77བ-79ན,ཀ67བ-68བ,11,,,,,,,3,,ཀ,67,b,68,b,,,,,,,,,,
4,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།,1-3,བསྟོད་ཚོགས་ཀ1,འཕགས་པ་ཀླུ་སྒྲུབ།,195-198,ཀ79བ-80བ,ཀ68བ-69བ,12,,,,,,,3,,ཀ,68,b,69,b,,,,,,,,,,
5,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།,1-4,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,199-200,ཀ80བ-80བ,ཀ69བ-70ན,13,,,,,,,4,,ཀ,69,b,70,a,,,,,,,,,,
6,དོན་དམ་པར་བསྟོད་པ།,1-5,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,201-202,ཀ81ན-81བ,ཀ70ན-70བ,14,,,,,,,0,,ཀ,70,a,70,b,,,,,,,,,,
7,སྐུ་གསུམ་བསྟོད་པ།,1-6,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,204-206,ཀ81བ-82ན,ཀ70བ-71ན,15,,,,,,,4,,ཀ,70,b,71,a,,,,,,,,,,
8,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།,1-7,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,207-216,ཀ82ན-86ན,ཀ71ན-74བ,16,,,,,,,6,,ཀ,71,a,74,b,,,,,,,,,,
9,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།,1-8,བསྟོད་ཚོགས་ཀ1,འཕགས་པ་ཀླུ་སྒྲུབ།,217-220,ཀ86ན-87བ,ཀ74བ-75བ,17,,,,,,,3,,ཀ,74,b,75,b,,,,,,,,,,
10,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།,1-9,བསྟོད་ཚོགས་ཀ1,སློབ་དཔོན་ཀླུ་སྒྲུབ།,224-227,ཀ87བ-88བ,ཀ76ན-76བ,19,,,,,,,0,,ཀ,76,a,76,b,,,,,,,,,,
