Lalitavajra,
Nags kyi rin chen,ནགས་ཀྱི་རིན་ཆེན
Ḍomi pa,
Dgra las rgyal ba,དགྲ་ལས་རྒྱལ་བ
Dpal kāca,
Kambala,
Don yod rdo rje,དོན་ཡོད་རྡོ་རྗེ
Mar me mdsad dpal ye shes、Legs pa'i shes rab,མར་མེ་མཛད་དཔལ་ཡེ་ཤེས、ལེགས་པའི་ཤེས་རབ
Jetāri dgra las rnam par rgyal ba,ཇེཏāརི་དགྲ་ལས་རྣམ་པར་རྒྱལ་བ
Ashoka,
Mitrayogin,
Lhan gcig skyes pa,ལྷན་གཅིག་སྐྱེས་པ
Pāṇini,
Dga' byed snyan pa,དགའ་བྱེད་སྙན་པ
Kumuda 'byung gnas blo gros,ཀུམུད་འབྱུང་གནས་བློ་གྲོས
Gshan la phan pa (Parahita),གཤན་ལ་ཕན་པ ༼པརཧིཏ༽
Amoghanātha,
Padma rdo rje,པདྨ་རྡོ་རྗེ
Telo pa,ཏེལོ་པ
Sangs rgyas bskyangs,སངས་རྒྱས་བསྐྱངས
Ska ba dpal brtsegs,སྐ་བ་དཔལ་བརྩེགས
Tathāgatarakṣita,
Gshon nu zla ba,གཤོན་ནུ་ཟླ་བ
Tathāgatavajra,
Gser gling ba,གསེར་གླིང་བ
Rnyog med rdo rje,རྙོག་མེད་རྡོ་རྗེ
Kun phan bdud rtsi sbyin (Sarva hitāmṛtadatta),ཀུན་ཕན་བདུད་རྩི་སྦྱིན
Dharmakīrti,
Kujī pa,
Rin chen 'byung gnas sbas pa,རིན་ཆེན་འབྱུང་གནས་སྦས་པ
'gro,འགྲོ
Ye shes sde,ཡེ་ཤེས་སྡེ
Klu sgrub或Dge 'dun bzang po (k),ཀླུ་སྒྲུབ དགེ་འདུན་བཟང་པོ ༼ཀ༽
Gang ba'i zla ba,གང་བའི་ཟླ་བ
shrīvajradeva,
Blo brtan,བློ་བརྟན
dharmakīrti,
Dharmashrī ?,
shrīphalavajra,
'jam pa'i dbyangs,འཇམ་པའི་དབྱངས
Dgra las rnam par rgyal ba,དགྲ་ལས་རྣམ་པར་རྒྱལ་བ
Padma dbyangs,པདྨ་དབྱངས
Rnam par rgyal ba'i dbang po'i sde,རྣམ་པར་རྒྱལ་བའི་དབང་པོའི་སྡེ
Dbyig pa can (Daṇḍin),དབྱིག་པ་ཅན ༼དṇḍཨིན༽
Jnyāna,
Abhayākaragupta,
Manyjuvajra,
Lhan cig skyes pa rol pa,ལྷན་ཅིག་སྐྱེས་པ་རོལ་པ
Bcom ldan 'das,བཅོམ་ལྡན་འཛ
Nag mo khol (Kālidāsa),ནག་མོ་ཁོལ ༼ཀāལིདāས༽
Bram ze bsod snyoms pa,བྲམ་ཟེ་བསོད་སྙོམས་པ
Lilā pa,
Blo bzang ngang tshul,བློ་བཟང་ངང་ཚུལ
Dul ba lha (Vinītadeva),དུལ་བ་ལྷ ༼བི༹ནīཏདེབ༹༽
Rngon pa ba,རྔོན་པ་བ
Dpal sbas,དཔལ་སྦས
Legs pa'i grags pa,ལེགས་པའི་གྲགས་པ
Thig le bum pa,ཐིག་ལེ་བུམ་པ
Mi bskyod rdo rje,མི་བསྐྱོད་རྡོ་རྗེ
Abhayākara,
Byang chub sems dpa',བྱང་ཆུབ་སེམས་དཔའ
Zla ba grags pa,ཟླ་བ་གྲགས་པ
Rtag pa'i rdo rje,རྟག་པའི་རྡོ་རྗེ
Phyag na rdo rje,ཕྱག་ན་རྡོ་རྗེ
Zla ba,ཟླ་བ
Jnyānaparama,
Thu bo rājahasti,
Nag po,ནག་པོ
Ri khrod dbang phyug,རི་ཁྲོད་དབང་ཕྱུག
Nilakhandha,
Dgra las rgyal ba gsang ba,དགྲ་ལས་རྒྱལ་བ་གསང་བ
Skal ba bzang po'i rdo rje,སྐལ་བ་བཟང་པོའི་རྡོ་རྗེ
Chos kyi grags pa,ཆོས་ཀྱི་གྲགས་པ
Ma gcig grub pa'i rgyal mo,མ་གཅིག་གྲུབ་པའི་རྒྱལ་མོ
Gālandhara,
Kukuri pa,ཀུཀུརི་པ
Yid bshin nor bu'i rgyal po,ཡིད་བཤིན་ནོར་བུའི་རྒྱལ་པོ
Rgya mtsho sprin,རྒྱ་མཚོ་སྤྲིན
nyi ma'i snying po,ཉི་མའི་སྙིང་པོ
Dpal bzang rab dga',དཔལ་བཟང་རབ་དགའ
Rta dbyangs,རྟ་དབྱངས
shraddhākaravarma,
Padma,པདྨ
Paṁkala,
Rin chen 'byung gnas shi ba,རིན་ཆེན་འབྱུང་གནས་ཞི་བ
Rdon pa ba chen po,རྡོན་པ་བ་ཆེན་པོ
Kalaka pa,
shubhākara,
Ting nge 'dsin rdo rje,ཏིང་ངེ་འཛིན་རྡོ་རྗེ
Rab 'byor bskyangs,རབ་འབྱོར་བསྐྱངས
Kamalashīla,
'od srung gshon nu,འོད་སྲུང་གཤོན་ནུ
Prashāstrasena,
Shi ba'i bshes gnyen,ཞི་བའི་བཤེས་གཉེན
Ye shes rin po che,ཡེ་ཤེས་རིན་པོ་ཆེ
Kangkalamekala,
Vimala,
'jigs med 'byung gnas sbas pa,འཇིགས་མེད་འབྱུང་གནས་སྦས་པ
Māṁ hi ka wi (?),
Ratnākarashānti pa,
Ri khrod chen po,རི་ཁྲོད་ཆེན་པོ
Dpal ye shes或Padma rdo rje,དཔལ་ཡེ་ཤེས པདྨ་རྡོ་རྗེ
Smṛtijnyānakīrti,
Bde ba'i rdo rje,བདེ་བའི་རྡོ་རྗེ
Bde ba chen po'i rdo rje,བདེ་བ་ཆེན་པོའི་རྡོ་རྗེ
Mi 'jigs pa'i phyag,མི་འཇིགས་པའི་ཕྱག
Dus 'khor shabs pa,དུས་འཁོར་ཤབས་པ
Gnyis su med pa'i rdo rje,གཉིས་སུ་མེད་པའི་རྡོ་རྗེ
Zab ba'i rdo rje,ཟབ་བའི་རྡོ་རྗེ
Kalyāṇamitra,
Mkha' 'gro ma ni ga ma,མཁའ་འགྲོ་མ་ནི་ག་མ
Dkon mchog gsum gyi 'bangs (Tri ratnadāsa),དཀོན་མཆོག་གསུམ་གྱི་འབངས ༼ཏྲི་རཏནདāས༽
Kerali,
Shi gnas lha,ཤི་གནས་ལྷ
Tshul khrims rin chen dbyangs can snyems pa'i lang tsho'i sde,ཚུལ་ཁྲིམས་རིན་ཆེན་དབྱངས་ཅན་སྙེམས་པའི་ལང་ཚོའི་སྡེ
Bdhisattva,
Rgyan pa,རྒྱན་པ
Bhago,བྷགོ
Rdo rje padma,རྡོ་རྗེ་པདྨ
Bodhigarbha,
'phags pa dpa' bo,འཕགས་པ་དཔའ་བོ
Mtho btsun grub rje,མཐོ་བཙུན་གྲུབ་རྗེ
Dge 'dun 'phel,དགེ་འདུན་འཕེལ
Rtsa mi sangs rgyas grags pa,རྩ་མི་སངས་རྒྱས་གྲགས་པ
shīlasambhava集,
Rigs kyis byin,རིགས་ཀྱིས་བྱིན
Rab tu dga' ba'i rdo rje,རབ་ཏུ་དགའ་བའི་རྡོ་རྗེ
Sarahita,
Kṛṣṇavajra,
Dbus pa blo ldan,དབུས་པ་བློ་ལྡན
Bānggaja,
Avadhūti gnyis med rdo rje,ཨབ༹དྷūཏི་གཉིས་མེད་རྡོ་རྗེ
nyi ma pa,ཉི་མ་པ
Kaṁpala,
Gzugs bzang,གཟུགས་བཟང
Dbu ma'i seng ge,དབུ་མའི་སེང་གེ
Jayasena,
Kedharaṇadhi,
Kha che'i paṇ chen,ཁ་ཆེའི་པṇ་ཆེན
Rgyal dka' zla ba,རྒྱལ་དཀའ་ཟླ་བ
Spyan gzigs dbang phyug,སྤྱན་གཟིགས་དབང་ཕྱུག
Hruṁ mdsad rdo rje,ཧྲུṁ་མཛད་རྡོ་རྗེ
Klu sgrub,ཀླུ་སྒྲུབ
nyi ma dpal ye shes,ཉི་མ་དཔལ་ཡེ་ཤེས
Prajnyāguru,
Dīpaṁkara,
Jayavarma,
Grags pa bshes gnyen (Yashomitra),གྲགས་པ་བཤེས་གཉེན ༼ཡཤོམིཏྲ༽
Rdo rje grub pa,རྡོ་རྗེ་གྲུབ་པ
Jālandhari,
Dri med bshes gnyen,དྲི་མེད་བཤེས་གཉེན
Jnyānashrīmitra,
Bhakhana,
Sgrol ba'i dbang phyug,སྒྲོལ་བའི་དབང་ཕྱུག
Nag po ba,ནག་པོ་བ
Nag pa,ནག་པ
