ID,Korean,Taisho,Sanskrit,Chinese,Tibetan,Peking,Snar-than,Sde-dge,Lhasa,Cone
識別碼,Korean,Taisho,Sanskrit,Chinese,Tibetan,Peking,Snar-than,Sde-dge,Lhasa,Cone
1,k0001,T0220,Mahāprajñāpāramitāsūtra,般若波羅蜜多經,,,,,,
2,k0001-01,T0220-01,Śatasāhasrikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa-stoṅ-phrag-brgya-pa,P - Śer-phyin (ra)-(ji),N - Śer-phyin-ḥbum (ka)-(na),D - Śes-phyin (ka)-(A),L - Śer-phyin-ḥbum (ka)-(na),C - Śer-phyin-ḥbum (ka)-(ma)
3,k0001-02,T0220-02,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,,,,,
4,k0001-03,T0220-03,Aṣṭādaśasāhasrikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa khri-brgyad- stoṅ-pa,P - Śer-phyin (ni)-(phi),N - Śer-phyin-khri-brgyad (ka)-(ga),D - Śes-phyin (ka)-(ga),L - Śer-phyin-khri-brgyad (ka)-(ga),C - Śer-phyin-khri-brgyad (ka)-(ga)
5,k0001-04,T0220-04,Aṣṭasāhasrikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,,,,,
6,k0001-05,T0220-05,Aṣṭasāhasrikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,,,,,
7,k0001-06,T0220-06,Devarājapravaraprajñāpāramitāsūtra,,,,,,,
8,k0001-07,T0220-07,Saptaśatikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa,,,,,
9,k0001-08,T0220-08,Nāgaśrīparipṛcchāsūtra,,,,,,,
10,k0001-09,T0220-09,Vajracchedikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje-gcod-pa,,,,,
11,k0001-10,T0220-10,Adhyardhaśatikāprajñāpāramitāsūtra,,Śes-rab-kyi-pha-rol-tu-phyin-paḥi tshul brgya-lṅga-bcu-pa,,,,,
12,k0001-11,T0220-11,Pañcapāramitānirdeśa,,Pha-rol-tu-phyin-pa lṅa-bstan-pa,P - 1-87a,N - 1-121b,D - 1b-76b,L - 1b-122b,C - 1b-93b
