Class,By part,Book,Book end,Number,Number,Identifier,Other book,Page number,Book vol,actual volumes’ number,Name,Deputy by name,Translator,Goryeo,Korean,Remarks,number of notes,Annotated by,Related classic,References
部類,部別,冊,冊尾,編號,經號,識別碼,別本,頁碼,書前卷數,實際卷數,經名,副經名,作譯者,高麗經,高麗冊,備註,卷數備註,經名註解,相關經典,參考資料
阿含部類,阿含部上,1,1,1,1,0,,1,22,22,長阿含經,,後秦 佛陀耶舍共竺佛念譯,647,17,,,,"縮-昃9,卍-13.8,南-6-8,國-阿7","cf.Nos.2-25,45(52)"
阿含部類,阿含部上,1,1,2,2,0,,150,1,1,七佛經,,宋 法天譯,1182,34,,,,"縮-昃10,卍-15.4,南-6.14","Nos.1(1),3,4"
阿含部類,阿含部上,1,1,3,3,0,,154,2,2,毘婆尸佛經,,宋 法天譯,1177,34,,,,"縮-昃10,卍-15.4,南-6.14","Nos.1(1),2,4"
阿含部類,阿含部上,1,1,4,4,0,,159,1,1,七佛父母姓字經,,失譯,747,19,,,,"縮-昃4,卍-14.2,南-6.14","Nos.1(1),2,3"
阿含部類,阿含部上,1,1,5,5,0,,160,2,2,佛般泥洹經,,西晉 白法祖譯,653,19,,,,"縮-昃10,卍-14.1,南-7.16","Nos.1(2),6,7"
阿含部類,阿含部上,1,1,6,6,0,,176,2,2,般泥洹經,,失譯,654,19,,,,"縮-昃10,卍-8.10,南-7.16","Nos.1(2),5,7"
阿含部類,阿含部上,1,1,7,7,0,,191,3,3,大般涅槃經,,東晉 法顯譯,652,19,,,,"縮-昃10,卍-8.9,南-7.16","Nos.1(2),5,6"
阿含部類,阿含部上,1,1,8,8,0,,207,2,2,大堅固婆羅門緣起經,,宋 施護等譯,1453,40,,,,"縮-昃10,卍-16.1,南-7.19",No.1(3)
阿含部類,阿含部上,1,1,9,9,0,,213,1,1,人仙經,,宋 法賢譯,1247,34,,,,"縮-昃10,卍-15.5,南-7.18",No.1(4)
阿含部類,阿含部上,1,1,10,10,0,,216,3,3,白衣金幢二婆羅門緣起經,,宋 施護等譯,1464,40,,,,"縮-昃10,卍-15.7,南-8.27","Nos.1(5),26(154)"
阿含部類,阿含部上,1,1,11,11,0,,222,2,2,尼拘陀梵志經,,宋 施護等譯,1463,40,,,,"縮-昃10,卍-15.7,南-8.25","Nos.1(8),26(104)"
阿含部類,阿含部上,1,1,12,12,0,,226,2,2,大集法門經,,宋 施護譯,1429,40,,,,"縮-昃10,卍-15.7,南-8.33",No.1(6)
阿含部類,阿含部上,1,1,13,13,0,,233,2,2,長阿含十報法經,,後漢 安世高譯,664,19,,,,"縮-昃10,卍-13.10,南-8.34",No.1(10)
阿含部類,阿含部上,1,1,14,14,0,,241,1,1,人本欲生經,,後漢 安世高譯,655,19,,,,"縮-昃10,卍-14.1,南-7.15","No.1(13);cf.Nos.26(97),52,1693"
阿含部類,阿含部上,1,1,15,15,0,,246,1,1,帝釋所問經,,宋 法賢譯,1252,34,,,,"縮-昃8,卍-15.5,南-7.21","Nos.1(14),26(134)"
阿含部類,阿含部上,1,1,16,16,0,,250,1,1,尸迦羅越六方禮經,,後漢 安世高譯,656,19,,,,"縮-昃10,卍-14.1,南-8.31","Nos.1(16),17,26(135)"
阿含部類,阿含部上,1,1,17,17,0,,252,1,1,善生子經,,宋 支法度譯,718,19,,,,"縮-昃8,卍-14.2,南-8.31","Nos.1(16),16,26(135)"
阿含部類,阿含部上,1,1,18,18,0,,255,1,1,信佛功德經,,宋 法賢譯,1248,34,,,,"縮-昃10,卍-15.5,南-8.28",No.1(18)
阿含部類,阿含部上,1,1,19,19,0,,258,1,1,大三摩惹經,,宋 法天譯,1179,34,,,,"縮-昃10,卍-15.4,南7.20,12.1.37","Nos.1(19),99(1192),100(105)"
