FILE NAME,START FOLIO,START SIDE,END FOLIO,END SIDE,LINES PER PAGE,LINES ON LAST PAGE,LINES OF FIRST PAGES,…,…
1-སྐྱེས་རབས།_རྒྱལ་པོ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།,107,ན,126,ན,7,3,7,,
1-སྐྱེས་རབས།_སྦྱིན་པའི་གཏམ།,166,བ,167,བ,7,1,3,,
1-སྐྱེས་རབས།_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,165,ན,166,བ,7,5,3,,
1-སྐྱེས་རབས།_སྲིད་པ་ལས་འདས་པའི་གཏམ།,167,བ,168,ན,7,4,7,,
1-རྒྱུད།_ཀླུ་སྒྲུབ་ཀྱི་གླུ།,10,ན,10,ན,7,4,4,,
1-རྒྱུད།_ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།,257,བ,259,ན,7,6,5,,
1-རྒྱུད།_གོས་སྔོན་པོ་ཅན་གྱི་དངོས་གྲུབ་ཉེ་བ།,207,ན,207,བ,7,3,7,,
1-རྒྱུད།_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,1,ན,11,ན,7,2,5,5,
1-རྒྱུད།_སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས།,177,ན,178,བ,7,2,5,,
1-རྒྱུད།_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།,69,ན,70,ན,7,3,4,,
